Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-21578.2	-21578.7	0.5158	0.166989	0.00904817	0.0870279	0.371777	0.055905	0.0962034	0.00479937	0.0520977	0.174092	0.012554	0.0278937	0.138966	0.165535	0.139394	0.378005	0.0487519	0.209353	0.014311	0.116558	0.0777154	0.00617192	0.0210871	0.0685513	0.207548	0.000387751	0.0194539	0.61103	0.137121	0.0332511	0.0810172	0.0965368	0.0605008	0.116591	0.0275784	0.0131175	0.0226351	0.0716332	0.0166733	0.00553947	0.234665	0.295685	0.0371036	0.0856478	0.263626	0.0469868	0.272187	0.4172	4.616504
1	1	-24518	-24531.1	13.0169	0.257056	0.00605433	0.0491341	0.0251852	0.0747376	0.0536655	0.0507484	0.0842693	0.0092532	0.137052	0.106842	0.130518	0.079479	0.0421578	0.00379783	0.0571356	0.035834	0.0591522	0.038386	0.0797222	0.0953604	0.0813134	0.0214633	0.0420316	0.0543429	0.103612	0.0404272	0.0255736	0.0251693	0.0237466	0.0255175	0.17494	0.00935745	0.121601	0.332874	0.243139	0.134661	0.0240534	0.00188278	0.0700996	0.0521422	0.247134	0.0357713	0.0685575	0.0679606	0.631837	0.231645	3.366395
2	0	-17163.9	-17174.6	10.635	0.248943	0.0288646	0.115964	0.0915381	0.111067	0.107811	0.0139602	0.0870776	0.0988776	0.0489121	0.0457627	0.135604	0.105173	0.124043	0.191303	0.102009	0.196827	0.0539038	0.193987	0.10946	0.0179179	0.107	0.106883	0.0613206	0.000303249	0.014286	0.295361	0.0802094	0.0439143	0.0128008	0.0674747	0.0583496	0.0556679	0.107985	0.0295743	0.0154575	0.0197081	0.0217767	0.00953288	0.10912	0.0639051	0.0438128	0.0511377	0.26348	0.290051	0.166503	0.279966	3.604587
3	1	-17413.6	-17429.6	15.9504	0.21773	0.00973936	0.10942	0.0582923	0.128191	0.177414	0.0736662	0.108224	0.024052	0.176161	0.0608949	0.0865091	0.0691754	0.0823179	0.0112875	0.117646	0.129774	0.143099	0.0452131	0.083891	0.107752	0.122365	0.0379429	0.0254875	0.0148861	0.031139	0.00638875	0.0073766	0.0503577	0.0196477	0.0420213	0.0510874	0.00387017	0.0280859	0.0746718	0.131744	0.060685	0.028208	0.00680102	0.18825	0.0277496	0.0731404	0.0206933	0.213637	0.347962	0.11317	0.325231	3.073048
4	0	-16223.4	-16234.4	11.0776	0.218993	0.106446	0.105518	0.0874611	0.131863	0.111194	0.0841069	0.0796052	0.0918814	0.105288	0.0950745	0.109111	0.11202	0.13251	0.171105	0.123865	0.147078	0.110488	0.194721	0.10265	0.0546245	0.0972192	0.152683	0.037651	0.000283392	0.0622458	0.0707729	0.0338169	0.0413698	0.0534222	0.0319134	0.044221	0.021846	0.127777	0.0285963	0.0199724	0.0435847	0.0380562	0.0161218	0.048602	0.0377166	0.0466915	0.0301562	0.260721	0.249014	0.0956024	0.394663	3.560323
5	1	-16125.5	-16139.2	13.6762	0.137936	0.0528882	0.125925	0.109846	0.147124	0.1613	0.120287	0.0675696	0.0658038	0.189584	0.0738301	0.0783799	0.137504	0.0996244	0.0405077	0.154702	0.136991	0.131041	0.112883	0.0950755	0.0905724	0.115176	0.164499	0.0161743	0.0196553	0.0557661	0.0121887	0.00916201	0.0664926	0.0317911	0.0114919	0.022773	0.00656649	0.0281803	0.0761241	0.0487947	0.0488233	0.0473372	0.0113288	0.0905457	0.023129	0.0430038	0.0220905	0.210167	0.326717	0.10626	0.356856	3.300469
6	0	-15779.6	-15792.9	13.2864	0.16051	0.0949319	0.0713655	0.104586	0.0891984	0.111193	0.154873	0.100056	0.0917964	0.156869	0.0691681	0.090587	0.0951009	0.131004	0.140389	0.137619	0.106625	0.102811	0.158901	0.105863	0.092424	0.0950965	0.184353	0.0413298	0.000593711	0.0296902	0.0235552	0.0277969	0.0401763	0.0218509	0.0319134	0.0359341	0.0205942	0.136855	0.0174868	0.0238218	0.0502264	0.0283144	0.0189929	0.0181783	0.0419557	0.0343559	0.0505018	0.23431	0.326558	0.0859181	0.353214	3.339443
7	1	-15555.5	-15569.7	14.1292	0.147839	0.0704481	0.114954	0.102385	0.133186	0.109998	0.171509	0.0855308	0.1153	0.139826	0.0748038	0.0887407	0.107297	0.128288	0.0440115	0.134626	0.141564	0.128973	0.125835	0.0692574	0.0791699	0.0855446	0.173498	0.0293894	0.042834	0.0436016	0.0344274	0.0153607	0.0178976	0.0561404	0.0582687	0.0324684	0.0167587	0.043888	0.0432989	0.0436302	0.0456003	0.034584	0.0289972	0.0327664	0.0258743	0.0191175	0.0176754	0.210167	0.326717	0.10626	0.356856	3.255162
8	0	-15414.6	-15429.3	14.6699	0.148245	0.103087	0.10246	0.111151	0.1002	0.0743266	0.12507	0.0914446	0.0709352	0.201742	0.0694378	0.0753733	0.121382	0.12205	0.113391	0.110947	0.132248	0.0989353	0.116081	0.0837771	0.0786801	0.0954901	0.17394	0.0306796	0.00151484	0.0413302	0.0487162	0.04699	0.0825665	0.0617151	0.0389339	0.0153656	0.0423798	0.0308463	0.0167903	0.0258949	0.00934115	0.0144515	0.0270197	0.0318414	0.0268422	0.0252178	0.062269	0.226765	0.307176	0.1017	0.364359	3.201099
9	1	-15388	-15404.1	16.0924	0.106403	0.114239	0.0886069	0.119925	0.0861857	0.0801454	0.099248	0.0747593	0.0874333	0.144374	0.0952646	0.0672596	0.0886864	0.0867525	0.0831626	0.125411	0.128417	0.0963783	0.108926	0.0764572	0.0964719	0.0810721	0.173498	0.0438005	0.0222804	0.0737522	0.023121	0.0200587	0.0655164	0.0286145	0.0680209	0.0240865	0.0405476	0.0358959	0.0230017	0.0268873	0.0407288	0.0363107	0.0320302	0.0334497	0.0170255	0.0358556	0.0587806	0.200553	0.297612	0.1014	0.400435	3.058842
