Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-20617.4	-20629.3	11.8702	0.0542194	0.0519027	0.0163175	0.105212	0.13181	0.0341096	0.0215117	0.0644428	0.0934686	0.162445	0.0672048	0.299842	0.00846537	0.0124829	0.196658	0.125356	0.0882434	0.129745	0.0240434	0.229373	0.00884004	0.00877845	0.00516107	0.0798687	0.0507092	0.106523	0.103049	0.274057	0.249621	0.0560934	0.0299689	0.0122489	0.021045	0.0873566	0.0474001	0.365249	0.103145	0.0296156	0.037348	0.115573	0.161598	0.00627233	0.0834345	0.182093	0.234956	0.279773	0.0843496	0.164934	0.0538945	0.335958	0.22785	0.269865	0.166326	3.95981
1	1	-24523.6	-24519.8	-3.78943	0.0953965	0.21412	0.056073	0.030987	0.0324292	0.0117221	0.185232	0.166263	0.044685	0.00418349	0.00783816	0.0773127	0.730414	0.141917	0.0118854	0.253465	0.190484	0.218673	0.399093	0.374275	0.0725759	0.0237637	0.0191054	0.0648705	0.180047	0.0574213	0.00377014	0.0912172	0.0254063	0.0516059	0.142231	0.233815	0.148387	0.0336684	0.111626	0.044096	0.0798875	0.0183702	0.00241886	0.120132	0.404193	0.0855984	0.265122	0.263894	0.300955	0.0647495	0.0211783	0.221843	0.127381	0.154193	0.111444	0.667058	0.0673045	5.525776
2	0	-15725	-15743	18.0288	0.0867078	0.109767	0.0747329	0.0938137	0.0929351	0.126775	0.0601118	0.0712494	0.0892174	0.136312	0.126629	0.15935	0.0434814	0.0324852	0.189854	0.10939	0.127917	0.116225	0.081979	0.121341	0.0210409	0.0302492	0.0513331	0.0466114	0.057447	0.0646125	0.044344	0.0669325	0.175819	0.0457358	0.0525495	0.00172988	0.0467289	0.0293234	0.0295879	0.190841	0.0343913	0.0235174	0.0417737	0.0544036	0.0872291	0.00266858	0.0948072	0.228882	0.149929	0.118634	0.0158273	0.450322	0.0364054	0.174309	0.286324	0.250063	0.289304	3.343952
3	1	-16052.9	-16065.4	12.4971	0.186363	0.117534	0.205372	0.121542	0.0488315	0.025359	0.179071	0.0764474	0.105271	0.0721143	0.113972	0.0935048	0.179079	0.117258	0.0819364	0.116025	0.160063	0.114268	0.235273	0.21413	0.116439	0.104291	0.0243132	0.1095	0.0270835	0.0256988	0.0107399	0.0534142	0.0447775	0.0128224	0.105302	0.0912576	0.099255	0.0187591	0.0522156	0.0226132	0.0237213	0.01531	0.022208	0.0675772	0.0972217	0.0765886	0.112598	0.215654	0.266582	0.0776563	0.0399553	0.40012	3.20049e-05	0.2802	0.247184	0.160821	0.311794	3.89712
4	0	-14784.5	-14803.6	19.083	0.0985837	0.110054	0.0980601	0.0746477	0.137981	0.115529	0.09068	0.0686687	0.0925967	0.161529	0.0992279	0.0840186	0.0951899	0.0928917	0.0968576	0.139089	0.155359	0.116396	0.109434	0.124565	0.0874734	0.0719608	0.158453	0.0466114	0.0540693	0.0540804	0.027	0.0317504	0.0628353	0.0425671	0.0532494	0.00371853	0.0449764	0.029197	0.044038	0.0840334	0.0401168	0.0167566	0.00762683	0.03297	0.0417879	0.00133002	0.0405751	0.207947	0.265675	0.0896553	0.0146118	0.415737	0.00637429	0.239534	0.246267	0.215079	0.29912	3.238534
5	1	-15374.1	-15392.2	18.0575	0.175011	0.102622	0.231093	0.0929809	0.100389	0.0691404	0.138781	0.0854507	0.0830528	0.194567	0.088937	0.0874555	0.0959736	0.0905208	0.100279	0.141272	0.118121	0.114673	0.16669	0.0845673	0.0772905	0.0896432	0.11949	0.0697156	0.0270835	0.0169513	0.0123677	0.0282469	0.0731455	0.0537113	0.0508257	0.0412005	0.0764508	0.00786436	0.0598808	0.0106038	0.0196621	0.00980631	0.0173597	0.0188182	0.0360412	0.0386457	0.0247044	0.22419	0.258647	0.0753446	0.0518681	0.388209	0.00174136	0.271382	0.233249	0.144621	0.350748	3.341086
6	0	-14549.4	-14570.9	21.4893	0.130985	0.121734	0.0883656	0.099634	0.0994325	0.0799896	0.120674	0.0793746	0.0925967	0.182578	0.0732296	0.0840186	0.0988508	0.0825388	0.0992149	0.112334	0.127382	0.0946101	0.13129	0.0815186	0.0850034	0.0954085	0.168244	0.0316691	0.0417493	0.0342159	0.021012	0.0268046	0.026862	0.0145687	0.0561903	0.00484185	0.0321171	0.0158179	0.0192045	0.0786135	0.0261839	0.0213787	0.0144858	0.0380089	0.0179619	0.00150815	0.0456971	0.215857	0.259718	0.0876451	0.0133865	0.406415	0.0169785	0.213015	0.234301	0.204628	0.348056	2.9979
7	1	-14767.3	-14786.4	19.0824	0.135841	0.102622	0.130896	0.113628	0.115015	0.0828303	0.144318	0.0494874	0.112328	0.17529	0.0926305	0.101926	0.107945	0.109057	0.116012	0.141272	0.122169	0.103823	0.135655	0.103331	0.0738963	0.0977275	0.153718	0.0473888	0.0183488	0.00517033	0.0366247	0.0197738	0.0461511	0.0416282	0.0508257	0.0198248	0.0215636	0.0273468	0.0517129	0.010924	0.0224168	0.0253072	0.0235904	0.0176014	0.0399237	0.01914	0.0719161	0.214913	0.285199	0.0759789	0.0389425	0.372146	0.0128194	0.239891	0.248772	0.134154	0.377182	3.238596
8	0	-14540.7	-14562.5	21.8088	0.100328	0.122172	0.0948639	0.101705	0.113439	0.0574969	0.111638	0.069977	0.0751234	0.155796	0.0702039	0.0801235	0.0993368	0.102825	0.100464	0.149198	0.129892	0.102062	0.130569	0.0803925	0.0789628	0.0843554	0.15759	0.0263398	0.0304608	0.0243619	0.0245698	0.0441643	0.0222695	0.0398965	0.0491051	0.00894692	0.0418993	0.0226809	0.0256496	0.0736259	0.0371174	0.0255974	0.0101742	0.0338141	0.0216816	0.000168441	0.0349118	0.219792	0.25561	0.0807113	0.0148543	0.413825	0.0152064	0.213015	0.234301	0.204628	0.348056	2.965949
9	1	-14619.9	-14639.6	19.6617	0.14621	0.102622	0.0918296	0.113918	0.116342	0.0639816	0.133745	0.0745371	0.0878884	0.199181	0.060959	0.0704947	0.0971568	0.112634	0.107407	0.10895	0.117315	0.136443	0.131892	0.0867149	0.0880105	0.0824184	0.18173	0.0251167	0.0166264	0.0115601	0.030281	0.0426692	0.0541602	0.0447304	0.0537827	0.0260904	0.0076599	0.0469403	0.0346219	0.0409819	0.0182974	0.0229295	0.0265719	0.0383538	0.024913	0.0135526	0.0884481	0.219422	0.291182	0.0717363	0.0270851	0.379953	0.0106219	0.239891	0.248772	0.134154	0.377182	3.180667
10	0	-14519.9	-14540.4	20.4294	0.118079	0.103899	0.0835697	0.117879	0.127749	0.0868246	0.129899	0.0695868	0.0831464	0.186458	0.0729035	0.0801235	0.0939269	0.0878088	0.101318	0.154288	0.109275	0.117297	0.129272	0.0838034	0.103416	0.0723358	0.185633	0.0360717	0.0311042	0.0375323	0.0178827	0.0412733	0.0363218	0.0266719	0.0623275	0.0137062	0.0358573	0.0143776	0.022593	0.0685998	0.0436114	0.0123016	0.0169616	0.0291545	0.0245928	0.000264094	0.0342001	0.217743	0.280129	0.0755225	0.0270207	0.387221	0.0123634	0.230461	0.243163	0.148069	0.378307	3.103896
11	1	-14552.5	-14571.9	19.3956	0.117813	0.128715	0.113096	0.102942	0.136051	0.0807441	0.108609	0.082151	0.0881227	0.207753	0.0761444	0.0767476	0.109495	0.119409	0.0984065	0.143791	0.121164	0.100059	0.112341	0.0927377	0.0939521	0.0941498	0.158239	0.0223781	0.0063017	0.0149331	0.0389674	0.0364199	0.0517209	0.0252413	0.0688676	0.0121681	0.0178342	0.0613974	0.0286494	0.0204622	0.0284935	0.0168448	0.028745	0.0402448	0.030692	0.0378663	0.0564122	0.221241	0.293596	0.0598309	0.0303615	0.383102	0.0118686	0.238608	0.247441	0.133436	0.380515	3.207273
12	0	-14511.5	-14531.5	20.0227	0.12019	0.107651	0.097162	0.103793	0.133768	0.0768842	0.125039	0.0908361	0.0714051	0.191275	0.0700319	0.0810802	0.110504	0.11289	0.0837639	0.133338	0.127708	0.114473	0.113369	0.0920868	0.0826584	0.0904031	0.20816	0.039866	0.0425937	0.0384619	0.0146391	0.0534621	0.0155524	0.0208869	0.0482541	0.0140357	0.0327365	0.0137976	0.0200174	0.0889141	0.0442892	0.0170417	0.0101107	0.0273217	0.0292776	0.000382068	0.0344499	0.221638	0.28514	0.0610629	0.0248229	0.394147	0.0131893	0.230461	0.243163	0.148069	0.378307	3.14456
13	1	-14521.1	-14541.5	20.3975	0.113256	0.104153	0.101909	0.100453	0.114627	0.0650809	0.113419	0.0920375	0.0791291	0.179761	0.0781121	0.0793944	0.115298	0.114353	0.0912075	0.143791	0.115192	0.11204	0.134811	0.0835384	0.0723748	0.0755618	0.169274	0.0263427	0.0130076	0.022178	0.0187017	0.0411293	0.0322312	0.0347376	0.0625921	0.0106636	0.0351989	0.0403656	0.0339307	0.0269309	0.0246653	0.0190906	0.0188306	0.0371656	0.0465748	0.0643196	0.0496556	0.220011	0.291965	0.0618095	0.0272218	0.380974	0.0180189	0.233682	0.237716	0.147479	0.381122	3.107085
14	0	-14506.9	-14528.2	21.2974	0.113751	0.110808	0.103206	0.0958569	0.10011	0.065188	0.139287	0.0752783	0.0810003	0.164491	0.0613767	0.077893	0.092831	0.0986521	0.106872	0.142356	0.158193	0.101193	0.0887479	0.0892048	0.0971113	0.0890653	0.162265	0.0465996	0.0364643	0.0323285	0.00781203	0.0329855	0.0351029	0.0241296	0.0465414	0.0191854	0.0309212	0.0153078	0.0136385	0.0722391	0.0427612	0.0250242	0.0187721	0.0322767	0.029497	0.000257159	0.0405121	0.223394	0.287399	0.0593282	0.0238914	0.397269	0.00871904	0.234979	0.228324	0.150972	0.385724	3.017095
15	1	-14526.9	-14547.9	21.0295	0.125049	0.104153	0.097793	0.120203	0.11986	0.0731769	0.108329	0.0936044	0.0883996	0.158017	0.0738368	0.0673475	0.0977244	0.0952136	0.10793	0.154745	0.10934	0.103754	0.107924	0.0763767	0.0892834	0.0911432	0.151427	0.0409369	0.0246683	0.0223547	0.0343819	0.0244462	0.0200303	0.0243513	0.0435658	0.01439	0.0450486	0.048502	0.0263555	0.00518627	0.0280576	0.0134333	0.0199774	0.0372037	0.0360407	0.0783158	0.0420037	0.218752	0.296019	0.0614555	0.0270659	0.378792	0.0179157	0.233682	0.237716	0.147479	0.381122	3.043881
16	0	-14517.5	-14538.5	20.9426	0.131787	0.0822246	0.093702	0.106526	0.119267	0.0737984	0.08825	0.090238	0.0803189	0.162241	0.0736134	0.0848931	0.0905521	0.0940288	0.120339	0.114344	0.130471	0.105245	0.131033	0.0724496	0.0846904	0.0943125	0.125543	0.0434975	0.048746	0.0288831	0.0099986	0.0694041	0.0347702	0.0251114	0.0469659	0.021296	0.0344949	0.0338985	0.0202605	0.0940464	0.0333483	0.0216553	0.015973	0.0442477	0.0277302	0.000757896	0.0476219	0.22365	0.287729	0.0593965	0.0227691	0.397726	0.00872906	0.234979	0.228324	0.150972	0.385724	3.052574
17	1	-14507.1	-14527.5	20.3215	0.129488	0.118979	0.124084	0.101367	0.124096	0.0727042	0.132524	0.0867501	0.0867729	0.170138	0.0844102	0.0747319	0.094763	0.097892	0.115334	0.12632	0.117887	0.0998019	0.140321	0.0687902	0.107559	0.0763216	0.184158	0.0256169	0.0238486	0.0120775	0.038066	0.0281588	0.0159464	0.0280517	0.0315302	0.0173943	0.0268917	0.0356714	0.0217454	0.00956699	0.0383098	0.0126285	0.0175924	0.0309482	0.0346337	0.0949306	0.0358822	0.213562	0.288996	0.0599975	0.0280918	0.394676	0.0146777	0.233682	0.237716	0.147479	0.381122	3.114685
18	0	-14513.4	-14535.1	21.7111	0.137277	0.0857216	0.0946221	0.0882692	0.0909023	0.0781998	0.129657	0.0801668	0.0830512	0.184388	0.0707199	0.0657026	0.0967736	0.096593	0.10336	0.147136	0.130471	0.112557	0.107868	0.0919931	0.0729667	0.068742	0.15759	0.0552645	0.0400693	0.0288831	0.00787286	0.0334511	0.0358258	0.0458866	0.0467329	0.0170421	0.0157915	0.0146113	0.0296143	0.0774806	0.0397508	0.0242176	0.0136009	0.0284979	0.0202664	0.00068684	0.0254541	0.221915	0.285497	0.0589357	0.025247	0.39464	0.013765	0.227306	0.230614	0.152487	0.389593	2.975728
19	1	-14499.3	-14519.5	20.2316	0.11517	0.100001	0.104154	0.0978506	0.121128	0.0683097	0.11478	0.0619196	0.0840872	0.180594	0.0774836	0.0779393	0.110495	0.097892	0.11536	0.137003	0.129365	0.0977447	0.135418	0.079092	0.082469	0.0915221	0.145472	0.0187536	0.0147924	0.0121581	0.042651	0.0334293	0.0128716	0.0386045	0.0487852	0.0229531	0.0429484	0.0401998	0.032834	0.033071	0.0466481	0.0201302	0.0120083	0.0409043	0.0375931	0.100743	0.0463398	0.213562	0.288996	0.0599975	0.0280918	0.394676	0.0146777	0.232501	0.236515	0.151789	0.379195	3.12367
20	0	-14510.6	-14531.5	20.9304	0.112999	0.0928322	0.0893998	0.108151	0.108017	0.0695744	0.129749	0.0844235	0.108542	0.160928	0.0751881	0.084071	0.0824496	0.0984224	0.103856	0.120923	0.159634	0.103823	0.0995422	0.0711771	0.0816211	0.0921962	0.174544	0.0646666	0.0461122	0.0385719	0.0142446	0.0497963	0.0193149	0.0241801	0.037188	0.02755	0.0206999	0.0225178	0.0200368	0.0774806	0.0417567	0.0224089	0.00757337	0.0360991	0.0309108	0.00132625	0.0392991	0.221623	0.28512	0.0601771	0.0252137	0.39412	0.0137468	0.227306	0.230614	0.152487	0.389593	3.053796
21	1	-14501.5	-14522	20.5748	0.123675	0.101025	0.0921023	0.100985	0.11067	0.0738235	0.110767	0.0884757	0.0939901	0.17911	0.0878298	0.0643521	0.0978249	0.11073	0.104838	0.122913	0.114851	0.115296	0.118469	0.0979672	0.102033	0.0791498	0.168704	0.0133049	0.0255625	0.00999112	0.0260453	0.0450035	0.0119741	0.0195815	0.0638882	0.0162487	0.0469741	0.0272671	0.0312485	0.0365094	0.0246219	0.0147152	0.0163809	0.0393205	0.0365078	0.0818812	0.0427477	0.214804	0.28879	0.0603466	0.0282553	0.393041	0.0147631	0.23322	0.234154	0.152259	0.380368	3.089353
22	0	-14518.8	-14539.9	21.0807	0.142707	0.0863493	0.0947109	0.0881394	0.12997	0.0634516	0.125155	0.0691102	0.0944215	0.16731	0.0779665	0.0881335	0.112402	0.103599	0.100744	0.140349	0.137893	0.102273	0.11558	0.114993	0.076657	0.0971163	0.142301	0.022274	0.0443845	0.0257934	0.00788395	0.0392279	0.0205638	0.01954	0.0431863	0.0154824	0.026473	0.0102947	0.0167509	0.0930326	0.0463828	0.0155747	0.0123747	0.0335041	0.0262189	0.000686114	0.0477985	0.22385	0.287986	0.060782	0.0193955	0.398082	0.00990423	0.227306	0.230614	0.152487	0.389593	3.038759
23	1	-14503.6	-14525.5	21.8774	0.123344	0.100385	0.106558	0.0801079	0.109109	0.0765129	0.12684	0.0629335	0.0920139	0.182461	0.0747091	0.0677673	0.0975215	0.101109	0.103733	0.121036	0.112112	0.115296	0.117797	0.0755524	0.0910923	0.0673811	0.133724	0.0264086	0.0203035	0.0203138	0.0238011	0.0506786	0.00952565	0.0360915	0.0414996	0.0125632	0.0356181	0.0445786	0.0367385	0.0244887	0.0276772	0.0128051	0.0208361	0.041811	0.0293906	0.0694314	0.0354311	0.225548	0.284118	0.0556703	0.0334559	0.386683	0.0145243	0.23322	0.234154	0.152259	0.380368	2.959089
24	0	-14504.3	-14525.8	21.5189	0.136423	0.105941	0.0853114	0.0978886	0.10589	0.0714662	0.10666	0.085847	0.0776465	0.190275	0.079152	0.072153	0.0793736	0.0967431	0.121952	0.128993	0.128113	0.102273	0.116306	0.0788092	0.0946083	0.0806521	0.169818	0.0302387	0.0372119	0.0246726	0.0168664	0.0479379	0.0265833	0.0240287	0.0461931	0.0254549	0.0268378	0.0134392	0.0294233	0.0564677	0.0514755	0.0245566	0.00733731	0.0310494	0.018647	0.00105743	0.0431655	0.227801	0.293068	0.0618546	0.0221532	0.385223	0.00989992	0.227306	0.230614	0.152487	0.389593	2.99494
25	1	-14504.2	-14524.8	20.5586	0.128301	0.0820293	0.107859	0.0994051	0.126395	0.0969507	0.128471	0.067646	0.086219	0.144903	0.0793753	0.0874556	0.0958489	0.108662	0.108772	0.114173	0.114807	0.108005	0.124338	0.0554774	0.092838	0.0870118	0.147127	0.025947	0.0243776	0.01493	0.0365978	0.0465357	0.0148902	0.029732	0.0442022	0.0246416	0.0564983	0.0504406	0.0446092	0.0242847	0.0212084	0.00867466	0.0184479	0.0432285	0.0360783	0.0961472	0.03743	0.226	0.285356	0.0559128	0.0297771	0.388367	0.0145875	0.23322	0.234154	0.152259	0.380368	3.090971
26	0	-14506.8	-14527.9	21.1215	0.135909	0.108843	0.113081	0.0760938	0.11411	0.068964	0.122495	0.0879439	0.0776465	0.190275	0.0618684	0.0828982	0.108283	0.0878715	0.128285	0.128993	0.120433	0.0995929	0.126251	0.0641819	0.094549	0.0829093	0.125287	0.0339181	0.0411769	0.0227283	0.0180231	0.0639294	0.0243513	0.0192776	0.0390573	0.0184072	0.0421123	0.0219042	0.0245412	0.0853889	0.0440482	0.0183381	0.00658452	0.045287	0.0238263	0.000382955	0.0346366	0.229762	0.282957	0.0621798	0.0279006	0.387248	0.00995196	0.227306	0.230614	0.152487	0.389593	3.034684
27	1	-14500.3	-14520.7	20.4645	0.122131	0.11033	0.0899164	0.0980962	0.0967162	0.0636633	0.129392	0.06354	0.0911277	0.148407	0.0715215	0.079982	0.0958489	0.0947385	0.108772	0.138329	0.131426	0.114487	0.136851	0.089071	0.0885835	0.0945471	0.166202	0.0243359	0.0109914	0.0110759	0.0274731	0.0519428	0.0199148	0.0375479	0.0543001	0.0150059	0.0319271	0.0619837	0.0397373	0.0240915	0.0244261	0.0150947	0.0193422	0.0342854	0.0466712	0.0838486	0.0427066	0.225865	0.285186	0.0558794	0.0326932	0.388136	0.0122412	0.23322	0.234154	0.152259	0.380368	3.100382
28	0	-14505	-14526	21.0187	0.109513	0.0961518	0.104449	0.109139	0.094933	0.0753162	0.108731	0.0604887	0.0958004	0.18157	0.0700315	0.0683964	0.0858862	0.0878715	0.132979	0.132319	0.13332	0.111351	0.106275	0.0825617	0.0993291	0.0863011	0.164705	0.0396434	0.0505183	0.0172161	0.022967	0.0463345	0.026869	0.0181268	0.0490086	0.0199455	0.0321928	0.0224717	0.0139866	0.0853889	0.0610121	0.0238501	0.0162071	0.045287	0.0226635	7.13392e-05	0.0337804	0.22142	0.270406	0.0599223	0.0298188	0.409541	0.00889185	0.240911	0.227489	0.168519	0.363081	3.04496
