Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-19158.4	-19143.6	-14.8016	1	0.159992	0.0652229	0.0568081	0.00173303	0.0696968	0.0409237	0.329311	0.101261	0.0577879	0.00236405	0.161874	0.0899196	0.11625	0.0133026	0.157036	0.0490715	0.018758	0.0117142	0.522956	0.038098	0.0680552	0.109098	0.00424784	0.0536174	0.306222	0.0680493	0.00688102	0.224906	0.023283	0.0635735	0.040318	0.246572	0.0141307	0.349213	0.00508957	0.054663	0.440805	0.124922	0.0781926	0.100262	0.29593	0.00195236	0.0408618	0.297305	0.0230824	0.24106	0.0660418	0.294243	0.0782677	0.136954	0.476752	1	2.38629	0.39126	0.148044	0.309615	0.151082	4.784927
1	1	-21748.3	-21739.3	-8.95856	1	0.238141	0.173461	0.064913	0.0256253	0.000774261	0.00346913	0.139734	0.301407	0.117625	0.10519	0.0567121	0.0428651	0.0359634	0.0565718	0.100216	0.16502	0.10079	0.0279736	0.0364602	0.0014203	0.215919	0.115357	0.0148718	0.176677	0.0610171	0.22079	0.0530276	0.0438647	0.0680347	0.213022	0.248242	0.0519621	0.155737	0.0933646	0.0125551	0.213277	0.0786891	0.149998	0.0587442	0.0476952	0.00156274	0.00707623	0.104805	0.491989	0.073711	0.159751	0.108517	0.0999828	0.0660489	0.136954	0.476752	1	2.38629	0.717583	0.138429	0.0780942	0.0658943	4.200621
2	0	-14825	-14813	-12.0285	0.2977598	0.15791	0.141807	0.149712	0.00273087	0.135628	0.111414	0.430397	0.268461	0.245523	0.00846314	0.131334	0.123606	0.102318	0.0937509	0.154249	0.106768	0.0730795	0.108352	0.197066	0.0995315	0.156654	0.111293	0.00829061	0.0197382	0.180167	0.0355409	0.00700145	0.0733726	0.0389888	0.069616	0.0352614	0.0876065	0.0167226	0.0544892	0.0208429	0.0349476	0.0649684	0.252312	0.200446	0.0337205	0.1014	0.00232769	0.0598106	0.218164	0.190708	0.101368	0.0170052	0.455954	0.0168003	0.00511535	0.102753	0.592021	3.30011	0.174962	0.355278	0.165	0.30476	4.507619
3	1	-14820.9	-14806.4	-14.4959	0.3430345	0.18984	0.0963449	0.205309	0.0824615	0.00129057	0.00925022	0.260446	0.492475	0.287676	0.212122	0.106677	0.131531	0.12527	0.0807413	0.135452	0.193692	0.138181	0.163533	0.15677	0.00111164	0.169711	0.0940871	0.018436	0.0839987	0.0592331	0.0767475	0.0339681	0.11676	0.104284	0.161882	0.102014	0.0370946	0.0755764	0.119928	0.00685322	0.0370471	0.0176316	0.082836	0.0561358	0.115455	0.00334768	0.0168571	0.0942959	0.184739	0.373459	0.169256	7.46385e-07	0.22142	0.0511254	0.00942536	0.13813	0.661478	3.19097	0.221761	0.449018	0.139901	0.18932	4.754357
4	0	-14128.5	-14113.6	-14.9228	0.3392852	0.160002	0.147574	0.207728	0.00890439	0.153885	0.088916	0.451767	0.0885901	0.086564	0.0368242	0.170954	0.10033	0.130738	0.098675	0.168529	0.148751	0.225509	0.178629	0.401828	0.122688	0.134437	0.113936	0.0171026	0.0366157	0.148084	0.115424	0.00336397	0.0477929	0.0731106	0.0826387	0.0260666	0.0786425	0.0054282	0.012036	0.0333692	0.0519713	0.0888898	0.303496	0.159179	0.0247561	0.0524332	0.00139293	0.00948983	0.158743	0.279396	0.0426339	0.0169314	0.477671	0.0246254	0.0090158	0.135204	0.656247	3.19953	0.309761	0.307748	0.115649	0.266841	4.797043
5	1	-13827.1	-13803.9	-23.2095	0.2944025	0.238882	0.141108	0.479998	0.0717185	0.00384952	0.128338	0.397634	0.287492	0.152926	0.344393	0.101462	0.159867	0.135862	0.127065	0.164286	0.221763	0.293368	0.178449	0.146407	0.0019438	0.14221	0.0964754	0.07244	0.117239	0.0863218	0.0561918	0.0532421	0.173117	0.0572865	0.14356	0.0731339	0.0510148	0.0874402	0.0735877	0.00647435	0.0293034	0.0182235	0.058653	0.0293491	0.247473	0.00846637	0.0274912	0.140208	0.0833629	0.346959	0.0721564	2.99593e-06	0.457304	0.0402147	0.00485225	0.100148	0.586282	3.30872	0.233167	0.472113	0.0770003	0.21772	5.625715
6	0	-13559.6	-13544.5	-15.0731	0.3197004	0.185494	0.119746	0.146413	0.0362134	0.107729	0.130192	0.177757	0.103615	0.090459	0.200641	0.198987	0.135598	0.189412	0.235749	0.17713	0.225454	0.169173	0.169314	0.380588	0.108592	0.181246	0.140459	0.0815875	0.0202112	0.149753	0.0571667	0.00289763	0.0253201	0.125112	0.176845	0.0178179	0.0372582	0.0321233	0.0328837	0.0542811	0.0381322	0.0801878	0.102774	0.105563	0.0196025	0.0162552	0.00873167	0.0176073	0.0965273	0.261266	0.0541529	0.0247349	0.535831	0.0274877	0.0070288	0.119882	0.627451	3.24564	0.302317	0.326336	0.11287	0.258477	4.812072
7	1	-13448.1	-13433.1	-15.0676	0.3260439	0.204058	0.0806777	0.120057	0.0909909	0.0205763	0.119644	0.487349	0.13	0.108225	0.269631	0.101152	0.11908	0.125723	0.1316	0.167055	0.209034	0.185204	0.160703	0.193359	0.00195999	0.109866	0.113302	0.334151	0.0911869	0.100693	0.0621583	0.0382349	0.106362	0.0190773	0.0495092	0.0542181	0.0770588	0.0409679	0.083975	0.00826239	0.0493385	0.0925368	0.0506554	0.024268	0.171707	0.0192778	0.0150617	0.0735744	0.0785038	0.343388	0.0714137	3.37554e-06	0.452597	0.0540945	0.00764403	0.124848	0.637056	3.23045	0.323244	0.319445	0.0933531	0.263958	4.811521
8	0	-13318.5	-13302.5	-15.9629	0.3346687	0.210428	0.159395	0.165141	0.0892978	0.16695	0.111769	0.12383	0.106269	0.110611	0.253845	0.117438	0.149405	0.16352	0.217682	0.17713	0.176798	0.210664	0.151908	0.146162	0.110117	0.159293	0.140459	0.50556	0.00940429	0.0458227	0.0382755	0.00186263	0.0250296	0.0693089	0.176845	0.0209898	0.073722	0.0404288	0.0223662	0.030723	0.0299985	0.0641437	0.0208942	0.116058	0.0385204	0.0197306	0.109605	0.023659	0.0937797	0.27275	0.0541404	0.0161406	0.535708	0.0274814	0.00852425	0.131597	0.649685	3.21019	0.317711	0.342953	0.0948215	0.244515	4.90106
9	1	-13296.8	-13281	-15.7875	0.3191495	0.217813	0.124	0.117289	0.0980139	0.216743	0.0845508	0.334248	0.126093	0.0810546	0.270547	0.0759833	0.131372	0.113593	0.176091	0.139995	0.234941	0.195654	0.181725	0.217362	0.0062444	0.138718	0.0743201	0.323174	0.0923568	0.0787201	0.0435785	0.0471788	0.0572054	0.0264145	0.0295426	0.0571719	0.027087	0.0486966	0.0876458	0.0100892	0.14532	0.0681463	0.0415603	0.0400876	0.144998	0.110232	0.0141137	0.0338448	0.0774835	0.351921	0.0704856	3.53352e-06	0.446715	0.0533914	0.00697667	0.119451	0.626604	3.24697	0.318138	0.332089	0.0899841	0.259789	4.883515
