Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-18011.7	-17993.8	-17.8712	1	0.205798	0.0259959	0.0763791	0.126868	0.0146247	0.0231929	0.00659353	0.147584	0.245616	0.011787	0.181557	0.0271275	0.0901498	0.0920417	0.0133082	0.0563342	0.533555	0.129482	0.0172934	0.457549	0.0132808	0.00140026	0.15865	0.114221	0.00592963	0.0736054	0.0112637	0.0109503	0.0853565	0.0464683	0.0174142	0.00696098	0.365206	0.139624	0.217433	0.163765	0.134596	0.22676	0.152392	0.000625318	0.156851	0.202488	0.303807	0.387532	0.191391	0.212237	0.0230648	0.0832577	0.102518	0.136954	0.476752	1	2.38629	0.148425	0.347559	0.0588808	0.445136	0.5517758	5.091885
10	-14636.3	-14623.9	-12.3728	1.162115	0.163877	0.119016	0.290916	0.188506	0.0725613	0.152672	0.0129579	0.19611	0.281558	0.0227716	0.0865852	0.084446	0.111129	0.0954803	0.0210465	0.318704	0.213735	0.16791	0.0820751	0.102312	0.0258353	0.00400558	0.247459	0.045224	0.0209525	0.116165	0.0255927	0.0266373	0.103047	0.0628933	0.0143314	0.0183493	0.0393145	0.233759	0.107223	0.0881463	0.045824	0.20908	0.138428	0.00146881	0.020352	0.0403998	0.123194	0.0837106	0.570734	0.0691968	0.0370432	0.194515	0.0448006	0.16812	0.520589	1.02241	2.28888	0.228065	0.408052	0.059698	0.304184	0.5011552	4.54205
20	-14004.5	-13991.3	-13.2518	1.162115	0.214549	0.134383	0.294512	0.143306	0.0958955	0.125446	0.0203304	0.098625	0.117907	0.104351	0.127092	0.217815	0.118554	0.138633	0.126398	0.274766	0.217567	0.173607	0.127598	0.0631586	0.0766049	0.00962329	0.263145	0.0331052	0.0675199	0.0937243	0.0248626	0.0754323	0.106491	0.148744	0.0125127	0.0493821	0.0549533	0.107801	0.0396143	0.110303	0.0332073	0.116088	0.0676481	0.00153266	0.0162085	0.0398365	0.147107	0.0895811	0.598814	0.0321274	0.0186148	0.208156	0.0527072	0.16812	0.520589	1.02241	2.28888	0.23337	0.417544	0.0518736	0.297212	0.4761388	4.629941
30	-13438.6	-13424.5	-14.1156	1.0979	0.22023	0.13913	0.222105	0.133755	0.183758	0.0929907	0.0395227	0.114018	0.0949699	0.254915	0.112149	0.123593	0.149761	0.158765	0.125353	0.231027	0.203756	0.188371	0.15082	0.0985889	0.121781	0.0143547	0.35906	0.0138227	0.0339437	0.0849376	0.0279202	0.057463	0.0772111	0.144163	0.0290906	0.0962979	0.0183975	0.0321861	0.0173946	0.06467	0.101569	0.133848	0.141705	0.000204152	0.0189613	0.0466992	0.0430714	0.0671477	0.544486	0.0423995	0.0195446	0.273041	0.0533809	0.156063	0.504322	1.0145	2.32511	0.260962	0.401123	0.0536679	0.284247	0.402977	4.716328
40	-13275.2	-13258.2	-17.0164	1.168485	0.206873	0.116515	0.128184	0.160766	0.167938	0.0831429	0.21345	0.119139	0.119771	0.255098	0.0853243	0.114389	0.171617	0.147104	0.175931	0.22046	0.21406	0.211838	0.146553	0.07492	0.171578	0.0193193	0.344717	0.0210543	0.0203156	0.0640525	0.0431845	0.164167	0.0430564	0.0795366	0.0382314	0.0778882	0.0642154	0.00886022	0.0362193	0.191308	0.0673398	0.20606	0.0683584	0.000181844	0.071203	0.0370794	0.0354067	0.0665618	0.539735	0.0379703	0.0321595	0.270659	0.0529151	0.169295	0.522133	1.02314	2.28543	0.271739	0.417689	0.0649123	0.24566	0.4363098	5.006407
50	-13201.5	-13176.3	-25.1908	0.9172067	0.247681	0.161482	0.154046	0.171657	0.159815	0.119695	0.199156	0.120783	0.140878	0.323736	0.0974475	0.132873	0.142637	0.195434	0.175931	0.256359	0.218283	0.212762	0.266029	0.106014	0.140557	0.0850845	0.54598	0.0185161	0.0706837	0.0762946	0.0523178	0.0662768	0.0472434	0.133621	0.0477144	0.0488665	0.0487447	0.0134694	0.0587332	0.200201	0.063729	0.269564	0.0779868	0.000600166	0.0798672	0.0285857	0.0465123	0.0396507	0.538609	0.0378911	0.0150059	0.316913	0.0519305	0.120153	0.450369	0.984802	2.44468	0.271739	0.417689	0.0649123	0.24566	0.4363098	5.823848
60	-13155.5	-13130	-25.4787	0.9834627	0.208526	0.132815	0.199287	0.135935	0.234295	0.10645	0.236975	0.139649	0.134278	0.293599	0.125373	0.133059	0.143629	0.174319	0.222653	0.237699	0.240787	0.178038	0.229031	0.0816942	0.100456	0.102268	0.504187	0.0264184	0.123532	0.083367	0.0295766	0.159014	0.0457309	0.118867	0.0963492	0.0762548	0.0620934	0.0267819	0.0407116	0.205747	0.0330946	0.141553	0.0956319	0.00396909	0.0838529	0.0301218	0.0749677	0.0518194	0.389788	0.0482618	0.0183334	0.428352	0.063446	0.133642	0.471724	0.997205	2.39743	0.311723	0.390585	0.0664997	0.231192	0.3524241	5.85264
70	-13163.9	-13130.1	-33.7335	0.8006304	0.260068	0.186676	0.149461	0.132981	0.235009	0.104681	0.290345	0.183674	0.138829	0.369621	0.108639	0.141837	0.229028	0.168428	0.22021	0.331602	0.345137	0.1818	0.259332	0.110334	0.155529	0.0955905	0.562198	0.0171928	0.146827	0.0467352	0.0695315	0.124406	0.0705404	0.216234	0.0913559	0.0791397	0.0454288	0.0302473	0.0325278	0.176548	0.0260272	0.188645	0.0861223	0.00843998	0.135518	0.0397671	0.0858733	0.042498	0.368925	0.0527655	0.0194387	0.454176	0.0621973	0.0956929	0.407388	0.957129	2.53979	0.311723	0.390585	0.0664997	0.231192	0.3524241	6.678115
80	-13154.7	-13121.2	-33.4678	0.8606585	0.264332	0.143552	0.18958	0.1741	0.127238	0.194494	0.264815	0.170682	0.149233	0.343278	0.0959714	0.164391	0.166722	0.20799	0.245575	0.353401	0.23272	0.206097	0.280761	0.116837	0.162531	0.0745624	0.568403	0.0044364	0.198067	0.0839565	0.049078	0.131208	0.0382723	0.187686	0.10385	0.0613098	0.0864123	0.0144094	0.0169064	0.212213	0.0176931	0.192709	0.072608	0.0300767	0.106325	0.0572217	0.0898419	0.0425576	0.369442	0.0528395	0.0185544	0.454812	0.0617939	0.108385	0.430456	0.972443	2.48872	0.313742	0.38944	0.0663046	0.230514	0.3524241	6.651545
90	-13152.8	-13118.4	-34.3454	0.9234206	0.32408	0.128184	0.178432	0.134215	0.220559	0.147968	0.250899	0.188994	0.127006	0.297658	0.168975	0.147135	0.207097	0.260023	0.255514	0.291493	0.235304	0.24572	0.253657	0.0780497	0.170912	0.150952	0.50343	0.010012	0.193832	0.0414944	0.0592327	0.155318	0.102331	0.16071	0.0398419	0.0612335	0.0759845	0.00525157	0.0316417	0.318239	0.0292397	0.192709	0.0698883	0.0794987	0.0552938	0.020164	0.0711345	0.0425574	0.365163	0.0528393	0.022836	0.45481	0.0617937	0.121432	0.452459	0.986054	2.44006	0.313742	0.38944	0.0663046	0.230514	0.3670976	6.739307
