Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-19158.4	-19143.6	-14.8016	1	0.159992	0.0652229	0.0568081	0.00173303	0.0696968	0.0409237	0.329311	0.101261	0.0577879	0.00236405	0.161874	0.0899196	0.11625	0.0133026	0.157036	0.0490715	0.018758	0.0117142	0.522956	0.038098	0.0680552	0.109098	0.00424784	0.0536174	0.306222	0.0680493	0.00688102	0.224906	0.023283	0.0635735	0.040318	0.246572	0.0141307	0.349213	0.00508957	0.054663	0.440805	0.124922	0.0781926	0.100262	0.29593	0.00195236	0.0408618	0.297305	0.0230824	0.24106	0.0660418	0.294243	0.0782677	0.136954	0.476752	1	2.38629	0.39126	0.148044	0.309615	0.151082	4.784927
10	-14825	-14813	-12.0285	0.2977598	0.15791	0.141807	0.149712	0.00273087	0.135628	0.111414	0.430397	0.268461	0.245523	0.00846314	0.131334	0.123606	0.102318	0.0937509	0.154249	0.106768	0.0730795	0.108352	0.197066	0.0995315	0.156654	0.111293	0.00829061	0.0197382	0.180167	0.0355409	0.00700145	0.0733726	0.0389888	0.069616	0.0352614	0.0876065	0.0167226	0.0544892	0.0208429	0.0349476	0.0649684	0.252312	0.200446	0.0337205	0.1014	0.00232769	0.0598106	0.218164	0.190708	0.101368	0.0170052	0.455954	0.0168003	0.00511535	0.102753	0.592021	3.30011	0.174962	0.355278	0.165	0.30476	4.507619
20	-14128.5	-14113.6	-14.9228	0.3392852	0.160002	0.147574	0.207728	0.00890439	0.153885	0.088916	0.451767	0.0885901	0.086564	0.0368242	0.170954	0.10033	0.130738	0.098675	0.168529	0.148751	0.225509	0.178629	0.401828	0.122688	0.134437	0.113936	0.0171026	0.0366157	0.148084	0.115424	0.00336397	0.0477929	0.0731106	0.0826387	0.0260666	0.0786425	0.0054282	0.012036	0.0333692	0.0519713	0.0888898	0.303496	0.159179	0.0247561	0.0524332	0.00139293	0.00948983	0.158743	0.279396	0.0426339	0.0169314	0.477671	0.0246254	0.0090158	0.135204	0.656247	3.19953	0.309761	0.307748	0.115649	0.266841	4.797043
30	-13559.6	-13544.5	-15.0731	0.3197004	0.185494	0.119746	0.146413	0.0362134	0.107729	0.130192	0.177757	0.103615	0.090459	0.200641	0.198987	0.135598	0.189412	0.235749	0.17713	0.225454	0.169173	0.169314	0.380588	0.108592	0.181246	0.140459	0.0815875	0.0202112	0.149753	0.0571667	0.00289763	0.0253201	0.125112	0.176845	0.0178179	0.0372582	0.0321233	0.0328837	0.0542811	0.0381322	0.0801878	0.102774	0.105563	0.0196025	0.0162552	0.00873167	0.0176073	0.0965273	0.261266	0.0541529	0.0247349	0.535831	0.0274877	0.0070288	0.119882	0.627451	3.24564	0.302317	0.326336	0.11287	0.258477	4.812072
40	-13318.5	-13302.5	-15.9629	0.3346687	0.210428	0.159395	0.165141	0.0892978	0.16695	0.111769	0.12383	0.106269	0.110611	0.253845	0.117438	0.149405	0.16352	0.217682	0.17713	0.176798	0.210664	0.151908	0.146162	0.110117	0.159293	0.140459	0.50556	0.00940429	0.0458227	0.0382755	0.00186263	0.0250296	0.0693089	0.176845	0.0209898	0.073722	0.0404288	0.0223662	0.030723	0.0299985	0.0641437	0.0208942	0.116058	0.0385204	0.0197306	0.109605	0.023659	0.0937797	0.27275	0.0541404	0.0161406	0.535708	0.0274814	0.00852425	0.131597	0.649685	3.21019	0.317711	0.342953	0.0948215	0.244515	4.90106
50	-13268.4	-13245.3	-23.1167	0.3277462	0.277978	0.18998	0.153445	0.112702	0.18228	0.114487	0.198685	0.137451	0.170312	0.354639	0.0726376	0.123198	0.210176	0.143479	0.217715	0.270344	0.228989	0.185219	0.238767	0.108743	0.132471	0.109875	0.444568	0.0318162	0.0359869	0.029884	0.00684122	0.0142441	0.103488	0.143604	0.0540572	0.0953256	0.132891	0.0569743	0.0571576	0.0298345	0.077254	0.0199326	0.106678	0.0757697	0.0274935	0.117646	0.0214133	0.0755063	0.292955	0.0551734	0.0124293	0.53543	0.0285064	0.00781379	0.126181	0.639587	3.22642	0.317711	0.342953	0.0948215	0.244515	5.616431
60	-13217.8	-13195.9	-21.8902	0.3355777	0.201513	0.135266	0.152206	0.137639	0.177109	0.123784	0.197999	0.137451	0.107186	0.26349	0.125109	0.120371	0.207997	0.180542	0.179085	0.28945	0.262984	0.202241	0.17429	0.0937473	0.165645	0.0753563	0.426822	0.0392689	0.0926358	0.0279874	0.0328098	0.0238128	0.0938966	0.192621	0.017488	0.09284	0.207688	0.0648489	0.0523663	0.0051629	0.0487998	0.043096	0.128914	0.0497501	0.0480921	0.0354422	0.0589821	0.0750447	0.291164	0.0548361	0.0123533	0.532157	0.0344454	0.00861992	0.132308	0.650987	3.20809	0.318485	0.343789	0.0926158	0.245111	5.493787
70	-13210.7	-13193.2	-17.4696	0.3355777	0.199134	0.0899555	0.148984	0.101941	0.181806	0.0903803	0.190028	0.122428	0.126974	0.272474	0.096343	0.142921	0.15903	0.148289	0.171743	0.231771	0.236273	0.178836	0.168029	0.106967	0.0989846	0.106922	0.352245	0.0683363	0.128214	0.0558308	0.0739815	0.0079537	0.105748	0.162666	0.0114937	0.111868	0.150209	0.0554508	0.0420608	0.00526863	0.0799506	0.0170445	0.0893045	0.0547006	0.0115202	0.0383815	0.059285	0.0745825	0.289371	0.0544984	0.0224265	0.528879	0.0302428	0.00861992	0.132308	0.650987	3.20809	0.330459	0.356714	0.0960979	0.216729	5.051726
80	-13219.3	-13201.7	-17.5685	0.3489757	0.17697	0.176861	0.151049	0.106439	0.133392	0.152987	0.171577	0.102904	0.106463	0.23894	0.0867772	0.135042	0.119188	0.175398	0.171743	0.277692	0.210197	0.223247	0.200791	0.0895563	0.12486	0.0899139	0.345573	0.0302375	0.093172	0.0569538	0.0782313	0.00620885	0.132446	0.0969401	0.0183799	0.0877734	0.169541	0.0621516	0.051731	0.00169584	0.0669463	0.00792281	0.174145	0.0462665	0.0351652	0.0379608	0.0401822	0.0728452	0.294547	0.0532289	0.0219041	0.516559	0.0409159	0.0100931	0.142759	0.669592	3.17756	0.326714	0.352672	0.0950089	0.225605	5.061612
90	-13214.7	-13197	-17.7167	0.3389913	0.209237	0.109401	0.147792	0.157881	0.124534	0.0966577	0.181274	0.122112	0.127868	0.263239	0.0809599	0.154146	0.162657	0.144078	0.211506	0.198863	0.210311	0.160146	0.162909	0.0792564	0.116767	0.0735751	0.406021	0.0731463	0.145338	0.038782	0.0736377	0.00618093	0.131617	0.148927	0.0232398	0.0617747	0.166492	0.0621516	0.0663736	0.0033169	0.0489272	0.00767173	0.140275	0.036148	0.0397535	0.0244724	0.0770166	0.0726911	0.293923	0.0531163	0.0158432	0.523597	0.0408293	0.0089841	0.134975	0.655833	3.20021	0.326714	0.352672	0.0950089	0.225605	5.076433
