Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24523.6	-24519.8	-3.78943	0.0953965	0.21412	0.056073	0.030987	0.0324292	0.0117221	0.185232	0.166263	0.044685	0.00418349	0.00783816	0.0773127	0.730414	0.141917	0.0118854	0.253465	0.190484	0.218673	0.399093	0.374275	0.0725759	0.0237637	0.0191054	0.0648705	0.180047	0.0574213	0.00377014	0.0912172	0.0254063	0.0516059	0.142231	0.233815	0.148387	0.0336684	0.111626	0.044096	0.0798875	0.0183702	0.00241886	0.120132	0.404193	0.0855984	0.265122	0.263894	0.300955	0.0647495	0.0211783	0.221843	0.127381	0.154193	0.111444	0.667058	0.0673045	5.525776
10	-16052.9	-16065.4	12.4971	0.186363	0.117534	0.205372	0.121542	0.0488315	0.025359	0.179071	0.0764474	0.105271	0.0721143	0.113972	0.0935048	0.179079	0.117258	0.0819364	0.116025	0.160063	0.114268	0.235273	0.21413	0.116439	0.104291	0.0243132	0.1095	0.0270835	0.0256988	0.0107399	0.0534142	0.0447775	0.0128224	0.105302	0.0912576	0.099255	0.0187591	0.0522156	0.0226132	0.0237213	0.01531	0.022208	0.0675772	0.0972217	0.0765886	0.112598	0.215654	0.266582	0.0776563	0.0399553	0.40012	3.20049e-05	0.2802	0.247184	0.160821	0.311794	3.89712
20	-15374.1	-15392.2	18.0575	0.175011	0.102622	0.231093	0.0929809	0.100389	0.0691404	0.138781	0.0854507	0.0830528	0.194567	0.088937	0.0874555	0.0959736	0.0905208	0.100279	0.141272	0.118121	0.114673	0.16669	0.0845673	0.0772905	0.0896432	0.11949	0.0697156	0.0270835	0.0169513	0.0123677	0.0282469	0.0731455	0.0537113	0.0508257	0.0412005	0.0764508	0.00786436	0.0598808	0.0106038	0.0196621	0.00980631	0.0173597	0.0188182	0.0360412	0.0386457	0.0247044	0.22419	0.258647	0.0753446	0.0518681	0.388209	0.00174136	0.271382	0.233249	0.144621	0.350748	3.341086
30	-14767.3	-14786.4	19.0824	0.135841	0.102622	0.130896	0.113628	0.115015	0.0828303	0.144318	0.0494874	0.112328	0.17529	0.0926305	0.101926	0.107945	0.109057	0.116012	0.141272	0.122169	0.103823	0.135655	0.103331	0.0738963	0.0977275	0.153718	0.0473888	0.0183488	0.00517033	0.0366247	0.0197738	0.0461511	0.0416282	0.0508257	0.0198248	0.0215636	0.0273468	0.0517129	0.010924	0.0224168	0.0253072	0.0235904	0.0176014	0.0399237	0.01914	0.0719161	0.214913	0.285199	0.0759789	0.0389425	0.372146	0.0128194	0.239891	0.248772	0.134154	0.377182	3.238596
40	-14619.9	-14639.6	19.6617	0.14621	0.102622	0.0918296	0.113918	0.116342	0.0639816	0.133745	0.0745371	0.0878884	0.199181	0.060959	0.0704947	0.0971568	0.112634	0.107407	0.10895	0.117315	0.136443	0.131892	0.0867149	0.0880105	0.0824184	0.18173	0.0251167	0.0166264	0.0115601	0.030281	0.0426692	0.0541602	0.0447304	0.0537827	0.0260904	0.0076599	0.0469403	0.0346219	0.0409819	0.0182974	0.0229295	0.0265719	0.0383538	0.024913	0.0135526	0.0884481	0.219422	0.291182	0.0717363	0.0270851	0.379953	0.0106219	0.239891	0.248772	0.134154	0.377182	3.180667
50	-14552.5	-14571.9	19.3956	0.117813	0.128715	0.113096	0.102942	0.136051	0.0807441	0.108609	0.082151	0.0881227	0.207753	0.0761444	0.0767476	0.109495	0.119409	0.0984065	0.143791	0.121164	0.100059	0.112341	0.0927377	0.0939521	0.0941498	0.158239	0.0223781	0.0063017	0.0149331	0.0389674	0.0364199	0.0517209	0.0252413	0.0688676	0.0121681	0.0178342	0.0613974	0.0286494	0.0204622	0.0284935	0.0168448	0.028745	0.0402448	0.030692	0.0378663	0.0564122	0.221241	0.293596	0.0598309	0.0303615	0.383102	0.0118686	0.238608	0.247441	0.133436	0.380515	3.207273
60	-14521.1	-14541.5	20.3975	0.113256	0.104153	0.101909	0.100453	0.114627	0.0650809	0.113419	0.0920375	0.0791291	0.179761	0.0781121	0.0793944	0.115298	0.114353	0.0912075	0.143791	0.115192	0.11204	0.134811	0.0835384	0.0723748	0.0755618	0.169274	0.0263427	0.0130076	0.022178	0.0187017	0.0411293	0.0322312	0.0347376	0.0625921	0.0106636	0.0351989	0.0403656	0.0339307	0.0269309	0.0246653	0.0190906	0.0188306	0.0371656	0.0465748	0.0643196	0.0496556	0.220011	0.291965	0.0618095	0.0272218	0.380974	0.0180189	0.233682	0.237716	0.147479	0.381122	3.107085
70	-14526.9	-14547.9	21.0295	0.125049	0.104153	0.097793	0.120203	0.11986	0.0731769	0.108329	0.0936044	0.0883996	0.158017	0.0738368	0.0673475	0.0977244	0.0952136	0.10793	0.154745	0.10934	0.103754	0.107924	0.0763767	0.0892834	0.0911432	0.151427	0.0409369	0.0246683	0.0223547	0.0343819	0.0244462	0.0200303	0.0243513	0.0435658	0.01439	0.0450486	0.048502	0.0263555	0.00518627	0.0280576	0.0134333	0.0199774	0.0372037	0.0360407	0.0783158	0.0420037	0.218752	0.296019	0.0614555	0.0270659	0.378792	0.0179157	0.233682	0.237716	0.147479	0.381122	3.043881
80	-14507.1	-14527.5	20.3215	0.129488	0.118979	0.124084	0.101367	0.124096	0.0727042	0.132524	0.0867501	0.0867729	0.170138	0.0844102	0.0747319	0.094763	0.097892	0.115334	0.12632	0.117887	0.0998019	0.140321	0.0687902	0.107559	0.0763216	0.184158	0.0256169	0.0238486	0.0120775	0.038066	0.0281588	0.0159464	0.0280517	0.0315302	0.0173943	0.0268917	0.0356714	0.0217454	0.00956699	0.0383098	0.0126285	0.0175924	0.0309482	0.0346337	0.0949306	0.0358822	0.213562	0.288996	0.0599975	0.0280918	0.394676	0.0146777	0.233682	0.237716	0.147479	0.381122	3.114685
90	-14499.3	-14519.5	20.2316	0.11517	0.100001	0.104154	0.0978506	0.121128	0.0683097	0.11478	0.0619196	0.0840872	0.180594	0.0774836	0.0779393	0.110495	0.097892	0.11536	0.137003	0.129365	0.0977447	0.135418	0.079092	0.082469	0.0915221	0.145472	0.0187536	0.0147924	0.0121581	0.042651	0.0334293	0.0128716	0.0386045	0.0487852	0.0229531	0.0429484	0.0401998	0.032834	0.033071	0.0466481	0.0201302	0.0120083	0.0409043	0.0375931	0.100743	0.0463398	0.213562	0.288996	0.0599975	0.0280918	0.394676	0.0146777	0.232501	0.236515	0.151789	0.379195	3.12367
