Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-21397.9	-21393.4	-4.51128	0.035581	0.0593491	0.307146	0.051223	0.0264707	0.0837473	0.0522222	0.119345	0.0358777	0.121736	0.306395	0.0620227	0.0176904	0.244238	0.0188702	0.1442	0.0710502	0.0617967	0.164471	0.0640479	0.30611	0.099578	0.000373112	0.221791	0.0596184	0.176166	0.511557	0.0212307	0.0656612	0.0857733	0.0383904	0.044082	0.0442709	0.0157521	0.170597	0.204627	0.0844793	0.220574	0.262474	0.0161914	0.378593	0.0122659	0.0315783	0.0717275	0.391626	0.291638	0.245008	5.119212
1	1	-21909.2	-21918.3	9.1356	0.0560402	0.000120608	0.173618	0.0390619	0.0117444	0.0323421	0.0757023	0.125488	0.0416545	0.144562	0.0789739	0.0847451	0.0722366	0.102014	0.046658	0.122287	0.0678055	0.0531413	0.00578558	0.00338987	0.105576	0.0117117	0.258974	0.214787	0.00422812	0.0756225	0.068901	0.0457198	0.028034	0.0598033	0.0320893	0.0465126	0.118413	0.0674604	0.199305	0.0792081	0.084849	0.356801	0.0368059	0.210126	0.00253441	0.279278	0.0304123	0.0745587	0.0783631	0.345906	0.501173	3.754523
2	0	-16457.7	-16465.9	8.19086	0.0950645	0.124875	0.187172	0.0853577	0.0714187	0.158164	0.163343	0.0820505	0.0952276	0.145233	0.146488	0.0654475	0.0962696	0.110603	0.0370602	0.157588	0.16472	0.0896364	0.122751	0.0934635	0.15334	0.227981	0.00055819	0.0638151	0.0120046	0.0545393	0.190681	0.0475599	0.0681027	0.0162343	0.0320208	0.0337865	0.0286307	0.0243983	0.106801	0.0747557	0.0335653	0.0736817	0.115687	0.00414143	0.163727	0.0150499	0.016003	0.189614	0.289921	0.11832	0.402145	3.848998
3	1	-16718	-16729.3	11.3336	0.19843	0.000134204	0.176704	0.0865361	0.0539438	0.0835982	0.174017	0.159211	0.114641	0.154141	0.113566	0.118422	0.0879294	0.095263	0.106114	0.139134	0.0796065	0.125122	0.0166138	0.0215641	0.108798	0.0611118	0.195755	0.110718	0.00624765	0.0468122	0.0311633	0.0754371	0.0223589	0.0875595	0.0389839	0.0549571	0.0380178	0.0305662	0.06955	0.0427913	0.0618157	0.170964	0.00987297	0.0939916	0.00659607	0.051833	0.0141344	0.301904	0.274551	0.121291	0.302253	3.534726
4	0	-15831.3	-15844.2	12.9278	0.138377	0.0914378	0.101578	0.0889344	0.106645	0.0784872	0.123342	0.0701723	0.0923704	0.166602	0.146488	0.073155	0.0759792	0.112084	0.071041	0.103724	0.114761	0.140118	0.110639	0.0848438	0.132036	0.288361	0.000937405	0.0725087	0.00648567	0.0187459	0.0559072	0.0321041	0.0358838	0.00735197	0.0349693	0.0276499	0.0384448	0.0236021	0.0960492	0.0592279	0.0281717	0.0224328	0.0628346	0.0460094	0.147395	0.0184017	0.0290152	0.219509	0.300598	0.0969568	0.382936	3.375304
5	1	-15777.4	-15791.2	13.8235	0.141579	0.000141066	0.188746	0.0860463	0.12609	0.0798186	0.121814	0.0781727	0.102214	0.175577	0.073169	0.098035	0.122583	0.0784345	0.104112	0.110933	0.0967306	0.1021	0.0213485	0.0924137	0.0794507	0.0939958	0.202527	0.067895	0.0144157	0.042551	0.066136	0.0413233	0.0361437	0.107317	0.0358645	0.0406976	0.0286229	0.0310141	0.0742202	0.0577235	0.0558469	0.0813841	0.00749325	0.0807675	0.00236585	0.0322791	0.00564044	0.189382	0.347121	0.106785	0.356711	3.285733
6	0	-15757.9	-15771.4	13.5061	0.131357	0.107637	0.0908562	0.0975407	0.105688	0.0797055	0.13215	0.102842	0.0883596	0.181208	0.0708394	0.0874552	0.0988692	0.109228	0.110776	0.123643	0.133645	0.137152	0.105202	0.0745843	0.0664285	0.267562	0.00171068	0.0602331	0.0205769	0.031732	0.0423904	0.0427302	0.0366	0.0251615	0.0335748	0.0143868	0.0547728	0.0409766	0.0769584	0.0259042	0.0125424	0.0431439	0.0314074	0.046555	0.137595	0.0182596	0.0175369	0.219743	0.299851	0.0970603	0.383345	3.317477
7	1	-15572	-15586	14.0007	0.1334	0.000217081	0.186019	0.0893127	0.102891	0.0933855	0.107863	0.0998417	0.102214	0.184551	0.0776079	0.070982	0.0875042	0.0833794	0.101045	0.113581	0.123272	0.122595	0.14208	0.0955915	0.0824043	0.102291	0.156017	0.0836466	0.0303693	0.0266576	0.0427009	0.0415427	0.0361749	0.114269	0.0459138	0.0324054	0.0254742	0.021452	0.049	0.0301178	0.0474566	0.0294525	0.0226831	0.0558392	0.0161354	0.0336684	0.0250031	0.241145	0.311043	0.0967826	0.351029	3.268009
8	0	-15749.7	-15763.4	13.6219	0.131357	0.0853731	0.0885583	0.105449	0.10535	0.0659969	0.12492	0.0849345	0.0949563	0.172679	0.0889502	0.0703848	0.0988692	0.0924573	0.0884459	0.134577	0.133645	0.111106	0.124732	0.0825248	0.11205	0.247479	0.00242579	0.0492258	0.0323487	0.0291385	0.0448923	0.0488937	0.0298346	0.0156617	0.0274125	0.0336061	0.0423553	0.042988	0.0873422	0.0353021	0.0106071	0.0275892	0.0400919	0.0648234	0.149848	0.0266895	0.0200168	0.221194	0.29523	0.0977009	0.385875	3.30589
9	1	-15560.2	-15574	13.8724	0.128397	0.000972893	0.233572	0.0924806	0.130484	0.0768872	0.122764	0.0719347	0.0980413	0.197047	0.0978482	0.0918724	0.0935301	0.104728	0.106175	0.117918	0.131825	0.110384	0.113737	0.0603063	0.0832052	0.077407	0.164204	0.0740097	0.0395033	0.0331627	0.0427009	0.0574046	0.0388585	0.0826552	0.026346	0.0443977	0.0440924	0.0169324	0.0650091	0.0378131	0.0342312	0.0233514	0.0333102	0.0213434	0.0258439	0.0189407	0.0152204	0.225965	0.291463	0.0906902	0.391882	3.280847
