Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21909.2	-21918.3	9.1356	0.0560402	0.000120608	0.173618	0.0390619	0.0117444	0.0323421	0.0757023	0.125488	0.0416545	0.144562	0.0789739	0.0847451	0.0722366	0.102014	0.046658	0.122287	0.0678055	0.0531413	0.00578558	0.00338987	0.105576	0.0117117	0.258974	0.214787	0.00422812	0.0756225	0.068901	0.0457198	0.028034	0.0598033	0.0320893	0.0465126	0.118413	0.0674604	0.199305	0.0792081	0.084849	0.356801	0.0368059	0.210126	0.00253441	0.279278	0.0304123	0.0745587	0.0783631	0.345906	0.501173	3.754523
10	-16718	-16729.3	11.3336	0.19843	0.000134204	0.176704	0.0865361	0.0539438	0.0835982	0.174017	0.159211	0.114641	0.154141	0.113566	0.118422	0.0879294	0.095263	0.106114	0.139134	0.0796065	0.125122	0.0166138	0.0215641	0.108798	0.0611118	0.195755	0.110718	0.00624765	0.0468122	0.0311633	0.0754371	0.0223589	0.0875595	0.0389839	0.0549571	0.0380178	0.0305662	0.06955	0.0427913	0.0618157	0.170964	0.00987297	0.0939916	0.00659607	0.051833	0.0141344	0.301904	0.274551	0.121291	0.302253	3.534726
20	-15777.4	-15791.2	13.8235	0.141579	0.000141066	0.188746	0.0860463	0.12609	0.0798186	0.121814	0.0781727	0.102214	0.175577	0.073169	0.098035	0.122583	0.0784345	0.104112	0.110933	0.0967306	0.1021	0.0213485	0.0924137	0.0794507	0.0939958	0.202527	0.067895	0.0144157	0.042551	0.066136	0.0413233	0.0361437	0.107317	0.0358645	0.0406976	0.0286229	0.0310141	0.0742202	0.0577235	0.0558469	0.0813841	0.00749325	0.0807675	0.00236585	0.0322791	0.00564044	0.189382	0.347121	0.106785	0.356711	3.285733
30	-15572	-15586	14.0007	0.1334	0.000217081	0.186019	0.0893127	0.102891	0.0933855	0.107863	0.0998417	0.102214	0.184551	0.0776079	0.070982	0.0875042	0.0833794	0.101045	0.113581	0.123272	0.122595	0.14208	0.0955915	0.0824043	0.102291	0.156017	0.0836466	0.0303693	0.0266576	0.0427009	0.0415427	0.0361749	0.114269	0.0459138	0.0324054	0.0254742	0.021452	0.049	0.0301178	0.0474566	0.0294525	0.0226831	0.0558392	0.0161354	0.0336684	0.0250031	0.241145	0.311043	0.0967826	0.351029	3.268009
40	-15560.2	-15574	13.8724	0.128397	0.000972893	0.233572	0.0924806	0.130484	0.0768872	0.122764	0.0719347	0.0980413	0.197047	0.0978482	0.0918724	0.0935301	0.104728	0.106175	0.117918	0.131825	0.110384	0.113737	0.0603063	0.0832052	0.077407	0.164204	0.0740097	0.0395033	0.0331627	0.0427009	0.0574046	0.0388585	0.0826552	0.026346	0.0443977	0.0440924	0.0169324	0.0650091	0.0378131	0.0342312	0.0233514	0.0333102	0.0213434	0.0258439	0.0189407	0.0152204	0.225965	0.291463	0.0906902	0.391882	3.280847
50	-15546.3	-15560.3	13.9999	0.126728	0.00282006	0.193627	0.120236	0.105494	0.0836455	0.117762	0.0769751	0.080993	0.166361	0.0700966	0.0927807	0.100266	0.092068	0.126565	0.107352	0.117288	0.10553	0.123685	0.0858765	0.0776422	0.0955005	0.156333	0.0835923	0.0595071	0.0234508	0.0472917	0.0563131	0.040953	0.0915644	0.028024	0.0340441	0.0413933	0.0234559	0.0569534	0.0378131	0.0516601	0.042148	0.0373973	0.01415	0.0283082	0.019885	0.0245692	0.222036	0.286395	0.0891132	0.402455	3.268098
60	-15505.1	-15519.4	14.323	0.14182	0.00630847	0.179027	0.125947	0.108965	0.0836455	0.131979	0.0724537	0.10253	0.17096	0.0717344	0.0793604	0.081127	0.100997	0.100577	0.108537	0.143844	0.122096	0.107555	0.0858765	0.0864891	0.0666717	0.153442	0.0624251	0.0562202	0.0268485	0.0436673	0.0488738	0.0412374	0.0670084	0.0312368	0.0202875	0.0471935	0.0347061	0.0668311	0.0517921	0.0390176	0.0329879	0.0269838	0.0273651	0.0293275	0.0393696	0.0104666	0.222036	0.286395	0.0891132	0.402455	3.235789
70	-15433.6	-15449.3	15.6562	0.146812	0.0217345	0.0634398	0.106328	0.118003	0.0902295	0.122759	0.076802	0.115968	0.179007	0.0709453	0.07831	0.0762966	0.082206	0.097037	0.100391	0.147974	0.110021	0.110798	0.077997	0.0662368	0.0747269	0.169253	0.0689533	0.0662094	0.0218916	0.0628332	0.0406716	0.0351025	0.0412474	0.0304032	0.0628009	0.0469062	0.0247663	0.05301	0.028078	0.0458252	0.033405	0.0426837	0.0235237	0.0284345	0.027747	0.0146979	0.212882	0.299253	0.102004	0.385862	3.102465
80	-15398	-15412.8	14.8179	0.126981	0.0422276	0.0935164	0.102421	0.118003	0.101111	0.144697	0.0907236	0.0992821	0.156119	0.0859172	0.0839007	0.0977147	0.10274	0.12079	0.116443	0.139137	0.101313	0.133994	0.0571401	0.0804062	0.0870553	0.169424	0.0786181	0.0452599	0.0223968	0.0495101	0.0374954	0.0336949	0.041299	0.0289181	0.0488479	0.040421	0.0181361	0.0763501	0.0413958	0.0322703	0.0340791	0.0335201	0.0126976	0.0235376	0.0246991	0.0120917	0.212882	0.299253	0.102004	0.385862	3.186295
90	-15379	-15394.2	15.2568	0.12461	0.127881	0.092512	0.110536	0.0940858	0.0691011	0.14045	0.0777708	0.0999156	0.17345	0.0805377	0.0961348	0.0754326	0.10278	0.0975947	0.107803	0.132979	0.09903	0.110987	0.0797396	0.0724236	0.0812812	0.160814	0.08582	0.0495364	0.0237651	0.0410768	0.0401987	0.0429523	0.0306356	0.0229316	0.0371709	0.0493624	0.0147527	0.0535818	0.0361512	0.0399669	0.0300497	0.0226542	0.0343104	0.02038	0.0375576	0.0217022	0.226568	0.294049	0.10023	0.379152	3.142406
