Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-24104.5	-24111.5	6.99186	0.0328804	0.0732737	0.0131815	0.173622	0.0284547	0.0967045	0.266241	0.0337338	0.0433417	0.00369919	0.174776	0.0748545	0.0209134	0.373068	0.169222	0.0328614	0.0201802	0.0606294	0.0652636	0.0496459	0.0625624	0.0397438	0.314913	0.0297404	0.0769364	0.31616	0.251843	0.0437789	0.00833336	0.0915985	0.0359775	0.439981	0.109996	0.0695422	0.020606	0.163893	0.143522	0.0774201	0.0111575	0.0272961	0.193596	0.0444787	0.0680236	0.054874	0.320205	0.222536	0.1783	0.142672	0.081413	0.479168	0.174005	0.321154	0.0256733	4.447647
1	1	-19319.1	-19326.1	7.0686	0.058686	0.0420707	0.363637	0.0311017	0.00352946	0.0424667	0.0777409	0.042174	0.0500828	0.0496544	0.0254732	0.222942	0.0685166	0.13335	0.177948	0.0660408	0.334868	0.0785526	0.382533	0.0500007	0.0460987	0.0572685	0.182893	0.00238275	0.00418518	0.0593846	0.0568019	0.282402	0.0419559	0.0874496	0.0574402	0.303553	0.238814	0.141916	0.175093	0.00481398	0.0848175	0.0717334	0.0257775	0.139476	0.0433938	0.0210965	0.00985673	0.219541	0.224086	0.113732	0.209298	0.2041	0.0292426	0.181808	0.22097	0.126809	0.470414	4.439973
2	0	-15508.5	-15523	14.5298	0.129284	0.102363	0.0393469	0.124124	0.0850788	0.104944	0.217368	0.0816122	0.086132	0.00773139	0.0987937	0.0916438	0.109865	0.228779	0.115732	0.0578193	0.111978	0.118863	0.145648	0.0862282	0.103394	0.0419976	0.23849	0.02098	0.107413	0.10724	0.0770931	0.029672	0.00939329	0.10154	0.0196179	0.192327	0.0665185	0.120187	0.0334844	0.040308	0.0332079	0.0392068	0.0206027	0.0494949	0.0334671	0.0325891	0.0322904	0.257209	0.245982	0.101086	0.0291801	0.35428	0.0122625	0.319812	0.264739	0.141538	0.273912	3.69385
3	1	-15512.3	-15529.1	16.8131	0.16097	0.112083	0.181401	0.0395595	0.0133164	0.117755	0.100925	0.0894065	0.0999106	0.112935	0.0802821	0.126781	0.10146	0.125048	0.114236	0.103211	0.113921	0.133447	0.140936	0.127701	0.0857289	0.0763029	0.195472	0.00846188	0.00742873	0.0787009	0.0562498	0.191352	0.0180466	0.00920778	0.087196	0.0949419	0.0616615	0.0648103	0.0270523	0.0105769	0.0599884	0.0286597	0.0334908	0.0349873	0.0139481	0.0172384	0.00873683	0.201648	0.28796	0.0436926	0.0405007	0.41538	0.0108191	0.257642	0.243582	0.150196	0.34858	3.465527
4	0	-14707.5	-14727.4	19.9474	0.155382	0.11111	0.113786	0.0789831	0.0979819	0.0730322	0.113356	0.0600008	0.0867493	0.0311413	0.0776066	0.0885699	0.0743658	0.169003	0.0922779	0.12699	0.13276	0.111307	0.11936	0.0765775	0.0804025	0.0679108	0.177071	0.0459381	0.0513621	0.0553661	0.0292	0.0543486	0.011439	0.0615944	0.0170919	0.0956076	0.0398498	0.0552994	0.0657496	0.0567252	0.0204841	0.0172817	0.0460739	0.0321273	0.0232301	0.0196424	0.0379532	0.23989	0.257639	0.0666302	0.0284194	0.389595	0.017826	0.256501	0.242631	0.170639	0.330229	3.152089
5	1	-14625.1	-14646.3	21.2295	0.114985	0.105402	0.12712	0.103003	0.0249574	0.0921598	0.0973462	0.0636189	0.100302	0.15854	0.0571452	0.0895441	0.103604	0.101355	0.106104	0.132219	0.124668	0.123018	0.146182	0.0591784	0.0743057	0.0869644	0.178122	0.025157	0.0207036	0.0448671	0.0201894	0.0560866	0.0393531	0.00661159	0.0612358	0.0229197	0.0459309	0.0603236	0.0534908	0.0187335	0.029489	0.0301801	0.0330976	0.027053	0.0142308	0.0267692	0.0176101	0.197924	0.282642	0.0629808	0.0397528	0.405551	0.0111489	0.259711	0.245538	0.143373	0.351378	3.023878
6	0	-14539.5	-14560.6	21.1331	0.127516	0.0773973	0.099392	0.0816322	0.119048	0.0618169	0.150895	0.0747396	0.0885707	0.14859	0.068958	0.0972768	0.0962628	0.111448	0.0930933	0.125221	0.117074	0.118754	0.113078	0.0613636	0.0932842	0.0857027	0.160565	0.0423335	0.0183356	0.0382194	0.0229863	0.0586069	0.0116765	0.0226133	0.0314806	0.0318135	0.0606621	0.0332331	0.0918239	0.0454875	0.0114062	0.0166977	0.0374395	0.0205669	0.0191902	0.0305069	0.0167608	0.195869	0.237897	0.0576461	0.0232043	0.473015	0.0123688	0.262619	0.224567	0.174709	0.338106	3.033518
7	1	-14520	-14538.9	18.8366	0.119408	0.129071	0.124023	0.103322	0.136694	0.0857209	0.145007	0.0697299	0.0843284	0.190391	0.0871292	0.0895441	0.112174	0.0871418	0.114678	0.127154	0.109896	0.104161	0.137744	0.0889852	0.0764755	0.0675277	0.190648	0.0858211	0.0266399	0.0419874	0.0152586	0.0393822	0.0393594	0.0111232	0.0287656	0.0282641	0.0560828	0.0377547	0.04969	0.0360343	0.0440236	0.0230378	0.0330017	0.0182559	0.0350321	0.0194777	0.013234	0.19913	0.284364	0.0633644	0.0397145	0.408021	0.00540614	0.247421	0.247407	0.146393	0.358779	3.263178
8	0	-14518.7	-14539.1	20.3263	0.121098	0.0958354	0.119258	0.104851	0.12494	0.0754253	0.139238	0.0652057	0.068842	0.16065	0.073805	0.0798314	0.124337	0.094486	0.115754	0.125221	0.117074	0.111162	0.124327	0.0831445	0.0789604	0.0828722	0.160565	0.0403191	0.00690117	0.0433954	0.0233358	0.0384696	0.0222788	0.0236747	0.0426133	0.0446198	0.0193524	0.0365762	0.0952966	0.063533	0.0135106	0.021314	0.0487361	0.0181973	0.0289962	0.0178368	0.0183623	0.232932	0.225358	0.0600418	0.0218691	0.448082	0.0117169	0.259213	0.224865	0.179535	0.336387	3.114202
9	1	-14511.8	-14533.2	21.4099	0.133889	0.0810176	0.0972343	0.0853671	0.101713	0.0722567	0.118007	0.0586577	0.0755582	0.189789	0.0699744	0.0805266	0.099427	0.0871418	0.110075	0.127154	0.107336	0.110891	0.107683	0.0878042	0.0987697	0.0736581	0.159661	0.104558	0.0173625	0.0341993	0.0147491	0.0252347	0.0430847	0.0286902	0.0294004	0.0116948	0.0665935	0.0237815	0.0520313	0.0542777	0.033131	0.0199613	0.0307914	0.0242903	0.0212838	0.0300097	0.0071278	0.197906	0.282617	0.0552379	0.0394704	0.405514	0.0192553	0.247421	0.247407	0.146393	0.358779	3.005846
10	0	-14504.8	-14526.2	21.3771	0.119369	0.102572	0.0863097	0.0935534	0.0955703	0.0621808	0.122993	0.0733642	0.095737	0.181774	0.0839827	0.0732615	0.0784432	0.101439	0.103297	0.12701	0.13002	0.0960058	0.118655	0.0906536	0.0829191	0.0809779	0.16112	0.0403191	0.0199607	0.0372005	0.0220161	0.0389769	0.0403911	0.0276092	0.0414194	0.0318155	0.0195475	0.0449782	0.0869713	0.0399017	0.0132251	0.0150202	0.0497207	0.0108382	0.032527	0.0185292	0.0169513	0.209288	0.232411	0.0619209	0.0363594	0.447938	0.0120836	0.26103	0.226441	0.173783	0.338745	3.009127
11	1	-14504.4	-14524.6	20.2822	0.119875	0.0815396	0.0945969	0.0863457	0.11596	0.0775418	0.13141	0.0714672	0.0776444	0.191036	0.0665918	0.0833823	0.0853524	0.10023	0.100099	0.147022	0.145765	0.0952654	0.161153	0.0774455	0.0990363	0.0899169	0.177046	0.104739	0.0325204	0.0408185	0.0152174	0.0427342	0.0301783	0.0210196	0.0229724	0.0100054	0.0416709	0.0221627	0.0451314	0.0457051	0.0332785	0.0205613	0.0366488	0.022394	0.0269951	0.0207779	0.00735832	0.199036	0.28423	0.062046	0.0355633	0.407828	0.0112969	0.247421	0.247407	0.146393	0.358779	3.118612
12	0	-14509	-14529.9	20.9536	0.120957	0.122711	0.0866159	0.109939	0.0867126	0.0739458	0.130507	0.0718523	0.0813834	0.178884	0.0675944	0.08621	0.0854999	0.0846327	0.0979634	0.122161	0.11321	0.107632	0.124961	0.0918756	0.0876238	0.083094	0.173504	0.0404945	0.0117447	0.043427	0.0249272	0.0451899	0.0458858	0.0287553	0.0230609	0.0506355	0.0227418	0.0465694	0.0812388	0.0459891	0.0118962	0.0202892	0.0365537	0.0275968	0.0177462	0.031347	0.00592003	0.210524	0.233784	0.0621827	0.0285334	0.450584	0.0143923	0.26103	0.226441	0.173783	0.338745	3.051478
13	1	-14516	-14535.5	19.4861	0.106611	0.100354	0.110234	0.094365	0.119248	0.0818709	0.120305	0.0743205	0.0913368	0.194009	0.070314	0.0802746	0.0983588	0.10167	0.104485	0.149022	0.153189	0.0965975	0.107045	0.0709522	0.103172	0.089343	0.177046	0.0953612	0.0397165	0.0334934	0.01671	0.0371499	0.0685405	0.00948857	0.0200422	0.0159088	0.0368187	0.0276626	0.0332744	0.0644761	0.0503842	0.017439	0.0437628	0.0329879	0.02621	0.0251197	0.00954718	0.21543	0.292363	0.0600017	0.0254165	0.394391	0.0123987	0.245798	0.249468	0.146266	0.358468	3.198219
14	0	-14509.1	-14529.9	20.7857	0.123268	0.0821758	0.090337	0.10012	0.106116	0.0793941	0.122469	0.0695147	0.0762257	0.194345	0.0643378	0.0911001	0.09113	0.0998191	0.122543	0.101435	0.11321	0.108625	0.124961	0.0705755	0.0955131	0.07702	0.153645	0.0336342	0.0202943	0.0383667	0.0333041	0.0506759	0.0333805	0.0268932	0.0398338	0.0476816	0.0202069	0.0307468	0.0870698	0.0459891	0.016162	0.0312242	0.0530227	0.01661	0.031789	0.0424601	0.0110364	0.213253	0.245466	0.0617325	0.0357925	0.436553	0.00720309	0.263577	0.228651	0.165722	0.34205	3.068262
15	1	-14507.6	-14527.6	19.9644	0.118106	0.118089	0.110984	0.118712	0.10327	0.0706905	0.104766	0.0894502	0.0888757	0.160865	0.0684236	0.0802746	0.0938047	0.113846	0.110974	0.127533	0.144575	0.13281	0.110254	0.081904	0.110374	0.0776721	0.162567	0.0856666	0.0160095	0.0569202	0.0257168	0.0381593	0.0492439	0.0194264	0.0165972	0.0129209	0.0536943	0.017772	0.0364746	0.0521236	0.0318636	0.0239121	0.0267258	0.0227357	0.0315697	0.0243847	0.00965155	0.214336	0.290878	0.0638063	0.030483	0.392388	0.00810819	0.232856	0.253749	0.148776	0.36462	3.150389
