Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-19319.1	-19326.1	7.0686	0.058686	0.0420707	0.363637	0.0311017	0.00352946	0.0424667	0.0777409	0.042174	0.0500828	0.0496544	0.0254732	0.222942	0.0685166	0.13335	0.177948	0.0660408	0.334868	0.0785526	0.382533	0.0500007	0.0460987	0.0572685	0.182893	0.00238275	0.00418518	0.0593846	0.0568019	0.282402	0.0419559	0.0874496	0.0574402	0.303553	0.238814	0.141916	0.175093	0.00481398	0.0848175	0.0717334	0.0257775	0.139476	0.0433938	0.0210965	0.00985673	0.219541	0.224086	0.113732	0.209298	0.2041	0.0292426	0.181808	0.22097	0.126809	0.470414	4.439973
10	-15512.3	-15529.1	16.8131	0.16097	0.112083	0.181401	0.0395595	0.0133164	0.117755	0.100925	0.0894065	0.0999106	0.112935	0.0802821	0.126781	0.10146	0.125048	0.114236	0.103211	0.113921	0.133447	0.140936	0.127701	0.0857289	0.0763029	0.195472	0.00846188	0.00742873	0.0787009	0.0562498	0.191352	0.0180466	0.00920778	0.087196	0.0949419	0.0616615	0.0648103	0.0270523	0.0105769	0.0599884	0.0286597	0.0334908	0.0349873	0.0139481	0.0172384	0.00873683	0.201648	0.28796	0.0436926	0.0405007	0.41538	0.0108191	0.257642	0.243582	0.150196	0.34858	3.465527
20	-14625.1	-14646.3	21.2295	0.114985	0.105402	0.12712	0.103003	0.0249574	0.0921598	0.0973462	0.0636189	0.100302	0.15854	0.0571452	0.0895441	0.103604	0.101355	0.106104	0.132219	0.124668	0.123018	0.146182	0.0591784	0.0743057	0.0869644	0.178122	0.025157	0.0207036	0.0448671	0.0201894	0.0560866	0.0393531	0.00661159	0.0612358	0.0229197	0.0459309	0.0603236	0.0534908	0.0187335	0.029489	0.0301801	0.0330976	0.027053	0.0142308	0.0267692	0.0176101	0.197924	0.282642	0.0629808	0.0397528	0.405551	0.0111489	0.259711	0.245538	0.143373	0.351378	3.023878
30	-14520	-14538.9	18.8366	0.119408	0.129071	0.124023	0.103322	0.136694	0.0857209	0.145007	0.0697299	0.0843284	0.190391	0.0871292	0.0895441	0.112174	0.0871418	0.114678	0.127154	0.109896	0.104161	0.137744	0.0889852	0.0764755	0.0675277	0.190648	0.0858211	0.0266399	0.0419874	0.0152586	0.0393822	0.0393594	0.0111232	0.0287656	0.0282641	0.0560828	0.0377547	0.04969	0.0360343	0.0440236	0.0230378	0.0330017	0.0182559	0.0350321	0.0194777	0.013234	0.19913	0.284364	0.0633644	0.0397145	0.408021	0.00540614	0.247421	0.247407	0.146393	0.358779	3.263178
40	-14511.8	-14533.2	21.4099	0.133889	0.0810176	0.0972343	0.0853671	0.101713	0.0722567	0.118007	0.0586577	0.0755582	0.189789	0.0699744	0.0805266	0.099427	0.0871418	0.110075	0.127154	0.107336	0.110891	0.107683	0.0878042	0.0987697	0.0736581	0.159661	0.104558	0.0173625	0.0341993	0.0147491	0.0252347	0.0430847	0.0286902	0.0294004	0.0116948	0.0665935	0.0237815	0.0520313	0.0542777	0.033131	0.0199613	0.0307914	0.0242903	0.0212838	0.0300097	0.0071278	0.197906	0.282617	0.0552379	0.0394704	0.405514	0.0192553	0.247421	0.247407	0.146393	0.358779	3.005846
50	-14504.4	-14524.6	20.2822	0.119875	0.0815396	0.0945969	0.0863457	0.11596	0.0775418	0.13141	0.0714672	0.0776444	0.191036	0.0665918	0.0833823	0.0853524	0.10023	0.100099	0.147022	0.145765	0.0952654	0.161153	0.0774455	0.0990363	0.0899169	0.177046	0.104739	0.0325204	0.0408185	0.0152174	0.0427342	0.0301783	0.0210196	0.0229724	0.0100054	0.0416709	0.0221627	0.0451314	0.0457051	0.0332785	0.0205613	0.0366488	0.022394	0.0269951	0.0207779	0.00735832	0.199036	0.28423	0.062046	0.0355633	0.407828	0.0112969	0.247421	0.247407	0.146393	0.358779	3.118612
60	-14516	-14535.5	19.4861	0.106611	0.100354	0.110234	0.094365	0.119248	0.0818709	0.120305	0.0743205	0.0913368	0.194009	0.070314	0.0802746	0.0983588	0.10167	0.104485	0.149022	0.153189	0.0965975	0.107045	0.0709522	0.103172	0.089343	0.177046	0.0953612	0.0397165	0.0334934	0.01671	0.0371499	0.0685405	0.00948857	0.0200422	0.0159088	0.0368187	0.0276626	0.0332744	0.0644761	0.0503842	0.017439	0.0437628	0.0329879	0.02621	0.0251197	0.00954718	0.21543	0.292363	0.0600017	0.0254165	0.394391	0.0123987	0.245798	0.249468	0.146266	0.358468	3.198219
70	-14507.6	-14527.6	19.9644	0.118106	0.118089	0.110984	0.118712	0.10327	0.0706905	0.104766	0.0894502	0.0888757	0.160865	0.0684236	0.0802746	0.0938047	0.113846	0.110974	0.127533	0.144575	0.13281	0.110254	0.081904	0.110374	0.0776721	0.162567	0.0856666	0.0160095	0.0569202	0.0257168	0.0381593	0.0492439	0.0194264	0.0165972	0.0129209	0.0536943	0.017772	0.0364746	0.0521236	0.0318636	0.0239121	0.0267258	0.0227357	0.0315697	0.0243847	0.00965155	0.214336	0.290878	0.0638063	0.030483	0.392388	0.00810819	0.232856	0.253749	0.148776	0.36462	3.150389
80	-14507	-14527	19.9217	0.12574	0.104084	0.0961471	0.100754	0.119926	0.0743008	0.13113	0.0685915	0.102771	0.178577	0.0604773	0.0654247	0.0948423	0.121461	0.139768	0.131349	0.117396	0.128808	0.119285	0.0858216	0.0874226	0.100659	0.150252	0.06339	0.0192165	0.0528481	0.0223884	0.0324419	0.0430435	0.0220034	0.0205745	0.0105528	0.0486529	0.0305827	0.0679168	0.0435554	0.0366166	0.0279498	0.0254835	0.0298177	0.0224863	0.0130412	0.017113	0.213828	0.290188	0.0580023	0.0304107	0.391457	0.0161138	0.240021	0.230785	0.153354	0.37584	3.154661
90	-14505.5	-14526.8	21.3486	0.122743	0.0664979	0.0825528	0.105982	0.146607	0.0687547	0.109971	0.0743552	0.0941408	0.178977	0.0848614	0.0637856	0.107063	0.0951405	0.100717	0.11689	0.119625	0.108506	0.113037	0.0730702	0.0982236	0.0866199	0.141617	0.0825241	0.0321889	0.0521766	0.0161819	0.0333143	0.0501792	0.0201664	0.0278893	0.0206419	0.0368673	0.0201885	0.0279754	0.0533559	0.0367347	0.0225205	0.0367702	0.0204613	0.0249214	0.0170873	0.0200877	0.220343	0.276017	0.0597697	0.0290276	0.403386	0.0114568	0.240253	0.23637	0.157066	0.366312	3.011971
