Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-20717.3	-20721.3	4.01018	0.128723	0.109339	0.0125463	0.105789	0.206515	0.00383626	0.108083	0.00261606	0.0144921	0.144528	0.310196	0.066777	0.000590384	0.0214116	0.0198936	0.0175729	0.151322	0.0495806	0.0149648	0.119438	0.249486	0.425046	0.0379697	0.0401608	0.0449384	0.0174012	0.100514	0.0892658	0.0618828	0.00782492	0.266794	0.0711127	0.0314066	0.0189319	0.0389047	0.154901	0.0999605	0.00825515	0.270971	0.00909097	0.0279828	0.111803	0.253817	2.434231	0.582044	0.14424	0.159479	0.114237	4.046637
1	1	-20731.4	-20738	6.62283	0.164608	0.165727	0.0686233	0.00704352	0.134513	0.089336	0.124188	0.122783	0.178823	0.000148202	0.0519932	0.0106213	0.0846374	0.201201	0.261264	0.011408	0.0586801	0.227093	0.111053	0.0352202	0.0907576	0.23197	0.067834	0.120902	0.0193137	0.01116	0.0178785	0.00399224	0.0340739	0.0379867	0.127828	0.0947352	0.0468671	0.0311009	0.0130007	0.0496255	0.235225	0.0308517	0.0410076	0.0879915	0.140541	0.247408	0.0572397	0.6437243	0.18961	0.108333	0.257437	0.44462	3.948255
2	0	-16140	-16150.8	10.8223	0.202809	0.0985509	0.0496867	0.102864	0.137713	0.0158202	0.178325	0.0363597	0.0313299	0.163392	0.149843	0.102285	0.000813702	0.0308458	0.0676564	0.0175729	0.26697	0.124695	0.0450907	0.0850388	0.106566	0.104444	0.145116	0.0654465	0.040299	0.039248	0.0404189	0.0685546	0.0808753	0.0217997	0.116433	0.0240884	0.0505621	0.0221207	0.108297	0.0353358	0.0598754	0.00610753	0.0910593	0.0192517	0.0633165	0.0487591	0.0652959	2.898218	0.24451	0.306833	0.126029	0.322628	3.330931
3	1	-15796.3	-15803.6	7.28714	0.142834	0.138764	0.119097	0.0311224	0.107134	0.0695655	0.112502	0.0858851	0.158402	0.000229152	0.141342	0.0179702	0.12003	0.108115	0.102657	0.0339658	0.138662	0.178061	0.1268	0.0915799	0.10112	0.256603	0.0921212	0.0552034	0.0310254	0.0246466	0.0138581	0.00757929	0.0892586	0.0277662	0.0528268	0.047885	0.0267624	0.0460832	0.01025	0.0333813	0.18985	0.0386698	0.0350364	0.0460653	0.0672478	0.220543	0.0523161	4.377682	0.272882	0.200176	0.217882	0.309061	3.590818
4	0	-15094.8	-15104.4	9.57643	0.145352	0.0865818	0.0901118	0.0950647	0.122279	0.104725	0.1438	0.0799756	0.0801393	0.175004	0.0639258	0.0724911	0.00534245	0.0782124	0.111196	0.116608	0.260764	0.127304	0.0959908	0.085652	0.0996103	0.0917721	0.169692	0.0703184	0.0405504	0.0226469	0.0375591	0.0246932	0.0150077	0.0714777	0.0551059	0.0421388	0.0377223	0.0329429	0.095109	0.0326626	0.0598754	0.0108329	0.0598967	0.0448748	0.0798659	0.0482278	0.0278574	3.559944	0.25432	0.319144	0.0947344	0.331802	3.41096
5	1	-15163.3	-15172.6	9.34036	0.114656	0.128912	0.0945386	0.081091	0.100017	0.0564274	0.106712	0.0729556	0.124586	0.000189326	0.0878882	0.0964448	0.0909513	0.0925062	0.119387	0.129564	0.113548	0.120821	0.130273	0.0743136	0.125375	0.256603	0.138359	0.0257219	0.0377286	0.0331708	0.0172337	0.0250391	0.106994	0.0707399	0.0328484	0.028711	0.0562291	0.0122014	0.0219801	0.0364967	0.182893	0.0563381	0.0407532	0.0570214	0.0307667	0.0635012	0.0331282	3.701895	0.269344	0.293751	0.123139	0.313767	3.425616
6	0	-14834.2	-14844.7	10.5731	0.134684	0.12371	0.111174	0.105672	0.114789	0.0844759	0.140024	0.0737283	0.10455	0.194966	0.0820005	0.100437	0.0236478	0.0956934	0.11125	0.126213	0.142085	0.13189	0.125003	0.0865749	0.0769715	0.0719181	0.195184	0.0313314	0.0214616	0.0310951	0.0278481	0.0173575	0.0431641	0.0561919	0.0704013	0.0349284	0.0350348	0.038307	0.057391	0.0619176	0.0547815	0.0309546	0.0451527	0.0107381	0.0265465	0.023283	0.0248584	3.749425	0.253119	0.318639	0.0942868	0.333956	3.299385
7	1	-15122.9	-15131.4	8.50747	0.140715	0.103737	0.0884643	0.0811945	0.111335	0.0918842	0.133074	0.0769192	0.111118	9.91948e-05	0.0679775	0.0654404	0.132995	0.0925062	0.114706	0.119343	0.136003	0.125013	0.121232	0.0804324	0.0819157	0.308101	0.212846	0.0243523	0.0360395	0.0305825	0.0207679	0.0602663	0.103445	0.0406068	0.023801	0.0171946	0.0460128	0.0278455	0.0153103	0.0489047	0.176303	0.0695757	0.034608	0.0540088	0.0329201	0.0256183	0.0229601	3.713622	0.269344	0.293751	0.123139	0.313767	3.508174
8	0	-14776.3	-14785.8	9.49683	0.1312	0.107624	0.104592	0.0749189	0.0934632	0.0954035	0.129076	0.093013	0.0945652	0.168845	0.0681074	0.0972456	0.0968147	0.134857	0.113153	0.137246	0.127451	0.133149	0.120124	0.0703832	0.0918533	0.0990602	0.222986	0.0367255	0.0257565	0.0274445	0.022987	0.0174964	0.0472506	0.0514925	0.101639	0.0343123	0.024702	0.0477318	0.0549517	0.0391687	0.0476768	0.0266686	0.0541127	0.0117862	0.0367818	0.0359135	0.0198559	4.382349	0.266414	0.282914	0.0991738	0.351498	3.369586
9	1	-15123.9	-15132.3	8.43931	0.146414	0.088166	0.106715	0.109041	0.117571	0.0939421	0.144197	0.0712303	0.0873814	7.10131e-05	0.0634143	0.064541	0.0946359	0.0810402	0.118779	0.134704	0.128336	0.100593	0.111944	0.0751858	0.103308	0.294417	0.203524	0.0191517	0.0383815	0.0163684	0.0347806	0.0641629	0.0873829	0.0354554	0.0380702	0.0238353	0.0452746	0.0195089	0.0201546	0.0537028	0.202103	0.0709987	0.0318181	0.0676004	0.0387408	0.0255768	0.0319124	3.890408	0.265245	0.304497	0.121265	0.308992	3.50413
