Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20731.4	-20738	6.62283	0.164608	0.165727	0.0686233	0.00704352	0.134513	0.089336	0.124188	0.122783	0.178823	0.000148202	0.0519932	0.0106213	0.0846374	0.201201	0.261264	0.011408	0.0586801	0.227093	0.111053	0.0352202	0.0907576	0.23197	0.067834	0.120902	0.0193137	0.01116	0.0178785	0.00399224	0.0340739	0.0379867	0.127828	0.0947352	0.0468671	0.0311009	0.0130007	0.0496255	0.235225	0.0308517	0.0410076	0.0879915	0.140541	0.247408	0.0572397	0.6437243	0.18961	0.108333	0.257437	0.44462	3.948255
10	-15796.3	-15803.6	7.28714	0.142834	0.138764	0.119097	0.0311224	0.107134	0.0695655	0.112502	0.0858851	0.158402	0.000229152	0.141342	0.0179702	0.12003	0.108115	0.102657	0.0339658	0.138662	0.178061	0.1268	0.0915799	0.10112	0.256603	0.0921212	0.0552034	0.0310254	0.0246466	0.0138581	0.00757929	0.0892586	0.0277662	0.0528268	0.047885	0.0267624	0.0460832	0.01025	0.0333813	0.18985	0.0386698	0.0350364	0.0460653	0.0672478	0.220543	0.0523161	4.377682	0.272882	0.200176	0.217882	0.309061	3.590818
20	-15163.3	-15172.6	9.34036	0.114656	0.128912	0.0945386	0.081091	0.100017	0.0564274	0.106712	0.0729556	0.124586	0.000189326	0.0878882	0.0964448	0.0909513	0.0925062	0.119387	0.129564	0.113548	0.120821	0.130273	0.0743136	0.125375	0.256603	0.138359	0.0257219	0.0377286	0.0331708	0.0172337	0.0250391	0.106994	0.0707399	0.0328484	0.028711	0.0562291	0.0122014	0.0219801	0.0364967	0.182893	0.0563381	0.0407532	0.0570214	0.0307667	0.0635012	0.0331282	3.701895	0.269344	0.293751	0.123139	0.313767	3.425616
30	-15122.9	-15131.4	8.50747	0.140715	0.103737	0.0884643	0.0811945	0.111335	0.0918842	0.133074	0.0769192	0.111118	9.91948e-05	0.0679775	0.0654404	0.132995	0.0925062	0.114706	0.119343	0.136003	0.125013	0.121232	0.0804324	0.0819157	0.308101	0.212846	0.0243523	0.0360395	0.0305825	0.0207679	0.0602663	0.103445	0.0406068	0.023801	0.0171946	0.0460128	0.0278455	0.0153103	0.0489047	0.176303	0.0695757	0.034608	0.0540088	0.0329201	0.0256183	0.0229601	3.713622	0.269344	0.293751	0.123139	0.313767	3.508174
40	-15123.9	-15132.3	8.43931	0.146414	0.088166	0.106715	0.109041	0.117571	0.0939421	0.144197	0.0712303	0.0873814	7.10131e-05	0.0634143	0.064541	0.0946359	0.0810402	0.118779	0.134704	0.128336	0.100593	0.111944	0.0751858	0.103308	0.294417	0.203524	0.0191517	0.0383815	0.0163684	0.0347806	0.0641629	0.0873829	0.0354554	0.0380702	0.0238353	0.0452746	0.0195089	0.0201546	0.0537028	0.202103	0.0709987	0.0318181	0.0676004	0.0387408	0.0255768	0.0319124	3.890408	0.265245	0.304497	0.121265	0.308992	3.50413
50	-15110.2	-15117.8	7.6134	0.166558	0.128327	0.0959729	0.0759291	0.123615	0.0795193	0.144197	0.0816172	0.117513	0.000140734	0.0855363	0.0828198	0.0997184	0.100011	0.0996894	0.151297	0.12083	0.170433	0.130715	0.0662336	0.0706916	0.294093	0.162259	0.0197157	0.0374683	0.0212547	0.0391623	0.0586881	0.0858264	0.0301112	0.0365366	0.0173425	0.0474149	0.0170447	0.0260246	0.0669882	0.207753	0.0591718	0.0485411	0.0606529	0.0233971	0.0175063	0.0266878	3.755152	0.271549	0.310146	0.10197	0.316335	3.595004
60	-15111.8	-15118.7	6.92018	0.157779	0.0784829	0.132118	0.0889335	0.123615	0.0683352	0.144488	0.078863	0.093777	0.000298176	0.0866739	0.0749147	0.114406	0.106883	0.117554	0.149114	0.149767	0.14758	0.131516	0.0866168	0.109561	0.267815	0.154175	0.0174854	0.0315427	0.0404154	0.0363073	0.0644083	0.0944101	0.039454	0.0353414	0.020396	0.0524958	0.0199253	0.0143847	0.0652449	0.1901	0.0894548	0.0298921	0.0490859	0.0358227	0.0300662	0.0341909	3.929358	0.271549	0.310146	0.10197	0.316335	3.653688
70	-15100.6	-15108.9	8.31849	0.11062	0.095834	0.119829	0.110204	0.124069	0.0920117	0.117758	0.0922089	0.0915272	0.000688821	0.0853821	0.0811508	0.0967611	0.103032	0.102451	0.141281	0.140743	0.119213	0.131516	0.0742314	0.0982791	0.304418	0.155094	0.0465315	0.0465481	0.0405547	0.0203992	0.0468104	0.0859149	0.0380099	0.0363366	0.0250399	0.0466236	0.0228457	0.0247748	0.0777255	0.161529	0.0490474	0.0265899	0.055065	0.0290693	0.0230964	0.023042	3.929358	0.273961	0.304017	0.102876	0.319145	3.513857
80	-15094	-15102.3	8.28128	0.15999	0.0750377	0.115643	0.0889346	0.123885	0.106406	0.136286	0.085544	0.098484	0.00300856	0.102072	0.0901955	0.119944	0.0903191	0.114202	0.128308	0.139228	0.141371	0.156937	0.0730911	0.0882362	0.237212	0.198392	0.0289601	0.0506007	0.0278285	0.0294598	0.0516853	0.100827	0.0314877	0.0479146	0.0104017	0.043625	0.0241931	0.0292245	0.0492878	0.151357	0.0370474	0.0188761	0.0535427	0.0162996	0.0304378	0.0223877	3.755884	0.276021	0.306303	0.0961303	0.321545	3.528171
90	-14942.7	-14952.9	10.2148	0.139614	0.0959127	0.0992455	0.0929345	0.111751	0.094278	0.121397	0.0915432	0.104781	0.0185051	0.0720735	0.0822107	0.0928177	0.102687	0.12298	0.137112	0.147753	0.157423	0.120823	0.0611422	0.0914292	0.14735	0.180576	0.0401189	0.054298	0.0264016	0.0250093	0.0257347	0.100827	0.0392903	0.0411529	0.027804	0.0332213	0.0525019	0.0288018	0.0555412	0.0896215	0.0648295	0.0193969	0.0513336	0.0377398	0.0131143	0.018203	3.813343	0.276021	0.306303	0.0961303	0.321545	3.331281
