Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-20576.9	-20587.8	10.9403	0.0702498	0.00613259	0.066358	0.043766	0.107888	0.000360881	0.127819	0.0775826	0.00543825	0.0616914	0.25716	0.0257438	0.0156272	0.0233756	0.0897149	0.0237328	0.112815	0.0811016	0.0568352	0.0173249	0.087988	0.239948	0.0193055	0.176889	0.0468763	0.0999982	0.177043	0.128353	0.10845	0.139438	0.0762692	0.0761712	0.0117799	0.0363114	0.0326713	0.0424928	0.110599	0.0481263	0.136101	0.0607016	0.0383887	0.169179	0.0610845	3.394882
1	1	-20995.1	-21010.7	15.6135	0.0166792	0.0258961	0.0731348	0.0757273	0.00987562	0.00673449	0.0743019	0.157878	0.0818057	0.00154033	0.0198054	0.0955516	0.03121	0.185251	0.0616835	0.0144187	0.0239845	0.164066	0.0907485	0.116186	0.0032345	0.0158589	0.00337424	0.0942754	0.0994476	0.0252775	0.0629297	0.0581747	0.0228989	0.0169959	0.14816	0.220982	0.0465733	0.0351097	0.15411	0.0147864	0.123787	0.128688	0.0353549	0.135772	0.108965	0.0348256	0.0114918	2.927553
2	0	-16966.7	-16980.5	13.7126	0.0943799	0.00985098	0.0946225	0.126327	0.143344	0.000351234	0.140031	0.0983255	0.0120545	0.124288	0.191882	0.0537005	0.0885172	0.0432817	0.131643	0.0796561	0.10452	0.11015	0.0823834	0.0803803	0.0688355	0.0796507	0.0466264	0.148058	0.0408051	0.0465151	0.0358953	0.0366591	0.0319186	0.0187368	0.0323077	0.0625026	0.033622	0.0241029	0.0314819	0.0464471	0.134511	0.0992219	0.0422277	0.083237	0.0646009	0.0502363	0.0497613	3.11765
3	1	-17284.6	-17296.2	11.6578	0.13398	0.0825697	0.132858	0.117213	0.099381	0.0413835	0.115288	0.233198	0.137324	0.00229166	0.0678875	0.0782937	0.114413	0.0857245	0.113488	0.0138315	0.0431657	0.142379	0.146297	0.155866	0.0116128	0.0384182	0.0123005	0.0324729	0.101834	0.0409561	0.0519137	0.0316558	0.0237837	0.0359968	0.107656	0.129007	0.08195	0.0582765	0.0765783	0.0454243	0.0774778	0.0639751	0.0412029	0.0481038	0.108965	0.0220011	0.0247337	3.323127
4	0	-16125.1	-16137.4	12.2956	0.115817	0.0470224	0.0915018	0.120378	0.168816	0.00228878	0.103465	0.111597	0.0383306	0.167055	0.161698	0.116924	0.117435	0.10612	0.114465	0.130234	0.132946	0.109931	0.116357	0.0730242	0.09104	0.0797308	0.131181	0.046201	0.0345602	0.0304403	0.0391761	0.0362304	0.0195041	0.0104905	0.0263476	0.0406094	0.0410371	0.0280149	0.0603339	0.0265051	0.0823243	0.0930424	0.0306152	0.0328547	0.0580645	0.0376561	0.0379808	3.259346
5	1	-16314.2	-16327.4	13.2524	0.123875	0.0976124	0.0790949	0.0858427	0.111756	0.0745251	0.134304	0.177955	0.0937993	0.00626042	0.0699679	0.0903317	0.104173	0.106962	0.118079	0.0600826	0.142336	0.105069	0.123534	0.0756781	0.0765962	0.0941579	0.0624611	0.0221124	0.0553221	0.0542451	0.0232074	0.00877945	0.0293622	0.0170584	0.0961569	0.123771	0.0462111	0.0872657	0.0385284	0.0384884	0.078476	0.045563	0.0504045	0.0427451	0.0513953	0.0300712	0.0100462	3.163663
6	0	-15900.5	-15912.6	12.0886	0.138003	0.0814985	0.0994537	0.102289	0.180362	0.00310132	0.11858	0.0675107	0.0979462	0.147782	0.0813779	0.10601	0.126034	0.104869	0.113047	0.133626	0.137977	0.097195	0.122342	0.0798144	0.0782544	0.0894004	0.175178	0.0228514	0.0299627	0.0293833	0.0320426	0.0177379	0.028849	0.0306248	0.0437901	0.0507597	0.0644868	0.0234904	0.0379508	0.0247781	0.0749476	0.0947748	0.0426845	0.0359289	0.0377005	0.0497092	0.0259457	3.28005
7	1	-15879.6	-15893.5	13.8524	0.119175	0.112057	0.0838553	0.117365	0.1128	0.0731502	0.124538	0.086414	0.0854865	0.0425505	0.0629633	0.0904126	0.108428	0.101015	0.112454	0.129733	0.124015	0.112992	0.123534	0.0787417	0.0935077	0.103347	0.166117	0.0459933	0.0211081	0.0172331	0.0225445	0.0272867	0.0286527	0.0159113	0.0620576	0.0471396	0.0493172	0.0545878	0.0319215	0.03638	0.0912928	0.021542	0.0367669	0.0287685	0.0540426	0.0307043	0.0157695	3.103671
8	0	-15857.9	-15871.2	13.268	0.118225	0.0982051	0.108705	0.0974266	0.162988	0.0106452	0.111567	0.086477	0.103051	0.157283	0.0847483	0.0684965	0.0915611	0.0978304	0.114641	0.108797	0.139739	0.0976453	0.119319	0.0733642	0.0918111	0.0975541	0.155803	0.0211871	0.0423574	0.0295952	0.0389058	0.0338264	0.036504	0.0220723	0.0437901	0.0521281	0.0445515	0.0260736	0.054663	0.0155318	0.0422035	0.0664044	0.02757	0.0416107	0.0607837	0.0396211	0.0268402	3.162104
9	1	-15841	-15854.3	13.2583	0.142371	0.100088	0.0937761	0.110211	0.133922	0.0813366	0.124232	0.0789187	0.101543	0.0783139	0.0669744	0.0775585	0.105933	0.0972193	0.111177	0.122172	0.143179	0.111386	0.138464	0.0692015	0.105877	0.0956109	0.154779	0.0463834	0.0438113	0.0219918	0.0339497	0.0254073	0.0105575	0.0122733	0.0651307	0.0265103	0.0398024	0.0428856	0.0312056	0.0199718	0.0937104	0.0302502	0.0342236	0.024866	0.055186	0.0295466	0.0311657	3.163073
