Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20995.1	-21010.7	15.6135	0.0166792	0.0258961	0.0731348	0.0757273	0.00987562	0.00673449	0.0743019	0.157878	0.0818057	0.00154033	0.0198054	0.0955516	0.03121	0.185251	0.0616835	0.0144187	0.0239845	0.164066	0.0907485	0.116186	0.0032345	0.0158589	0.00337424	0.0942754	0.0994476	0.0252775	0.0629297	0.0581747	0.0228989	0.0169959	0.14816	0.220982	0.0465733	0.0351097	0.15411	0.0147864	0.123787	0.128688	0.0353549	0.135772	0.108965	0.0348256	0.0114918	2.927553
10	-17284.6	-17296.2	11.6578	0.13398	0.0825697	0.132858	0.117213	0.099381	0.0413835	0.115288	0.233198	0.137324	0.00229166	0.0678875	0.0782937	0.114413	0.0857245	0.113488	0.0138315	0.0431657	0.142379	0.146297	0.155866	0.0116128	0.0384182	0.0123005	0.0324729	0.101834	0.0409561	0.0519137	0.0316558	0.0237837	0.0359968	0.107656	0.129007	0.08195	0.0582765	0.0765783	0.0454243	0.0774778	0.0639751	0.0412029	0.0481038	0.108965	0.0220011	0.0247337	3.323127
20	-16314.2	-16327.4	13.2524	0.123875	0.0976124	0.0790949	0.0858427	0.111756	0.0745251	0.134304	0.177955	0.0937993	0.00626042	0.0699679	0.0903317	0.104173	0.106962	0.118079	0.0600826	0.142336	0.105069	0.123534	0.0756781	0.0765962	0.0941579	0.0624611	0.0221124	0.0553221	0.0542451	0.0232074	0.00877945	0.0293622	0.0170584	0.0961569	0.123771	0.0462111	0.0872657	0.0385284	0.0384884	0.078476	0.045563	0.0504045	0.0427451	0.0513953	0.0300712	0.0100462	3.163663
30	-15879.6	-15893.5	13.8524	0.119175	0.112057	0.0838553	0.117365	0.1128	0.0731502	0.124538	0.086414	0.0854865	0.0425505	0.0629633	0.0904126	0.108428	0.101015	0.112454	0.129733	0.124015	0.112992	0.123534	0.0787417	0.0935077	0.103347	0.166117	0.0459933	0.0211081	0.0172331	0.0225445	0.0272867	0.0286527	0.0159113	0.0620576	0.0471396	0.0493172	0.0545878	0.0319215	0.03638	0.0912928	0.021542	0.0367669	0.0287685	0.0540426	0.0307043	0.0157695	3.103671
40	-15841	-15854.3	13.2583	0.142371	0.100088	0.0937761	0.110211	0.133922	0.0813366	0.124232	0.0789187	0.101543	0.0783139	0.0669744	0.0775585	0.105933	0.0972193	0.111177	0.122172	0.143179	0.111386	0.138464	0.0692015	0.105877	0.0956109	0.154779	0.0463834	0.0438113	0.0219918	0.0339497	0.0254073	0.0105575	0.0122733	0.0651307	0.0265103	0.0398024	0.0428856	0.0312056	0.0199718	0.0937104	0.0302502	0.0342236	0.024866	0.055186	0.0295466	0.0311657	3.163073
50	-15821.6	-15835.8	14.2542	0.135128	0.0989269	0.0878607	0.0968861	0.0981864	0.067847	0.133652	0.0715895	0.100858	0.107397	0.0619899	0.074739	0.105933	0.0817523	0.14665	0.131059	0.128377	0.117405	0.118338	0.0707016	0.101737	0.0932666	0.142128	0.0455916	0.0421333	0.0197843	0.0383516	0.028166	0.0119791	0.0188759	0.0390603	0.0358605	0.0370945	0.035676	0.0329114	0.0199632	0.0807286	0.0240241	0.0494903	0.0305969	0.0483997	0.0306234	0.0217688	3.063487
60	-15802.5	-15815.7	13.208	0.120299	0.108849	0.0918268	0.0868671	0.119805	0.0944092	0.133652	0.0842297	0.102107	0.185798	0.0820636	0.0919448	0.0973365	0.088992	0.098587	0.0995209	0.112263	0.0974942	0.114449	0.0758004	0.0848026	0.0929622	0.187582	0.0327865	0.0382327	0.0372613	0.0290502	0.034276	0.0130323	0.0180863	0.0465613	0.0347061	0.0260204	0.0460009	0.0395993	0.0213641	0.0778436	0.0191858	0.0427997	0.0325977	0.0735717	0.0242675	0.0292214	3.168105
70	-15799.8	-15812.7	12.9144	0.122803	0.110684	0.089468	0.0988499	0.139047	0.0838698	0.128225	0.0842297	0.0947407	0.155066	0.0818585	0.083382	0.0852654	0.0895682	0.118793	0.123698	0.148609	0.101928	0.107394	0.0775229	0.0835996	0.0936463	0.187451	0.040205	0.0358607	0.0203496	0.0429403	0.032823	0.0166929	0.0240336	0.043561	0.0398124	0.0369299	0.0497798	0.0368532	0.0263851	0.0628327	0.0260859	0.0399361	0.0303606	0.0490092	0.0303673	0.0229504	3.197468
80	-15798.3	-15811.6	13.3285	0.112655	0.0995259	0.113737	0.087506	0.105034	0.0645236	0.127415	0.0783885	0.0878073	0.157262	0.0787146	0.0798387	0.0885351	0.104316	0.115658	0.137411	0.142766	0.0960717	0.127958	0.0751088	0.0818874	0.082548	0.179703	0.0443341	0.0296271	0.026135	0.0405955	0.0210795	0.0128087	0.0203518	0.0502179	0.0399328	0.0351745	0.0520214	0.027617	0.0330098	0.0767535	0.0260214	0.0584972	0.0317091	0.0551243	0.0283816	0.0222904	3.156053
90	-15803.2	-15816.2	13.035	0.112993	0.0957048	0.111796	0.0816787	0.105034	0.0727685	0.127415	0.0715489	0.110742	0.15287	0.0806863	0.0819119	0.108565	0.106513	0.109233	0.122973	0.132678	0.0923067	0.117089	0.0870934	0.084565	0.0852277	0.149724	0.0501019	0.0264567	0.0247162	0.0317482	0.0194743	0.0112609	0.0228104	0.0679017	0.0502894	0.0251341	0.0539452	0.027773	0.0427344	0.0800552	0.0300359	0.0519689	0.0456454	0.0627292	0.028623	0.0308882	3.185409
