Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-20356.6	-20357.7	1.01273	0.128454	0.11291	0.0671915	0.0235538	0.51913	0.292298	0.067846	0.00363055	0.0499184	0.10316	0.186437	0.0300921	0.0255302	0.0550203	0.0590534	0.0257984	0.0921156	0.0951721	0.0130447	0.074356	0.363142	0.125891	0.0117443	0.12193	0.183113	0.0175708	0.0535416	0.0733435	0.0694221	0.390115	0.0100526	0.00715264	0.00919166	0.0140215	0.203622	0.277201	0.125474	0.0069021	0.0163463	0.107322	0.0017466	0.211016	0.142238	0.180794	0.308164	0.28727	0.223772	4.566811
1	1	-22162.4	-22168.9	6.47332	0.224403	0.0915312	0.0059934	0.0838614	0.0248606	0.113592	0.116801	0.0663367	0.106277	0.159493	0.0619116	0.0295294	0.0329195	0.139777	0.158544	0.0482353	0.0563626	0.0152991	0.0305997	0.0326797	0.248608	0.154778	0.108319	0.078852	0.00272715	0.0460357	0.239093	0.0160746	0.0512994	0.055876	0.0397366	0.104096	0.14503	0.0720616	0.0504191	0.243495	0.100827	0.00323351	0.156156	0.0874386	0.0707707	0.00190474	0.344913	0.0419434	0.462447	0.406475	0.0891353	4.020752
2	0	-16964.9	-16971.6	6.68625	0.161384	0.0793779	0.105199	0.064424	0.179677	0.197981	0.227265	0.00599089	0.154333	0.162765	0.153266	0.0377915	0.091857	0.125644	0.127664	0.129952	0.163483	0.140754	0.111263	0.114981	0.109102	0.108487	0.115112	0.0819139	0.076793	0.00979539	0.0739801	0.0320914	0.0411066	0.200902	0.00803665	0.0105394	0.020944	0.01936	0.0528538	0.18756	0.0452821	0.00493453	0.026389	0.0211383	0.00110301	0.167652	0.0493291	0.263771	0.319825	0.102791	0.313613	3.999459
3	1	-17075	-17084.5	9.53321	0.105776	0.175908	0.00761937	0.0964783	0.0573003	0.248471	0.134684	0.107536	0.166302	0.110433	0.109685	0.0935734	0.0551434	0.0939735	0.0977228	0.0968703	0.117975	0.112254	0.0734329	0.112601	0.231035	0.0852665	0.156457	0.0791476	0.00256198	0.11866	0.0618743	0.0319981	0.0589901	0.0103347	0.0470107	0.0782385	0.113679	0.0228277	0.0338889	0.0654129	0.0175919	0.00812207	0.0543359	0.0202038	0.0444816	0.00119549	0.19771	0.170765	0.396458	0.11514	0.317637	3.714763
4	0	-15975.7	-15988.6	12.9158	0.117437	0.102372	0.111554	0.136324	0.158243	0.104875	0.1732	0.0184031	0.0962523	0.162765	0.0750989	0.0698487	0.091855	0.114256	0.132344	0.130741	0.182536	0.130128	0.122832	0.0652481	0.104025	0.123506	0.170789	0.0196731	0.0437719	0.0165294	0.0866541	0.0394053	0.0428056	0.044271	0.00466077	0.0146691	0.0231756	0.0376767	0.0498	0.0577769	0.0396925	0.0279472	0.0219121	0.0223957	0.000787463	0.0433881	0.0448778	0.267239	0.324029	0.0909962	0.317736	3.376502
5	1	-16473.5	-16483.9	10.3603	0.115602	0.160219	0.0150603	0.0919341	0.123614	0.086425	0.10839	0.127594	0.111692	0.137968	0.0987829	0.152887	0.0901169	0.0871691	0.128212	0.13992	0.160737	0.14036	0.145327	0.10123	0.110774	0.0962411	0.156908	0.121378	0.00285396	0.113159	0.0276462	0.0500559	0.032308	0.0161461	0.0119046	0.0469334	0.0610492	0.0456713	0.0532769	0.0288525	0.0122609	0.054594	0.0385232	0.0296435	0.0188855	0.00356822	0.176179	0.242427	0.338708	0.0912244	0.32764	3.632053
6	0	-15661.8	-15676.1	14.3112	0.143971	0.0841892	0.104075	0.240589	0.0995981	0.0719266	0.110647	0.0899132	0.102015	0.170891	0.0852661	0.078091	0.0866375	0.0872618	0.10592	0.129818	0.153133	0.130128	0.105588	0.075794	0.100304	0.0904077	0.159572	0.0287127	0.0699067	0.0203078	0.0715336	0.0208473	0.028341	0.0240555	0.00830569	0.00902285	0.0305663	0.025235	0.0212056	0.0391009	0.0593237	0.0169799	0.0357237	0.044139	0.000239894	0.051133	0.0265445	0.207484	0.340083	0.0955046	0.356929	3.236962
7	1	-15724	-15736.2	12.1504	0.127022	0.155997	0.0589794	0.0824511	0.122216	0.1108	0.147483	0.0796329	0.115243	0.150732	0.098104	0.106011	0.0888115	0.108118	0.1124	0.150013	0.13583	0.14036	0.119553	0.104768	0.116094	0.100791	0.196573	0.0851753	0.00778334	0.0767519	0.039117	0.0141323	0.0259004	0.00290059	0.0119808	0.0330385	0.0456185	0.0440783	0.0443538	0.022582	0.0186921	0.0276969	0.0202453	0.0354829	0.0434909	0.015024	0.111012	0.242454	0.306972	0.0981303	0.352443	3.453041
8	0	-15475	-15490.3	15.318	0.141672	0.106949	0.114373	0.121643	0.0863598	0.102288	0.135001	0.0819255	0.100105	0.164197	0.067968	0.0860211	0.0957048	0.0688504	0.114781	0.129712	0.128399	0.105981	0.120263	0.0825111	0.0767754	0.0727181	0.175444	0.0211901	0.0861052	0.037757	0.0419566	0.044936	0.0475529	0.0585046	0.00756157	0.0192811	0.0456225	0.0204889	0.0195729	0.017284	0.0362208	0.0183868	0.0288952	0.0434329	0.000183423	0.0453954	0.0163109	0.215623	0.29798	0.0992509	0.387147	3.136281
9	1	-15391.1	-15406.8	15.6911	0.127022	0.105189	0.0987709	0.0751468	0.113495	0.0726936	0.146058	0.081558	0.115243	0.16032	0.0661123	0.0963693	0.104557	0.0801959	0.101969	0.125445	0.123828	0.105033	0.107087	0.0721656	0.0875117	0.0823763	0.149936	0.0435962	0.0403739	0.0273537	0.0265278	0.0171476	0.0284782	0.00652834	0.0299796	0.0305135	0.0250591	0.0207987	0.0199375	0.0338745	0.108239	0.0484867	0.0196472	0.0413997	0.024683	0.0590271	0.0492357	0.242454	0.306972	0.0981303	0.352443	3.09897
