Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-24518.8	-24537.8	18.9402	0.0843259	0.15357	0.00223581	0.0250366	0.0416361	0.00170551	0.00581379	0.0887382	0.0795088	0.287106	0.313514	0.088393	0.202264	0.00662895	0.0138102	0.00850318	0.0568252	0.104261	0.0138845	0.0478138	0.0858516	0.0297545	0.115616	0.00639265	0.0701478	0.350603	0.165557	0.139587	0.111891	0.0761599	0.206271	0.0545418	0.0199619	0.0782124	0.0340731	0.00303969	0.313857	0.065497	0.0702029	0.00363297	0.062831	0.0755946	0.00730642	0.0241208	0.0420412	0.179269	0.196511	0.253205	0.304853	0.0977141	0.196041	0.502417	0.203828	3.772156
1	1	-21263.8	-21277.9	14.1497	0.0845336	0.0329592	0.164807	0.00733714	0.121456	0.0222387	0.269662	0.202292	0.128471	0.0472927	0.0307054	0.10121	0.0547533	0.114328	0.174553	1.79416e-05	0.186953	0.137045	0.0523715	0.157632	0.064086	0.0790078	0.130616	0.120589	0.0775959	0.000674934	0.0684503	0.193374	0.00108299	0.239066	0.333552	0.0406691	0.162383	0.0167279	0.041265	0.0344624	0.032021	0.0119144	0.12766	0.12342	0.0874822	0.0906925	0.0189848	0.0345209	0.0581181	0.164988	0.206939	0.32874	0.206694	0.132792	0.224925	0.258599	0.383684	4.186397
2	0	-16379.2	-16352.8	-26.449	0.12607	0.101012	0.0151471	0.0750274	0.0883633	0.00265202	0.00689483	0.120699	0.0795088	0.178044	0.0750547	0.0582544	0.144179	0.0346617	0.0495845	0.0547623	0.109193	0.154691	0.0666516	0.143919	0.0777991	0.0737181	0.194798	0.011169	0.0193337	0.0737216	0.073462	0.0651144	0.0409236	0.0762575	0.0331405	0.0429245	0.0518102	0.0561461	0.0326414	0.00307257	0.0356744	0.0485672	0.10832	0.0047452	0.0302204	0.01426	0.00342921	0.231157	0.105239	0.170714	0.0276597	0.462279	0.00295079	0.172959	0.23856	0.418641	0.169841	2.855619
3	1	-16080.8	-16079.3	-1.50711	0.136601	0.0794171	0.0958596	0.0173925	0.101779	0.0563974	0.228047	0.166366	0.146548	0.110612	0.0654348	0.0822344	0.112203	0.0884745	0.169191	9.14017e-05	0.152668	0.0952318	0.0978062	0.0817298	0.0858902	0.109898	0.156946	0.0515386	0.0359014	0.00117364	0.043238	0.13031	0.00126139	0.178058	0.205682	0.0274104	0.0607673	0.0242566	0.0225398	0.0200917	0.0542219	0.0175476	0.0626011	0.0483729	0.0535274	0.0276128	0.0320666	0.253588	0.151017	0.126709	0.030089	0.37782	0.0607769	0.182147	0.262455	0.241168	0.314231	3.534997
4	0	-15467.4	-15449.4	-18.0454	0.12758	0.113058	0.0282893	0.0910544	0.103067	0.0126382	0.123786	0.0877837	0.125247	0.154137	0.0687127	0.075758	0.0986639	0.0967569	0.0785342	0.0563787	0.125881	0.0867423	0.134461	0.179564	0.0668461	0.0929779	0.132809	0.0257275	0.0181938	0.0401934	0.020928	0.068978	0.0187628	0.0386921	0.010169	0.0197853	0.0247371	0.0491766	0.0272023	0.00635197	0.0369467	0.0704154	0.0597311	0.0153323	0.010248	0.005941	0.00962359	0.266443	0.117868	0.0629622	0.0260944	0.517752	0.00888008	0.24263	0.241208	0.21353	0.302631	2.837863
5	1	-15362.7	-15353.7	-8.99898	0.165739	0.0861026	0.0868031	0.0444969	0.11401	0.0837464	0.181385	0.194379	0.092834	0.144417	0.0634093	0.0858413	0.080173	0.0999786	0.120492	0.000279917	0.226404	0.108142	0.107583	0.0632738	0.0880341	0.241671	0.13952	0.0171633	0.0376947	0.00285254	0.0283046	0.0404445	0.000161017	0.114475	0.12031	0.0610135	0.0268722	0.0195677	0.0333973	0.0243794	0.0325718	0.0142259	0.0171123	0.0266218	0.0356014	0.0345871	0.0355276	0.2532	0.196196	0.11541	0.0113944	0.377241	0.0465589	0.184096	0.265264	0.233046	0.317594	3.341599
6	0	-14829.1	-14818	-11.0543	0.12743	0.0818034	0.0626589	0.107171	0.10368	0.0577988	0.10736	0.0675103	0.0814236	0.155866	0.0650048	0.0721407	0.0947276	0.0968944	0.0870691	0.11538	0.123623	0.121153	0.125268	0.122925	0.0833573	0.0672901	0.144877	0.0318771	0.0123637	0.0267548	0.0126336	0.0365934	0.0183202	0.0378679	0.0377986	0.0352618	0.0149072	0.0332925	0.0266433	0.0118206	0.0250301	0.0495419	0.0195249	0.0214043	0.012667	0.0374644	0.0258105	0.238303	0.194489	0.064152	0.0233384	0.463069	0.0166488	0.247965	0.204178	0.253805	0.294052	2.79999
7	1	-14969.6	-14959.1	-10.421	0.122365	0.0825134	0.0828237	0.0709707	0.0990994	0.066897	0.142708	0.0615588	0.0851617	0.15697	0.0717256	0.0841207	0.0917066	0.0888315	0.118546	0.000873332	0.225119	0.106594	0.0993762	0.0881955	0.0776061	0.201172	0.167705	0.026755	0.0420298	0.0414507	0.0346765	0.0556701	0.000367273	0.0997858	0.075105	0.0509835	0.0354439	0.0289049	0.0372968	0.0138705	0.0187649	0.0204372	0.0122306	0.0214732	0.0500381	0.0348777	0.0419701	0.213326	0.221299	0.122729	0.0198203	0.401163	0.0216635	0.22556	0.226473	0.198967	0.349	3.134771
8	0	-14641.5	-14627.8	-13.7689	0.13082	0.0936152	0.103035	0.0899452	0.0949859	0.0819643	0.132641	0.0800911	0.0779677	0.19231	0.0600578	0.0800746	0.101062	0.0883645	0.126239	0.124039	0.127419	0.133535	0.136098	0.0836897	0.0832211	0.0902397	0.168014	0.0276179	0.014377	0.0242696	0.0237431	0.0343942	0.0178722	0.0394726	0.030483	0.0409262	0.0331644	0.0184026	0.0146325	0.0115078	0.0276671	0.0425451	0.0228484	0.0111557	0.0316752	0.0231159	0.0588349	0.235963	0.192579	0.0741943	0.0237538	0.458522	0.0149887	0.25033	0.223498	0.204296	0.321876	3.028134
9	1	-14874.1	-14865.9	-8.2275	0.126886	0.103739	0.0961866	0.080766	0.114456	0.0868484	0.119784	0.0688896	0.0914891	0.15697	0.0912304	0.0733123	0.108676	0.0808888	0.117224	0.00308495	0.224711	0.133072	0.0926412	0.0621772	0.0663418	0.139225	0.168912	0.0313062	0.0463081	0.0571686	0.0248053	0.0396484	0.00122537	0.105427	0.039537	0.0557755	0.0199245	0.0300605	0.0208021	0.021697	0.00822951	0.0264424	0.0203175	0.0151365	0.0562404	0.0392204	0.0470546	0.238484	0.228576	0.0713637	0.0260238	0.408568	0.026984	0.223232	0.234456	0.196913	0.345398	3.113839
