Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-23185.5	-23175.9	-9.69019	1	0.0810735	0.273101	0.144682	0.054816	0.00619249	0.0560003	0.132345	0.000135129	0.131995	0.057943	0.103831	0.0309734	0.0303691	0.215208	0.0247883	0.0232978	0.000616067	0.0661165	0.0617054	0.00859939	0.43151	0.0601567	0.00467967	0.14315	0.0352532	0.217328	0.043424	0.389161	0.208215	0.114433	0.226462	0.0307706	0.0506531	0.0793193	0.0222512	0.138304	0.174942	0.148486	0.144179	0.00244114	0.0244756	0.0571103	0.0232924	0.199317	0.480662	0.0395927	0.23547	0.0102178	0.0347415	0.136954	0.476752	1	2.38629	0.010475	0.381873	0.2244	0.383252	4.273784
1	1	-22571.1	-22564.3	-6.87273	1	0.0137208	0.000165423	0.446966	0.0808183	0.02298	0.0333449	0.206492	0.275218	0.0249335	0.0271253	0.0121288	0.0133452	0.294322	0.0289892	0.109638	0.0353724	0.136421	0.0225718	0.13401	0.105893	0.124414	0.0253542	0.0668653	0.00882731	0.0204043	0.0024148	0.00732853	0.0436927	0.147669	0.0730034	0.0567491	0.00608927	0.277837	0.0376527	0.00169105	0.0103032	0.154032	0.300472	0.158732	0.255173	0.0752571	0.0986164	0.0150037	0.144023	0.0766169	0.014006	0.165347	0.0190134	0.580994	0.136954	0.476752	1	2.38629	0.177332	0.533604	0.238817	0.0502463	3.992038
2	0	-16216.4	-16214.1	-2.23703	0.3629701	0.101824	0.265031	0.124909	0.185249	0.0980964	0.0645462	0.191257	0.000227744	0.116113	0.138687	0.117403	0.0570141	0.0965943	0.113089	0.0867578	0.110796	0.000935337	0.0977482	0.140983	0.0209216	0.092998	0.0994905	0.010384	0.11625	0.0245792	0.134226	0.00921574	0.0389463	0.0509367	0.0809679	0.141759	0.0225988	0.0735232	0.0832462	0.0117743	0.0654793	0.157619	0.0584543	0.0524238	0.00871005	0.0120312	0.0343558	0.0203166	0.0962443	0.867056	0.0108052	0.00382795	0.0145551	0.00751141	0.0117546	0.153605	0.687887	3.14675	0.0964121	0.15338	0.0101099	0.740098	3.528468
3	1	-14656.1	-14641	-15.1794	0.3220416	0.108948	6.92322e-05	0.296988	0.139937	0.0952326	0.145854	0.200705	0.10556	0.044788	0.215166	0.0406832	0.124817	0.228099	0.0922537	0.171546	0.0909659	0.151697	0.108773	0.25922	0.403893	0.0976393	0.106446	0.214587	0.0326906	0.00615968	0.0064631	0.0112847	0.025833	0.0784965	0.0297183	0.0406063	0.0217221	0.172612	0.0837056	0.00352531	0.00481881	0.067746	0.16948	0.297789	0.181608	0.0405001	0.0786499	0.0254295	0.0917904	0.73507	0.0134275	0.0513037	0.107583	0.000825002	0.00725266	0.121715	0.631028	3.24	0.225227	0.343352	0.031383	0.400038	4.822707
4	0	-14391	-14378.8	-12.2073	0.2599266	0.102451	0.363011	0.17624	0.163517	0.127429	0.0884776	0.197072	0.000219446	0.124252	0.129184	0.120111	0.161378	0.108301	0.165916	0.189738	0.188228	0.00128687	0.184133	0.334021	0.120666	0.0858166	0.0840759	0.203424	0.0860386	0.0257228	0.126526	0.00166847	0.0131663	0.0581604	0.0269488	0.200659	0.0313785	0.106288	0.0619554	0.0029862	0.0339803	0.194518	0.0486403	0.0104954	0.0324294	0.00973421	0.0319221	0.00332343	0.0330666	0.892621	0.0116124	0.0186414	0.0286673	0.0153915	0.00260703	0.0739465	0.521957	3.40149	0.211832	0.373691	0.0222129	0.392264	4.525491
5	1	-13943.7	-13928.3	-15.3567	0.3692304	0.183167	0.000149939	0.213758	0.125558	0.144036	0.13367	0.192387	0.0934797	0.0836674	0.277361	0.121135	0.234877	0.171427	0.164586	0.16146	0.21724	0.202832	0.124073	0.23413	0.25407	0.1448	0.136972	0.305776	0.0190743	0.00553259	0.0341723	0.00208915	0.0503573	0.0219646	0.0973284	0.0288676	0.0502496	0.0768572	0.086273	0.00685749	0.0014821	0.0403773	0.0514777	0.114264	0.140897	0.0182435	0.0116996	0.061758	0.0524957	0.818368	0.0111361	0.019676	0.0668091	0.0315151	0.0125371	0.158426	0.695716	3.13332	0.225227	0.343352	0.031383	0.400038	4.840435
6	0	-13853.8	-13832.3	-21.5084	0.2372333	0.122521	0.353693	0.217005	0.137381	0.135985	0.114742	0.217455	0.000426179	0.191986	0.264854	0.138147	0.144195	0.212424	0.158054	0.242292	0.26095	0.00180254	0.185578	0.402658	0.140314	0.125072	0.0748729	0.426068	0.183589	0.0272457	0.0505158	0.00986827	0.0167371	0.100757	0.0336383	0.192852	0.0277509	0.108567	0.0207554	0.000631854	0.0214875	0.148998	0.0699794	0.0129524	0.060178	0.0126854	0.0848329	0.00310857	0.0313923	0.847423	0.0111961	0.0202768	0.0580698	0.0316421	0.0015692	0.0576377	0.473778	3.46701	0.239567	0.42268	0.0384938	0.299259	5.455607
7	1	-13663.8	-13643.9	-19.807	0.3428098	0.229809	0.000268212	0.284448	0.096432	0.127753	0.174074	0.218787	0.114792	0.103286	0.266954	0.123995	0.211328	0.16595	0.187194	0.13713	0.269817	0.23012	0.159129	0.288026	0.21944	0.0997883	0.0906465	0.324031	0.0385847	0.0197128	0.0638695	0.00100355	0.0446212	0.0156971	0.202578	0.0755977	0.1724	0.0642697	0.0382531	0.0102135	0.000268943	0.0259142	0.0251992	0.0567842	0.157062	0.0181388	0.0194105	0.112686	0.0532931	0.738064	0.016479	0.0436193	0.11079	0.0377549	0.00940056	0.137955	0.661167	3.19148	0.224482	0.399672	0.0320047	0.343841	5.285461
8	0	-13536.1	-13507.1	-28.9941	0.2878782	0.204679	0.135509	0.154505	0.134197	0.179442	0.116511	0.229444	0.00063798	0.221973	0.304074	0.107024	0.144195	0.250647	0.2422	0.202638	0.354099	0.00243601	0.26243	0.522883	0.12344	0.120461	0.109346	0.465477	0.17928	0.0715324	0.0657246	0.020353	0.00908291	0.206011	0.0377328	0.196276	0.0911635	0.0480607	0.0595511	0.000986013	0.0496907	0.193422	0.125544	0.0182107	0.0663181	0.0214646	0.127826	0.0277025	0.0285925	0.828631	0.0141111	0.0155973	0.0731883	0.0398801	0.00436364	0.0951047	0.574873	3.32566	0.244895	0.409842	0.0393498	0.305913	6.204178
9	1	-13457.8	-13429.4	-28.4121	0.2999538	0.253547	0.000197325	0.160009	0.101787	0.169831	0.174074	0.269194	0.129531	0.0904371	0.349554	0.177554	0.229212	0.141827	0.251883	0.267999	0.28923	0.238499	0.212287	0.218811	0.120045	0.142886	0.0875907	0.468896	0.0334449	0.0372987	0.0981651	0.00179052	0.0689678	0.0260283	0.17484	0.0752612	0.338452	0.132419	0.0237145	0.00931422	0.000220047	0.0677375	0.124094	0.0692747	0.148407	0.0321552	0.00870087	0.130812	0.0200884	0.773004	0.0147917	0.0610322	0.0935168	0.0375666	0.00529156	0.104459	0.595725	3.29452	0.234582	0.394881	0.0316211	0.338916	6.145977
