Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	0	-18370.2	-18355.8	-14.3654	1	0.235124	0.0888722	0.0479588	0.0771526	0.0345598	0.0752425	0.29988	0.179243	0.0573723	0.192915	0.00499043	0.134574	0.136937	0.0845475	0.0765239	0.00380993	0.253909	0.0881894	0.301068	0.135234	0.104475	0.0344375	0.0565455	0.0882723	0.0251197	0.078442	0.0397793	0.0431199	0.0686064	0.32219	0.259031	0.129657	0.160817	0.195424	0.0544395	0.0725328	0.0130043	0.0125624	0.048312	0.309829	0.0295924	0.014764	0.0722493	0.0146554	0.130257	0.0421612	0.438361	0.315389	0.0591763	0.136954	0.476752	1	2.38629	0.257823	0.257548	0.22141	0.263219	0.9319475	4.741306
1	1	-17689.5	-17674.1	-15.4458	1	0.348999	0.407743	0.112141	0.0195759	0.179018	0.00344401	0.101158	0.267576	0.0251806	0.257322	0.204043	0.0410569	0.132812	0.115326	0.0766888	0.00732006	0.0736714	0.277169	0.11738	0.0109774	0.012628	0.120683	0.191687	0.00589358	0.150248	0.0185624	0.00502015	0.251259	0.152548	0.0496244	0.0655107	0.0316562	0.00775551	0.018508	0.0875826	0.0834627	0.123251	0.0106024	0.0104441	0.159906	0.147856	0.287494	0.0785585	0.105839	0.03628	0.0202342	0.00965388	0.265578	0.562415	0.136954	0.476752	1	2.38629	0.404783	0.246715	0.0174058	0.331096	0.8544075	4.849341
2	0	-14699	-14676.1	-22.9322	1.124724	0.24795	0.123812	0.101614	0.319824	0.181126	0.120344	0.176806	0.336478	0.338273	0.246087	0.042067	0.111444	0.104391	0.161105	0.346887	0.00461069	0.236554	0.163291	0.263002	0.0748355	0.11635	0.0379101	0.38513	0.0331896	0.0460072	0.0616221	0.0292683	0.0773636	0.0282045	0.135522	0.244387	0.0306677	0.129255	0.0349881	0.0372442	0.015984	0.0252753	0.0224145	0.086645	0.16023	0.00614218	0.01432	0.139358	0.101633	0.148062	0.0571486	4.01135e-06	0.678536	0.014617	0.161147	0.511278	1.01794	2.30963	0.406639	0.216845	0.154896	0.221619	0.5586636	5.59798
3	1	-14057.6	-14041.7	-15.9331	0.8376827	0.23909	0.137417	0.197536	0.0697668	0.27159	0.0120984	0.185165	0.303262	0.043712	0.221877	0.179163	0.216875	0.164317	0.163967	0.111381	0.0246893	0.118362	0.185361	0.184959	0.0854581	0.0189976	0.124151	0.286675	0.0133516	0.120754	0.0223793	0.0103891	0.0966579	0.0855387	0.0552455	0.0300595	0.0674379	0.0101849	0.0128387	0.0559052	0.0654402	0.203396	0.0368587	0.0160632	0.0377064	0.136197	0.140027	0.135775	0.0667758	0.33064	0.0186942	0.0326358	0.465994	0.08526	0.103548	0.421874	0.966873	2.5077	0.433808	0.310274	0.0647689	0.191149	0.3976463	4.898079
4	0	-13951	-13929.2	-21.7982	0.7762586	0.511084	0.115745	0.184257	0.15482	0.160654	0.117316	0.238854	0.258022	0.344086	0.269162	0.0902351	0.0882355	0.192426	0.155143	0.354573	0.0136072	0.175526	0.200642	0.231442	0.100135	0.0904929	0.0348014	0.439483	0.00525382	0.0447232	0.0454413	0.0386207	0.0541491	0.0460473	0.0278271	0.0870469	0.0179139	0.0325658	0.0395089	0.0136673	0.0147066	0.0828386	0.0729962	0.0804768	0.154865	0.0133474	0.0311512	0.0606973	0.0987723	0.143895	0.0528589	0.00243602	0.659439	0.0425985	0.0904977	0.397397	0.950153	2.56195	0.392928	0.248309	0.144617	0.214146	0.2425817	5.484584
5	1	-13322.5	-13303.5	-19.0087	0.9369609	0.175812	0.13514	0.188635	0.136704	0.192324	0.0428012	0.180001	0.132754	0.0957453	0.222704	0.0836108	0.0760163	0.179738	0.274887	0.196536	0.254235	0.213399	0.192645	0.229277	0.0664149	0.114728	0.113044	0.32998	0.0101406	0.0546061	0.0389573	0.0352681	0.135479	0.0606238	0.0245862	0.0410241	0.101734	0.00942825	0.0352958	0.0777691	0.0564198	0.0653439	0.05972	0.0284087	0.0314418	0.144341	0.155026	0.212884	0.0636402	0.366149	0.0178164	0.0370777	0.444112	0.0712051	0.124211	0.456948	0.988715	2.43013	0.419048	0.333742	0.0625652	0.184645	0.3976463	5.205631
6	0	-13476.4	-13458.6	-17.7781	0.8075282	0.406114	0.187376	0.15948	0.130697	0.159806	0.0973777	0.180323	0.178027	0.177514	0.305194	0.122142	0.13124	0.169721	0.187251	0.203799	0.0631487	0.292566	0.191338	0.210298	0.0831546	0.11236	0.10733	0.279782	0.00596963	0.0713637	0.0806282	0.0327595	0.0356045	0.0304175	0.052417	0.0751218	0.00900469	0.00791517	0.0322395	0.0239471	0.0382705	0.0592969	0.0360844	0.152138	0.0620564	0.0211162	0.0965288	0.023656	0.0981493	0.173344	0.0399633	0.00938071	0.65528	0.0238823	0.0971597	0.410147	0.959019	2.53367	0.394043	0.272649	0.118554	0.214754	0.3050848	5.082571
7	1	-13164.6	-13142.8	-21.8149	1.098606	0.261806	0.147691	0.135611	0.138884	0.174016	0.146092	0.23367	0.140926	0.109175	0.294137	0.147132	0.117084	0.189277	0.205853	0.147248	0.255755	0.201513	0.195883	0.175649	0.0994998	0.11132	0.0778442	0.358376	0.0161233	0.057619	0.0125255	0.131246	0.0979037	0.0439606	0.0192419	0.0689626	0.0830645	0.0062597	0.0240799	0.0672999	0.0948218	0.0493202	0.0799528	0.0573068	0.0567424	0.137118	0.163754	0.154512	0.0637738	0.345056	0.0499774	0.0198133	0.481598	0.0397819	0.156198	0.504508	1.01459	2.3247	0.34335	0.355356	0.0783192	0.222975	0.3976463	5.486259
8	0	-13227.3	-13208.3	-18.9939	1.022367	0.230593	0.168355	0.166136	0.168459	0.212532	0.0902209	0.189296	0.130284	0.145745	0.234005	0.0838869	0.108866	0.197487	0.15109	0.221583	0.121729	0.263034	0.168163	0.184233	0.0944711	0.122671	0.104754	0.290272	0.0193908	0.117643	0.0684443	0.0554804	0.0666527	0.0650309	0.0329682	0.0509895	0.005369	0.0148317	0.0719901	0.0188585	0.114483	0.0819232	0.0741592	0.124647	0.0283961	0.0708633	0.249124	0.0250429	0.0948894	0.22276	0.049971	0.00398167	0.586461	0.0419374	0.141395	0.483373	1.00361	2.37162	0.336359	0.298603	0.129839	0.235198	0.3050848	5.204154
9	1	-13156.1	-13129.7	-26.3895	1.116231	0.296125	0.123351	0.174304	0.120844	0.214207	0.138912	0.244421	0.139486	0.155359	0.296967	0.103337	0.148948	0.178175	0.23583	0.197361	0.233931	0.217854	0.189748	0.201176	0.084891	0.134869	0.107001	0.36139	0.0353894	0.0839623	0.013398	0.151987	0.0612153	0.0529508	0.00852075	0.0646595	0.0689827	0.00438961	0.02433	0.0740756	0.0979804	0.0182374	0.0982658	0.117972	0.128624	0.146393	0.179258	0.214633	0.0636026	0.344129	0.0498433	0.0224443	0.480305	0.0396751	0.159544	0.509102	1.01687	2.31448	0.336253	0.359864	0.0780797	0.225804	0.3976463	5.943712
