Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-20715.5	-20692.9	-22.6108	1	0.0256342	0.0214512	0.349443	0.00359373	0.135626	0.0463565	0.00485179	0.169236	0.16414	0.225782	0.158676	0.0833922	0.108949	0.00407821	0.0443919	0.207768	0.253601	0.0648682	0.0156373	0.0418004	0.396825	0.135053	0.188811	0.0654274	0.100344	0.302253	0.0471007	0.054924	0.0223118	0.0643892	0.177113	0.0609453	0.066572	0.447772	0.168857	0.122242	0.0777005	0.0437011	0.459601	0.00948235	0.185667	0.0216541	0.217828	0.0459812	0.0365661	0.189301	0.147668	0.382189	0.198294	0.136954	0.476752	1	2.38629	0.583974	0.0587312	0.293043	0.0642522	0.05105509	5.56585
10	-14797	-14764.1	-32.9851	0.5672686	0.32094	0.0989726	0.424599	0.00618165	0.210256	0.21075	0.00864008	0.444803	0.288336	0.265899	0.14161	0.16191	0.197602	0.00430809	0.0511187	0.292411	0.344516	0.098915	0.0624084	0.0869086	0.127608	0.19065	0.660719	0.0707796	0.0234776	0.0963916	0.0135027	0.0259724	0.0250888	0.037536	0.0439995	0.0983992	0.0759985	0.307087	0.145496	0.280414	0.0377579	0.135078	0.10743	0.0213045	0.139303	0.00904586	0.209146	0.0434609	0.0947097	0.0575499	4.07837e-18	0.801466	0.00281304	0.0464353	0.293581	0.863655	2.79633	0.357191	0.35032	0.179241	0.113248	0.3147533	6.603271
20	-13939.3	-13890.4	-48.9233	0.6491076	0.36992	0.439731	0.58631	0.0175252	0.334381	0.214962	0.0164737	0.136232	0.243223	0.404081	0.172651	0.16191	0.250987	0.00549291	0.320055	0.292411	0.279353	0.186378	0.13656	0.100728	0.159048	0.131563	1.13655	0.035711	0.0848616	0.0204377	0.0345437	0.01918	0.06436	0.108825	0.0367441	0.030373	0.0757466	0.290413	0.0809318	0.508245	0.0334609	0.274652	0.11049	0.012642	0.096303	0.0225292	0.160122	0.0405288	0.0883201	0.14071	2.27711e-18	0.710604	0.0198372	0.0633692	0.338495	0.904444	2.69369	0.253829	0.373895	0.17	0.202276	0.3028528	8.197093
30	-13623.2	-13577.9	-45.3541	0.7922877	0.343785	0.162378	0.325237	0.0306544	0.358471	0.209094	0.02697	0.122374	0.184793	0.404081	0.159554	0.120961	0.234052	0.00787281	0.367066	0.513499	0.312409	0.217773	0.196558	0.117635	0.129256	0.162422	1.25222	0.0382139	0.0649563	0.0215424	0.0345414	0.0153524	0.163871	0.0125407	0.0755041	0.0432782	0.077087	0.340409	0.0424373	0.333986	0.0524796	0.212528	0.0576574	0.037115	0.0771283	0.00512104	0.175311	0.0393126	0.124637	0.110643	4.47043e-18	0.686345	0.0390628	0.0939166	0.40401	0.954795	2.54728	0.381575	0.308364	0.141814	0.168246	0.3089091	7.840174
40	-13397.3	-13360.3	-37.0496	0.8424956	0.374382	0.116086	0.20478	0.0298357	0.326551	0.159508	0.0714231	0.158446	0.212534	0.342182	0.146976	0.126756	0.305427	0.0108074	0.41084	0.322346	0.312685	0.220981	0.229218	0.0892796	0.154749	0.162422	0.751202	0.0322839	0.26313	0.0466482	0.124663	0.0236335	0.0763291	0.029314	0.0699632	0.0272515	0.0458853	0.205153	0.0834004	0.118487	0.0686507	0.238086	0.0313782	0.086763	0.0330141	0.00268614	0.163587	0.0404078	0.128109	0.0779127	3.43192e-18	0.705466	0.0481046	0.104564	0.423696	0.968068	2.50367	0.379142	0.324395	0.119469	0.176993	0.3102874	7.009726
50	-13299.4	-13262.5	-36.8971	0.9311896	0.314655	0.161378	0.153441	0.0403085	0.190472	0.209294	0.260739	0.136852	0.161613	0.328415	0.146179	0.131091	0.243232	0.0352533	0.354312	0.250643	0.326053	0.264277	0.239266	0.106091	0.142217	0.125527	0.911303	0.0762084	0.157972	0.123877	0.0674302	0.0243474	0.0195692	0.0584114	0.0452617	0.0523492	0.109393	0.250169	0.184298	0.0552112	0.0501041	0.146417	0.0507429	0.0896083	0.0326091	0.00124265	0.166643	0.0428577	0.188104	0.0826363	1.89574e-18	0.635381	0.0510211	0.123028	0.455045	0.987592	2.43433	0.337112	0.346356	0.127557	0.188975	0.3867583	6.994476
60	-13205.3	-13174.7	-30.623	0.9700013	0.314655	0.141119	0.136537	0.0967009	0.236323	0.108115	0.181523	0.133189	0.128978	0.364043	0.138118	0.137389	0.180089	0.154417	0.198031	0.28918	0.346688	0.246591	0.226433	0.101997	0.155347	0.125268	0.55992	0.0744374	0.224803	0.0800771	0.0292338	0.0184536	0.0985025	0.0721892	0.0635966	0.0490254	0.0837011	0.183437	0.150606	0.0420731	0.0689871	0.0782076	0.070634	0.0996633	0.0296482	0.0010844	0.148057	0.0428577	0.188104	0.0826363	1.16963e-18	0.635381	0.0510211	0.13093	0.467545	0.994846	2.40668	0.325297	0.368641	0.109234	0.196828	0.3556633	6.367069
70	-13169.1	-13139.9	-29.1205	0.9700013	0.270959	0.163576	0.185551	0.136848	0.212665	0.142059	0.196139	0.0995368	0.175425	0.346556	0.136029	0.148935	0.231235	0.179081	0.193281	0.256757	0.322325	0.245377	0.189827	0.0956332	0.175954	0.091967	0.441819	0.0763025	0.248502	0.0626371	0.0318525	0.01354	0.259376	0.0536881	0.121197	0.0458675	0.06859	0.0671041	0.129016	0.0262512	0.0510485	0.0448331	0.0571348	0.0713557	0.0284792	0.00133855	0.121172	0.0453502	0.195051	0.0792063	1.03655e-18	0.643511	0.0368813	0.13093	0.467545	0.994846	2.40668	0.333102	0.353491	0.111855	0.201551	0.3556633	6.21682
80	-13176.5	-13144.9	-31.6045	0.8876758	0.236679	0.14289	0.208759	0.135778	0.19073	0.211441	0.201271	0.195841	0.138165	0.360199	0.183011	0.105852	0.202661	0.222375	0.269294	0.253263	0.267323	0.183543	0.297649	0.109068	0.152959	0.0847811	0.471946	0.0625112	0.228233	0.0950876	0.0517098	0.0309806	0.163139	0.0901013	0.0497266	0.046225	0.0656012	0.0671984	0.219821	0.0127261	0.0507059	0.0309894	0.0734485	0.0798562	0.0726018	0.00213704	0.146939	0.0458001	0.196986	0.0699514	6.83299e-19	0.649896	0.0373664	0.114034	0.440177	0.978573	2.46722	0.333038	0.353423	0.111834	0.201705	0.3556633	6.465218
90	-13163.2	-13134	-29.219	0.8146025	0.298239	0.135942	0.150979	0.173043	0.25095	0.108778	0.206926	0.160799	0.133083	0.303225	0.134051	0.128363	0.191722	0.246129	0.250186	0.29086	0.258359	0.204633	0.204799	0.0969052	0.144789	0.0847811	0.451927	0.028141	0.172311	0.18729	0.0907805	0.0571342	0.202237	0.0731753	0.0736541	0.0660297	0.0686694	0.0421455	0.143965	0.0076479	0.0427808	0.0210536	0.0676385	0.105685	0.057106	0.00258122	0.107175	0.0454438	0.201729	0.0695461	7.34705e-19	0.646131	0.0371499	0.098662	0.412947	0.96092	2.52747	0.336135	0.34741	0.112874	0.203581	0.3470495	6.226669
