Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-21599.7	-21608.8	9.1115	0.00570709	0.102488	0.0104914	0.17725	0.291406	0.00946058	0.0909973	0.0580392	0.0457855	0.0609205	0.0170543	0.00385304	0.0711348	0.0305875	0.000573667	0.000595184	0.0610844	0.0267459	0.0162227	0.329148	0.00209921	0.110369	0.288544	0.000299459	0.0563001	0.144892	0.103255	0.115447	0.0296197	0.175842	0.186291	0.0978673	0.110418	0.00631406	0.0205583	0.183438	0.092392	0.214644	0.0052517	0.0112016	0.119774	0.0383357	0.0935943	1.499785	0.0653293	0.145486	0.208085	0.581099	3.616293
1	1	-21647.3	-21651.2	3.88643	0.175218	0.175776	0.0570034	0.162802	0.201872	0.199536	0.194882	0.0186998	0.0617629	0.0289926	0.0715992	0.0523955	0.0207512	0.00729345	0.139815	0.0266903	0.0484574	0.00712481	0.011742	0.0144868	0.0162734	0.449729	0.104137	0.0634335	0.00563043	0.0447328	0.226181	0.0202941	0.103686	0.0112923	0.0536392	0.115082	0.0494984	0.143922	0.0814135	0.0820948	0.00918099	0.352826	0.28449	0.0542115	0.0413823	0.0197673	0.028421	2.709161	0.219843	0.177537	0.482528	0.120091	4.038219
2	0	-16957.9	-16963.3	5.48799	0.0217025	0.156055	0.0314808	0.175405	0.195496	0.0168887	0.1225	0.134343	0.121821	0.197014	0.0318419	0.0250463	0.128163	0.0861773	0.00498693	0.00108802	0.11529	0.0440517	0.0581296	0.250726	0.00271784	0.114873	0.222748	0.000701022	0.0514347	0.123277	0.0358844	0.102161	0.0104525	0.197484	0.252815	0.0894174	0.134663	0.0309393	0.0574637	0.0348836	0.0829716	0.105636	0.020993	0.00470788	0.105042	0.0507369	0.0498245	3.877688	0.29803	0.26926	0.101644	0.331066	3.800034
3	1	-16737.8	-16745.5	7.62647	0.264743	0.222228	0.109549	0.166223	0.10776	0.0738087	0.119067	0.0744543	0.142315	0.0715165	0.131907	0.0738651	0.0469105	0.0204002	0.118095	0.120408	0.171731	0.0290317	0.0320497	0.0596808	0.0360377	0.219556	0.191364	0.0563888	0.0296495	0.0718711	0.0972971	0.0725047	0.0527252	0.0179498	0.0313451	0.0849094	0.0352293	0.0554993	0.00433872	0.0741221	0.0444484	0.148572	0.0311137	0.0257811	0.0749154	0.0181189	0.0177353	2.944808	0.290889	0.288457	0.0855091	0.335145	3.647214
4	0	-15625.5	-15631.3	5.77586	0.0306734	0.13955	0.143042	0.180909	0.115799	0.0670012	0.125775	0.0841672	0.101751	0.178512	0.0880944	0.0738707	0.10276	0.131787	0.0234156	0.00281441	0.147353	0.163051	0.140185	0.245636	0.00777175	0.114265	0.269999	0.0012391	0.0291656	0.0607913	0.0510318	0.0326134	0.04862	0.114333	0.132078	0.162782	0.0915273	0.0356092	0.0422422	0.0228336	0.0622941	0.0290563	0.0629855	0.00868165	0.0539164	0.0267863	0.0247721	3.872824	0.289137	0.291065	0.0986111	0.321187	3.771542
5	1	-15131.1	-15140.7	9.59102	0.140853	0.0930043	0.160616	0.166223	0.114366	0.0793316	0.14551	0.0763114	0.125339	0.188399	0.077862	0.0779303	0.102882	0.0325471	0.138021	0.140355	0.136409	0.108741	0.0839623	0.104546	0.0990513	0.118443	0.203674	0.040177	0.048452	0.0350001	0.04824	0.0311917	0.0277936	0.0177001	0.016151	0.0688063	0.0277671	0.0410647	0.0255908	0.0200667	0.0430316	0.0765902	0.0210855	0.0159852	0.0499056	0.0132932	0.0183989	3.700005	0.285005	0.282623	0.0972591	0.335113	3.400668
6	0	-15081.7	-15090.7	9.00754	0.126028	0.0893837	0.181608	0.16055	0.122581	0.0670012	0.122339	0.101109	0.0963788	0.178512	0.0737455	0.102072	0.0874455	0.0994639	0.138473	0.00570139	0.127492	0.150375	0.11146	0.0676017	0.0106934	0.10622	0.283542	0.00519753	0.0486836	0.0446269	0.0562312	0.0307445	0.0216139	0.0701811	0.0266218	0.117321	0.0599046	0.0219421	0.0293712	0.0235084	0.0435948	0.0407598	0.0515409	0.0334706	0.0495949	0.0310135	0.023482	4.025813	0.279647	0.281511	0.0953743	0.343468	3.439179
7	1	-14873.2	-14884.1	10.8508	0.136086	0.112766	0.112542	0.0987499	0.119872	0.0780575	0.117566	0.0929666	0.0791607	0.209528	0.064186	0.0993831	0.102882	0.107471	0.117925	0.11146	0.151517	0.132454	0.12406	0.0717932	0.0938582	0.100547	0.173459	0.0125236	0.0377763	0.0141996	0.0543653	0.0281182	0.0271905	0.0259147	0.0158654	0.0715653	0.0232411	0.0277108	0.0248153	0.0320347	0.0456611	0.0560384	0.0199572	0.0313379	0.044112	0.0314081	0.0338417	3.841269	0.285005	0.282623	0.0972591	0.335113	3.265967
8	0	-14810.2	-14820.4	10.2537	0.16906	0.0953453	0.112699	0.101558	0.110861	0.0808811	0.108925	0.0713319	0.102249	0.16501	0.0777654	0.0971243	0.111416	0.0976826	0.130067	0.043821	0.118319	0.122568	0.118373	0.0770156	0.0525514	0.102569	0.24064	0.015692	0.0352067	0.0359115	0.0533683	0.0257374	0.0304641	0.0706281	0.0865417	0.0479726	0.017866	0.0335639	0.0234129	0.0646945	0.0452892	0.0363924	0.0280953	0.0332632	0.0540258	0.0483586	0.0285959	3.886747	0.272081	0.291323	0.0948859	0.341709	3.322915
9	1	-14806.3	-14816	9.74479	0.149072	0.100127	0.117348	0.123153	0.112687	0.0834012	0.131081	0.0861899	0.114778	0.221649	0.07383	0.0896381	0.119648	0.0920663	0.113874	0.121111	0.120579	0.117255	0.135597	0.0883523	0.0813541	0.0691017	0.159746	0.00406699	0.0450285	0.0163321	0.0324801	0.0419989	0.0409909	0.0425774	0.0697795	0.068699	0.0306794	0.0393289	0.0223756	0.0293992	0.0446167	0.0335422	0.0217696	0.047091	0.0509668	0.0309546	0.026654	4.101664	0.285005	0.282623	0.0972591	0.335113	3.360971
