Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	0	-19207.3	-19207.1	-0.200645	0.0504007	0.28871	0.222199	0.0140126	0.0981229	0.0382405	0.0474509	0.441149	0.0670106	0.527355	0.213753	0.0257115	0.0301812	0.0542201	0.0711369	0.0316172	0.161792	0.112409	0.172235	0.0485548	0.196277	0.168782	0.094523	0.0901681	0.00746512	0.0334571	0.314933	0.0874	0.0404047	0.0248554	0.0147162	0.0960927	0.106844	0.086631	0.0155744	0.0152749	0.054066	0.0448949	0.0616526	0.088688	0.00947766	0.00369902	0.136834	4.508972
1	1	-20261.9	-20260.1	-1.80305	0.000480844	0.0888466	0.124182	0.0267152	0.202294	0.296458	0.0212551	0.0901626	0.16691	0.0387651	0.246111	0.149154	0.110467	0.0399448	0.00596547	0.0724114	0.214025	0.100363	0.0174198	0.0170317	0.0381672	0.223474	0.0821755	0.16553	0.00805453	0.0494813	0.226635	0.15364	0.111803	0.100766	0.017013	0.0958247	0.056712	0.118289	0.293677	0.0148516	0.104852	0.222015	0.00127481	0.204791	0.0934476	0.17874	0.0790359	4.669213
2	0	-16875.6	-16883.2	7.63605	0.115046	0.135371	0.138688	0.042226	0.132958	0.0732304	0.165396	0.344433	0.0920431	0.16491	0.146474	0.0581867	0.0924172	0.0897269	0.127459	0.0739776	0.160426	0.114223	0.185714	0.0882712	0.0980653	0.0876813	0.176427	0.0622894	0.0120606	0.0116084	0.0351182	0.0714029	0.0321961	0.123445	0.03775	0.0538933	0.0293325	0.0774588	0.0237109	0.0410249	0.023136	0.0387205	0.0665734	0.0265578	0.00844417	0.0135129	0.0337185	3.725303
3	1	-17424.4	-17431.3	6.98067	0.00393208	0.16576	0.200733	0.0684862	0.120566	0.082141	0.134699	0.153029	0.0949785	0.124055	0.117203	0.128424	0.103477	0.0561374	0.050078	0.116335	0.181046	0.15621	0.0744746	0.0914904	0.109084	0.155762	0.184622	0.0388816	0.00545912	0.0344742	0.101974	0.0932993	0.12899	0.0705517	0.0192543	0.0426581	0.0380757	0.0419787	0.0832435	0.0147454	0.0998772	0.0576586	0.0180492	0.0596609	0.0747459	0.079543	0.0149985	3.790841
4	0	-16172.7	-16184.8	12.0707	0.103291	0.103947	0.124343	0.098473	0.132958	0.0739938	0.117622	0.0939451	0.114055	0.184128	0.146474	0.100194	0.0776555	0.101074	0.101874	0.137071	0.139868	0.113401	0.115224	0.11885	0.0817846	0.0914341	0.209616	0.0152547	0.0363461	0.0102303	0.0265531	0.0316643	0.0161541	0.0325044	0.0228921	0.0402756	0.0313392	0.0266041	0.0196442	0.0788339	0.0370689	0.0111557	0.0326333	0.034141	0.0117535	0.0449821	0.040528	3.281834
5	1	-16627.6	-16637.3	9.65498	0.0138115	0.175087	0.144421	0.0698185	0.105855	0.085478	0.106293	0.0854851	0.0803436	0.141941	0.0700693	0.108317	0.102423	0.113261	0.0898649	0.146341	0.139747	0.121597	0.175114	0.110265	0.100408	0.129575	0.167188	0.0112867	0.00456798	0.0368677	0.0520644	0.0708278	0.0754029	0.0591518	0.0268753	0.0610457	0.0445222	0.0435368	0.0426675	0.00946553	0.0515775	0.0491689	0.0477289	0.0364774	0.0363897	0.0864226	0.0946602	3.523409
6	0	-15932.6	-15945.3	12.7631	0.113481	0.0984616	0.0941871	0.0954559	0.094369	0.0774357	0.137747	0.11899	0.0894313	0.167917	0.110224	0.0778482	0.111945	0.0676543	0.129951	0.127445	0.139261	0.123781	0.129812	0.0730198	0.100536	0.086444	0.161051	0.0138039	0.0382394	0.0307915	0.01813	0.0240577	0.0364565	0.0293212	0.0195578	0.0551904	0.0147374	0.0292923	0.0315773	0.0703677	0.0415642	0.0107074	0.0373321	0.0325134	0.0596614	0.0304668	0.0623857	3.212602
7	1	-16134.1	-16144.5	10.4758	0.0724382	0.18554	0.0891042	0.0811218	0.122421	0.0913344	0.112688	0.0854851	0.11558	0.160594	0.080796	0.0943378	0.0967137	0.0945965	0.109076	0.143506	0.132899	0.126247	0.117086	0.0873604	0.0852594	0.119665	0.207922	0.0468085	0.0221534	0.0246303	0.0199903	0.0800849	0.0524337	0.025136	0.0119568	0.0218837	0.0364347	0.0431978	0.0318529	0.0225818	0.0335849	0.0571943	0.0423919	0.0370879	0.0222893	0.0883117	0.109553	3.441329
8	0	-15814.7	-15826.8	12.182	0.124631	0.0888287	0.102973	0.106004	0.117355	0.0664508	0.118494	0.0700958	0.102581	0.180501	0.0966871	0.100413	0.107356	0.0992989	0.117141	0.121166	0.164222	0.121474	0.116111	0.0960231	0.08289	0.0755023	0.145957	0.0204711	0.042801	0.0224735	0.0361969	0.02302	0.0455695	0.0275064	0.0186729	0.0656699	0.0163755	0.0332269	0.0520197	0.0787139	0.0494499	0.025483	0.0264033	0.0247131	0.0515654	0.0455379	0.0426835	3.270708
9	1	-15822	-15834.8	12.7616	0.116307	0.108939	0.112149	0.0956165	0.122421	0.0825344	0.118748	0.0967271	0.091923	0.164865	0.0862446	0.0943378	0.0904557	0.107782	0.110353	0.111923	0.131545	0.111935	0.12951	0.066486	0.0883084	0.0764116	0.176498	0.0170981	0.0243068	0.0493636	0.0172219	0.0807157	0.0147785	0.0525177	0.058896	0.0152862	0.0305531	0.0501803	0.0351933	0.0425749	0.0306409	0.025788	0.0269179	0.0370885	0.0131047	0.0455411	0.0529639	3.212751
