Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-19595	-19610	14.9652	0.011141	0.0863763	0.00889063	0.045348	0.0575297	0.129927	0.0750071	0.0516886	0.0350026	0.0302252	0.186846	0.0625759	0.0135221	0.0166865	0.0916303	0.0375333	0.0263407	0.0394547	0.0906797	0.113749	0.0507629	0.00946808	0.077667	0.0375624	0.0896026	0.183395	0.0591605	0.0233795	0.0790566	0.05191	0.21425	0.0742884	0.0259753	0.00824683	0.145207	0.518507	0.0633342	0.00662681	0.0243993	0.0564443	0.0695498	0.0415203	0.0510911	0.283986	0.415149	0.115822	0.185043	3.171559
1	1	-21648.5	-21653.9	5.42647	0.0783417	0.0980801	0.30344	0.0505023	0.0211832	0.0470752	0.0198301	0.116879	0.187233	0.00598471	0.20622	0.039568	0.0121318	0.0314248	0.164295	0.0820353	0.0946514	0.0439303	0.0837643	0.122208	0.0137667	0.178345	0.0854249	0.0291635	0.260776	0.00853451	0.240144	0.0196855	0.0236219	0.115177	0.0892311	0.28557	0.00865517	0.197559	0.130813	0.0461956	0.0102051	0.280556	0.11072	0.00261685	0.143092	0.0344577	0.00234701	0.472536	0.215349	0.257744	0.0543718	4.125437
2	0	-16715.4	-16729.9	14.4275	0.018748	0.141622	0.0851017	0.103232	0.0827815	0.241492	0.126806	0.100266	0.0993932	0.0329454	0.105188	0.117593	0.0801532	0.0531577	0.14186	0.074229	0.0779486	0.143053	0.116397	0.0736959	0.0828195	0.026634	0.209275	0.0588882	0.0251691	0.0826531	0.053054	0.0354783	0.0532753	0.0537116	0.0540188	0.0291246	0.0402904	0.063351	0.0444365	0.0744187	0.0455528	0.0128949	0.040721	0.0226151	0.0630507	0.0139512	0.0242891	0.23073	0.318638	0.0941025	0.356529	3.225337
3	1	-17187.5	-17196.8	9.25638	0.0784696	0.0793584	0.120227	0.0956815	0.0732037	0.0967117	0.0444508	0.135158	0.159942	0.025746	0.221209	0.141382	0.0419702	0.0926207	0.161007	0.126053	0.116294	0.117432	0.136861	0.12012	0.0359966	0.0851315	0.223477	0.0229336	0.0864168	0.00977197	0.10535	0.0266745	0.0220134	0.0495479	0.0349532	0.170059	0.013452	0.17962	0.056289	0.0461956	0.0180752	0.114037	0.0795491	0.006102	0.0997214	0.069016	0.0041629	0.21468	0.374225	0.167472	0.243623	3.742446
4	0	-15865.3	-15878.4	13.0874	0.0406793	0.0823112	0.107005	0.148203	0.123272	0.241492	0.110648	0.0980273	0.0860314	0.117643	0.0895807	0.0934128	0.106271	0.128045	0.131834	0.160223	0.111281	0.113609	0.120488	0.0697746	0.0814822	0.0796073	0.209499	0.0604667	0.0267251	0.0675741	0.0402217	0.012809	0.0177879	0.019761	0.0297274	0.0478162	0.0502297	0.0362636	0.0450185	0.0551038	0.0204978	0.0155882	0.0608105	0.0319397	0.0282787	0.0247755	0.0175309	0.227297	0.32006	0.0945225	0.35812	3.359348
5	1	-15649.7	-15663.3	13.6031	0.120639	0.0892515	0.120227	0.08098	0.117734	0.161287	0.119082	0.0696915	0.120596	0.0884288	0.102149	0.120102	0.0686186	0.100857	0.127519	0.12643	0.13807	0.107475	0.11583	0.0842567	0.102018	0.0880443	0.169956	0.0360779	0.0572539	0.0258831	0.0404925	0.0265264	0.0248162	0.0265385	0.0249883	0.0551096	0.0210255	0.0280933	0.03045	0.0239449	0.0559943	0.0665251	0.0435917	0.0321997	0.118506	0.0251031	0.00541056	0.221266	0.346782	0.0979923	0.333959	3.307771
6	0	-15433	-15448.8	15.8669	0.128246	0.0976798	0.0929942	0.0930361	0.0922524	0.095761	0.105038	0.0825153	0.0975434	0.164198	0.0853757	0.0684242	0.09791	0.100938	0.102399	0.137165	0.0941278	0.127602	0.117332	0.0650605	0.0898726	0.113295	0.173554	0.0315956	0.0249165	0.0218746	0.0464653	0.0599332	0.0358659	0.0243846	0.0302451	0.0347653	0.0390647	0.0265329	0.0106199	0.0159136	0.0217991	0.0197167	0.0620223	0.0244968	0.0475099	0.0496384	0.0317141	0.226987	0.320987	0.0943936	0.357632	3.081395
7	1	-15415.7	-15430.4	14.6391	0.122493	0.0953194	0.0934445	0.109686	0.115066	0.077154	0.121527	0.0657189	0.0780166	0.149364	0.0825314	0.0903777	0.109941	0.0746439	0.0964261	0.143871	0.13807	0.107475	0.132145	0.0786698	0.0903639	0.0971916	0.199679	0.0373158	0.045361	0.0296587	0.0334577	0.0208622	0.0250281	0.0272589	0.0580327	0.0487485	0.0119828	0.0294073	0.0498968	0.0118694	0.0379807	0.0418416	0.0311398	0.0479962	0.0872879	0.0387284	0.0211419	0.221266	0.346782	0.0979923	0.333959	3.204172
8	0	-15395.5	-15409.5	13.983	0.127564	0.0979986	0.118926	0.106772	0.120353	0.0918351	0.124868	0.0917377	0.0927066	0.155774	0.0816079	0.0906742	0.0870423	0.0866726	0.094763	0.131254	0.136381	0.133066	0.110023	0.0809965	0.0930426	0.0828395	0.174765	0.0193976	0.0266027	0.0210475	0.0446159	0.0388775	0.0527037	0.0417708	0.0196039	0.0659634	0.0582563	0.0204046	0.0170213	0.0154966	0.0218604	0.0277769	0.0566167	0.0326547	0.0297037	0.109941	0.0378069	0.226987	0.320987	0.0943936	0.357632	3.269784
9	1	-15376.8	-15392.2	15.4571	0.125502	0.0938564	0.0934445	0.102953	0.100637	0.0786526	0.119233	0.085925	0.0866596	0.176898	0.0633303	0.0846589	0.109941	0.092697	0.125373	0.105731	0.143473	0.108207	0.114617	0.0715489	0.0903639	0.0928646	0.157531	0.0222769	0.0577609	0.0124706	0.029087	0.0267559	0.0292708	0.0211785	0.0425327	0.0427928	0.0223245	0.0195346	0.0605185	0.0414662	0.0457317	0.0167467	0.0306526	0.0359172	0.0675058	0.0254858	0.0482634	0.201526	0.301853	0.103742	0.392879	3.12237
