Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-22363.9	-22364.7	0.758038	0.0332753	0.0724417	0.111288	0.0973726	0.162557	0.0171072	0.260962	0.0531551	0.0212275	0.477121	0.198245	0.0190543	0.0379058	0.130198	0.00771301	0.0786965	0.0196604	0.0833704	0.135323	0.244439	0.0105363	0.0114366	0.458153	0.0479591	0.0550588	0.116784	0.335835	0.0768649	0.110576	0.116002	0.0998324	0.0707811	0.103315	0.00523444	0.088654	0.00893287	0.136703	0.00420926	0.00124495	0.0182217	0.35989	0.093809	0.00113308	0.235641	0.261419	0.433124	0.0698157	4.59228
10	-18250.1	-18261.5	11.4009	0.0676872	0.194213	0.207787	0.189701	0.158283	0.0173941	0.15545	0.117818	0.0524402	0.189196	0.110004	0.0397218	0.0782673	0.0913344	0.0199504	0.144218	0.0819271	0.152425	0.189314	0.141326	0.0537294	0.0226182	0.16312	0.0263133	0.0329985	0.0880065	0.120205	0.0188421	0.0695941	0.00663763	0.0842077	0.0441026	0.0418627	0.00777803	0.00981207	0.0153574	0.0606374	0.00481128	0.00497684	0.0597393	0.174716	0.0174277	0.00204248	0.147843	0.293752	0.117617	0.440788	3.527994
20	-17584.9	-17594.8	9.95043	0.260921	0.215496	0.168442	0.185322	0.142973	0.0305856	0.151933	0.194121	0.0846552	0.177463	0.102793	0.128877	0.0794757	0.117614	0.0465758	0.117121	0.114019	0.129001	0.17796	0.13849	0.123749	0.0330645	0.186088	0.0221438	0.0271671	0.0687061	0.0648232	0.00663346	0.0113287	0.00906176	0.055468	0.0318559	0.0477901	0.0131173	0.0081653	0.0324516	0.0656295	0.0052921	0.0142745	0.0367621	0.0262413	0.0141188	0.00527024	0.220807	0.270641	0.103261	0.405291	3.673041
30	-17316.8	-17324.6	7.84446	0.229265	0.215496	0.173896	0.203335	0.130393	0.0568599	0.188496	0.167538	0.185025	0.178281	0.0862936	0.148185	0.0993721	0.117146	0.176505	0.11812	0.126594	0.112964	0.17569	0.12012	0.102189	0.129216	0.171563	0.0242418	0.0355268	0.0234681	0.0401275	0.0154869	0.00880738	0.0166405	0.0486885	0.0330613	0.0198813	0.0148493	0.00433469	0.0279546	0.0568651	0.00865217	0.00538116	0.0367011	0.00669602	0.0358393	0.00789139	0.223984	0.274535	0.0903578	0.411123	3.883638
40	-17241.1	-17247.6	6.47957	0.199269	0.212086	0.210688	0.165977	0.167411	0.180049	0.204121	0.177213	0.163127	0.187649	0.100089	0.147901	0.102471	0.100401	0.150638	0.129256	0.136646	0.134747	0.177044	0.142757	0.131051	0.128811	0.16298	0.0288471	0.0239449	0.0209257	0.0192425	0.00636435	0.0145403	0.01247	0.06013	0.0206249	0.0341657	0.00675504	0.00314187	0.0217299	0.0400464	0.00185102	0.00700317	0.0325999	0.00872489	0.040629	0.00400907	0.234065	0.286891	0.0944244	0.38462	4.020127
50	-17241.7	-17248.2	6.45876	0.234479	0.209146	0.189755	0.193156	0.154911	0.16154	0.19437	0.177241	0.176731	0.169597	0.115961	0.128925	0.0806827	0.0965468	0.161045	0.11236	0.129183	0.134747	0.193	0.127392	0.10863	0.128811	0.194732	0.0265785	0.00830351	0.0195861	0.0330873	0.00595285	0.0155129	0.00469789	0.0341189	0.0441	0.0261517	0.0176942	0.0138793	0.0263569	0.0611756	0.00409755	0.00669414	0.0244124	0.0197826	0.0509002	0.0061867	0.234065	0.286891	0.0944244	0.38462	4.022208
60	-17249.5	-17254.9	5.42551	0.230932	0.195762	0.171116	0.21197	0.170778	0.16154	0.238714	0.183261	0.201868	0.20558	0.0850201	0.124001	0.104581	0.102542	0.15732	0.117468	0.152952	0.138843	0.193	0.14488	0.112608	0.121174	0.1924	0.0361752	0.0183479	0.0162877	0.0162159	0.0186803	0.0115652	0.00901779	0.0519516	0.0284556	0.0324102	0.00555855	0.00225213	0.011895	0.0375087	0.00332389	0.01383	0.035281	0.0135601	0.0364279	0.00847749	0.234065	0.286891	0.0944244	0.38462	4.125533
70	-17241.4	-17248	6.60666	0.211634	0.195762	0.183409	0.20125	0.183755	0.191685	0.194313	0.167239	0.181763	0.183224	0.0890813	0.152127	0.0788812	0.101259	0.158339	0.122551	0.13958	0.126056	0.193	0.121834	0.103012	0.121174	0.182797	0.0272353	0.0118698	0.0306489	0.0283495	0.00620437	0.0134046	0.00443147	0.0409435	0.0351837	0.0464688	0.00858052	0.0018573	0.0247652	0.0340502	0.00268932	0.01047	0.0273592	0.0146161	0.0489727	0.00559455	0.233667	0.286403	0.0959625	0.383967	4.007418
80	-17239.1	-17244.7	5.68366	0.215349	0.199056	0.205574	0.169316	0.137582	0.152723	0.226443	0.14774	0.177173	0.196983	0.12682	0.165485	0.103553	0.10484	0.178614	0.113217	0.145654	0.135506	0.193	0.13096	0.100613	0.145587	0.188746	0.0385887	0.0205574	0.0223839	0.0280199	0.00670589	0.00898458	0.00519037	0.0660463	0.0327767	0.0213996	0.00706818	0.0141225	0.0247354	0.0465908	0.00579744	0.00339541	0.0299493	0.0218558	0.0290254	0.00599189	0.221192	0.324502	0.0908391	0.363467	4.099718
90	-17236	-17240.9	4.97148	0.214942	0.198121	0.183561	0.183342	0.172792	0.19244	0.188534	0.171098	0.206665	0.171175	0.10687	0.165873	0.109718	0.118156	0.16732	0.146264	0.128435	0.148143	0.200316	0.13096	0.110185	0.130918	0.194641	0.0160026	0.0243134	0.0305619	0.0373672	0.00428889	0.0122741	0.00592893	0.0454731	0.0362687	0.0288162	0.0153925	0.0231075	0.0237314	0.0332696	0.00499944	0.00513784	0.0247768	0.00953783	0.0404019	0.00881758	0.223904	0.316218	0.0919531	0.367925	4.170936
