Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	0	-25408	-25416	8.01324	26.97101	0.0315698	0.105559	0.116333	0.0738822	0.0630004	0.0601154	0.0735376	0.0791492	0.0527924	0.0116701	0.0171462	0.0300116	0.0833951	0.039165	0.154648	0.105949	0.0434879	0.307433	0.0665709	0.0173302	0.00406249	0.00758659	0.0536506	0.0620077	0.00302627	0.23866	0.0124376	0.0496812	0.0385796	0.0269673	0.305007	0.135132	0.0276703	0.0788156	0.0666867	0.116067	0.00340744	0.0757674	0.00715587	0.103969	0.0195311	0.0999043	0.0184881	0.766958	0.927352	1.05151	1.25418	0.0958458	0.181676	0.623768	0.0987103	0.85377	3.087006
1	1	-19084.7	-19098.1	13.3336	7.545261	0.122659	0.0989245	0.0159583	0.0103803	0.0911758	0.13439	0.0230935	0.112269	0.00494625	0.144931	0.0312745	0.0246728	0.107117	0.0404312	0.0792731	0.027043	0.0807596	0.0171154	0.00216807	0.13046	0.146271	0.0161321	0.0828438	0.0970798	0.0743601	0.00425017	0.117109	0.0357081	0.0693391	0.0361154	0.0227313	0.0183948	0.070281	0.130294	0.0490492	0.0491317	0.0966123	0.318096	0.0273717	0.00726121	0.0109552	0.277208	0.0137727	0.582467	0.847238	1.07769	1.49261	0.394414	0.174956	0.262783	0.167847	0.83082	3.06941
2	0	-16381.4	-16396.5	15.0129	1.91456	0.0986111	0.122958	0.13085	0.0930406	0.176703	0.157548	0.130193	0.0848117	0.167029	0.0444589	0.0582938	0.0297283	0.0815252	0.0661525	0.0966652	0.132123	0.0872825	0.125228	0.102905	0.058168	0.0110797	0.027024	0.110467	0.0822265	0.00804878	0.0901186	0.0022986	0.0249609	0.00685171	0.0206125	0.129921	0.0464293	0.0112443	0.0334518	0.0458963	0.0228201	0.00333191	0.0757674	0.00835018	0.0241082	0.0516826	0.0395946	0.00905624	0.282858	0.645609	1.0677	2.00384	0.0336583	0.465788	0.219049	0.281505	0.558397	2.929619
3	1	-15299.8	-15315.1	15.2936	1.280674	0.108821	0.11839	0.0315467	0.0229032	0.0454383	0.142761	0.0735149	0.103086	0.0109393	0.131881	0.0988471	0.0277622	0.0810965	0.0669829	0.123327	0.103942	0.128633	0.0216918	0.00993687	0.118899	0.10474	0.112111	0.208566	0.0783471	0.0454023	0.00738186	0.0278602	0.0563006	0.0307137	0.015463	0.0125047	0.00601376	0.026151	0.0839038	0.0275594	0.0419865	0.151125	0.058369	0.0481159	0.00861386	0.0167533	0.0524184	0.015662	0.189369	0.547452	1.03445	2.22873	0.160122	0.418291	0.150299	0.271288	0.5656263	2.806463
4	0	-14689.1	-14700.4	11.3531	1.946438	0.116973	0.160087	0.104321	0.156934	0.194193	0.124539	0.116833	0.122484	0.0955165	0.174849	0.123113	0.0489292	0.0866315	0.0668416	0.124825	0.17191	0.0918767	0.123142	0.109587	0.0577672	0.0945877	0.0775859	0.206212	0.0794575	0.00995067	0.0768793	0.00715451	0.0461702	0.010184	0.0115634	0.0558716	0.0297282	0.0125021	0.0355269	0.0139945	0.0140121	0.00215985	0.0240438	0.0163519	0.0106424	0.0361123	0.0427723	0.013687	0.286796	0.649194	1.06859	1.99542	0.182496	0.337302	0.151505	0.328697	0.558397	3.298503
5	1	-14657.6	-14672.1	14.5043	1.477881	0.10491	0.105885	0.0835058	0.0680078	0.0711216	0.108609	0.0893162	0.0979138	0.0165598	0.187567	0.11147	0.0800443	0.0863394	0.100752	0.128515	0.131571	0.167775	0.0481323	0.0364261	0.124939	0.0837152	0.0944338	0.181742	0.0275574	0.0172499	0.00570943	0.00960336	0.0681736	0.018828	0.0105474	0.011327	0.0036449	0.0120637	0.036406	0.0538037	0.0145737	0.18384	0.0374223	0.0250277	0.0178561	0.00538043	0.0414436	0.0149251	0.221885	0.584833	1.0491	2.14419	0.242153	0.382692	0.0655619	0.309593	0.5246521	2.924634
6	0	-14195.9	-14206.7	10.8713	1.909937	0.152406	0.120612	0.0990508	0.0822626	0.153217	0.143752	0.136355	0.0846523	0.0959968	0.168492	0.102495	0.0974131	0.10115	0.0769345	0.139289	0.189576	0.163744	0.123932	0.120867	0.0774505	0.0873845	0.0583674	0.221418	0.0484429	0.0224682	0.0680333	0.0318577	0.0291791	0.0252653	0.0438138	0.0542503	0.0265548	0.0219092	0.0194987	0.0157618	0.00623972	0.0049572	0.0114378	0.0103108	0.0251127	0.0299071	0.0372111	0.0143194	0.282281	0.645082	1.06756	2.00507	0.188431	0.385052	0.0871296	0.339387	0.4598739	3.343348
7	1	-14318.1	-14331	12.9627	1.718076	0.13144	0.104384	0.108985	0.0839194	0.191751	0.101572	0.103894	0.0966565	0.0306614	0.181803	0.0966046	0.131087	0.0854751	0.0935186	0.119793	0.130647	0.127599	0.0741959	0.124326	0.0771747	0.0713931	0.0916419	0.234211	0.0238202	0.0152241	0.0105715	0.00728266	0.0542397	0.0773783	0.0178354	0.0221063	0.00324927	0.00377695	0.033625	0.0223659	0.00817978	0.0679774	0.0388413	0.0115261	0.019028	0.0237376	0.045218	0.0149251	0.257132	0.621243	1.06102	2.06061	0.185705	0.404916	0.0818072	0.327571	0.4325867	3.11364
8	0	-14024.4	-14031.2	6.84037	1.728424	0.126551	0.133084	0.12595	0.106341	0.132758	0.0892588	0.137962	0.0880294	0.104959	0.1892	0.104939	0.148187	0.136667	0.104936	0.150497	0.158325	0.180711	0.123932	0.111151	0.0544153	0.10416	0.077918	0.241106	0.061009	0.0251415	0.0347615	0.103618	0.00819702	0.0443829	0.156233	0.0671371	0.0130121	0.0343939	0.0186482	0.00576985	0.0199705	0.0237768	0.0213265	0.0357124	0.0338341	0.0349497	0.044334	0.00988786	0.258552	0.622633	1.06143	2.05738	0.220848	0.36659	0.0894477	0.323114	0.3852639	3.727132
9	1	-14209.6	-14215.1	5.55889	1.72852	0.233767	0.0968706	0.0877721	0.127257	0.295764	0.101572	0.13029	0.105165	0.0447669	0.228219	0.0862524	0.131968	0.116222	0.107046	0.160487	0.15574	0.158481	0.147147	0.1214	0.0749247	0.117353	0.103448	0.237602	0.029837	0.0148972	0.00820691	0.0118335	0.0621465	0.0886036	0.0136864	0.0826944	0.0214498	0.00510824	0.0108181	0.0482901	0.0267258	0.0488743	0.0375658	0.00910231	0.0272443	0.0418789	0.0370921	0.0597198	0.258565	0.622646	1.06143	2.05735	0.185705	0.404916	0.0818072	0.327571	0.4093423	3.855291
