Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-19084.7	-19098.1	13.3336	7.545261	0.122659	0.0989245	0.0159583	0.0103803	0.0911758	0.13439	0.0230935	0.112269	0.00494625	0.144931	0.0312745	0.0246728	0.107117	0.0404312	0.0792731	0.027043	0.0807596	0.0171154	0.00216807	0.13046	0.146271	0.0161321	0.0828438	0.0970798	0.0743601	0.00425017	0.117109	0.0357081	0.0693391	0.0361154	0.0227313	0.0183948	0.070281	0.130294	0.0490492	0.0491317	0.0966123	0.318096	0.0273717	0.00726121	0.0109552	0.277208	0.0137727	0.582467	0.847238	1.07769	1.49261	0.394414	0.174956	0.262783	0.167847	0.83082	3.06941
10	-15299.8	-15315.1	15.2936	1.280674	0.108821	0.11839	0.0315467	0.0229032	0.0454383	0.142761	0.0735149	0.103086	0.0109393	0.131881	0.0988471	0.0277622	0.0810965	0.0669829	0.123327	0.103942	0.128633	0.0216918	0.00993687	0.118899	0.10474	0.112111	0.208566	0.0783471	0.0454023	0.00738186	0.0278602	0.0563006	0.0307137	0.015463	0.0125047	0.00601376	0.026151	0.0839038	0.0275594	0.0419865	0.151125	0.058369	0.0481159	0.00861386	0.0167533	0.0524184	0.015662	0.189369	0.547452	1.03445	2.22873	0.160122	0.418291	0.150299	0.271288	0.5656263	2.806463
20	-14657.6	-14672.1	14.5043	1.477881	0.10491	0.105885	0.0835058	0.0680078	0.0711216	0.108609	0.0893162	0.0979138	0.0165598	0.187567	0.11147	0.0800443	0.0863394	0.100752	0.128515	0.131571	0.167775	0.0481323	0.0364261	0.124939	0.0837152	0.0944338	0.181742	0.0275574	0.0172499	0.00570943	0.00960336	0.0681736	0.018828	0.0105474	0.011327	0.0036449	0.0120637	0.036406	0.0538037	0.0145737	0.18384	0.0374223	0.0250277	0.0178561	0.00538043	0.0414436	0.0149251	0.221885	0.584833	1.0491	2.14419	0.242153	0.382692	0.0655619	0.309593	0.5246521	2.924634
30	-14318.1	-14331	12.9627	1.718076	0.13144	0.104384	0.108985	0.0839194	0.191751	0.101572	0.103894	0.0966565	0.0306614	0.181803	0.0966046	0.131087	0.0854751	0.0935186	0.119793	0.130647	0.127599	0.0741959	0.124326	0.0771747	0.0713931	0.0916419	0.234211	0.0238202	0.0152241	0.0105715	0.00728266	0.0542397	0.0773783	0.0178354	0.0221063	0.00324927	0.00377695	0.033625	0.0223659	0.00817978	0.0679774	0.0388413	0.0115261	0.019028	0.0237376	0.045218	0.0149251	0.257132	0.621243	1.06102	2.06061	0.185705	0.404916	0.0818072	0.327571	0.4325867	3.11364
40	-14209.6	-14215.1	5.55889	1.72852	0.233767	0.0968706	0.0877721	0.127257	0.295764	0.101572	0.13029	0.105165	0.0447669	0.228219	0.0862524	0.131968	0.116222	0.107046	0.160487	0.15574	0.158481	0.147147	0.1214	0.0749247	0.117353	0.103448	0.237602	0.029837	0.0148972	0.00820691	0.0118335	0.0621465	0.0886036	0.0136864	0.0826944	0.0214498	0.00510824	0.0108181	0.0482901	0.0267258	0.0488743	0.0375658	0.00910231	0.0272443	0.0418789	0.0370921	0.0597198	0.258565	0.622646	1.06143	2.05735	0.185705	0.404916	0.0818072	0.327571	0.4093423	3.855291
50	-14138.8	-14144	5.24144	1.549087	0.178625	0.100675	0.0945929	0.0978194	0.263922	0.100986	0.150383	0.0957443	0.123499	0.209094	0.0734273	0.118051	0.112814	0.0945281	0.152786	0.169534	0.20251	0.140199	0.115768	0.0765568	0.121446	0.0918429	0.27625	0.0283284	0.0124576	0.020263	0.0564299	0.040643	0.120121	0.00873615	0.0531021	0.0143425	0.025271	0.0110167	0.035013	0.0320103	0.0277791	0.0484785	0.00191218	0.0267207	0.048319	0.0364444	0.0540746	0.232807	0.596528	1.05318	2.11749	0.185705	0.404916	0.0818072	0.327571	0.4093423	3.862516
60	-14104.4	-14108.2	3.73338	1.669861	0.171038	0.117822	0.102126	0.0947786	0.291145	0.109427	0.134365	0.0946943	0.140925	0.223514	0.0948833	0.0869254	0.130149	0.100641	0.15493	0.158433	0.159997	0.157412	0.137205	0.0977876	0.13131	0.0798818	0.273596	0.0147694	0.0397516	0.00365639	0.0408824	0.0675272	0.132517	0.0256445	0.0544141	0.00976066	0.0396095	0.00877703	0.0459525	0.0315768	0.0406611	0.0644778	0.00230723	0.0268343	0.08687	0.0194539	0.0320676	0.25041	0.614587	1.05901	2.07599	0.185705	0.404916	0.0818072	0.327571	0.3817702	4.030494
70	-14015	-14017.1	2.13333	1.612437	0.195396	0.136559	0.139767	0.0959165	0.180661	0.0882167	0.142001	0.0746838	0.146612	0.228583	0.101016	0.0787018	0.118367	0.0940265	0.175488	0.194582	0.19208	0.189653	0.140003	0.0841027	0.0922652	0.083558	0.262395	0.0303576	0.0490521	0.00643613	0.0743566	0.108902	0.153372	0.038647	0.0934558	0.0116872	0.0351001	0.0380165	0.015472	0.0357577	0.0471735	0.0577743	0.00754242	0.0294269	0.0236292	0.0528703	0.0390326	0.242181	0.606261	1.05639	2.09516	0.215912	0.384988	0.0797532	0.319347	0.3817702	4.182699
80	-13988.8	-13991	2.20441	1.559592	0.182412	0.0937512	0.119101	0.146943	0.133746	0.116867	0.168592	0.10938	0.107067	0.261804	0.101858	0.115528	0.116684	0.0896584	0.131968	0.202147	0.185642	0.13138	0.155987	0.112093	0.111786	0.107131	0.266389	0.0305147	0.0377404	0.0159374	0.0583187	0.0606854	0.1379	0.0264778	0.103022	0.0305163	0.0559489	0.0296551	0.0254505	0.0377374	0.0418857	0.0610933	0.0199107	0.039906	0.0288168	0.032799	0.0256033	0.234383	0.598184	1.05374	2.1137	0.21207	0.394633	0.0817512	0.311546	0.3817702	4.167832
90	-13983.5	-13986.8	3.29842	1.505692	0.209509	0.0991387	0.122845	0.0886295	0.144272	0.0908595	0.171177	0.0699902	0.11075	0.226247	0.121347	0.0911953	0.126942	0.129979	0.157003	0.139069	0.182231	0.189729	0.120431	0.0898893	0.115802	0.095972	0.244033	0.0348791	0.0301843	0.0210727	0.057936	0.0659257	0.129883	0.0141946	0.0771727	0.0874267	0.020267	0.0145455	0.0228808	0.0501348	0.0485688	0.0654015	0.0399321	0.0359606	0.0303771	0.0270529	0.0390547	0.2262	0.589501	1.05075	2.13354	0.21207	0.394633	0.0817512	0.311546	0.3817702	4.049894
