Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-24237.7	-24249.9	12.2417	0.107518	0.0297743	0.00933295	0.00743587	0.0117453	0.0208489	0.00457207	0.00606742	0.00933218	0.0363072	0.199248	0.0483768	0.200353	0.0237224	0.0162563	0.0249084	0.110736	0.00624539	0.017683	0.525991	0.00520132	0.0345613	0.184896	0.0108945	0.109967	0.100794	0.126173	0.0238213	0.206193	0.0963579	0.0873006	0.0514881	0.0370136	0.140832	0.0728103	0.212795	0.17665	0.391294	0.0685007	0.0645369	0.159342	0.0155072	0.129281	0.228506	0.0522417	0.253687	0.0258411	0.0151795	0.424545	0.173476	0.352668	0.0452633	0.428593	3.922665
1	1	-27735.2	-27740.9	5.74962	0.0220658	0.00725073	0.502523	0.0283273	0.0430148	0.0433802	0.00995449	0.0180164	0.0776865	0.0995813	0.0467507	0.0363093	0.14573	0.033648	0.0596064	0.160576	0.122134	0.0636489	0.0597998	0.0535229	0.0524443	0.0879425	0.00242681	0.529769	0.0582807	0.0866982	0.0958771	0.0477917	0.00455259	0.360272	0.0552751	0.607074	0.0322496	0.0878799	0.0636595	0.195473	0.00976953	0.0717259	0.0856409	0.135913	0.132776	0.100541	0.0343135	0.00887592	0.451824	0.181488	0.208343	0.0049048	0.144565	0.563852	0.268857	0.0274614	0.13983	4.571871
2	0	-16602	-16622.1	20.0941	0.139362	0.0746497	0.0200605	0.0600299	0.0694825	0.0753892	0.0145328	0.0144515	0.0277781	0.0895747	0.155095	0.106453	0.16784	0.0689311	0.0202583	0.051667	0.124653	0.0211888	0.074849	0.13711	0.0127598	0.0677295	0.143527	0.0164166	0.0215847	0.0522347	0.108652	0.036878	0.135625	0.125216	0.0418839	0.0405646	0.0234208	0.0718997	0.0704774	0.131048	0.0457686	0.201737	0.0651843	0.0398634	0.102422	0.0240442	0.0451316	0.175415	0.447917	0.114862	0.0655573	0.195217	0.00103147	0.137911	0.318086	0.146183	0.39782	3.137425
3	1	-16681.4	-16700.9	19.5247	0.0499718	0.0356157	0.190846	0.0990596	0.113444	0.0614402	0.0211922	0.0510272	0.0865879	0.13136	0.057858	0.0798904	0.0960599	0.0682152	0.0953686	0.140785	0.129516	0.0837271	0.100548	0.112784	0.0715473	0.0818779	0.00596313	0.0971876	0.0411383	0.0974373	0.0604674	0.0144925	0.0236884	0.174313	0.0136901	0.0757672	0.0569844	0.0873352	0.0608509	0.0931627	0.0149018	0.0370857	0.0428347	0.0276728	0.0423527	0.0732345	0.0950785	0.0601356	0.25644	0.107357	0.0627961	0.417184	0.0960867	0.45526	0.251266	0.0503484	0.243126	3.19436
4	0	-15317.4	-15337.9	20.4498	0.117645	0.0753607	0.0303241	0.0769359	0.127046	0.0892137	0.0585115	0.0772645	0.0978179	0.171245	0.0814311	0.0829146	0.102564	0.080413	0.144917	0.0835483	0.124653	0.0386293	0.132187	0.0805933	0.0412603	0.113681	0.133144	0.0378626	0.036299	0.0417204	0.0333924	0.0172997	0.157919	0.101753	0.0313686	0.020977	0.0212148	0.0608099	0.051122	0.0377574	0.0260332	0.0326794	0.0362182	0.0256708	0.0532368	0.0194187	0.0978012	0.263515	0.249948	0.085829	0.0178975	0.381033	0.00177754	0.141097	0.325435	0.172497	0.360971	3.101854
5	1	-15207.1	-15222.9	15.8378	0.151402	0.0552422	0.108469	0.111348	0.113444	0.0759013	0.124938	0.0767588	0.105999	0.13136	0.0937604	0.0819803	0.278422	0.102254	0.144313	0.151865	0.134951	0.125208	0.13177	0.0802548	0.108751	0.102601	0.0106025	0.0421832	0.0628293	0.0281693	0.021764	0.00670981	0.0232914	0.037181	0.0226219	0.0726932	0.030388	0.055263	0.0900595	0.0367917	0.0258674	0.0453379	0.100495	0.0208237	0.0214963	0.0570396	0.160448	0.0973928	0.265947	0.111337	0.065124	0.43265	0.0275495	0.255178	0.289086	0.117969	0.337766	3.563049
6	0	-14594.1	-14613.9	19.7769	0.124303	0.0936791	0.0922214	0.0803332	0.0986123	0.0916509	0.125985	0.0783047	0.101354	0.126358	0.0688476	0.0653532	0.111486	0.0805414	0.102713	0.115079	0.143814	0.116769	0.126592	0.076184	0.0803377	0.0890006	0.179449	0.0116088	0.0550372	0.0106168	0.0285868	0.0487705	0.109575	0.0296357	0.0596909	0.0219261	0.0462653	0.0155419	0.051122	0.0455954	0.0412116	0.0553939	0.0133936	0.025492	0.0633774	0.0494993	0.0178341	0.192673	0.268287	0.0817847	0.0242058	0.419142	0.0139074	0.23324	0.263538	0.17608	0.327142	3.169141
7	1	-14776.8	-14794.4	17.6212	0.133861	0.0903345	0.0989413	0.113355	0.101612	0.074845	0.17422	0.0789026	0.0913943	0.223908	0.0675184	0.0855901	0.13344	0.10635	0.129963	0.154241	0.134951	0.106273	0.124004	0.0697784	0.07548	0.113752	0.0510665	0.0216763	0.0793387	0.0313443	0.0437699	0.00323435	0.022795	0.0486129	0.02996	0.0192951	0.0620239	0.035011	0.0477688	0.0253401	0.0474117	0.0345019	0.0828914	0.0277363	0.0173272	0.078222	0.0926762	0.121048	0.384458	0.0675084	0.0318205	0.376562	0.0186034	0.255898	0.289903	0.118302	0.335897	3.384717
8	0	-14533.2	-14552.5	19.2164	0.136467	0.127626	0.0837634	0.12166	0.108627	0.083479	0.124027	0.0702717	0.0889903	0.201118	0.0853503	0.0788829	0.0900893	0.0833371	0.0999393	0.12633	0.1331	0.116769	0.134445	0.0661715	0.0912045	0.078462	0.1819	0.0167575	0.0253396	0.0193437	0.042853	0.0654036	0.0311147	0.0126927	0.0464574	0.0229619	0.0442754	0.0369184	0.0363921	0.0416389	0.0192478	0.0417272	0.0245058	0.0322572	0.0759597	0.0573229	0.0200147	0.201603	0.246668	0.0837098	0.0247755	0.429008	0.0142347	0.234137	0.260706	0.176757	0.3284	3.225193
9	1	-14562.3	-14582.3	19.9503	0.157919	0.097879	0.0989413	0.120098	0.106904	0.0660082	0.122668	0.095128	0.105346	0.181176	0.0823639	0.073286	0.104357	0.094955	0.104341	0.135996	0.134951	0.113527	0.0977199	0.0928857	0.104415	0.0933601	0.102213	0.00622196	0.0565434	0.0145882	0.0405459	0.00567477	0.0475241	0.0384272	0.0223376	0.0156832	0.0780638	0.0349239	0.0485406	0.0252464	0.0169056	0.0330744	0.021055	0.0408777	0.0161867	0.0310899	0.0718578	0.15856	0.360612	0.0633211	0.0298468	0.372326	0.0153348	0.247451	0.269331	0.124136	0.359082	3.151805
