Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20437.1	-20450.8	13.6514	0.256253	0.0950782	0.220918	0.0161662	0.121871	0.00177268	0.0609035	0.0484206	0.231745	0.0927227	0.0719822	0.000240372	0.197309	0.0316317	0.00474406	0.279492	0.0485768	0.0579942	0.033147	0.0451483	0.0316891	0.116782	0.0479477	0.18967	0.272409	0.154291	0.0815178	0.0547553	0.0346036	0.0750179	0.0260026	0.104295	0.107369	0.0491335	0.0378165	0.0955758	0.0634579	0.186619	0.00667327	0.0265732	0.0474861	0.040827	0.0150646	0.365431	0.149577	0.242609	0.0994675	0.125402	0.0175133	0.438891	0.178334	0.0505161	0.332259	3.781692
10	-17581.3	-17599.5	18.1627	0.148572	0.151907	0.177976	0.047772	0.163451	0.033689	0.137178	0.121776	0.139374	0.147898	0.124081	0.00218103	0.103396	0.0638346	0.0129024	0.184839	0.0995153	0.138983	0.15896	0.151132	0.0999579	0.106064	0.14951	0.142834	0.073015	0.0285097	0.0631983	0.0554418	0.0180099	0.0195777	0.0226401	0.0324514	0.0108799	0.0127363	0.019233	0.0540734	0.0104221	0.0324121	0.00133855	0.0204639	0.0197137	0.01726	0.0113987	0.298452	0.152665	0.0902468	0.186596	0.256061	0.0159792	0.222105	0.229978	0.0826574	0.465259	3.330559
20	-16942.3	-16956.7	14.4252	0.175917	0.162524	0.237882	0.0768098	0.164381	0.0801353	0.17819	0.144567	0.193967	0.154014	0.116123	0.00756559	0.105197	0.0923623	0.166916	0.1206	0.148144	0.157036	0.164375	0.141869	0.122998	0.117767	0.213455	0.0858006	0.0729728	0.0135712	0.0258078	0.00607936	0.0386079	0.016177	0.0120912	0.0135181	0.0302939	0.0126985	0.0187849	0.0539048	0.00494251	0.0250174	0.00186049	0.013373	0.00692963	0.00642921	0.00266041	0.27976	0.382375	0.0373956	0.0454663	0.240024	0.0149784	0.215433	0.25311	0.0801743	0.451283	3.704316
30	-16805.6	-16819.7	14.0418	0.157866	0.167397	0.216417	0.183766	0.162725	0.161325	0.17819	0.145373	0.173711	0.180193	0.115242	0.00829985	0.117979	0.102578	0.118786	0.124834	0.140035	0.152257	0.170819	0.146668	0.108575	0.148485	0.156309	0.0593178	0.0524525	0.0165669	0.013158	0.00879888	0.0298907	0.00937442	0.0136329	0.0167468	0.0290149	0.00753516	0.0202939	0.0378919	0.00636783	0.0234685	0.000759596	0.0198091	0.0101976	0.0234119	0.0061394	0.270928	0.367612	0.0600746	0.0602719	0.230757	0.010356	0.195335	0.256629	0.0904803	0.457556	3.742657
40	-16720.5	-16735.3	14.7958	0.157517	0.161477	0.166818	0.176084	0.140192	0.146568	0.18667	0.152309	0.198907	0.167834	0.148437	0.0169598	0.103994	0.109214	0.144373	0.0972517	0.190376	0.134393	0.152555	0.135993	0.108575	0.129213	0.203053	0.0193413	0.0323038	0.018506	0.00859446	0.00427319	0.0410694	0.012447	0.00480754	0.00578768	0.0473161	0.00509457	0.0278296	0.0402661	0.00319829	0.0312458	0.000839807	0.0135853	0.00883643	0.00907214	0.00407678	0.291988	0.309192	0.0669442	0.0596639	0.260672	0.0115402	0.196367	0.229514	0.114148	0.459972	3.667255
50	-16624.6	-16640.4	15.7874	0.150384	0.180576	0.201956	0.165934	0.147504	0.155869	0.158023	0.134431	0.172903	0.16779	0.110372	0.0467323	0.103994	0.0980658	0.128294	0.0947045	0.178953	0.156231	0.181005	0.137569	0.0951167	0.126921	0.163441	0.0149395	0.0279253	0.00749181	0.00426627	0.00404426	0.0321297	0.0100606	0.013305	0.00943153	0.0315191	0.00708032	0.0177963	0.0580036	0.00537485	0.01281	0.00296853	0.0170966	0.014458	0.0125094	0.00811485	0.291134	0.308287	0.0667484	0.0594894	0.268521	0.0058211	0.216064	0.223888	0.11135	0.448698	3.568097
60	-16560.6	-16572.8	12.165	0.182186	0.214189	0.210737	0.180288	0.171256	0.170898	0.189995	0.149811	0.172903	0.190712	0.138414	0.125798	0.114093	0.100627	0.138525	0.13087	0.164018	0.151341	0.181005	0.145116	0.112695	0.128068	0.176711	0.00767434	0.0158816	0.00874847	0.00713278	0.00284636	0.028285	0.0101865	0.00829878	0.0198156	0.0395268	0.00597929	0.0181218	0.0454931	0.00498203	0.0220473	0.000745059	0.0123542	0.010577	0.0151433	0.00623476	0.28992	0.307002	0.0664701	0.0592414	0.267401	0.00996575	0.223218	0.2313	0.115412	0.43007	3.930332
70	-16549	-16563.1	14.1183	0.1879	0.162164	0.21717	0.185369	0.159873	0.159234	0.172646	0.145559	0.196307	0.162426	0.114733	0.140882	0.114084	0.1278	0.133906	0.0952208	0.141437	0.140461	0.157138	0.141423	0.133291	0.136333	0.155653	0.0098889	0.00253486	0.00720243	0.0122229	0.00132978	0.0268536	0.00690226	0.00310369	0.00233366	0.0467182	0.00482764	0.0194057	0.0387211	0.00848375	0.0260799	0.001936	0.0135297	0.00840672	0.0103021	0.00321332	0.303552	0.279783	0.0695954	0.0620268	0.279974	0.00506961	0.19593	0.24424	0.121869	0.43796	3.735005
80	-16557.9	-16570.5	12.6639	0.200989	0.180754	0.21717	0.212051	0.160923	0.165895	0.166265	0.145559	0.157745	0.206038	0.124324	0.147283	0.112195	0.112743	0.13148	0.114529	0.151821	0.147431	0.185336	0.131462	0.147468	0.11453	0.187247	0.00660946	0.00179034	0.0247592	0.00619183	0.00418274	0.0143825	0.00975906	0.00315549	0.00164742	0.0326318	0.00766539	0.0148613	0.0436915	0.00464909	0.0326501	0.00116908	0.0155198	0.0119905	0.0166	0.0052943	0.303834	0.280043	0.0696601	0.0620845	0.280234	0.00414503	0.19593	0.24424	0.121869	0.43796	3.880441
90	-16555.5	-16570.3	14.8013	0.160138	0.17261	0.179631	0.209787	0.162751	0.170443	0.162419	0.136472	0.143341	0.147976	0.124324	0.147482	0.0746361	0.0984339	0.13236	0.130388	0.162592	0.152492	0.155056	0.136095	0.115567	0.137371	0.167657	0.00832525	0.00401527	0.0256041	0.00669516	0.00865755	0.0274505	0.00660533	0.0146687	0.00199405	0.0310902	0.00733294	0.0312615	0.0368181	0.00287073	0.0234489	0.00106686	0.0115601	0.0154803	0.0171108	0.00462396	0.293438	0.314614	0.0672767	0.0495317	0.270646	0.00449333	0.19593	0.24424	0.121869	0.43796	3.666703
