Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21277.2	-21287.2	9.98901	0.233233	0.219024	0.0752363	0.0676751	0.0264679	0.00237721	0.366133	0.0547625	0.0103306	0.165114	0.0899689	0.044212	0.485727	0.135049	0.00643244	0.238431	0.0111279	0.0927131	0.133453	0.0362171	0.149689	0.0503982	0.00906919	0.255176	0.0436038	0.330402	0.0724947	0.0939955	0.0471195	0.158207	0.0467879	0.0832014	0.0117007	0.029746	0.0260635	0.0189531	0.0155987	0.115808	0.168616	0.00709696	0.112577	0.146633	0.0122183	0.103634	0.176562	0.190265	0.170701	0.251417	0.107421	0.292854	0.137714	0.428303	0.14113	4.49884
10	-17716.4	-17680.2	-36.2627	0.267924	0.0804936	0.0927273	0.177058	0.174931	0.0155813	0.248751	0.159284	0.0218253	0.140913	0.0768878	0.0478086	0.164102	0.115805	0.0249558	0.153403	0.146313	0.0926375	0.13092	0.0935295	0.176382	0.0744566	0.0149089	0.117508	0.0339199	0.196848	0.0269756	0.0511564	0.0807546	0.0257684	0.0469861	0.0634869	0.00927958	0.00918711	0.041247	0.0682967	0.0257854	0.0974477	0.0439905	0.0517597	0.0860392	0.0286727	0.0471566	0.222244	0.237137	0.0910544	1.64849e-09	0.410072	0.0394926	0.195717	0.362298	0.20517	0.236814	3.843864
20	-16954	-16938.7	-15.2935	0.230422	0.0985149	0.129746	0.211185	0.148339	0.0793544	0.181102	0.172758	0.054776	0.158618	0.0901392	0.110713	0.11049	0.111703	0.0638437	0.132465	0.176871	0.120767	0.182316	0.104143	0.168026	0.0976955	0.0243058	0.11074	0.0131461	0.0658308	0.00329772	0.0256941	0.0415352	0.0126242	0.0182709	0.0240369	0.0128732	0.00524311	0.0301071	0.0538628	0.0133782	0.0974477	0.0108655	0.0381952	0.0326667	0.00312976	0.0309559	0.229695	0.211562	0.0941069	8.75205e-07	0.423819	0.0408165	0.232738	0.255191	0.211581	0.300491	3.602195
30	-16632.3	-16620.5	-11.8404	0.255706	0.0995435	0.100458	0.198473	0.172619	0.143929	0.211065	0.172758	0.11529	0.175259	0.0962366	0.131607	0.0906018	0.121852	0.198811	0.12504	0.149723	0.161403	0.235876	0.114501	0.151187	0.12002	0.0473903	0.118918	0.02008	0.0602677	0.00279411	0.00403536	0.0444537	0.00486664	0.0205905	0.0394957	0.0191159	0.00870176	0.0178063	0.0256193	0.00612858	0.0456759	0.00469901	0.0133941	0.0177792	0.00221435	0.0183481	0.256113	0.216069	0.0961114	7.04238e-06	0.390014	0.0416859	0.228937	0.251023	0.208125	0.311915	3.884334
40	-16475.3	-16472.1	-3.1569	0.232772	0.0898801	0.119931	0.241047	0.208797	0.143414	0.228679	0.181756	0.214744	0.165739	0.0953845	0.108721	0.107001	0.115975	0.168573	0.117505	0.152362	0.145676	0.207851	0.125028	0.137271	0.122525	0.175611	0.14129	0.01704	0.0448944	0.00541211	0.00116506	0.0335528	0.00169489	0.0111883	0.0276467	0.0158405	0.0186933	0.0123886	0.00580419	0.0124774	0.0408394	0.00580222	0.0245331	0.00701475	0.00246093	0.00741632	0.263268	0.222105	0.0855494	0.000311084	0.400911	0.0278552	0.228937	0.251023	0.208125	0.311915	4.043399
50	-16457.6	-16460.9	3.2713	0.247201	0.105072	0.102175	0.206344	0.187563	0.157342	0.187224	0.174306	0.218886	0.172702	0.110591	0.0933559	0.0969927	0.112909	0.161016	0.112353	0.119383	0.167168	0.18902	0.113839	0.151933	0.125019	0.19479	0.122752	0.0102754	0.0482881	0.0029863	0.000539696	0.0338945	0.0020244	0.0148516	0.0245498	0.00856477	0.00798164	0.0178585	0.0112905	0.0320391	0.0349119	0.0105181	0.0153304	0.0231021	0.00178216	0.00706118	0.264623	0.223248	0.0859896	0.00241914	0.402974	0.0207468	0.226951	0.248845	0.206319	0.317885	3.937785
60	-16393.5	-16401.8	8.2698	0.257011	0.0943987	0.0790992	0.205027	0.190256	0.176122	0.223981	0.169896	0.20515	0.156945	0.110608	0.101666	0.08722	0.112909	0.169711	0.110851	0.198948	0.175336	0.188726	0.11253	0.146963	0.117851	0.161719	0.116377	0.0175351	0.0327679	0.00475004	0.000487989	0.0358016	0.00217993	0.0167788	0.0274322	0.0195207	0.00542998	0.01568	0.0108311	0.0112066	0.0618553	0.00566256	0.00849564	0.00712365	0.00150216	0.00630309	0.256173	0.222707	0.0919838	0.0284932	0.390106	0.0105378	0.232693	0.255141	0.186238	0.325928	3.960646
70	-16368.6	-16377.4	8.79503	0.24692	0.0943987	0.11279	0.226048	0.191993	0.170308	0.258338	0.169896	0.187379	0.193594	0.0878743	0.0971909	0.104722	0.117898	0.169711	0.131562	0.15098	0.158734	0.157277	0.0984195	0.148488	0.12427	0.169839	0.0968261	0.0186484	0.0554564	0.00580206	0.00100839	0.0326005	0.00138109	0.00941722	0.0397513	0.00655873	0.00914658	0.00625238	0.00478753	0.0178334	0.0378998	0.00736922	0.0153235	0.0124562	0.00123329	0.00462477	0.280799	0.250656	0.0875959	0.0360868	0.334828	0.0100351	0.227622	0.249581	0.167136	0.35566	3.953008
80	-16362.8	-16372.8	10.0114	0.215961	0.0943987	0.091679	0.226048	0.175619	0.145487	0.201878	0.178265	0.187379	0.172244	0.0878743	0.0971909	0.0970118	0.118897	0.180813	0.126583	0.153386	0.158734	0.169898	0.14955	0.15517	0.104641	0.191038	0.114037	0.0175958	0.0485516	0.00510282	0.00152772	0.0537945	0.00151787	0.0136226	0.0328598	0.00264272	0.0108891	0.00903092	0.0133035	0.014709	0.0518044	0.0182584	0.00886684	0.00968563	0.00129432	0.00707968	0.277781	0.247962	0.0866547	0.0448756	0.33123	0.0114958	0.221432	0.256851	0.155699	0.366019	3.915922
90	-16361.2	-16370.3	9.06939	0.215961	0.0854641	0.106027	0.233836	0.158227	0.169956	0.224785	0.141764	0.198697	0.182054	0.111543	0.102679	0.100981	0.118751	0.153966	0.117738	0.153287	0.132352	0.203406	0.100375	0.125805	0.104641	0.181796	0.13936	0.0203405	0.0549604	0.00730911	0.00315695	0.0262506	0.000681473	0.0109375	0.0343905	0.0102678	0.00751312	0.0123401	0.0047359	0.0163511	0.0419877	0.00786786	0.0136852	0.00835889	0.00151076	0.00805568	0.260708	0.253822	0.0946342	0.045936	0.339058	0.00584201	0.221192	0.256573	0.15553	0.366705	3.854153
