Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	0	-18619.9	-18626.8	6.92189	3.820309	0.0863871	0.139167	0.0112234	0.0591571	0.203167	0.0495347	0.0926691	0.52342	0.00398449	0.107979	0.120814	0.134459	0.0581414	0.18328	0.0359453	0.129622	0.0449822	0.136318	0.0486997	0.131719	0.101634	0.0187664	0.0508294	0.179028	0.130331	0.0474594	0.11375	0.0486141	0.127781	0.17192	0.0478751	0.00778587	0.145427	0.153982	0.0280142	0.0350972	0.197825	0.0195324	0.0596933	0.000621602	0.073909	0.0208052	0.190075	0.215768	0.112492	0.0638442	0.172047	0.084269	0.35158	0.44421	0.768757	1.08438	1.70265	0.144434	0.526494	0.04365	0.285422	0.776252	4.271427
1	1	-18402.1	-18404.8	2.60351	3.615594	0.0749849	0.150595	0.0145735	0.0563026	0.301572	0.0866991	0.112462	0.230755	0.00312172	0.154014	0.0278403	0.0257414	0.0633561	0.156922	0.0551425	0.0837416	0.0727306	0.0500416	0.044637	0.108122	0.0636168	0.0847255	0.0251917	0.0199468	0.0666179	0.0251862	0.0555861	0.401711	0.0635053	0.259246	0.0204681	0.0125491	0.0610842	0.284741	0.0455979	0.103593	0.259485	0.02064	0.0888691	0.128629	0.169788	0.293125	0.276781	0.05449	0.22591	0.21739	0.265278	0.236558	0.000374232	0.431912	0.760771	1.08423	1.72308	0.0363633	0.5618	0.176926	0.22491	0.3172678	4.704038
2	0	-14148.8	-14151.8	2.94906	1.284457	0.103955	0.213371	0.0596385	0.140263	0.227943	0.121443	0.221684	0.425247	0.00493236	0.15214	0.112347	0.250423	0.150869	0.256182	0.0707548	0.171306	0.0959716	0.156867	0.148188	0.0936352	0.113144	0.0692677	0.098642	0.0829936	0.0382439	0.0454801	0.11375	0.00962255	0.100345	0.0552388	0.0352894	0.0184238	0.101022	0.0818018	0.0687392	0.0645278	0.0301707	0.0412247	0.0586722	0.00129237	0.0298181	0.0181608	0.0675038	0.0772766	0.563453	0.0340827	0.0396959	0.216929	0.0685631	0.190026	0.548249	1.03479	2.22694	0.265012	0.417049	0.0345306	0.283408	0.4273056	4.520534
3	1	-13956.6	-13956.9	0.275219	0.9479792	0.147535	0.165689	0.0259619	0.0581684	0.157311	0.119833	0.262349	0.193851	0.00511857	0.21608	0.107331	0.127885	0.0918716	0.129612	0.134421	0.2051	0.210065	0.150235	0.178193	0.0873382	0.10358	0.124444	0.0801738	0.0281142	0.0355554	0.00796866	0.0554569	0.152671	0.0160425	0.0988936	0.01649	0.0232866	0.241918	0.209325	0.0926782	0.1124	0.0417121	0.0577215	0.0625689	0.137967	0.062757	0.129573	0.0200293	0.126169	0.266148	0.109972	0.009657	0.484528	0.00352554	0.126461	0.460537	0.990816	2.42219	0.229277	0.454729	0.128891	0.187103	0.3422054	4.685276
4	0	-13559	-13552.6	-6.41623	1.166525	0.217228	0.154706	0.0878045	0.137306	0.157151	0.102619	0.282604	0.570987	0.00948785	0.324041	0.0835884	0.116384	0.143822	0.189858	0.203039	0.237843	0.13123	0.134512	0.16196	0.118159	0.145214	0.0974989	0.152332	0.0458452	0.068433	0.0755099	0.0314118	0.012785	0.0685911	0.0428792	0.0352894	0.0275208	0.205082	0.235846	0.223062	0.0356816	0.0204573	0.034237	0.0433212	0.00946219	0.0766239	0.0622907	0.113714	0.0515393	0.482657	0.050949	0.0285215	0.318994	0.0673394	0.168934	0.521659	1.02291	2.28649	0.258311	0.406503	0.0589452	0.276241	0.4063917	5.427416
5	1	-13517.7	-13516.3	-1.38614	1.310138	0.199335	0.170031	0.0547895	0.118295	0.109624	0.152254	0.194548	0.172192	0.0243685	0.248696	0.125831	0.147891	0.155998	0.191757	0.196431	0.212675	0.210065	0.130327	0.152205	0.101889	0.151299	0.0918915	0.302881	0.0504826	0.0654887	0.00643268	0.0380171	0.109832	0.0216208	0.100617	0.00431632	0.0349932	0.183095	0.0826602	0.125916	0.0233148	0.0186208	0.029002	0.161355	0.0383632	0.0644264	0.177638	0.00834735	0.121848	0.28251	0.113802	0.00932623	0.467933	0.00458141	0.194448	0.553568	1.03701	2.21497	0.23271	0.446563	0.130822	0.189905	0.3422054	4.959816
6	0	-13340.3	-13329.9	-10.3913	0.9235781	0.217228	0.144745	0.139015	0.13516	0.160831	0.120129	0.30263	0.292242	0.0130368	0.281114	0.115547	0.121467	0.155302	0.197758	0.129401	0.263903	0.207716	0.222293	0.193681	0.0968929	0.160035	0.0943542	0.3514	0.0700905	0.0422533	0.0727226	0.0266941	0.0261256	0.0910484	0.0448279	0.0127616	0.0378189	0.138616	0.319651	0.0972601	0.0558651	0.0416004	0.0337109	0.166392	0.0634258	0.101334	0.0634658	0.120318	0.0489379	0.467038	0.0445515	0.0257464	0.349786	0.0639406	0.121465	0.452511	0.986085	2.43994	0.334617	0.365267	0.0558108	0.244305	0.4063917	5.741866
7	1	-13309.2	-13310.1	0.89621	1.505859	0.217311	0.154249	0.146678	0.0880607	0.192885	0.11901	0.163895	0.183268	0.0413039	0.197302	0.124077	0.0945681	0.133812	0.199871	0.185852	0.217418	0.206773	0.147219	0.172974	0.108425	0.104011	0.137126	0.286306	0.0296789	0.0323336	0.0139791	0.0478183	0.110109	0.0141264	0.0673181	0.00719999	0.0508704	0.102482	0.0921242	0.0749996	0.0179862	0.0510124	0.0548106	0.15651	0.0427173	0.011566	0.127084	0.0417694	0.114885	0.307035	0.107299	0.0130308	0.441193	0.0165567	0.226226	0.589529	1.05076	2.13348	0.282858	0.362982	0.124536	0.229624	0.3562455	4.768891
8	0	-13219.6	-13202	-17.5527	0.9198215	0.219132	0.152425	0.210052	0.148865	0.164314	0.146601	0.263309	0.096868	0.0210749	0.282806	0.124146	0.143105	0.231606	0.252163	0.177993	0.31263	0.300018	0.236129	0.201833	0.120874	0.125999	0.0837332	0.414947	0.0393501	0.0445399	0.0511557	0.0390844	0.0230639	0.0641564	0.0679388	0.0258226	0.0700134	0.259412	0.351468	0.109294	0.0399923	0.115567	0.0425942	0.268475	0.109869	0.104461	0.0884642	0.111075	0.0495026	0.472427	0.0335269	0.0260435	0.353822	0.0646784	0.120691	0.451251	0.985331	2.44273	0.334617	0.365267	0.0558108	0.244305	0.3860937	6.456422
9	1	-13181.3	-13178	-3.32917	1.400025	0.273015	0.155831	0.208014	0.145651	0.231173	0.0686582	0.187399	0.122937	0.0576036	0.262424	0.108652	0.100534	0.126318	0.183772	0.154906	0.234919	0.234743	0.158482	0.189796	0.0930374	0.126192	0.0579494	0.415978	0.0958504	0.0180643	0.0311094	0.025722	0.0289315	0.0318208	0.0392789	0.00503347	0.0684141	0.0574019	0.200512	0.0969856	0.0744843	0.0558363	0.0777093	0.105795	0.0525607	0.00689713	0.145428	0.0567803	0.0724641	0.225871	0.0788199	0.0126601	0.575131	0.0350539	0.209457	0.571023	1.04397	2.17555	0.319841	0.344263	0.118113	0.217782	0.3821244	5.172601
