Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-18619.9	-18626.8	6.92189	3.820309	0.0863871	0.139167	0.0112234	0.0591571	0.203167	0.0495347	0.0926691	0.52342	0.00398449	0.107979	0.120814	0.134459	0.0581414	0.18328	0.0359453	0.129622	0.0449822	0.136318	0.0486997	0.131719	0.101634	0.0187664	0.0508294	0.179028	0.130331	0.0474594	0.11375	0.0486141	0.127781	0.17192	0.0478751	0.00778587	0.145427	0.153982	0.0280142	0.0350972	0.197825	0.0195324	0.0596933	0.000621602	0.073909	0.0208052	0.190075	0.215768	0.112492	0.0638442	0.172047	0.084269	0.35158	0.44421	0.768757	1.08438	1.70265	0.144434	0.526494	0.04365	0.285422	0.776252	4.271427
10	-14148.8	-14151.8	2.94906	1.284457	0.103955	0.213371	0.0596385	0.140263	0.227943	0.121443	0.221684	0.425247	0.00493236	0.15214	0.112347	0.250423	0.150869	0.256182	0.0707548	0.171306	0.0959716	0.156867	0.148188	0.0936352	0.113144	0.0692677	0.098642	0.0829936	0.0382439	0.0454801	0.11375	0.00962255	0.100345	0.0552388	0.0352894	0.0184238	0.101022	0.0818018	0.0687392	0.0645278	0.0301707	0.0412247	0.0586722	0.00129237	0.0298181	0.0181608	0.0675038	0.0772766	0.563453	0.0340827	0.0396959	0.216929	0.0685631	0.190026	0.548249	1.03479	2.22694	0.265012	0.417049	0.0345306	0.283408	0.4273056	4.520534
20	-13559	-13552.6	-6.41623	1.166525	0.217228	0.154706	0.0878045	0.137306	0.157151	0.102619	0.282604	0.570987	0.00948785	0.324041	0.0835884	0.116384	0.143822	0.189858	0.203039	0.237843	0.13123	0.134512	0.16196	0.118159	0.145214	0.0974989	0.152332	0.0458452	0.068433	0.0755099	0.0314118	0.012785	0.0685911	0.0428792	0.0352894	0.0275208	0.205082	0.235846	0.223062	0.0356816	0.0204573	0.034237	0.0433212	0.00946219	0.0766239	0.0622907	0.113714	0.0515393	0.482657	0.050949	0.0285215	0.318994	0.0673394	0.168934	0.521659	1.02291	2.28649	0.258311	0.406503	0.0589452	0.276241	0.4063917	5.427416
30	-13340.3	-13329.9	-10.3913	0.9235781	0.217228	0.144745	0.139015	0.13516	0.160831	0.120129	0.30263	0.292242	0.0130368	0.281114	0.115547	0.121467	0.155302	0.197758	0.129401	0.263903	0.207716	0.222293	0.193681	0.0968929	0.160035	0.0943542	0.3514	0.0700905	0.0422533	0.0727226	0.0266941	0.0261256	0.0910484	0.0448279	0.0127616	0.0378189	0.138616	0.319651	0.0972601	0.0558651	0.0416004	0.0337109	0.166392	0.0634258	0.101334	0.0634658	0.120318	0.0489379	0.467038	0.0445515	0.0257464	0.349786	0.0639406	0.121465	0.452511	0.986085	2.43994	0.334617	0.365267	0.0558108	0.244305	0.4063917	5.741866
40	-13219.6	-13202	-17.5527	0.9198215	0.219132	0.152425	0.210052	0.148865	0.164314	0.146601	0.263309	0.096868	0.0210749	0.282806	0.124146	0.143105	0.231606	0.252163	0.177993	0.31263	0.300018	0.236129	0.201833	0.120874	0.125999	0.0837332	0.414947	0.0393501	0.0445399	0.0511557	0.0390844	0.0230639	0.0641564	0.0679388	0.0258226	0.0700134	0.259412	0.351468	0.109294	0.0399923	0.115567	0.0425942	0.268475	0.109869	0.104461	0.0884642	0.111075	0.0495026	0.472427	0.0335269	0.0260435	0.353822	0.0646784	0.120691	0.451251	0.985331	2.44273	0.334617	0.365267	0.0558108	0.244305	0.3860937	6.456422
50	-13190.1	-13175.3	-14.7181	0.9527065	0.203198	0.127857	0.126171	0.12797	0.211228	0.201797	0.31305	0.179988	0.0354993	0.282806	0.0770396	0.128738	0.213147	0.159139	0.170197	0.289811	0.210762	0.156171	0.212355	0.0874349	0.178376	0.146895	0.55175	0.0899462	0.0422594	0.0681019	0.0714378	0.0450894	0.0955151	0.0600953	0.0458519	0.0643877	0.236949	0.196299	0.10827	0.0332731	0.0585996	0.0539343	0.156818	0.0541697	0.163604	0.121898	0.0286273	0.0350202	0.466892	0.0373752	0.0232114	0.394435	0.0430654	0.127424	0.46206	0.991699	2.41882	0.337435	0.368344	0.0562809	0.23794	0.4058077	6.186506
60	-13136.1	-13119.1	-17.0598	0.9138494	0.300265	0.191617	0.160806	0.169844	0.156011	0.155081	0.242457	0.141958	0.127774	0.308846	0.105073	0.107393	0.192896	0.246518	0.176675	0.242211	0.309679	0.208394	0.198263	0.129232	0.123332	0.0854264	0.471566	0.0351849	0.061364	0.0831615	0.0221107	0.124359	0.0622041	0.0606785	0.0135387	0.0834957	0.174808	0.277606	0.109413	0.0215671	0.0551037	0.0886977	0.171233	0.0824853	0.203104	0.0833133	0.0398339	0.0370481	0.435777	0.0395395	0.0248014	0.417275	0.0455592	0.11946	0.449232	0.984117	2.44719	0.342967	0.374382	0.0595993	0.223051	0.4058077	6.404577
70	-13135.2	-13113.7	-21.5216	0.9748809	0.283507	0.176429	0.175823	0.12128	0.208489	0.185589	0.276273	0.0985612	0.159885	0.421593	0.11005	0.134705	0.233664	0.210945	0.202475	0.325553	0.351383	0.2644	0.236675	0.129148	0.173067	0.0963955	0.491805	0.0613869	0.0361876	0.0795418	0.0317844	0.225243	0.0492066	0.0573346	0.00726218	0.0648454	0.0858614	0.187179	0.108925	0.0201228	0.0623862	0.0847466	0.191078	0.113837	0.15392	0.128749	0.0582395	0.039637	0.437589	0.0402656	0.0314462	0.419011	0.0320508	0.131915	0.469069	0.99571	2.40331	0.339997	0.385129	0.0577195	0.217154	0.3834037	6.875532
80	-13146.9	-13125.2	-21.6373	1.019381	0.265974	0.180304	0.200001	0.105633	0.230601	0.129934	0.234521	0.126074	0.140119	0.316101	0.0751518	0.125736	0.232181	0.290015	0.246039	0.380618	0.317362	0.188215	0.234322	0.138778	0.120137	0.169484	0.538556	0.0596837	0.0596874	0.0388721	0.0143344	0.21426	0.0366512	0.0398849	0.0124213	0.0584412	0.177487	0.240947	0.0645155	0.0371768	0.0586878	0.0780434	0.247539	0.175194	0.15392	0.124527	0.0253751	0.0352258	0.463467	0.0396496	0.0360598	0.369027	0.0565706	0.140805	0.482501	1.00314	2.37356	0.348305	0.370104	0.0591299	0.22246	0.3821051	6.903501
90	-13145	-13122	-22.9566	0.9155031	0.275248	0.180724	0.183841	0.144211	0.226702	0.186473	0.269924	0.156547	0.140119	0.389869	0.119784	0.165149	0.218602	0.362486	0.123969	0.394642	0.258963	0.191785	0.234322	0.120475	0.157392	0.12613	0.454252	0.0540723	0.0573656	0.0673963	0.00519165	0.197768	0.0951535	0.0507745	0.0233899	0.0766116	0.125181	0.19799	0.0968815	0.0354029	0.0618492	0.0563421	0.29447	0.0633892	0.222716	0.120861	0.0105536	0.0369543	0.407495	0.0479276	0.0294525	0.446072	0.0320985	0.119801	0.449793	0.984455	2.44595	0.348305	0.370104	0.0591299	0.22246	0.3821051	6.994967
