Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-21526.8	-21530.9	4.0912	0.0518049	0.115697	0.0843069	0.234069	0.0688239	0.129052	0.0341112	0.0750667	0.121014	0.054701	0.292125	0.00114885	0.0461679	0.0476974	0.0211441	0.165561	0.288772	0.0241522	0.00499623	0.249651	0.00406996	0.016722	0.0214791	0.0190107	0.0197498	0.00230697	0.127037	0.235131	0.0886788	0.0437343	0.0846047	0.0311209	0.0887758	0.28798	0.0515652	0.20125	0.0583952	0.227696	0.0573643	0.00918453	0.30329	0.0701707	0.0372067	0.6977149	0.349116	0.38755	0.171879	0.0914546	4.196587
1	1	-21495.8	-21493.5	-2.31124	0.248691	0.0898117	0.0296424	0.0107278	0.0320766	0.285935	0.0988523	0.00135859	0.0794433	0.254371	0.0283282	0.00172356	0.0487064	0.0609342	0.0900286	0.304576	0.0309957	0.318042	0.242507	0.198114	0.00274041	0.0973233	0.0157265	0.0255576	0.0443705	0.0742479	0.0118445	0.0378768	0.000413289	0.012315	0.0844695	0.0474911	0.281247	0.414951	0.737799	0.0151608	0.0801774	0.0820799	0.031876	0.159273	0.0261112	0.115971	0.00335927	0.3546612	0.212728	0.427292	0.197861	0.162118	4.857248
2	0	-16552.7	-16561.2	8.55752	0.149874	0.100309	0.125463	0.241926	0.100157	0.0913446	0.0907229	0.105362	0.194905	0.159042	0.111643	0.00204279	0.114308	0.113223	0.0628108	0.132982	0.167735	0.0424791	0.0329947	0.121545	0.0309675	0.0833199	0.0392118	0.0368273	0.0145333	0.00802428	0.0306796	0.208401	0.039799	0.0427304	0.0263801	0.0308199	0.0634413	0.0545685	0.0410857	0.0977327	0.0640365	0.0906601	0.053254	0.0289912	0.153425	0.175046	0.0242864	1.214756	0.277253	0.307776	0.0855992	0.329372	3.699091
3	1	-16866.7	-16874.9	8.2049	0.152447	0.0984452	0.0399889	0.0708862	0.0590282	0.175558	0.149554	0.00510081	0.119401	0.179671	0.0455332	0.0100424	0.151592	0.0982617	0.0874819	0.159604	0.0602399	0.0992044	0.130717	0.192962	0.0249511	0.0975882	0.0665957	0.0475914	0.053018	0.0416747	0.0430034	0.0604196	0.000396292	0.0338713	0.0629887	0.0299635	0.176731	0.301321	0.177773	0.0387393	0.0497953	0.0940705	0.109195	0.0546813	0.0213922	0.0653395	0.0027234	1.162154	0.247709	0.29761	0.0968587	0.357822	3.739543
4	0	-15165.9	-15173.3	7.35631	0.140658	0.0912857	0.125463	0.231066	0.109866	0.0898285	0.153984	0.08229	0.0914592	0.149335	0.162286	0.00288902	0.102465	0.0885197	0.129096	0.106657	0.137949	0.111606	0.120957	0.0763491	0.0883327	0.0977272	0.194509	0.0448383	0.0179601	0.0209777	0.0283966	0.0292062	0.0324916	0.0823923	0.0424761	0.056027	0.022466	0.0454022	0.0289134	0.0925962	0.0228326	0.0471393	0.0160296	0.0327619	0.117605	0.130831	0.019588	3.839809	0.256998	0.29776	0.0828136	0.362429	3.615508
5	1	-15266.5	-15271.9	5.35626	0.151759	0.0944269	0.0704701	0.0999413	0.137571	0.171574	0.144949	0.0150423	0.129761	0.20715	0.108023	0.0632519	0.13774	0.111886	0.10538	0.151646	0.145145	0.142137	0.12759	0.0955031	0.077589	0.0796862	0.177642	0.0516484	0.0718475	0.0340619	0.0707379	0.022775	0.00015117	0.0503612	0.0264293	0.0302371	0.0419715	0.12598	0.162581	0.0511849	0.0270937	0.0717559	0.0747525	0.0946718	0.017976	0.0206455	0.0115963	4.025538	0.236824	0.328477	0.0926023	0.342097	3.804323
6	0	-14844.3	-14854.1	9.76579	0.152227	0.101668	0.0804616	0.0993982	0.109866	0.0820678	0.121183	0.0718667	0.115654	0.241444	0.115257	0.0166777	0.111894	0.117526	0.100178	0.113163	0.137949	0.106523	0.12532	0.0681749	0.072092	0.0919962	0.192914	0.027299	0.0286416	0.0462686	0.0847101	0.0387102	0.0746372	0.0350214	0.0246683	0.0656702	0.0262915	0.0555471	0.0346557	0.0333573	0.0251201	0.0349563	0.0164736	0.0353012	0.0963565	0.0310153	0.014357	3.839809	0.251063	0.290884	0.103992	0.35406	3.37456
7	1	-14831.4	-14840.4	9.03433	0.163787	0.108468	0.124938	0.0680427	0.111446	0.115539	0.115462	0.0264509	0.120021	0.222009	0.0749606	0.0771349	0.124413	0.104955	0.103959	0.14351	0.148823	0.112377	0.129307	0.0820623	0.0892873	0.0655205	0.212737	0.105979	0.0832293	0.0317695	0.0410272	0.0125179	0.000217182	0.0287802	0.0507803	0.0302908	0.0396405	0.0450192	0.0455148	0.0495042	0.0319625	0.0536947	0.0441645	0.0392556	0.020369	0.0407978	0.011727	3.778802	0.23941	0.327363	0.0922885	0.340938	3.45145
8	0	-14780.9	-14790.4	9.52863	0.157899	0.10834	0.0867303	0.0758921	0.117589	0.0901168	0.122031	0.0994354	0.0916851	0.172914	0.0651272	0.0802499	0.0976657	0.117559	0.12518	0.122173	0.133121	0.105368	0.132067	0.0740002	0.0870496	0.083756	0.178684	0.0301682	0.027355	0.0333624	0.0539984	0.029933	0.0932336	0.0293636	0.0353542	0.0574916	0.038357	0.061542	0.0290549	0.0419697	0.0251868	0.0384799	0.0125341	0.0706387	0.0960504	0.029916	0.0307317	3.987479	0.280007	0.290201	0.103748	0.326044	3.389354
9	1	-14781.6	-14791.2	9.61699	0.154796	0.112542	0.097931	0.077542	0.109417	0.0860041	0.138383	0.100273	0.0926376	0.169354	0.0888324	0.0946763	0.101971	0.109719	0.111393	0.13374	0.124538	0.128344	0.129184	0.103055	0.0957151	0.0794955	0.190782	0.0696388	0.0669308	0.0311485	0.0380466	0.0276564	8.68564e-05	0.0364852	0.032202	0.0374282	0.0525193	0.0541415	0.0274095	0.041282	0.0252966	0.0623872	0.0321105	0.0511206	0.0325382	0.0192836	0.00850846	4.054253	0.254343	0.290096	0.098045	0.357515	3.376547
