Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21495.8	-21493.5	-2.31124	0.248691	0.0898117	0.0296424	0.0107278	0.0320766	0.285935	0.0988523	0.00135859	0.0794433	0.254371	0.0283282	0.00172356	0.0487064	0.0609342	0.0900286	0.304576	0.0309957	0.318042	0.242507	0.198114	0.00274041	0.0973233	0.0157265	0.0255576	0.0443705	0.0742479	0.0118445	0.0378768	0.000413289	0.012315	0.0844695	0.0474911	0.281247	0.414951	0.737799	0.0151608	0.0801774	0.0820799	0.031876	0.159273	0.0261112	0.115971	0.00335927	0.3546612	0.212728	0.427292	0.197861	0.162118	4.857248
10	-16866.7	-16874.9	8.2049	0.152447	0.0984452	0.0399889	0.0708862	0.0590282	0.175558	0.149554	0.00510081	0.119401	0.179671	0.0455332	0.0100424	0.151592	0.0982617	0.0874819	0.159604	0.0602399	0.0992044	0.130717	0.192962	0.0249511	0.0975882	0.0665957	0.0475914	0.053018	0.0416747	0.0430034	0.0604196	0.000396292	0.0338713	0.0629887	0.0299635	0.176731	0.301321	0.177773	0.0387393	0.0497953	0.0940705	0.109195	0.0546813	0.0213922	0.0653395	0.0027234	1.162154	0.247709	0.29761	0.0968587	0.357822	3.739543
20	-15266.5	-15271.9	5.35626	0.151759	0.0944269	0.0704701	0.0999413	0.137571	0.171574	0.144949	0.0150423	0.129761	0.20715	0.108023	0.0632519	0.13774	0.111886	0.10538	0.151646	0.145145	0.142137	0.12759	0.0955031	0.077589	0.0796862	0.177642	0.0516484	0.0718475	0.0340619	0.0707379	0.022775	0.00015117	0.0503612	0.0264293	0.0302371	0.0419715	0.12598	0.162581	0.0511849	0.0270937	0.0717559	0.0747525	0.0946718	0.017976	0.0206455	0.0115963	4.025538	0.236824	0.328477	0.0926023	0.342097	3.804323
30	-14831.4	-14840.4	9.03433	0.163787	0.108468	0.124938	0.0680427	0.111446	0.115539	0.115462	0.0264509	0.120021	0.222009	0.0749606	0.0771349	0.124413	0.104955	0.103959	0.14351	0.148823	0.112377	0.129307	0.0820623	0.0892873	0.0655205	0.212737	0.105979	0.0832293	0.0317695	0.0410272	0.0125179	0.000217182	0.0287802	0.0507803	0.0302908	0.0396405	0.0450192	0.0455148	0.0495042	0.0319625	0.0536947	0.0441645	0.0392556	0.020369	0.0407978	0.011727	3.778802	0.23941	0.327363	0.0922885	0.340938	3.45145
40	-14781.6	-14791.2	9.61699	0.154796	0.112542	0.097931	0.077542	0.109417	0.0860041	0.138383	0.100273	0.0926376	0.169354	0.0888324	0.0946763	0.101971	0.109719	0.111393	0.13374	0.124538	0.128344	0.129184	0.103055	0.0957151	0.0794955	0.190782	0.0696388	0.0669308	0.0311485	0.0380466	0.0276564	8.68564e-05	0.0364852	0.032202	0.0374282	0.0525193	0.0541415	0.0274095	0.041282	0.0252966	0.0623872	0.0321105	0.0511206	0.0325382	0.0192836	0.00850846	4.054253	0.254343	0.290096	0.098045	0.357515	3.376547
50	-14786.2	-14796.7	10.4257	0.129107	0.0913664	0.101609	0.0857157	0.109517	0.093757	0.129886	0.0843738	0.100477	0.171475	0.0914543	0.0946763	0.103894	0.0834806	0.0938473	0.135859	0.153385	0.136927	0.112591	0.0709194	0.0912297	0.0579757	0.191319	0.117332	0.04868	0.0368104	0.0401469	0.0224991	0.000192416	0.0413496	0.0294651	0.0211353	0.0455329	0.0352375	0.0505336	0.0613482	0.0298058	0.0525612	0.0209132	0.0675097	0.0375398	0.0173312	0.0171178	3.851024	0.254343	0.290096	0.098045	0.357515	3.307885
60	-14783.8	-14793.9	10.1239	0.165618	0.0958844	0.0990757	0.0812991	0.0930623	0.0927573	0.107252	0.0749524	0.0974124	0.166635	0.087246	0.0845358	0.106823	0.0937954	0.128185	0.129351	0.153546	0.120464	0.140951	0.0702166	0.100846	0.078897	0.224423	0.106632	0.0696368	0.0401253	0.0275061	0.0146687	0.000993918	0.0312367	0.0153867	0.0298199	0.0376523	0.048863	0.0349118	0.027541	0.0565376	0.0529015	0.0259122	0.0494194	0.0352654	0.0171907	0.0233457	3.839457	0.254343	0.290096	0.098045	0.357515	3.338773
70	-14783.6	-14792.9	9.29273	0.13932	0.0937025	0.10307	0.094891	0.128679	0.0826109	0.126887	0.0770119	0.102765	0.20054	0.0595147	0.0733316	0.0963334	0.116671	0.116154	0.171074	0.11436	0.123122	0.150127	0.0713895	0.0980211	0.0930752	0.215537	0.0948038	0.0658479	0.0366822	0.0338339	0.0147362	0.0075216	0.044072	0.00805609	0.0346714	0.044974	0.0535722	0.0477052	0.0335309	0.0509558	0.0330947	0.0293762	0.0634927	0.0174635	0.0161129	0.0212058	4.209292	0.279561	0.280285	0.0947292	0.345425	3.399897
80	-14783.9	-14793.3	9.35479	0.137858	0.117734	0.127028	0.106107	0.118807	0.0788081	0.126841	0.0886019	0.0879108	0.20054	0.0694832	0.0912465	0.0878858	0.124495	0.0899251	0.117771	0.159276	0.131571	0.145379	0.0713895	0.110455	0.072169	0.171959	0.0708425	0.0370289	0.0423952	0.0502735	0.0268079	0.0206246	0.0273805	0.027574	0.0277829	0.058519	0.0464057	0.0376959	0.0225506	0.038621	0.0589452	0.0269027	0.0356622	0.0324353	0.0293364	0.0426652	4.209292	0.279561	0.280285	0.0947292	0.345425	3.393691
90	-14771.5	-14781.4	9.91564	0.130994	0.10679	0.0965659	0.0740464	0.121996	0.0645947	0.128815	0.0989403	0.111181	0.166389	0.0838613	0.0893697	0.11757	0.0854703	0.0975782	0.128292	0.138711	0.120994	0.145379	0.0740896	0.0940145	0.0929856	0.171959	0.0977072	0.0616138	0.040646	0.0328475	0.0199291	0.0225754	0.0369251	0.0323684	0.0220534	0.0572241	0.0421355	0.0344719	0.0453715	0.0282651	0.0438597	0.0419864	0.0578961	0.0147839	0.0245936	0.0424628	4.162874	0.279613	0.280338	0.0952341	0.344816	3.340302
