Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	0	-22052.8	-22053.4	0.552611	4.745676	0.108302	0.0107226	0.0239379	0.0791568	0.21726	0.00229588	0.0814783	0.0137117	0.0769805	0.0101532	0.0367143	0.107886	0.140512	0.056296	0.131991	0.0139824	0.246332	0.00895541	0.0425732	0.119954	0.677703	0.0279427	0.0925996	0.0631365	0.120661	0.05996	0.100176	0.0217245	0.102736	0.247329	0.0963151	0.039581	0.0706982	0.00184725	0.17431	0.205192	0.0240688	0.196504	0.18757	0.0559834	0.00238694	0.265915	0.0114118	0.491159	0.7976	1.08372	1.62753	0.4288217	0.102219	0.38362	0.452789	0.0613722	0.2258515	4.374946
1	1	-18297.3	-18298.1	0.805302	7.548734	0.0775615	0.0204501	0.0588921	0.171214	0.0589336	0.177209	0.0883831	0.257165	0.0429993	0.196231	0.074874	0.0209507	0.0927435	0.0257851	0.0456286	0.0959305	0.0683636	0.0204181	0.0228576	0.129549	0.0652641	0.0425177	0.0538361	8.59994e-05	0.0148978	0.0462745	0.166187	0.0245928	0.0533564	0.335434	0.109628	0.0933634	0.0363383	0.0567994	0.131396	0.0142855	0.0712481	0.385875	0.0337779	0.254565	0.325776	0.114934	0.0726003	0.582552	0.847281	1.07768	1.49249	0.8091914	0.515056	0.198864	0.165292	0.120788	0.3491467	4.249172
2	0	-15274.3	-15274.3	0.0308202	1.059475	0.269281	0.0718441	0.0327912	0.207792	0.160995	0.0039343	0.0915709	0.0724529	0.248733	0.045187	0.0620232	0.0919283	0.0777579	0.115826	0.260094	0.0466104	0.30828	0.0284357	0.104605	0.107127	0.273725	0.0537017	0.197043	0.0278929	0.0349529	0.0792994	0.0997063	0.0175683	0.0724281	0.0521376	0.0597355	0.0608942	0.0519936	0.00420694	0.0237461	0.0785874	0.0286073	0.249203	0.123019	0.0767518	0.0122259	0.0931976	0.0155179	0.148666	0.493927	1.0092	2.34821	0.8628648	0.15146	0.458683	0.0546706	0.335186	0.4040788	4.193412
3	1	-14914	-14915.3	1.30949	1.290554	0.167328	0.0308209	0.117845	0.171214	0.101449	0.208822	0.187621	0.201976	0.084929	0.192096	0.0679907	0.074545	0.141816	0.082897	0.121014	0.158152	0.114465	0.0355956	0.0457129	0.121329	0.0676599	0.0477755	0.166187	0.000329816	0.0560744	0.0352554	0.0671725	0.0115442	0.065048	0.155543	0.054353	0.0271461	0.0709448	0.0223504	0.0943935	0.0115201	0.00917139	0.163052	0.00720214	0.0987599	0.250282	0.130521	0.0591026	0.191081	0.549526	1.03532	2.22407	1.162923	0.242556	0.385669	0.0479438	0.323831	0.4695543	4.099003
4	0	-13833.5	-13836.4	2.88231	1.432338	0.171929	0.103909	0.131199	0.0805875	0.164498	0.0335804	0.100945	0.106978	0.198883	0.222142	0.0761301	0.110688	0.105056	0.138252	0.131581	0.17405	0.190323	0.0479731	0.197813	0.155881	0.133484	0.103556	0.237949	0.0260914	0.0446267	0.0257912	0.0415381	0.0318831	0.0524928	0.0220715	0.0561533	0.0809123	0.0190007	0.00530744	0.0350508	0.029417	0.0375144	0.079683	0.0694957	0.0554224	0.0119091	0.0466652	0.0186483	0.214678	0.576892	1.04619	2.16224	1.842779	0.202659	0.406722	0.10824	0.282379	0.3863307	3.907061
5	1	-13739.3	-13742.3	3.05691	1.93311	0.169289	0.148858	0.144755	0.146046	0.180182	0.057613	0.16385	0.121014	0.084555	0.221979	0.0928873	0.0700072	0.0941947	0.113381	0.126777	0.213774	0.135498	0.109745	0.173883	0.0997263	0.0824093	0.0791564	0.252062	0.000185117	0.0435713	0.0230345	0.0542811	0.0218386	0.0495745	0.0594606	0.0547379	0.0366115	0.0556866	0.0489923	0.0662818	0.0198938	0.0195241	0.0322421	0.00370604	0.0922586	0.0988171	0.059449	0.0271874	0.285157	0.647707	1.06822	1.99891	1.914748	0.220171	0.392291	0.059588	0.327949	0.431328	3.948975
6	0	-13271.8	-13270.4	-1.35681	1.444502	0.204802	0.105103	0.131199	0.114191	0.137149	0.0504666	0.170362	0.0865773	0.135503	0.219388	0.106585	0.112145	0.12113	0.135605	0.136987	0.188441	0.181574	0.134201	0.171386	0.0795862	0.125599	0.0974419	0.255112	0.009881	0.033198	0.0407851	0.0265334	0.0715285	0.0868404	0.020917	0.0655109	0.0461834	0.0369046	0.0205469	0.0179025	0.0935615	0.0165364	0.0459805	0.0619177	0.134493	0.019312	0.0596934	0.0755246	0.21662	0.57905	1.04699	2.15734	3.899925	0.283733	0.374859	0.0811516	0.260257	0.3863307	4.184285
7	1	-13187.6	-13178	-9.55638	1.000383	0.222226	0.121319	0.142939	0.100803	0.161722	0.115809	0.195767	0.141968	0.103248	0.269227	0.0815092	0.134856	0.118164	0.13488	0.144249	0.233017	0.216485	0.167124	0.162824	0.0774983	0.100054	0.119076	0.335173	0.000149352	0.10419	0.0432121	0.0555886	0.0262118	0.0269343	0.0353642	0.0345378	0.0835464	0.0285189	0.0288734	0.0466982	0.0238083	0.0357023	0.0389324	0.00392091	0.152632	0.168062	0.026858	0.142012	0.13703	0.476867	1.00006	2.38604	7.694469	0.309564	0.377312	0.0844156	0.228708	0.4236256	4.705691
8	0	-13190.3	-13175.6	-14.7423	1.019516	0.307976	0.124378	0.161297	0.131389	0.18311	0.0854	0.156275	0.140667	0.134261	0.242434	0.135687	0.101708	0.201723	0.199745	0.167047	0.267313	0.169505	0.185998	0.226765	0.0886169	0.17303	0.125177	0.355945	0.00633223	0.0458528	0.0597377	0.0265434	0.0457634	0.086046	0.0517856	0.0475004	0.0416588	0.074922	0.0507345	0.0100912	0.136949	0.0171286	0.0299411	0.0952112	0.153661	0.0345315	0.0682878	0.126691	0.140831	0.48254	1.00316	2.37347	6.641936	0.283733	0.374859	0.0811516	0.260257	0.3679306	5.274814
9	1	-13183.4	-13167.4	-15.9626	1.271639	0.271216	0.114676	0.142939	0.113883	0.196124	0.148821	0.246303	0.127744	0.153831	0.249659	0.101562	0.130938	0.157497	0.168259	0.144249	0.264206	0.225645	0.171954	0.171218	0.0806586	0.137481	0.148323	0.372902	0.00035056	0.0826039	0.0417979	0.06136	0.0457317	0.026007	0.0555976	0.0473252	0.216533	0.0171477	0.0470347	0.0514623	0.0210461	0.0765578	0.0407284	0.00419823	0.113273	0.175264	0.0362067	0.216305	0.187796	0.545536	1.03363	2.23304	7.930762	0.31796	0.374192	0.0837176	0.22413	0.4118889	5.416616
10	0	-13160.3	-13142.5	-17.8044	1.105096	0.194538	0.128361	0.159115	0.145953	0.165718	0.120945	0.221879	0.137256	0.146312	0.336052	0.10288	0.100107	0.167447	0.16105	0.219717	0.250675	0.260266	0.185998	0.195458	0.0857431	0.117941	0.118927	0.398529	0.0115048	0.0540916	0.083663	0.0184676	0.0228383	0.113179	0.0403357	0.0510283	0.0764159	0.0989969	0.0530347	0.0196403	0.209229	0.017561	0.0326085	0.0324268	0.226269	0.0685079	0.109717	0.115908	0.157433	0.506212	1.01544	2.32091	7.425145	0.324156	0.353703	0.0765717	0.245569	0.3679306	5.57629
11	1	-13159.3	-13134.1	-25.2225	0.8883553	0.232313	0.178456	0.126315	0.109744	0.160633	0.163727	0.231812	0.121307	0.131086	0.381827	0.119924	0.129456	0.21625	0.242204	0.197814	0.332455	0.251318	0.180137	0.158335	0.11778	0.174599	0.135897	0.501462	0.00110895	0.12265	0.0892812	0.0570799	0.0213181	0.0173486	0.0590731	0.0284755	0.187792	0.0455902	0.0756981	0.067475	0.0447022	0.10024	0.0203716	0.0128074	0.173536	0.155331	0.0539426	0.202243	0.114175	0.440416	0.978722	2.46669	10.39031	0.336787	0.37958	0.0562759	0.227357	0.3722288	6.130913
12	0	-13160.5	-13135.7	-24.7189	1.015605	0.287566	0.148586	0.133759	0.166842	0.207158	0.123566	0.279246	0.122371	0.152986	0.372849	0.156082	0.110792	0.178321	0.2008	0.150619	0.267382	0.209857	0.210228	0.24426	0.0979653	0.16158	0.112127	0.466312	0.022909	0.0704382	0.0993031	0.00840532	0.0420686	0.11881	0.0685103	0.0371738	0.0494788	0.136425	0.0514099	0.0340019	0.223763	0.0152295	0.043858	0.0483316	0.175039	0.0396631	0.147103	0.175963	0.140057	0.481393	1.00254	2.37601	9.267922	0.324156	0.353703	0.0765717	0.245569	0.3679306	6.16914
13	1	-13150.3	-13117.7	-32.6079	1.007207	0.307776	0.161083	0.220913	0.138416	0.23679	0.174091	0.30102	0.147071	0.17241	0.369586	0.082704	0.123772	0.230615	0.290997	0.238078	0.23635	0.280067	0.247394	0.243918	0.0952935	0.174599	0.153296	0.533313	0.00113181	0.189521	0.0359439	0.138316	0.014571	0.0313538	0.0225779	0.0640582	0.246979	0.0353956	0.0818017	0.0581325	0.0559851	0.102005	0.0315063	0.0252418	0.169284	0.200524	0.0368447	0.222674	0.13839	0.478907	1.00118	2.38152	10.20765	0.340532	0.377437	0.0559581	0.226073	0.3722288	6.923396
14	0	-13155.9	-13122.6	-33.3266	0.8728511	0.298793	0.140455	0.180431	0.164702	0.224233	0.180976	0.283933	0.173636	0.143013	0.366724	0.139482	0.133069	0.232508	0.232988	0.22808	0.334207	0.308275	0.217779	0.293123	0.077283	0.160741	0.102298	0.570211	0.0229519	0.14844	0.093801	0.0495251	0.00742814	0.170054	0.0677106	0.0264107	0.0891063	0.126462	0.0514099	0.0275158	0.202333	0.0040113	0.094244	0.0453359	0.191438	0.0292691	0.11561	0.185529	0.11094	0.434891	0.975263	2.47891	10.34972	0.337919	0.36872	0.0798226	0.213539	0.3935905	6.935527
15	1	-13146.2	-13116	-30.2182	0.88954	0.268609	0.160454	0.218329	0.115382	0.188539	0.162816	0.250224	0.140811	0.15245	0.332846	0.102598	0.16173	0.227138	0.230833	0.206507	0.287808	0.280067	0.193728	0.237994	0.0991581	0.180493	0.086485	0.46432	0.00170074	0.148789	0.0613231	0.0850243	0.00951336	0.022957	0.0238206	0.0389404	0.248207	0.0711196	0.0723207	0.0761277	0.0797994	0.122752	0.035385	0.0363201	0.263161	0.237937	0.0563106	0.196097	0.114422	0.440833	0.978981	2.46576	10.20765	0.342048	0.363675	0.0644685	0.229809	0.3722288	6.636924
16	0	-13151.1	-13125.9	-25.2082	1.000944	0.298793	0.0987856	0.154363	0.121799	0.169752	0.173406	0.21861	0.160587	0.111369	0.261701	0.0999058	0.124923	0.209516	0.222983	0.191532	0.257204	0.257793	0.236686	0.262445	0.0597479	0.145223	0.0885136	0.491002	0.0314529	0.118468	0.0923248	0.0176293	0.0425773	0.150952	0.0786671	0.0377222	0.0708863	0.126771	0.0558223	0.0837501	0.238059	0.0259062	0.0664867	0.0539451	0.181307	0.057778	0.107704	0.121689	0.137142	0.477035	1.00016	2.38567	10.34972	0.34841	0.366216	0.0776495	0.207725	0.3935905	6.176542
17	1	-13150.2	-13120.8	-29.346	1.018919	0.291161	0.0835373	0.188696	0.128152	0.184282	0.176884	0.278245	0.162075	0.148084	0.386044	0.115818	0.15262	0.195222	0.262158	0.165009	0.373159	0.283814	0.251124	0.241036	0.110215	0.15738	0.0893775	0.370985	0.00250238	0.228045	0.0755166	0.0885518	0.0135046	0.0442745	0.0329288	0.0561123	0.275951	0.0316165	0.0259105	0.0699057	0.033717	0.0927676	0.0250212	0.0737152	0.145966	0.158463	0.0508909	0.28096	0.140713	0.482365	1.00307	2.37386	10.20765	0.342048	0.363675	0.0644685	0.229809	0.3709727	6.601399
18	0	-13145.6	-13120.2	-25.4494	0.9511316	0.259294	0.141547	0.143617	0.149164	0.170039	0.134141	0.228282	0.107464	0.1347	0.265647	0.0830071	0.152673	0.205928	0.222672	0.174611	0.304399	0.279258	0.211111	0.1883	0.061436	0.12797	0.0862178	0.421937	0.0363079	0.0991963	0.0541215	0.020112	0.0484745	0.138905	0.10865	0.0522047	0.0830374	0.1152	0.118196	0.0936931	0.197752	0.0395447	0.092539	0.0933719	0.22617	0.0738751	0.0862896	0.150541	0.127103	0.461554	0.991406	2.41994	10.34972	0.354712	0.37284	0.0581774	0.214271	0.3935905	6.181595
19	1	-13143.8	-13113.4	-30.4074	0.9901016	0.325035	0.165723	0.196218	0.114971	0.189081	0.164105	0.296245	0.161677	0.160469	0.351636	0.105636	0.137635	0.182904	0.176513	0.19152	0.250562	0.301587	0.247069	0.208837	0.102707	0.141558	0.0864769	0.468447	0.00200675	0.166021	0.0641498	0.102767	0.0538862	0.032871	0.0499614	0.0329644	0.243378	0.0388517	0.105902	0.0845332	0.0894023	0.0917983	0.00605456	0.10059	0.194894	0.194043	0.0560422	0.260334	0.134975	0.473756	0.99834	2.39293	10.20765	0.344386	0.36616	0.0580747	0.231379	0.3804348	6.697062
20	0	-13141.3	-13114.5	-26.8128	0.8857053	0.264318	0.11511	0.187562	0.129447	0.238305	0.143176	0.262204	0.108767	0.164028	0.348713	0.103101	0.13681	0.197881	0.216502	0.186165	0.307094	0.253642	0.210591	0.226698	0.0869629	0.149709	0.0806977	0.466137	0.0105317	0.110993	0.0712543	0.0142613	0.0127342	0.191799	0.0610146	0.0689798	0.0673362	0.103155	0.0550735	0.0515909	0.220678	0.0158553	0.067608	0.0533744	0.16657	0.0660106	0.109238	0.169228	0.113624	0.439481	0.978141	2.46876	10.95549	0.342218	0.377003	0.0593261	0.221453	0.3427443	6.270905
21	1	-13149.2	-13111	-38.2049	0.8634017	0.319829	0.180903	0.189652	0.194878	0.204782	0.225122	0.264189	0.186401	0.146271	0.334962	0.14085	0.110115	0.217612	0.241066	0.236178	0.301191	0.291032	0.247069	0.279513	0.0752614	0.159412	0.121732	0.607895	0.0110492	0.192405	0.0758617	0.148428	0.0308661	0.0957999	0.0707582	0.0352985	0.227172	0.0405903	0.123415	0.0492051	0.0388246	0.0867824	0.0136428	0.0710247	0.249831	0.203121	0.0589016	0.282844	0.108961	0.431461	0.973085	2.48649	11.5488	0.347294	0.369252	0.0585651	0.224889	0.3804348	7.381736
22	0	-13150.1	-13119.3	-30.7565	0.9458194	0.3098	0.228767	0.166744	0.100225	0.231976	0.166871	0.271868	0.154835	0.133983	0.331447	0.103961	0.134757	0.216038	0.194031	0.228114	0.327682	0.291885	0.238166	0.215686	0.114066	0.145845	0.0797247	0.536714	0.0292075	0.0720765	0.0724442	0.0191886	0.0297827	0.148494	0.127275	0.0798939	0.068789	0.123461	0.0536757	0.0577342	0.114304	0.0215341	0.0518309	0.0592046	0.260439	0.0734827	0.109312	0.199532	0.126021	0.459838	0.990408	2.42373	10.83249	0.348159	0.366188	0.060356	0.225297	0.3427443	6.694847
23	1	-13159.3	-13118.5	-40.8929	0.9868516	0.236743	0.133468	0.204387	0.118501	0.258483	0.209573	0.283106	0.159491	0.172871	0.441133	0.117535	0.147361	0.165089	0.29739	0.250468	0.372676	0.323321	0.244519	0.241732	0.107501	0.217402	0.163163	0.589716	0.0236449	0.261696	0.056075	0.164198	0.0418495	0.0495994	0.023541	0.0711127	0.244914	0.0286683	0.12502	0.0504646	0.0380063	0.0881189	0.0345816	0.115233	0.163899	0.249645	0.117966	0.282844	0.134323	0.472764	0.997787	2.39513	12.09063	0.347294	0.369252	0.0585651	0.224889	0.3804348	7.68671
24	0	-13151	-13121.3	-29.64	0.8884188	0.253258	0.17444	0.174836	0.07931	0.229229	0.0886723	0.24166	0.146284	0.143433	0.304637	0.145345	0.135311	0.240824	0.18357	0.187135	0.299487	0.293666	0.25644	0.197158	0.14314	0.140027	0.0711562	0.497239	0.0860903	0.0836172	0.0528804	0.0427884	0.0285071	0.162054	0.0735263	0.0294394	0.0867323	0.108806	0.124691	0.0503723	0.158782	0.0270797	0.0860501	0.0875194	0.270839	0.0656128	0.107506	0.199532	0.114189	0.440439	0.978736	2.46664	10.83249	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.558681
25	1	-13154.1	-13118.2	-35.9126	0.875851	0.295732	0.171975	0.202268	0.113318	0.246561	0.170702	0.283106	0.185828	0.172813	0.420098	0.161734	0.198172	0.177394	0.318418	0.17186	0.290714	0.316639	0.245546	0.268175	0.121423	0.128369	0.149864	0.410437	0.0499243	0.14888	0.0540829	0.0804497	0.0826539	0.0263065	0.0219569	0.062501	0.1597	0.0367864	0.120033	0.107521	0.0699504	0.0817859	0.0238293	0.0619622	0.143	0.282045	0.0860791	0.229059	0.111567	0.43597	0.975943	2.47652	11.84238	0.341103	0.372755	0.0591206	0.227022	0.3804348	7.149652
26	0	-13140.7	-13108	-32.742	0.771505	0.295634	0.176488	0.168237	0.105593	0.239854	0.189741	0.253075	0.150104	0.177205	0.304824	0.118117	0.139052	0.240824	0.236065	0.222669	0.287042	0.289726	0.171976	0.2625	0.123131	0.158693	0.127027	0.477281	0.0314261	0.132981	0.0439989	0.0377818	0.0352716	0.22553	0.0698555	0.096265	0.0578864	0.119471	0.0515395	0.0811775	0.239287	0.00830123	0.0495942	0.0573332	0.234559	0.0470149	0.103694	0.171629	0.0894825	0.395404	0.948735	2.56638	10.83249	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.809454
27	1	-13165.1	-13124.1	-41.0126	0.8338952	0.323478	0.142426	0.204499	0.192292	0.312182	0.196508	0.261657	0.148923	0.183502	0.399972	0.131302	0.154825	0.248662	0.407035	0.255187	0.343237	0.334381	0.273721	0.302168	0.186217	0.214255	0.0847348	0.421573	0.041355	0.152485	0.0520427	0.101732	0.0468141	0.0419378	0.0309714	0.0654719	0.255395	0.0313398	0.114135	0.0500801	0.030426	0.152368	0.0379239	0.064626	0.152327	0.232144	0.0269281	0.236189	0.102748	0.420431	0.965922	2.5109	11.84238	0.341099	0.372751	0.0591309	0.227019	0.3447206	7.63943
