Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-22052.8	-22053.4	0.552611	4.745676	0.108302	0.0107226	0.0239379	0.0791568	0.21726	0.00229588	0.0814783	0.0137117	0.0769805	0.0101532	0.0367143	0.107886	0.140512	0.056296	0.131991	0.0139824	0.246332	0.00895541	0.0425732	0.119954	0.677703	0.0279427	0.0925996	0.0631365	0.120661	0.05996	0.100176	0.0217245	0.102736	0.247329	0.0963151	0.039581	0.0706982	0.00184725	0.17431	0.205192	0.0240688	0.196504	0.18757	0.0559834	0.00238694	0.265915	0.0114118	0.491159	0.7976	1.08372	1.62753	0.4288217	0.102219	0.38362	0.452789	0.0613722	0.2258515	4.374946
10	-15274.3	-15274.3	0.0308202	1.059475	0.269281	0.0718441	0.0327912	0.207792	0.160995	0.0039343	0.0915709	0.0724529	0.248733	0.045187	0.0620232	0.0919283	0.0777579	0.115826	0.260094	0.0466104	0.30828	0.0284357	0.104605	0.107127	0.273725	0.0537017	0.197043	0.0278929	0.0349529	0.0792994	0.0997063	0.0175683	0.0724281	0.0521376	0.0597355	0.0608942	0.0519936	0.00420694	0.0237461	0.0785874	0.0286073	0.249203	0.123019	0.0767518	0.0122259	0.0931976	0.0155179	0.148666	0.493927	1.0092	2.34821	0.8628648	0.15146	0.458683	0.0546706	0.335186	0.4040788	4.193412
20	-13833.5	-13836.4	2.88231	1.432338	0.171929	0.103909	0.131199	0.0805875	0.164498	0.0335804	0.100945	0.106978	0.198883	0.222142	0.0761301	0.110688	0.105056	0.138252	0.131581	0.17405	0.190323	0.0479731	0.197813	0.155881	0.133484	0.103556	0.237949	0.0260914	0.0446267	0.0257912	0.0415381	0.0318831	0.0524928	0.0220715	0.0561533	0.0809123	0.0190007	0.00530744	0.0350508	0.029417	0.0375144	0.079683	0.0694957	0.0554224	0.0119091	0.0466652	0.0186483	0.214678	0.576892	1.04619	2.16224	1.842779	0.202659	0.406722	0.10824	0.282379	0.3863307	3.907061
30	-13271.8	-13270.4	-1.35681	1.444502	0.204802	0.105103	0.131199	0.114191	0.137149	0.0504666	0.170362	0.0865773	0.135503	0.219388	0.106585	0.112145	0.12113	0.135605	0.136987	0.188441	0.181574	0.134201	0.171386	0.0795862	0.125599	0.0974419	0.255112	0.009881	0.033198	0.0407851	0.0265334	0.0715285	0.0868404	0.020917	0.0655109	0.0461834	0.0369046	0.0205469	0.0179025	0.0935615	0.0165364	0.0459805	0.0619177	0.134493	0.019312	0.0596934	0.0755246	0.21662	0.57905	1.04699	2.15734	3.899925	0.283733	0.374859	0.0811516	0.260257	0.3863307	4.184285
40	-13190.3	-13175.6	-14.7423	1.019516	0.307976	0.124378	0.161297	0.131389	0.18311	0.0854	0.156275	0.140667	0.134261	0.242434	0.135687	0.101708	0.201723	0.199745	0.167047	0.267313	0.169505	0.185998	0.226765	0.0886169	0.17303	0.125177	0.355945	0.00633223	0.0458528	0.0597377	0.0265434	0.0457634	0.086046	0.0517856	0.0475004	0.0416588	0.074922	0.0507345	0.0100912	0.136949	0.0171286	0.0299411	0.0952112	0.153661	0.0345315	0.0682878	0.126691	0.140831	0.48254	1.00316	2.37347	6.641936	0.283733	0.374859	0.0811516	0.260257	0.3679306	5.274814
50	-13160.3	-13142.5	-17.8044	1.105096	0.194538	0.128361	0.159115	0.145953	0.165718	0.120945	0.221879	0.137256	0.146312	0.336052	0.10288	0.100107	0.167447	0.16105	0.219717	0.250675	0.260266	0.185998	0.195458	0.0857431	0.117941	0.118927	0.398529	0.0115048	0.0540916	0.083663	0.0184676	0.0228383	0.113179	0.0403357	0.0510283	0.0764159	0.0989969	0.0530347	0.0196403	0.209229	0.017561	0.0326085	0.0324268	0.226269	0.0685079	0.109717	0.115908	0.157433	0.506212	1.01544	2.32091	7.425145	0.324156	0.353703	0.0765717	0.245569	0.3679306	5.57629
60	-13160.5	-13135.7	-24.7189	1.015605	0.287566	0.148586	0.133759	0.166842	0.207158	0.123566	0.279246	0.122371	0.152986	0.372849	0.156082	0.110792	0.178321	0.2008	0.150619	0.267382	0.209857	0.210228	0.24426	0.0979653	0.16158	0.112127	0.466312	0.022909	0.0704382	0.0993031	0.00840532	0.0420686	0.11881	0.0685103	0.0371738	0.0494788	0.136425	0.0514099	0.0340019	0.223763	0.0152295	0.043858	0.0483316	0.175039	0.0396631	0.147103	0.175963	0.140057	0.481393	1.00254	2.37601	9.267922	0.324156	0.353703	0.0765717	0.245569	0.3679306	6.16914
70	-13155.9	-13122.6	-33.3266	0.8728511	0.298793	0.140455	0.180431	0.164702	0.224233	0.180976	0.283933	0.173636	0.143013	0.366724	0.139482	0.133069	0.232508	0.232988	0.22808	0.334207	0.308275	0.217779	0.293123	0.077283	0.160741	0.102298	0.570211	0.0229519	0.14844	0.093801	0.0495251	0.00742814	0.170054	0.0677106	0.0264107	0.0891063	0.126462	0.0514099	0.0275158	0.202333	0.0040113	0.094244	0.0453359	0.191438	0.0292691	0.11561	0.185529	0.11094	0.434891	0.975263	2.47891	10.34972	0.337919	0.36872	0.0798226	0.213539	0.3935905	6.935527
80	-13151.1	-13125.9	-25.2082	1.000944	0.298793	0.0987856	0.154363	0.121799	0.169752	0.173406	0.21861	0.160587	0.111369	0.261701	0.0999058	0.124923	0.209516	0.222983	0.191532	0.257204	0.257793	0.236686	0.262445	0.0597479	0.145223	0.0885136	0.491002	0.0314529	0.118468	0.0923248	0.0176293	0.0425773	0.150952	0.0786671	0.0377222	0.0708863	0.126771	0.0558223	0.0837501	0.238059	0.0259062	0.0664867	0.0539451	0.181307	0.057778	0.107704	0.121689	0.137142	0.477035	1.00016	2.38567	10.34972	0.34841	0.366216	0.0776495	0.207725	0.3935905	6.176542
90	-13145.6	-13120.2	-25.4494	0.9511316	0.259294	0.141547	0.143617	0.149164	0.170039	0.134141	0.228282	0.107464	0.1347	0.265647	0.0830071	0.152673	0.205928	0.222672	0.174611	0.304399	0.279258	0.211111	0.1883	0.061436	0.12797	0.0862178	0.421937	0.0363079	0.0991963	0.0541215	0.020112	0.0484745	0.138905	0.10865	0.0522047	0.0830374	0.1152	0.118196	0.0936931	0.197752	0.0395447	0.092539	0.0933719	0.22617	0.0738751	0.0862896	0.150541	0.127103	0.461554	0.991406	2.41994	10.34972	0.354712	0.37284	0.0581774	0.214271	0.3935905	6.181595
