Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-20243.7	-20233.8	-9.84336	0.190116	0.262489	0.0901074	0.2788	0.0488458	0.0265321	0.0114225	0.00480777	0.504694	0.00623478	0.0994102	0.034625	0.256273	0.229749	0.192591	0.104309	0.0877696	0.35592	0.0957645	0.0402959	0.0628414	0.0255784	0.0126902	0.134854	0.0853789	0.0567131	0.0184439	0.0120575	0.0111125	0.29223	0.0796441	0.0384345	0.0847925	0.237713	0.190857	0.119253	0.0348344	0.352286	0.336485	0.17645	0.0632148	0.0642773	0.0623455	5.473244
1	1	-19873.2	-19872	-1.19755	0.0518538	0.204722	0.300056	0.296077	0.0334712	0.0231906	0.0548347	0.109445	0.0268751	0.0428241	0.0839184	0.0566226	0.386917	0.017729	0.0782197	0.111168	0.0321785	0.115116	0.0927218	0.0517035	0.154972	0.176179	0.0422982	0.0569853	0.000723314	0.0371573	0.0367906	0.460352	0.0487207	0.100836	0.165939	0.0221623	0.0497677	0.0650481	0.266298	0.300398	0.15644	0.107229	0.00266095	0.0575128	0.0106767	0.0239561	0.0959163	4.608663
2	0	-16963	-16969.7	6.69015	0.131459	0.19213	0.124463	0.172667	0.07068	0.0704475	0.011298	0.0112353	0.415644	0.0155272	0.0790257	0.0426777	0.175405	0.0849653	0.104981	0.123139	0.135309	0.132535	0.205304	0.0912375	0.094599	0.0651327	0.0796557	0.050314	0.0391518	0.0505129	0.119696	0.0226436	0.0351334	0.0232644	0.0372663	0.110276	0.0304769	0.0781668	0.0527602	0.0902148	0.0130394	0.106306	0.0609893	0.071369	0.031979	0.0796977	0.0871174	3.819893
3	1	-16607.9	-16617.6	9.73033	0.123539	0.126102	0.173537	0.0854172	0.131806	0.0830488	0.145351	0.15355	0.0778618	0.118002	0.0897858	0.0942019	0.0961491	0.0580587	0.105707	0.134604	0.0371914	0.113963	0.144754	0.101934	0.186052	0.0849394	0.191531	0.0621549	0.00236974	0.0269248	0.0294666	0.086722	0.0158254	0.0384761	0.0938764	0.0378199	0.0191368	0.0251493	0.0571252	0.128852	0.0537761	0.0273112	0.00309069	0.0684259	0.00729971	0.0283327	0.0466527	3.515875
4	0	-16317.7	-16328.1	10.3518	0.126259	0.106133	0.150865	0.13588	0.0972886	0.0922484	0.0155448	0.0173599	0.160119	0.109609	0.0790257	0.089699	0.0907739	0.10514	0.109667	0.126633	0.115884	0.120639	0.126413	0.0919845	0.118436	0.105248	0.16585	0.0386818	0.0263898	0.0183971	0.104618	0.0276677	0.0435344	0.0227087	0.0206293	0.18906	0.100869	0.0498638	0.0360589	0.0519099	0.0355917	0.0481288	0.0250163	0.0749139	0.0227064	0.0367171	0.0235685	3.45373
5	1	-15881	-15894.5	13.447	0.148555	0.100184	0.114164	0.0803986	0.116211	0.0852554	0.137942	0.0985462	0.0927902	0.144123	0.0742483	0.0835558	0.0961491	0.0800576	0.0941039	0.115694	0.0675301	0.114982	0.123077	0.0630171	0.148172	0.0797761	0.169173	0.0696946	0.0221312	0.0246949	0.04317	0.0347394	0.0182891	0.0716922	0.0717199	0.0287687	0.0275593	0.0174283	0.0212206	0.0776874	0.035124	0.0210129	0.0104929	0.0393589	0.0233527	0.0252492	0.0331188	3.14421
6	0	-15831.7	-15844.2	12.5497	0.143541	0.116545	0.100803	0.0918767	0.119369	0.101622	0.0713362	0.066027	0.114042	0.143591	0.0891174	0.0956209	0.0985343	0.105438	0.116838	0.141182	0.145673	0.105922	0.106517	0.0803231	0.0967238	0.0644412	0.155736	0.0297504	0.0209069	0.0618299	0.0558292	0.0225777	0.0545955	0.0386148	0.0473021	0.0514422	0.0232407	0.0588847	0.0194607	0.0350623	0.0240531	0.035032	0.0316209	0.0495326	0.0176157	0.0372938	0.0484745	3.233941
7	1	-15810.3	-15823.4	13.023	0.129743	0.111079	0.0900089	0.111098	0.105261	0.0923708	0.11278	0.0708032	0.10832	0.164555	0.0930411	0.0698251	0.108175	0.0876469	0.113373	0.117504	0.0963962	0.139346	0.123077	0.0806471	0.0846084	0.0878292	0.199658	0.0510347	0.0301068	0.023346	0.0356664	0.0211741	0.00962659	0.0426876	0.0952892	0.0364447	0.0249591	0.0432413	0.0227761	0.0254444	0.032509	0.0336849	0.0213966	0.0333265	0.0551055	0.0200407	0.0316035	3.18661
8	0	-15809.4	-15822.1	12.7458	0.127644	0.0992376	0.096655	0.110675	0.102182	0.0831334	0.113363	0.100638	0.0958299	0.142033	0.0904048	0.0733163	0.0807036	0.126546	0.105588	0.128754	0.139657	0.0935174	0.110463	0.0840905	0.0870825	0.0749039	0.165578	0.0327324	0.0245973	0.0588599	0.0530856	0.0191523	0.0488275	0.0381415	0.0875888	0.0390438	0.0207992	0.0512551	0.010193	0.0250224	0.0389147	0.0334192	0.0311043	0.0513277	0.0294311	0.0398673	0.0489638	3.214324
9	1	-15810.2	-15822.5	12.3544	0.161823	0.0875851	0.115891	0.104427	0.105261	0.0747319	0.119684	0.0807857	0.0789753	0.165366	0.0782113	0.0854236	0.0874708	0.0962277	0.113373	0.131142	0.144314	0.139346	0.13836	0.0764445	0.0916365	0.0723194	0.190543	0.0801278	0.0325944	0.0167152	0.0375191	0.0186797	0.0155025	0.0467339	0.084688	0.0560577	0.0224958	0.0314697	0.0154447	0.0390184	0.040883	0.0328994	0.0231355	0.0303287	0.0391815	0.0164752	0.0341794	3.253473
10	0	-15809.7	-15822.5	12.8307	0.144452	0.0902705	0.120242	0.0840501	0.0949549	0.072828	0.137614	0.0838576	0.0871255	0.172239	0.0744006	0.0815717	0.107597	0.0912311	0.126546	0.101816	0.132657	0.103166	0.121486	0.0858651	0.0870821	0.0972179	0.165578	0.019854	0.0382377	0.0548768	0.0545321	0.0259918	0.059267	0.0277532	0.0879076	0.0261125	0.0266893	0.0682049	0.0116761	0.0252902	0.0275408	0.0287799	0.0321639	0.0414716	0.0147438	0.0324339	0.0384597	3.205835
