Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20763.4	-20752.8	-10.5982	0.133018	0.00086348	0.0216458	0.10737	0.0650806	0.0947273	0.007009	0.725381	0.0729836	0.279034	0.276391	0.167524	0.106263	0.0696338	0.193608	0.0273716	0.167114	0.0729427	0.0989195	0.223672	0.0327889	0.169766	0.110558	0.144909	0.0898073	0.0643511	0.540256	0.0681507	0.152115	0.133641	0.066948	0.0472279	0.0207448	0.00171349	0.128569	0.00636137	0.149706	0.00311869	0.0919829	0.161176	0.0165078	0.000920833	0.43686	5.548733
10	-17137.5	-17141.8	4.32458	0.22205	0.00504214	0.092348	0.108536	0.144438	0.111019	0.0280672	0.241835	0.0764183	0.167484	0.10831	0.114388	0.0878804	0.0980998	0.16915	0.11607	0.160962	0.138609	0.111965	0.105665	0.0574252	0.097592	0.160669	0.0523676	0.059397	0.0526389	0.283539	0.0322825	0.0869369	0.0237103	0.138231	0.0306348	0.0520364	0.00684096	0.0577074	0.00574251	0.150372	0.0149326	0.0683663	0.0455663	0.0123153	0.0031428	0.155667	4.05645
20	-15979.5	-15990.5	11.0048	0.240749	0.0103426	0.110185	0.084884	0.144438	0.089731	0.115811	0.0858805	0.094954	0.170171	0.070957	0.0694611	0.12928	0.104576	0.131537	0.165629	0.118266	0.118731	0.113935	0.0775902	0.0817877	0.106441	0.17062	0.0306227	0.0351368	0.0221552	0.0578211	0.0246623	0.0748466	0.0662672	0.046416	0.0554837	0.0313908	0.0205408	0.0271687	0.00859331	0.0583177	0.0352895	0.0702707	0.0287245	0.0245791	0.00662293	0.057567	3.388433
30	-15835.7	-15849.8	14.1651	0.14585	0.0715504	0.106434	0.0953814	0.102603	0.0895304	0.11086	0.0834343	0.0794275	0.170171	0.0618199	0.0758206	0.0967305	0.0929284	0.119145	0.106047	0.121321	0.12531	0.108879	0.0738201	0.107426	0.088594	0.15201	0.0297916	0.0284814	0.0243536	0.0375577	0.0421053	0.0935066	0.0522545	0.0209118	0.0507531	0.00952354	0.0288798	0.0261829	0.011744	0.0436936	0.0197507	0.0730899	0.0313255	0.0251071	0.0212549	0.0170325	3.072394
40	-15808.6	-15821.3	12.7048	0.107387	0.121695	0.0873309	0.0843989	0.110024	0.0873069	0.121612	0.0837045	0.0981876	0.138844	0.0912126	0.0928092	0.115792	0.103493	0.0924438	0.126952	0.136025	0.108761	0.111343	0.0704989	0.115118	0.088594	0.182771	0.0312859	0.0271377	0.0337063	0.0322763	0.0227729	0.0897336	0.0430833	0.0375567	0.0596145	0.0134643	0.0218719	0.025381	0.057462	0.0399685	0.0217334	0.0508051	0.0157522	0.0443371	0.0437462	0.0304355	3.218428
50	-15803.9	-15815.8	11.8765	0.145846	0.101712	0.0926493	0.118596	0.109873	0.0768017	0.14204	0.085546	0.102519	0.170867	0.0843357	0.101583	0.0876293	0.107523	0.0924438	0.0977684	0.117129	0.121928	0.133661	0.0768896	0.0972237	0.0821017	0.200016	0.0355992	0.0193	0.0294523	0.0343081	0.0330277	0.08425	0.05072	0.0217136	0.0637972	0.0220084	0.0337356	0.0153445	0.0527003	0.0542994	0.0294931	0.0597953	0.0160963	0.0312322	0.0381213	0.0295832	3.301261
60	-15807.2	-15820.1	12.8558	0.138293	0.107578	0.0967794	0.100331	0.109873	0.0863234	0.103666	0.0976783	0.0910966	0.148161	0.0613191	0.0905207	0.110075	0.089443	0.124864	0.115009	0.13247	0.104116	0.130351	0.0645312	0.0933124	0.0746836	0.169885	0.0414961	0.0179088	0.0470701	0.0339692	0.0171529	0.0644307	0.0557227	0.0360496	0.0698611	0.021422	0.025142	0.035513	0.0394237	0.0534588	0.0364383	0.0588432	0.0222945	0.0348853	0.0288783	0.023005	3.203325
70	-15811.7	-15823.7	11.925	0.11107	0.108767	0.114857	0.0982782	0.11395	0.0922011	0.156224	0.0941913	0.0962938	0.147385	0.0676608	0.0884673	0.109908	0.0941696	0.126501	0.122795	0.117858	0.122783	0.127326	0.0896252	0.0935484	0.0846977	0.184195	0.0247256	0.0190018	0.0403997	0.0348914	0.0164762	0.0801179	0.0579666	0.0153527	0.0650838	0.0329364	0.0321035	0.0309119	0.0624689	0.0511455	0.0157437	0.0505198	0.0128868	0.0398714	0.0321215	0.0189266	3.296404
80	-15805.9	-15818.7	12.8277	0.114163	0.0997383	0.0943902	0.0801637	0.10145	0.0773445	0.141486	0.0960686	0.095813	0.155825	0.0812314	0.0799489	0.0855861	0.0881116	0.12383	0.122795	0.108834	0.122783	0.11641	0.0893858	0.0860618	0.0971722	0.18209	0.0384043	0.0239487	0.0305944	0.0392537	0.043743	0.0564441	0.0374859	0.0479832	0.0574599	0.0206547	0.0235537	0.0355482	0.0508839	0.0421188	0.0282872	0.0521562	0.0178989	0.0415938	0.0415585	0.0358799	3.206134
90	-15804.6	-15817.6	13.0229	0.129758	0.0950808	0.0868589	0.101689	0.106423	0.0848704	0.139293	0.0791317	0.0946235	0.165077	0.0870967	0.0814972	0.0844981	0.109341	0.117779	0.127827	0.125262	0.131296	0.116257	0.090059	0.105027	0.0728735	0.169995	0.0330343	0.0245903	0.0294177	0.0279334	0.0391014	0.0659591	0.0498451	0.0284434	0.0583176	0.0213931	0.0143798	0.0240824	0.0649147	0.0316716	0.0326709	0.0337111	0.0175096	0.049321	0.0216289	0.0170804	3.186619
