Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
0	0	-18759.7	-18747.9	-11.7306	10.46478	0.0625092	0.0692384	0.0252855	0.347707	0.088168	1.21272	0.127148	0.113661	0.165565	0.034739	0.0625747	0.320486	0.0105374	0.074975	0.014961	0.0109397	0.00155518	0.00554845	0.0266313	0.173383	0.129856	0.000483261	0.11064	0.0965978	0.014604	0.264305	0.0804718	0.118171	0.18231	0.0869821	0.0606702	0.0171752	0.0579373	0.0287462	0.0654396	0.0255864	0.365333	0.19872	0.0551564	0.147447	0.00920414	0.193171	0.0520955	0.638916	0.874318	1.07141	1.41535	0.2134902	5.309432
1	1	-18313.2	-18313.5	0.343494	5.162451	0.0574257	0.091654	0.121007	0.00443278	0.0945247	0.0671381	0.0489172	0.000541629	0.212903	0.0502729	0.193732	0.184557	0.0145554	0.0576174	0.0145055	0.0392407	0.0270041	0.357506	0.0955647	0.0723074	0.040594	0.0093588	0.282453	0.0869181	0.0425258	0.0723827	0.087933	0.111442	0.10208	0.0312209	0.231085	0.324251	0.0697063	0.0441287	0.163363	0.125426	0.120351	0.00869249	0.142263	0.108558	0.130822	0.0957756	0.0148397	0.508688	0.807751	1.08301	1.60055	0.3453526	4.251579
2	0	-15630.1	-15622.2	-7.92333	1.955649	0.236597	0.111376	0.0440931	0.150631	0.196013	0.639855	0.231755	0.108629	0.140656	0.0815349	0.188025	0.199403	0.0208462	0.132815	0.0342717	0.00631038	0.00305824	0.0267233	0.056289	0.280397	0.129856	0.000513579	0.257527	0.12971	0.0284562	0.194608	0.0960938	0.0705083	0.206389	0.0668836	0.0899884	0.0869278	0.062875	0.022594	0.0174634	0.0465537	0.189549	0.114119	0.0270735	0.152776	0.0127118	0.0985699	0.0567621	0.287922	0.650213	1.06884	1.99303	0.3629251	5.047787
3	1	-15512.8	-15515.9	3.18556	1.88617	0.145655	0.138066	0.0781485	0.0363244	0.154734	0.172359	0.213896	0.00524275	0.161479	0.198742	0.076555	0.177613	0.0235081	0.137977	0.0392042	0.0480039	0.131267	0.128285	0.174099	0.0824732	0.0474658	0.0258324	0.168263	0.061168	0.0223594	0.041166	0.0597166	0.184255	0.0289113	0.0473085	0.103037	0.123547	0.0427089	0.118153	0.0823085	0.048821	0.0466769	0.00761291	0.1051	0.0369865	0.0833255	0.1053	0.0168297	0.279297	0.642336	1.06686	2.0115	0.4551199	3.930484
4	0	-14959.1	-14959.6	0.465387	2.262881	0.178355	0.0963706	0.119248	0.100406	0.175284	0.364559	0.115121	0.0950956	0.106193	0.202785	0.105756	0.180759	0.0960054	0.129113	0.0738987	0.0748821	0.0340949	0.0582074	0.307581	0.14216	0.105061	0.000435368	0.20366	0.066425	0.0366707	0.0298897	0.0438569	0.0250215	0.171283	0.0587245	0.0567533	0.0431901	0.0296277	0.0909109	0.0278791	0.017249	0.153641	0.0633711	0.0294302	0.0875711	0.0348098	0.0817463	0.0178535	0.322758	0.680342	1.07536	1.92154	0.3629251	4.230936
5	1	-14792.9	-14800.4	7.43389	2.448881	0.127513	0.0904494	0.093537	0.125073	0.103352	0.0783071	0.11728	0.0104491	0.146324	0.221261	0.107536	0.116804	0.0782395	0.0934639	0.146815	0.139743	0.140216	0.125812	0.10318	0.0673305	0.0770382	0.0839545	0.201389	0.0598439	0.0425974	0.0365546	0.0290941	0.0174091	0.0307116	0.155624	0.0272419	0.0978215	0.0302735	0.10148	0.0558409	0.0177298	0.034452	0.0332855	0.042889	0.0186001	0.0331351	0.0594244	0.0243572	0.341556	0.695587	1.07802	1.88483	0.4435509	3.543433
6	0	-14617.4	-14621.1	3.63609	1.999711	0.181654	0.0947238	0.103879	0.137463	0.129653	0.143311	0.14763	0.0957037	0.110732	0.244353	0.0809961	0.106358	0.0949206	0.114441	0.129725	0.175195	0.132641	0.11646	0.264197	0.106087	0.0842635	0.000601119	0.212808	0.0759046	0.0290541	0.0260112	0.0454921	0.0202015	0.12568	0.0342901	0.0309788	0.0273369	0.0203018	0.119382	0.0344272	0.0194622	0.0505013	0.0284605	0.0261142	0.0400326	0.0709292	0.0327361	0.0305162	0.29324	0.654983	1.06998	1.98179	0.4147061	3.895607
7	1	-14585.2	-14591	5.72749	2.688066	0.135928	0.136143	0.106789	0.116062	0.126633	0.0754432	0.110216	0.016355	0.139927	0.247253	0.0783918	0.0990315	0.12495	0.125984	0.139075	0.161764	0.171405	0.145023	0.121876	0.10411	0.101407	0.106075	0.215171	0.0777727	0.0453284	0.037876	0.0344079	0.0468813	0.0305721	0.0962564	0.035579	0.0339246	0.0369078	0.0348336	0.0174612	0.0286754	0.0346201	0.0523687	0.032999	0.0414782	0.0295501	0.055764	0.014506	0.363592	0.712651	1.08047	1.84328	0.3818234	3.722774
8	0	-14606.7	-14610.5	3.82643	1.794953	0.175327	0.0976403	0.0931584	0.113955	0.157561	0.136572	0.167693	0.0942576	0.105443	0.231747	0.0892559	0.0911583	0.117575	0.133642	0.124448	0.137623	0.144044	0.142681	0.232062	0.114687	0.123639	0.000548965	0.212808	0.053201	0.0169718	0.0483881	0.0343412	0.0234193	0.106215	0.0109862	0.0342929	0.0200491	0.0212706	0.13352	0.0578912	0.0194622	0.0268169	0.0161222	0.0435081	0.0196218	0.0665599	0.0238232	0.0430057	0.267506	0.631274	1.0639	2.03732	0.3734827	3.856993
9	1	-14542.1	-14549.5	7.40757	1.994511	0.151415	0.133903	0.112279	0.12014	0.116534	0.095021	0.157376	0.0273816	0.10812	0.213508	0.0660399	0.0990315	0.107571	0.0718047	0.141876	0.164049	0.171405	0.124869	0.134576	0.0724367	0.0977165	0.105825	0.210814	0.0887319	0.0361871	0.014444	0.0251097	0.0408621	0.0233273	0.0443848	0.0234269	0.0281382	0.0287636	0.053563	0.0307798	0.030987	0.0468107	0.0415524	0.0295048	0.071136	0.00519764	0.0338886	0.01754	0.292619	0.654429	1.06985	1.9831	0.3818234	3.518027
