Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
0	-18759.7	-18747.9	-11.7306	10.46478	0.0625092	0.0692384	0.0252855	0.347707	0.088168	1.21272	0.127148	0.113661	0.165565	0.034739	0.0625747	0.320486	0.0105374	0.074975	0.014961	0.0109397	0.00155518	0.00554845	0.0266313	0.173383	0.129856	0.000483261	0.11064	0.0965978	0.014604	0.264305	0.0804718	0.118171	0.18231	0.0869821	0.0606702	0.0171752	0.0579373	0.0287462	0.0654396	0.0255864	0.365333	0.19872	0.0551564	0.147447	0.00920414	0.193171	0.0520955	0.638916	0.874318	1.07141	1.41535	0.2134902	5.309432
10	-15630.1	-15622.2	-7.92333	1.955649	0.236597	0.111376	0.0440931	0.150631	0.196013	0.639855	0.231755	0.108629	0.140656	0.0815349	0.188025	0.199403	0.0208462	0.132815	0.0342717	0.00631038	0.00305824	0.0267233	0.056289	0.280397	0.129856	0.000513579	0.257527	0.12971	0.0284562	0.194608	0.0960938	0.0705083	0.206389	0.0668836	0.0899884	0.0869278	0.062875	0.022594	0.0174634	0.0465537	0.189549	0.114119	0.0270735	0.152776	0.0127118	0.0985699	0.0567621	0.287922	0.650213	1.06884	1.99303	0.3629251	5.047787
20	-14959.1	-14959.6	0.465387	2.262881	0.178355	0.0963706	0.119248	0.100406	0.175284	0.364559	0.115121	0.0950956	0.106193	0.202785	0.105756	0.180759	0.0960054	0.129113	0.0738987	0.0748821	0.0340949	0.0582074	0.307581	0.14216	0.105061	0.000435368	0.20366	0.066425	0.0366707	0.0298897	0.0438569	0.0250215	0.171283	0.0587245	0.0567533	0.0431901	0.0296277	0.0909109	0.0278791	0.017249	0.153641	0.0633711	0.0294302	0.0875711	0.0348098	0.0817463	0.0178535	0.322758	0.680342	1.07536	1.92154	0.3629251	4.230936
30	-14617.4	-14621.1	3.63609	1.999711	0.181654	0.0947238	0.103879	0.137463	0.129653	0.143311	0.14763	0.0957037	0.110732	0.244353	0.0809961	0.106358	0.0949206	0.114441	0.129725	0.175195	0.132641	0.11646	0.264197	0.106087	0.0842635	0.000601119	0.212808	0.0759046	0.0290541	0.0260112	0.0454921	0.0202015	0.12568	0.0342901	0.0309788	0.0273369	0.0203018	0.119382	0.0344272	0.0194622	0.0505013	0.0284605	0.0261142	0.0400326	0.0709292	0.0327361	0.0305162	0.29324	0.654983	1.06998	1.98179	0.4147061	3.895607
40	-14606.7	-14610.5	3.82643	1.794953	0.175327	0.0976403	0.0931584	0.113955	0.157561	0.136572	0.167693	0.0942576	0.105443	0.231747	0.0892559	0.0911583	0.117575	0.133642	0.124448	0.137623	0.144044	0.142681	0.232062	0.114687	0.123639	0.000548965	0.212808	0.053201	0.0169718	0.0483881	0.0343412	0.0234193	0.106215	0.0109862	0.0342929	0.0200491	0.0212706	0.13352	0.0578912	0.0194622	0.0268169	0.0161222	0.0435081	0.0196218	0.0665599	0.0238232	0.0430057	0.267506	0.631274	1.0639	2.03732	0.3734827	3.856993
50	-14592.9	-14597.5	4.60248	1.910623	0.164598	0.112224	0.0869904	0.118311	0.11286	0.0970523	0.155815	0.0968576	0.110286	0.215444	0.0961132	0.0988558	0.0908556	0.109172	0.12495	0.158387	0.148692	0.14406	0.263413	0.123463	0.0969556	0.00244458	0.223891	0.0528386	0.0241037	0.025029	0.0334909	0.0212196	0.145361	0.0317407	0.0352258	0.0193791	0.015243	0.0867556	0.0542464	0.07776	0.0346406	0.0157034	0.0371309	0.0280117	0.0445394	0.0133389	0.0436695	0.282367	0.64516	1.06758	2.00489	0.3876451	3.79112
60	-14595.2	-14599.6	4.45437	2.067754	0.164785	0.106164	0.116559	0.111118	0.152034	0.0994818	0.169567	0.103039	0.118518	0.237529	0.0693902	0.0875739	0.102181	0.118967	0.144501	0.164642	0.138495	0.14406	0.301084	0.100606	0.105188	0.00340409	0.228102	0.0403767	0.0211346	0.0545126	0.0249803	0.0278413	0.0776088	0.0107093	0.0460085	0.0179266	0.0270438	0.087811	0.057501	0.0681262	0.0416759	0.0142971	0.0159684	0.0275813	0.0373436	0.00648955	0.0272305	0.301231	0.66203	1.0716	1.96514	0.3876451	3.819157
70	-14601.6	-14608.5	6.90245	2.287844	0.16594	0.105555	0.127091	0.0940781	0.123775	0.0850289	0.122048	0.0817672	0.0926703	0.199858	0.062799	0.104445	0.121943	0.120341	0.161519	0.146442	0.123402	0.13362	0.253415	0.10012	0.0915141	0.00307682	0.204309	0.0446587	0.0242816	0.0307966	0.0166599	0.0269976	0.0556832	0.0338112	0.0293209	0.0206889	0.0312347	0.121273	0.0627883	0.0621474	0.0559462	0.0261315	0.00646972	0.0236339	0.0496436	0.00955454	0.0321553	0.325373	0.682503	1.07577	1.91636	0.4208681	3.588636
80	-14547	-14555.4	8.42342	1.803637	0.145588	0.104229	0.0734805	0.104963	0.118135	0.0739557	0.14335	0.0886794	0.0942001	0.181172	0.0699486	0.0828163	0.105466	0.118743	0.12248	0.156385	0.135645	0.16456	0.146069	0.090346	0.0965329	0.060612	0.239351	0.0336947	0.0245049	0.0363711	0.0259164	0.0221226	0.0445134	0.0267376	0.0283059	0.0152379	0.0172719	0.0948609	0.0555004	0.0704695	0.0327284	0.0200466	0.0164488	0.0244445	0.0310494	0.017214	0.0440947	0.268652	0.632364	1.0642	2.03478	0.4208681	3.398241
90	-14511.4	-14519.3	7.88809	2.301385	0.153958	0.109965	0.118182	0.105283	0.114719	0.0982706	0.12031	0.0808788	0.131641	0.185151	0.0885835	0.0818987	0.112825	0.116085	0.122524	0.154539	0.133558	0.139909	0.154711	0.071869	0.0864781	0.0916262	0.21206	0.0512507	0.0271493	0.0252303	0.0288495	0.00734264	0.0236681	0.023906	0.0486479	0.0258172	0.0226016	0.0807778	0.0592081	0.0651829	0.0225655	0.0127909	0.0199785	0.0352624	0.0607474	0.0261665	0.0386457	0.326779	0.68366	1.07598	1.91358	0.4208681	3.490814
