Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21578.2	-21578.7	0.5158	0.166989	0.00904817	0.0870279	0.371777	0.055905	0.0962034	0.00479937	0.0520977	0.174092	0.012554	0.0278937	0.138966	0.165535	0.139394	0.378005	0.0487519	0.209353	0.014311	0.116558	0.0777154	0.00617192	0.0210871	0.0685513	0.207548	0.000387751	0.0194539	0.61103	0.137121	0.0332511	0.0810172	0.0965368	0.0605008	0.116591	0.0275784	0.0131175	0.0226351	0.0716332	0.0166733	0.00553947	0.234665	0.295685	0.0371036	0.0856478	0.263626	0.0469868	0.272187	0.4172	4.616504
10	-17163.9	-17174.6	10.635	0.248943	0.0288646	0.115964	0.0915381	0.111067	0.107811	0.0139602	0.0870776	0.0988776	0.0489121	0.0457627	0.135604	0.105173	0.124043	0.191303	0.102009	0.196827	0.0539038	0.193987	0.10946	0.0179179	0.107	0.106883	0.0613206	0.000303249	0.014286	0.295361	0.0802094	0.0439143	0.0128008	0.0674747	0.0583496	0.0556679	0.107985	0.0295743	0.0154575	0.0197081	0.0217767	0.00953288	0.10912	0.0639051	0.0438128	0.0511377	0.26348	0.290051	0.166503	0.279966	3.604587
20	-16223.4	-16234.4	11.0776	0.218993	0.106446	0.105518	0.0874611	0.131863	0.111194	0.0841069	0.0796052	0.0918814	0.105288	0.0950745	0.109111	0.11202	0.13251	0.171105	0.123865	0.147078	0.110488	0.194721	0.10265	0.0546245	0.0972192	0.152683	0.037651	0.000283392	0.0622458	0.0707729	0.0338169	0.0413698	0.0534222	0.0319134	0.044221	0.021846	0.127777	0.0285963	0.0199724	0.0435847	0.0380562	0.0161218	0.048602	0.0377166	0.0466915	0.0301562	0.260721	0.249014	0.0956024	0.394663	3.560323
30	-15779.6	-15792.9	13.2864	0.16051	0.0949319	0.0713655	0.104586	0.0891984	0.111193	0.154873	0.100056	0.0917964	0.156869	0.0691681	0.090587	0.0951009	0.131004	0.140389	0.137619	0.106625	0.102811	0.158901	0.105863	0.092424	0.0950965	0.184353	0.0413298	0.000593711	0.0296902	0.0235552	0.0277969	0.0401763	0.0218509	0.0319134	0.0359341	0.0205942	0.136855	0.0174868	0.0238218	0.0502264	0.0283144	0.0189929	0.0181783	0.0419557	0.0343559	0.0505018	0.23431	0.326558	0.0859181	0.353214	3.339443
40	-15414.6	-15429.3	14.6699	0.148245	0.103087	0.10246	0.111151	0.1002	0.0743266	0.12507	0.0914446	0.0709352	0.201742	0.0694378	0.0753733	0.121382	0.12205	0.113391	0.110947	0.132248	0.0989353	0.116081	0.0837771	0.0786801	0.0954901	0.17394	0.0306796	0.00151484	0.0413302	0.0487162	0.04699	0.0825665	0.0617151	0.0389339	0.0153656	0.0423798	0.0308463	0.0167903	0.0258949	0.00934115	0.0144515	0.0270197	0.0318414	0.0268422	0.0252178	0.062269	0.226765	0.307176	0.1017	0.364359	3.201099
50	-15371.6	-15385.7	14.0613	0.123765	0.109386	0.0991488	0.102801	0.121036	0.0820961	0.129539	0.0802897	0.106644	0.190411	0.0933145	0.0780386	0.0899092	0.0965092	0.117801	0.126277	0.127983	0.130567	0.138777	0.0866129	0.0716377	0.0881018	0.167411	0.033998	0.00690593	0.0409997	0.0385692	0.0358606	0.0607911	0.0325711	0.0399098	0.0283449	0.0488911	0.043866	0.018922	0.0190287	0.038233	0.0230015	0.0275609	0.0509668	0.0348117	0.0264394	0.0542199	0.231251	0.29347	0.103712	0.371566	3.261949
60	-15376.4	-15391.4	15.0504	0.128173	0.0884756	0.0887024	0.135566	0.0976142	0.0690422	0.102513	0.0690625	0.0821969	0.157626	0.0789485	0.0917097	0.0914456	0.0966885	0.1233	0.126277	0.129299	0.109751	0.112086	0.0802086	0.103832	0.0817936	0.213651	0.0440911	0.019556	0.0560539	0.0263374	0.0206751	0.0664025	0.0347594	0.047493	0.0170208	0.0392063	0.0454458	0.0233753	0.0214276	0.029876	0.0220605	0.030071	0.0525667	0.0367539	0.0301138	0.041793	0.208041	0.309892	0.105193	0.376873	3.16304
70	-15376.7	-15393.2	16.4767	0.1286	0.120865	0.0728466	0.0937597	0.0890724	0.0749479	0.119985	0.0718104	0.074637	0.164882	0.070445	0.0659329	0.110689	0.0883048	0.109525	0.126277	0.121193	0.126292	0.112601	0.0850795	0.0881758	0.080756	0.153036	0.0344812	0.0159625	0.0374954	0.015933	0.0246506	0.0709179	0.037723	0.0352919	0.034369	0.0366706	0.0266113	0.022492	0.0307311	0.0332976	0.0274362	0.0388739	0.0520953	0.0372687	0.0215477	0.0368488	0.215793	0.308576	0.104747	0.370884	3.020411
80	-15380.2	-15395	14.8343	0.128998	0.0804437	0.0948516	0.118021	0.118183	0.104984	0.124604	0.0845818	0.083586	0.164882	0.0884892	0.0541363	0.0963954	0.0958849	0.136863	0.120933	0.127432	0.110504	0.132211	0.067575	0.0896706	0.0746463	0.170663	0.0252	0.0197445	0.0562597	0.0420299	0.0242305	0.064471	0.0291671	0.0464434	0.0190556	0.0468552	0.027686	0.0353271	0.0281923	0.026708	0.039468	0.0227262	0.0498195	0.0417196	0.0182679	0.052743	0.215844	0.308649	0.104535	0.370972	3.184652
90	-15373.2	-15387.3	14.0902	0.116981	0.0952186	0.105069	0.113428	0.112309	0.0731662	0.127695	0.0968935	0.0879659	0.164882	0.0930573	0.0869366	0.0981523	0.0837408	0.123607	0.152563	0.137916	0.119802	0.132211	0.0745737	0.0891821	0.0677848	0.175178	0.0371822	0.0110844	0.0558229	0.0343111	0.0137074	0.0783983	0.0274846	0.0378429	0.036387	0.032863	0.0339004	0.038696	0.0231288	0.0277532	0.039468	0.0232631	0.0434495	0.0530447	0.0211993	0.0617636	0.215844	0.308649	0.104535	0.370972	3.259062
