Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	0	-21869.1	-21865.5	-3.66403	1	0.0101765	0.130616	0.0842366	0.117563	0.0685939	0.0890419	0.0816032	0.0209294	0.0650067	0.10794	0.0959565	0.192672	0.217696	0.223508	0.111843	0.0658292	0.0550739	0.0613946	0.164173	0.0908441	0.00513853	0.177918	0.0375533	0.0821918	0.0122961	0.0340195	0.0407934	0.0412954	0.0252675	0.193403	0.00642781	0.142034	0.0106755	0.0164186	0.0349434	0.0174733	0.052688	0.0778222	0.0241664	0.0473655	0.156157	0.217712	0.162709	0.14099	0.604592	0.129777	0.00877766	0.101467	0.0143974	0.136954	0.476752	1	2.38629	0.353598	0.231084	0.405362	0.00995633	0.7275413	3.671168
1	1	-18011.7	-17993.8	-17.8712	1	0.205798	0.0259959	0.0763791	0.126868	0.0146247	0.0231929	0.00659353	0.147584	0.245616	0.011787	0.181557	0.0271275	0.0901498	0.0920417	0.0133082	0.0563342	0.533555	0.129482	0.0172934	0.457549	0.0132808	0.00140026	0.15865	0.114221	0.00592963	0.0736054	0.0112637	0.0109503	0.0853565	0.0464683	0.0174142	0.00696098	0.365206	0.139624	0.217433	0.163765	0.134596	0.22676	0.152392	0.000625318	0.156851	0.202488	0.303807	0.387532	0.191391	0.212237	0.0230648	0.0832577	0.102518	0.136954	0.476752	1	2.38629	0.148425	0.347559	0.0588808	0.445136	0.5517758	5.091885
2	0	-15107.2	-15105.6	-1.6676	1.203522	0.0414779	0.0853326	0.12754	0.136107	0.227006	0.175734	0.108192	0.0532052	0.101413	0.119838	0.0837807	0.137599	0.142706	0.146371	0.124859	0.11575	0.14308	0.101362	0.125066	0.0650992	0.0161304	0.0694317	0.0961566	0.0561002	0.0305734	0.0319886	0.0299093	0.0127237	0.0176352	0.204359	0.00224264	0.0187481	0.00634324	0.0118256	0.0317897	0.0132769	0.0228039	0.0260416	0.0224063	0.0751901	0.0497005	0.0997692	0.16486	0.0634984	0.110043	0.0507627	0.0134584	0.762238	9.91005e-12	0.175691	0.530409	1.02696	2.26694	0.45456	0.371364	0.116912	0.057163	0.4946425	3.471525
3	1	-14636.3	-14623.9	-12.3728	1.162115	0.163877	0.119016	0.290916	0.188506	0.0725613	0.152672	0.0129579	0.19611	0.281558	0.0227716	0.0865852	0.084446	0.111129	0.0954803	0.0210465	0.318704	0.213735	0.16791	0.0820751	0.102312	0.0258353	0.00400558	0.247459	0.045224	0.0209525	0.116165	0.0255927	0.0266373	0.103047	0.0628933	0.0143314	0.0183493	0.0393145	0.233759	0.107223	0.0881463	0.045824	0.20908	0.138428	0.00146881	0.020352	0.0403998	0.123194	0.0837106	0.570734	0.0691968	0.0370432	0.194515	0.0448006	0.16812	0.520589	1.02241	2.28888	0.228065	0.408052	0.059698	0.304184	0.5011552	4.54205
4	0	-13389.2	-13373.2	-16.0696	0.9690528	0.226693	0.0941474	0.126803	0.101377	0.206836	0.130003	0.25435	0.162878	0.0997193	0.282064	0.0690792	0.151161	0.130199	0.190136	0.146654	0.248855	0.208951	0.201423	0.198123	0.118779	0.0825878	0.0998594	0.325339	0.0404967	0.0249546	0.0288942	0.168204	0.0154475	0.0503943	0.0427201	0.00487084	0.0714556	0.00548362	0.0091798	0.0265841	0.0185022	0.0289284	0.0336754	0.0328724	0.0623733	0.067193	0.108853	0.214627	0.046691	0.288423	0.0430334	0.0613727	0.56048	1.42378e-11	0.130738	0.467248	0.994677	2.40734	0.42743	0.303948	0.0635844	0.205038	0.4946425	4.911726
5	1	-14004.5	-13991.3	-13.2518	1.162115	0.214549	0.134383	0.294512	0.143306	0.0958955	0.125446	0.0203304	0.098625	0.117907	0.104351	0.127092	0.217815	0.118554	0.138633	0.126398	0.274766	0.217567	0.173607	0.127598	0.0631586	0.0766049	0.00962329	0.263145	0.0331052	0.0675199	0.0937243	0.0248626	0.0754323	0.106491	0.148744	0.0125127	0.0493821	0.0549533	0.107801	0.0396143	0.110303	0.0332073	0.116088	0.0676481	0.00153266	0.0162085	0.0398365	0.147107	0.0895811	0.598814	0.0321274	0.0186148	0.208156	0.0527072	0.16812	0.520589	1.02241	2.28888	0.23337	0.417544	0.0518736	0.297212	0.4761388	4.629941
6	0	-13250.2	-13226.9	-23.2553	1.063187	0.220266	0.123141	0.170515	0.113229	0.152492	0.101502	0.208508	0.121388	0.176917	0.326861	0.130144	0.13195	0.144526	0.187949	0.153417	0.290378	0.277308	0.169865	0.280827	0.130227	0.103207	0.0835327	0.41943	0.00825395	0.0370955	0.0284009	0.14301	0.0290714	0.133741	0.0784245	0.0226547	0.159583	0.00302063	0.0124519	0.0538308	0.0251526	0.173126	0.0527476	0.0381553	0.0497042	0.0527777	0.0704109	0.2411	0.042421	0.286847	0.0522763	0.0610374	0.557418	4.10918e-11	0.149386	0.494954	1.00973	2.34593	0.374291	0.331823	0.0694159	0.22447	0.4479584	5.630294
7	1	-13438.6	-13424.5	-14.1156	1.0979	0.22023	0.13913	0.222105	0.133755	0.183758	0.0929907	0.0395227	0.114018	0.0949699	0.254915	0.112149	0.123593	0.149761	0.158765	0.125353	0.231027	0.203756	0.188371	0.15082	0.0985889	0.121781	0.0143547	0.35906	0.0138227	0.0339437	0.0849376	0.0279202	0.057463	0.0772111	0.144163	0.0290906	0.0962979	0.0183975	0.0321861	0.0173946	0.06467	0.101569	0.133848	0.141705	0.000204152	0.0189613	0.0466992	0.0430714	0.0671477	0.544486	0.0423995	0.0195446	0.273041	0.0533809	0.156063	0.504322	1.0145	2.32511	0.260962	0.401123	0.0536679	0.284247	0.402977	4.716328
8	0	-13190.6	-13162.6	-28.0211	1.120119	0.26875	0.126236	0.157622	0.153777	0.18049	0.139592	0.298051	0.166608	0.155222	0.362532	0.130384	0.112735	0.211659	0.223526	0.179176	0.313952	0.220509	0.257592	0.252815	0.0863451	0.124849	0.0817811	0.491434	0.00555648	0.0236448	0.0410116	0.178457	0.0272954	0.0505538	0.0571135	0.0197827	0.122406	0.0086097	0.056126	0.058769	0.0273099	0.206036	0.0404536	0.0409317	0.0522629	0.0356099	0.123836	0.23547	0.0312218	0.339487	0.0644839	0.0363635	0.528444	2.49697e-10	0.160279	0.510101	1.01736	2.31226	0.368148	0.353107	0.0738684	0.204876	0.4479584	6.106873
9	1	-13275.2	-13258.2	-17.0164	1.168485	0.206873	0.116515	0.128184	0.160766	0.167938	0.0831429	0.21345	0.119139	0.119771	0.255098	0.0853243	0.114389	0.171617	0.147104	0.175931	0.22046	0.21406	0.211838	0.146553	0.07492	0.171578	0.0193193	0.344717	0.0210543	0.0203156	0.0640525	0.0431845	0.164167	0.0430564	0.0795366	0.0382314	0.0778882	0.0642154	0.00886022	0.0362193	0.191308	0.0673398	0.20606	0.0683584	0.000181844	0.071203	0.0370794	0.0354067	0.0665618	0.539735	0.0379703	0.0321595	0.270659	0.0529151	0.169295	0.522133	1.02314	2.28543	0.271739	0.417689	0.0649123	0.24566	0.4363098	5.006407
