Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-21869.1	-21865.5	-3.66403	1	0.0101765	0.130616	0.0842366	0.117563	0.0685939	0.0890419	0.0816032	0.0209294	0.0650067	0.10794	0.0959565	0.192672	0.217696	0.223508	0.111843	0.0658292	0.0550739	0.0613946	0.164173	0.0908441	0.00513853	0.177918	0.0375533	0.0821918	0.0122961	0.0340195	0.0407934	0.0412954	0.0252675	0.193403	0.00642781	0.142034	0.0106755	0.0164186	0.0349434	0.0174733	0.052688	0.0778222	0.0241664	0.0473655	0.156157	0.217712	0.162709	0.14099	0.604592	0.129777	0.00877766	0.101467	0.0143974	0.136954	0.476752	1	2.38629	0.353598	0.231084	0.405362	0.00995633	0.7275413	3.671168
10	-15107.2	-15105.6	-1.6676	1.203522	0.0414779	0.0853326	0.12754	0.136107	0.227006	0.175734	0.108192	0.0532052	0.101413	0.119838	0.0837807	0.137599	0.142706	0.146371	0.124859	0.11575	0.14308	0.101362	0.125066	0.0650992	0.0161304	0.0694317	0.0961566	0.0561002	0.0305734	0.0319886	0.0299093	0.0127237	0.0176352	0.204359	0.00224264	0.0187481	0.00634324	0.0118256	0.0317897	0.0132769	0.0228039	0.0260416	0.0224063	0.0751901	0.0497005	0.0997692	0.16486	0.0634984	0.110043	0.0507627	0.0134584	0.762238	9.91005e-12	0.175691	0.530409	1.02696	2.26694	0.45456	0.371364	0.116912	0.057163	0.4946425	3.471525
20	-13389.2	-13373.2	-16.0696	0.9690528	0.226693	0.0941474	0.126803	0.101377	0.206836	0.130003	0.25435	0.162878	0.0997193	0.282064	0.0690792	0.151161	0.130199	0.190136	0.146654	0.248855	0.208951	0.201423	0.198123	0.118779	0.0825878	0.0998594	0.325339	0.0404967	0.0249546	0.0288942	0.168204	0.0154475	0.0503943	0.0427201	0.00487084	0.0714556	0.00548362	0.0091798	0.0265841	0.0185022	0.0289284	0.0336754	0.0328724	0.0623733	0.067193	0.108853	0.214627	0.046691	0.288423	0.0430334	0.0613727	0.56048	1.42378e-11	0.130738	0.467248	0.994677	2.40734	0.42743	0.303948	0.0635844	0.205038	0.4946425	4.911726
30	-13250.2	-13226.9	-23.2553	1.063187	0.220266	0.123141	0.170515	0.113229	0.152492	0.101502	0.208508	0.121388	0.176917	0.326861	0.130144	0.13195	0.144526	0.187949	0.153417	0.290378	0.277308	0.169865	0.280827	0.130227	0.103207	0.0835327	0.41943	0.00825395	0.0370955	0.0284009	0.14301	0.0290714	0.133741	0.0784245	0.0226547	0.159583	0.00302063	0.0124519	0.0538308	0.0251526	0.173126	0.0527476	0.0381553	0.0497042	0.0527777	0.0704109	0.2411	0.042421	0.286847	0.0522763	0.0610374	0.557418	4.10918e-11	0.149386	0.494954	1.00973	2.34593	0.374291	0.331823	0.0694159	0.22447	0.4479584	5.630294
40	-13190.6	-13162.6	-28.0211	1.120119	0.26875	0.126236	0.157622	0.153777	0.18049	0.139592	0.298051	0.166608	0.155222	0.362532	0.130384	0.112735	0.211659	0.223526	0.179176	0.313952	0.220509	0.257592	0.252815	0.0863451	0.124849	0.0817811	0.491434	0.00555648	0.0236448	0.0410116	0.178457	0.0272954	0.0505538	0.0571135	0.0197827	0.122406	0.0086097	0.056126	0.058769	0.0273099	0.206036	0.0404536	0.0409317	0.0522629	0.0356099	0.123836	0.23547	0.0312218	0.339487	0.0644839	0.0363635	0.528444	2.49697e-10	0.160279	0.510101	1.01736	2.31226	0.368148	0.353107	0.0738684	0.204876	0.4479584	6.106873
50	-13171.1	-13138.6	-32.5134	0.8903495	0.316049	0.148127	0.159838	0.194844	0.243809	0.107854	0.249249	0.116665	0.142447	0.382766	0.127332	0.131786	0.211659	0.261304	0.183029	0.317799	0.213284	0.198209	0.188279	0.0987149	0.136994	0.128186	0.629299	0.0221766	0.0267033	0.0301021	0.172268	0.0734266	0.063584	0.0452206	0.0153017	0.136143	0.0241047	0.183445	0.0856015	0.0180175	0.186497	0.0942334	0.0768724	0.0762047	0.0520806	0.128996	0.1576	0.0309025	0.336016	0.0638246	0.0462162	0.523041	6.78659e-09	0.11459	0.441118	0.979157	2.46513	0.368148	0.353107	0.0738684	0.204876	0.3755559	6.556104
60	-13166.5	-13131.9	-34.6178	0.9214168	0.336631	0.158387	0.178828	0.1187	0.252832	0.173031	0.285074	0.158266	0.172518	0.349319	0.0959778	0.169571	0.279703	0.244182	0.161502	0.279722	0.347455	0.20524	0.2399	0.0870388	0.174098	0.125177	0.454043	0.029808	0.0386233	0.0382129	0.168306	0.0696103	0.0811394	0.0600836	0.0105279	0.122946	0.0371007	0.152898	0.0395513	0.0390371	0.170962	0.0703361	0.171548	0.0658772	0.0542684	0.100168	0.198349	0.0251777	0.348626	0.0662199	0.0438925	0.516084	5.97632e-09	0.12102	0.451787	0.985652	2.44154	0.368148	0.353107	0.0738684	0.204876	0.3755559	6.766548
70	-13173.9	-13132.8	-41.0848	0.7997133	0.344209	0.169693	0.214333	0.130991	0.284108	0.208137	0.323813	0.148708	0.124863	0.532524	0.0993441	0.156443	0.173554	0.216828	0.252658	0.282618	0.2668	0.262325	0.287812	0.107632	0.135144	0.124008	0.497564	0.0278883	0.0498374	0.0563084	0.241354	0.0655789	0.0540436	0.0933175	0.00590211	0.0986932	0.0638578	0.238603	0.0426522	0.0461471	0.290098	0.0681469	0.153019	0.100562	0.0410115	0.15675	0.175369	0.0272926	0.293913	0.0717821	0.0475793	0.559433	6.47831e-09	0.0954977	0.407019	0.956875	2.54061	0.370111	0.35499	0.0742623	0.200637	0.3755559	7.413249
80	-13166.9	-13128.8	-38.0727	0.8265961	0.266188	0.105414	0.152921	0.132947	0.268859	0.111954	0.273675	0.172795	0.152773	0.398759	0.126551	0.114621	0.199023	0.203137	0.277562	0.391998	0.340815	0.260659	0.197808	0.0991719	0.161925	0.127321	0.492664	0.0211143	0.0584806	0.0421187	0.191731	0.0471633	0.0754995	0.101687	0.00668234	0.0933845	0.0837119	0.178485	0.0731765	0.0524952	0.287156	0.117821	0.183104	0.0747603	0.076141	0.0599221	0.257854	0.0275441	0.292673	0.0645639	0.0480177	0.567202	2.53203e-08	0.101204	0.417625	0.96406	2.51711	0.364186	0.358329	0.0749608	0.202524	0.3755559	7.112031
90	-13163.9	-13122.1	-41.7903	0.8725438	0.350458	0.171952	0.16775	0.133158	0.259233	0.199299	0.302733	0.168847	0.152474	0.407188	0.140445	0.163528	0.304088	0.24039	0.265932	0.414632	0.233418	0.205865	0.28458	0.0941019	0.197516	0.115313	0.608172	0.0223286	0.0469334	0.0217706	0.248994	0.0737856	0.0461257	0.0912847	0.0141056	0.0784989	0.0581787	0.172082	0.141222	0.02561	0.188079	0.0843699	0.175667	0.0601019	0.0596634	0.0917381	0.202189	0.0273618	0.290736	0.0707545	0.0477	0.563448	4.97346e-08	0.110876	0.43478	0.975193	2.47915	0.365409	0.359532	0.071855	0.203204	0.3755559	7.483799
