Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-21710.7	-21718.4	7.67681	0.202338	0.0339841	0.0685775	0.0392073	0.143053	0.0135803	0.0355754	0.0884372	0.513189	0.0376511	0.0831494	0.217634	0.0857491	0.0222331	0.0564913	0.0013419	0.129762	0.100366	0.0372366	0.0612598	0.0827841	0.00431946	0.255155	0.0132856	0.131647	0.1234	0.0233423	0.202849	0.219044	0.0115727	0.0716992	0.061786	0.0202386	0.0631013	0.0130985	0.0422495	0.137545	0.0165381	0.0900223	5.6142e-05	0.0384948	0.226146	0.0393131	0.3649772	0.534289	0.0658185	0.12329	0.276603	3.858506
1	1	-20624.1	-20625.3	1.22828	0.127728	0.13551	0.0472067	0.200825	0.029818	0.0136593	0.0600455	0.405048	0.267624	0.00796059	0.0858167	0.208334	0.284616	0.0220574	0.0452914	0.0870984	0.0944572	0.145374	0.0532169	0.0814598	0.0697924	0.0238784	0.0887029	0.0158249	0.0902544	0.0668255	0.135677	0.220068	0.0292151	0.145814	0.0658387	0.00255573	0.0894867	0.154777	0.165264	0.00705422	0.0315631	0.107722	0.0806674	0.134743	0.107151	0.242073	0.0142882	0.5877456	0.153353	0.152954	0.322875	0.370817	4.492386
2	0	-16414	-16423.6	9.58401	0.180109	0.107954	0.108195	0.0793094	0.184716	0.047852	0.133174	0.138475	0.154985	0.117419	0.111562	0.176119	0.0943917	0.0934032	0.139795	0.00502446	0.192301	0.106433	0.136476	0.147085	0.104003	0.0173351	0.157686	0.0255144	0.027312	0.0371608	0.0298075	0.0726904	0.0685923	0.0316564	0.0419527	0.109848	0.0679623	0.0674303	0.00906276	0.009541	0.0760206	0.0179536	0.0386044	3.43458e-05	0.0554112	0.0670651	0.00858349	1.219195	0.207944	0.355705	0.103381	0.33297	3.596006
3	1	-16418.8	-16428.2	9.40601	0.147266	0.115724	0.122206	0.214533	0.114242	0.0349151	0.181164	0.142454	0.245087	0.0169984	0.158305	0.122607	0.102651	0.101033	0.0715234	0.0859065	0.129733	0.132987	0.128004	0.0756127	0.0772863	0.053262	0.171643	0.0362859	0.0113009	0.0220814	0.0260753	0.045719	0.0147585	0.0662821	0.0369618	0.0147215	0.0269034	0.150241	0.0383708	0.00943066	0.0235273	0.0641571	0.0463903	0.0335678	0.0508358	0.103232	0.00623029	1.658346	0.229449	0.304202	0.111782	0.354567	3.572214
4	0	-15354.7	-15365.6	10.8294	0.105689	0.108081	0.104983	0.0831066	0.163009	0.119979	0.133174	0.140058	0.112484	0.175564	0.0824766	0.258282	0.110679	0.0953914	0.0963267	0.0228431	0.160363	0.107025	0.13626	0.0966417	0.0834948	0.0502353	0.151134	0.0282249	0.0225909	0.0348559	0.0284015	0.0317154	0.0517187	0.0235087	0.0425092	0.047239	0.0215261	0.120869	0.0119991	0.0290943	0.039098	0.0167994	0.0508299	0.000160408	0.0273813	0.0489309	0.0147018	2.125369	0.28858	0.315527	0.0917034	0.30419	3.389434
5	1	-15465.6	-15473.8	8.26845	0.150303	0.146426	0.11512	0.166597	0.17522	0.0913389	0.169662	0.129704	0.159966	0.0870262	0.210871	0.111703	0.100161	0.0948549	0.12662	0.147343	0.129733	0.11764	0.141331	0.0563457	0.083924	0.081583	0.171939	0.022337	0.0127984	0.0408651	0.0252879	0.0223269	0.0260196	0.032165	0.0359618	0.0379676	0.026433	0.0645785	0.0270425	0.0143436	0.0121043	0.01631	0.0230083	0.0327951	0.0516604	0.0524157	0.0156357	3.31827	0.279429	0.303217	0.111421	0.305933	3.557468
6	0	-14918.9	-14927.7	8.86156	0.153169	0.129068	0.120336	0.0958795	0.158563	0.0671265	0.112475	0.0787247	0.0963359	0.182227	0.0857267	0.193762	0.115625	0.113297	0.110162	0.0272	0.117477	0.105382	0.136254	0.0772343	0.0972623	0.0932706	0.206023	0.0346279	0.0271972	0.0886327	0.0279804	0.0450882	0.0258924	0.0324251	0.0432239	0.0404143	0.0320028	0.091308	0.0443014	0.0402496	0.0497405	0.0212564	0.0317555	0.000369027	0.0192677	0.0458507	0.0514222	3.829968	0.251125	0.304291	0.110796	0.333788	3.465585
7	1	-14940.5	-14949.7	9.22176	0.150303	0.1027	0.11572	0.155903	0.140809	0.0810958	0.134354	0.113204	0.114101	0.187778	0.0794211	0.0961585	0.108093	0.114529	0.10243	0.139637	0.136103	0.115901	0.142875	0.0721697	0.0957462	0.0905243	0.156929	0.0302197	0.0778237	0.0293618	0.0227457	0.0448972	0.0224479	0.0412593	0.0159025	0.0243101	0.088798	0.0380802	0.034531	0.0334246	0.0297057	0.0205861	0.0168609	0.0256072	0.0454927	0.029314	0.0442829	3.31827	0.275298	0.298735	0.0913355	0.334632	3.462136
8	0	-14820.3	-14830	9.74625	0.157762	0.108164	0.110191	0.0958795	0.12358	0.0814531	0.127228	0.0737563	0.100695	0.191206	0.0926771	0.0887383	0.126248	0.108104	0.132998	0.0602866	0.128175	0.107384	0.130282	0.0777797	0.0965292	0.088639	0.180427	0.0462184	0.0190223	0.0532645	0.0351947	0.0346135	0.0273619	0.0174436	0.0283522	0.0350741	0.0323777	0.131649	0.0537987	0.0317977	0.0444956	0.0240421	0.0225516	0.00239229	0.0210392	0.0726563	0.0555859	3.829968	0.269738	0.291616	0.109316	0.329329	3.377116
9	1	-14805.5	-14814.7	9.20845	0.141711	0.112982	0.111323	0.10777	0.129115	0.0740609	0.126001	0.0629637	0.118336	0.163885	0.0794211	0.0897086	0.0949671	0.118828	0.111757	0.143983	0.126717	0.105438	0.113487	0.0764306	0.0722804	0.0843925	0.168808	0.0418802	0.020328	0.0240537	0.0288314	0.0425425	0.0293001	0.0215345	0.034906	0.0553323	0.0764723	0.059479	0.0317333	0.0444791	0.0936011	0.0624823	0.0260626	0.037527	0.0462995	0.0429986	0.0542546	4.206899	0.275503	0.298957	0.0906587	0.334881	3.408464
