Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21710.7	-21718.4	7.67681	0.202338	0.0339841	0.0685775	0.0392073	0.143053	0.0135803	0.0355754	0.0884372	0.513189	0.0376511	0.0831494	0.217634	0.0857491	0.0222331	0.0564913	0.0013419	0.129762	0.100366	0.0372366	0.0612598	0.0827841	0.00431946	0.255155	0.0132856	0.131647	0.1234	0.0233423	0.202849	0.219044	0.0115727	0.0716992	0.061786	0.0202386	0.0631013	0.0130985	0.0422495	0.137545	0.0165381	0.0900223	5.6142e-05	0.0384948	0.226146	0.0393131	0.3649772	0.534289	0.0658185	0.12329	0.276603	3.858506
10	-16414	-16423.6	9.58401	0.180109	0.107954	0.108195	0.0793094	0.184716	0.047852	0.133174	0.138475	0.154985	0.117419	0.111562	0.176119	0.0943917	0.0934032	0.139795	0.00502446	0.192301	0.106433	0.136476	0.147085	0.104003	0.0173351	0.157686	0.0255144	0.027312	0.0371608	0.0298075	0.0726904	0.0685923	0.0316564	0.0419527	0.109848	0.0679623	0.0674303	0.00906276	0.009541	0.0760206	0.0179536	0.0386044	3.43458e-05	0.0554112	0.0670651	0.00858349	1.219195	0.207944	0.355705	0.103381	0.33297	3.596006
20	-15354.7	-15365.6	10.8294	0.105689	0.108081	0.104983	0.0831066	0.163009	0.119979	0.133174	0.140058	0.112484	0.175564	0.0824766	0.258282	0.110679	0.0953914	0.0963267	0.0228431	0.160363	0.107025	0.13626	0.0966417	0.0834948	0.0502353	0.151134	0.0282249	0.0225909	0.0348559	0.0284015	0.0317154	0.0517187	0.0235087	0.0425092	0.047239	0.0215261	0.120869	0.0119991	0.0290943	0.039098	0.0167994	0.0508299	0.000160408	0.0273813	0.0489309	0.0147018	2.125369	0.28858	0.315527	0.0917034	0.30419	3.389434
30	-14918.9	-14927.7	8.86156	0.153169	0.129068	0.120336	0.0958795	0.158563	0.0671265	0.112475	0.0787247	0.0963359	0.182227	0.0857267	0.193762	0.115625	0.113297	0.110162	0.0272	0.117477	0.105382	0.136254	0.0772343	0.0972623	0.0932706	0.206023	0.0346279	0.0271972	0.0886327	0.0279804	0.0450882	0.0258924	0.0324251	0.0432239	0.0404143	0.0320028	0.091308	0.0443014	0.0402496	0.0497405	0.0212564	0.0317555	0.000369027	0.0192677	0.0458507	0.0514222	3.829968	0.251125	0.304291	0.110796	0.333788	3.465585
40	-14820.3	-14830	9.74625	0.157762	0.108164	0.110191	0.0958795	0.12358	0.0814531	0.127228	0.0737563	0.100695	0.191206	0.0926771	0.0887383	0.126248	0.108104	0.132998	0.0602866	0.128175	0.107384	0.130282	0.0777797	0.0965292	0.088639	0.180427	0.0462184	0.0190223	0.0532645	0.0351947	0.0346135	0.0273619	0.0174436	0.0283522	0.0350741	0.0323777	0.131649	0.0537987	0.0317977	0.0444956	0.0240421	0.0225516	0.00239229	0.0210392	0.0726563	0.0555859	3.829968	0.269738	0.291616	0.109316	0.329329	3.377116
50	-14787	-14798.2	11.1739	0.141541	0.0861178	0.0940163	0.084921	0.0984388	0.10055	0.134325	0.0745972	0.080295	0.174509	0.090853	0.065555	0.0992426	0.0880072	0.129514	0.143333	0.143004	0.102542	0.139509	0.078315	0.0779631	0.101788	0.172619	0.0341495	0.0172229	0.0805861	0.0425945	0.029134	0.0249483	0.0216711	0.0278871	0.0329194	0.0254908	0.0866574	0.0573472	0.0192307	0.052954	0.0298914	0.0220509	0.00122461	0.0320664	0.0521779	0.0425898	3.829968	0.269738	0.291616	0.109316	0.329329	3.234348
60	-14778.4	-14787.8	9.43982	0.166257	0.0951499	0.0859686	0.0938185	0.116682	0.0777696	0.12971	0.0722622	0.100929	0.174509	0.0768168	0.0726153	0.11741	0.105516	0.129514	0.141393	0.136782	0.104577	0.116628	0.0961178	0.0949963	0.0960275	0.191327	0.0223852	0.0173882	0.0504007	0.0407401	0.0464066	0.0344275	0.0349406	0.0422718	0.0402113	0.0293459	0.0885661	0.0604876	0.0247169	0.0620845	0.0287057	0.0254607	0.0023791	0.0309943	0.0570175	0.0581714	4.128752	0.273174	0.29533	0.0979716	0.333524	3.389878
70	-14782.3	-14792	9.74465	0.14099	0.106175	0.119168	0.0862291	0.120424	0.0729821	0.14062	0.0867877	0.0970854	0.187278	0.0887909	0.0726153	0.103693	0.118741	0.0956438	0.152364	0.173502	0.130695	0.110762	0.0766687	0.081293	0.0869303	0.199396	0.0224917	0.0111556	0.0591803	0.0410539	0.0404961	0.0336795	0.041441	0.0297299	0.0243531	0.0248236	0.0797571	0.0695286	0.0202757	0.0607818	0.019781	0.0244832	0.00478717	0.024878	0.0339417	0.056469	3.918045	0.273174	0.29533	0.0979716	0.333524	3.371924
80	-14772.8	-14782.7	9.88448	0.135743	0.108105	0.0911417	0.08965	0.114595	0.0744048	0.14062	0.0821877	0.0954865	0.197357	0.077016	0.0801566	0.109475	0.0896543	0.120462	0.147407	0.128076	0.131569	0.119608	0.0866805	0.0972278	0.0945288	0.16709	0.0314775	0.0135753	0.0613052	0.0487	0.042521	0.0413964	0.0171395	0.0369548	0.0360142	0.0240846	0.0731906	0.0585331	0.0143191	0.0545885	0.0327407	0.0214689	0.0267556	0.0277316	0.0453265	0.0500843	4.288716	0.275358	0.297691	0.0987547	0.328197	3.336148
90	-14780.5	-14789.9	9.37211	0.155734	0.0950816	0.109499	0.0993273	0.0979194	0.0861211	0.155221	0.0821877	0.096282	0.201005	0.0761027	0.107552	0.096103	0.118144	0.110021	0.143275	0.108512	0.132562	0.114632	0.0914425	0.0828228	0.08296	0.180791	0.0344522	0.0262934	0.0730073	0.0383281	0.0336336	0.0330322	0.015328	0.0303851	0.0216728	0.0295898	0.103448	0.0474224	0.015668	0.0675798	0.0305482	0.0291869	0.037935	0.0179951	0.0378189	0.0561702	4.024602	0.273638	0.295832	0.104384	0.326147	3.402793
100	-14783.1	-14792.8	9.69399	0.131372	0.089458	0.0972748	0.0773417	0.101073	0.0940959	0.12142	0.0743233	0.10227	0.187296	0.0833504	0.0742447	0.0924244	0.104856	0.11774	0.136343	0.137177	0.133915	0.134615	0.0806074	0.0804863	0.098639	0.200459	0.0561714	0.0380184	0.0589736	0.0331281	0.0404328	0.0327088	0.0394618	0.0279982	0.0371847	0.0438105	0.106817	0.063669	0.0135759	0.0543691	0.0440756	0.016401	0.020222	0.0144621	0.0504098	0.037932	3.858441	0.273638	0.295832	0.104384	0.326147	3.380604
110	-14782.9	-14792.6	9.67526	0.141303	0.0961242	0.0830693	0.0915698	0.117099	0.0714784	0.124358	0.0916279	0.0873045	0.184735	0.0832146	0.0777674	0.0987991	0.0923672	0.102451	0.136343	0.126175	0.141441	0.146644	0.0986498	0.0867581	0.0919168	0.169051	0.0529073	0.0232802	0.066352	0.029764	0.0346225	0.0256854	0.0438388	0.0336327	0.0301576	0.031087	0.122213	0.0712148	0.0206789	0.0468704	0.0345179	0.027259	0.0279938	0.0108425	0.0480621	0.0489647	4.063159	0.273638	0.295832	0.104384	0.326147	3.370194
120	-14786.5	-14796.2	9.70092	0.150147	0.0872137	0.125892	0.0911152	0.119957	0.0839267	0.125213	0.0672208	0.11008	0.220573	0.0774443	0.0882087	0.0859619	0.115312	0.127493	0.120824	0.156819	0.110463	0.141603	0.0825843	0.076799	0.0713502	0.169051	0.0375812	0.0219676	0.0462261	0.0421123	0.0580128	0.0232965	0.0255242	0.0279857	0.0317013	0.0277363	0.0908878	0.0606776	0.0175941	0.0438747	0.0385052	0.0250442	0.0465174	0.0158136	0.0424811	0.0439256	3.977615	0.294565	0.2857	0.09201	0.327725	3.372716
