Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-19427.8	-19429.6	1.82833	0.157811	0.284505	0.050159	0.053158	0.0246965	0.099172	0.0230564	0.0775385	0.126355	0.0526955	0.0275617	0.00387198	0.250107	0.0690804	0.0492802	0.105053	0.147606	0.0247156	0.195087	0.0566987	0.0281162	0.0368231	0.199097	0.0159372	0.0957042	0.0311905	0.285025	0.0274499	0.0511294	0.048308	0.17816	0.0425093	0.0565909	0.0288942	0.00384716	0.176014	0.0408586	0.321987	0.012781	0.148613	0.23112	0.235659	0.132052	4.306075
1	1	-20688.9	-20683.8	-5.00832	0.0567086	0.0488365	0.0607613	0.014163	0.0126143	0.0613591	0.0153144	0.0473991	0.0839433	0.00854366	0.0419005	0.00312705	0.249441	0.3504	0.0861319	0.116268	0.0111382	0.0416165	0.0505482	0.295797	0.289446	0.0911267	0.591197	0.0456851	0.0705577	0.224689	0.221162	0.169003	0.0032121	0.0291526	0.54483	0.31377	0.0157166	0.0480481	0.116074	0.11329	0.131355	0.0211741	0.124076	0.0109992	0.0678596	0.0421841	0.0491201	4.98974
2	0	-16741.3	-16752.6	11.3241	0.110635	0.175575	0.151631	0.0706	0.094763	0.111688	0.0589661	0.0818227	0.0845106	0.165837	0.0476772	0.0139891	0.112126	0.0989792	0.103793	0.16385	0.190919	0.0821068	0.120267	0.0902633	0.0597387	0.0368231	0.168093	0.0278913	0.0973457	0.0168872	0.0630197	0.0416914	0.0385353	0.0472466	0.0367208	0.0314238	0.0288589	0.0343379	0.00785359	0.0664034	0.0195319	0.0970696	0.0189856	0.0777569	0.0910406	0.0827	0.0365471	3.3565
3	1	-17022.5	-17027.9	5.44093	0.142797	0.133703	0.129397	0.0257925	0.0305414	0.0915098	0.0252392	0.0817199	0.0781356	0.0170904	0.113869	0.0164009	0.134635	0.222096	0.125811	0.133591	0.101797	0.0508832	0.146123	0.118826	0.118902	0.111277	0.391429	0.0433781	0.0595467	0.0846956	0.0612554	0.0696955	0.0229761	0.0572022	0.545121	0.0688167	0.010591	0.0313628	0.0780687	0.0319785	0.0356572	0.0140542	0.0791436	0.00857746	0.0520343	0.0203874	0.0287083	3.944815
4	0	-15973.2	-15985.6	12.3891	0.12863	0.125469	0.108318	0.0969335	0.133382	0.0979228	0.122945	0.0766111	0.0933802	0.165837	0.100925	0.0297237	0.113646	0.0863374	0.116523	0.124697	0.129924	0.147034	0.12747	0.0735876	0.100159	0.0814277	0.168093	0.0149038	0.0265469	0.0204433	0.0429636	0.0424554	0.0270929	0.075761	0.0246566	0.0112594	0.0132118	0.0285407	0.017821	0.065442	0.0199146	0.059162	0.0135622	0.0536417	0.044387	0.0684981	0.0307602	3.250001
5	1	-15973.2	-15985	11.7739	0.146359	0.133703	0.0798421	0.0718558	0.0358468	0.0938121	0.109067	0.0734307	0.0995535	0.0534218	0.072702	0.102221	0.105288	0.222096	0.125198	0.14153	0.142366	0.0992329	0.135871	0.0904706	0.0975709	0.0957051	0.199541	0.0234715	0.04054	0.0294133	0.0292923	0.0539128	0.051148	0.0564384	0.0597894	0.0294321	0.012477	0.0214608	0.0488213	0.0167869	0.023543	0.037938	0.0766755	0.0143309	0.042083	0.086911	0.030367	3.311518
6	0	-15801.6	-15813.5	11.9543	0.142933	0.108566	0.0965084	0.0875937	0.106117	0.089472	0.129482	0.0766111	0.117616	0.160182	0.0687958	0.073912	0.09872	0.111614	0.116523	0.115304	0.134193	0.120731	0.125336	0.0798586	0.103005	0.0961606	0.191706	0.0244527	0.0289296	0.0375616	0.022871	0.0518436	0.0240021	0.0780596	0.0233394	0.0387923	0.024879	0.0316731	0.0231876	0.0591194	0.0195043	0.0715556	0.0375794	0.0260726	0.0341361	0.0427214	0.0422597	3.293481
7	1	-15825.3	-15837.5	12.238	0.145806	0.0909456	0.0998664	0.105295	0.0999194	0.107211	0.131838	0.0929836	0.0861069	0.139305	0.0763851	0.0759178	0.0870438	0.0893062	0.117129	0.14153	0.118967	0.116355	0.107875	0.0990925	0.0826327	0.0880363	0.185801	0.0301832	0.0260932	0.0392253	0.0107832	0.0346118	0.04734	0.0446067	0.037329	0.046679	0.0535296	0.0333914	0.0255118	0.030316	0.0125479	0.0445831	0.102447	0.0239537	0.0488837	0.0523706	0.0353789	3.265113
8	0	-15812	-15825	13.0574	0.12807	0.0966298	0.107968	0.100875	0.0975852	0.0796785	0.11842	0.0741567	0.0945863	0.158974	0.079904	0.0888448	0.103475	0.0823886	0.108542	0.0989427	0.1388	0.106307	0.128509	0.0818962	0.0803276	0.104529	0.191706	0.0359075	0.0101802	0.0337664	0.0244908	0.0389676	0.0274972	0.0888071	0.0353018	0.0285525	0.0212117	0.0401446	0.0350763	0.0521747	0.0175666	0.0447469	0.0352344	0.0221568	0.0353133	0.0468051	0.0581507	3.183168
9	1	-15811.5	-15824.2	12.6811	0.140372	0.0933483	0.0973227	0.0999494	0.12944	0.0813526	0.119212	0.103609	0.117661	0.157265	0.0695259	0.0773218	0.122097	0.087739	0.0936127	0.13375	0.136151	0.132022	0.118232	0.0899269	0.076058	0.0801934	0.165985	0.0310984	0.0350549	0.0234395	0.0177132	0.0389756	0.0725468	0.0473924	0.0178142	0.0452018	0.0424754	0.0222189	0.0303748	0.0220851	0.0223841	0.0357578	0.0696121	0.0172987	0.0397474	0.0392532	0.0282027	3.220795
