Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20688.9	-20683.8	-5.00832	0.0567086	0.0488365	0.0607613	0.014163	0.0126143	0.0613591	0.0153144	0.0473991	0.0839433	0.00854366	0.0419005	0.00312705	0.249441	0.3504	0.0861319	0.116268	0.0111382	0.0416165	0.0505482	0.295797	0.289446	0.0911267	0.591197	0.0456851	0.0705577	0.224689	0.221162	0.169003	0.0032121	0.0291526	0.54483	0.31377	0.0157166	0.0480481	0.116074	0.11329	0.131355	0.0211741	0.124076	0.0109992	0.0678596	0.0421841	0.0491201	4.98974
10	-17022.5	-17027.9	5.44093	0.142797	0.133703	0.129397	0.0257925	0.0305414	0.0915098	0.0252392	0.0817199	0.0781356	0.0170904	0.113869	0.0164009	0.134635	0.222096	0.125811	0.133591	0.101797	0.0508832	0.146123	0.118826	0.118902	0.111277	0.391429	0.0433781	0.0595467	0.0846956	0.0612554	0.0696955	0.0229761	0.0572022	0.545121	0.0688167	0.010591	0.0313628	0.0780687	0.0319785	0.0356572	0.0140542	0.0791436	0.00857746	0.0520343	0.0203874	0.0287083	3.944815
20	-15973.2	-15985	11.7739	0.146359	0.133703	0.0798421	0.0718558	0.0358468	0.0938121	0.109067	0.0734307	0.0995535	0.0534218	0.072702	0.102221	0.105288	0.222096	0.125198	0.14153	0.142366	0.0992329	0.135871	0.0904706	0.0975709	0.0957051	0.199541	0.0234715	0.04054	0.0294133	0.0292923	0.0539128	0.051148	0.0564384	0.0597894	0.0294321	0.012477	0.0214608	0.0488213	0.0167869	0.023543	0.037938	0.0766755	0.0143309	0.042083	0.086911	0.030367	3.311518
30	-15825.3	-15837.5	12.238	0.145806	0.0909456	0.0998664	0.105295	0.0999194	0.107211	0.131838	0.0929836	0.0861069	0.139305	0.0763851	0.0759178	0.0870438	0.0893062	0.117129	0.14153	0.118967	0.116355	0.107875	0.0990925	0.0826327	0.0880363	0.185801	0.0301832	0.0260932	0.0392253	0.0107832	0.0346118	0.04734	0.0446067	0.037329	0.046679	0.0535296	0.0333914	0.0255118	0.030316	0.0125479	0.0445831	0.102447	0.0239537	0.0488837	0.0523706	0.0353789	3.265113
40	-15811.5	-15824.2	12.6811	0.140372	0.0933483	0.0973227	0.0999494	0.12944	0.0813526	0.119212	0.103609	0.117661	0.157265	0.0695259	0.0773218	0.122097	0.087739	0.0936127	0.13375	0.136151	0.132022	0.118232	0.0899269	0.076058	0.0801934	0.165985	0.0310984	0.0350549	0.0234395	0.0177132	0.0389756	0.0725468	0.0473924	0.0178142	0.0452018	0.0424754	0.0222189	0.0303748	0.0220851	0.0223841	0.0357578	0.0696121	0.0172987	0.0397474	0.0392532	0.0282027	3.220795
50	-15811.3	-15824	12.6894	0.139975	0.0998202	0.108356	0.097553	0.098702	0.0787944	0.126787	0.0693663	0.104498	0.157893	0.0843803	0.0991464	0.11493	0.112664	0.0994346	0.130604	0.136151	0.0896647	0.123015	0.0942041	0.0755296	0.0881165	0.190303	0.0300654	0.031672	0.0374191	0.0351494	0.0347136	0.0341934	0.0685072	0.0136985	0.0249555	0.0434202	0.0285419	0.0149384	0.014416	0.034758	0.0378172	0.082699	0.0330009	0.0302771	0.059331	0.0105091	3.219972
60	-15812.9	-15825	12.1075	0.140147	0.0757118	0.0901133	0.104863	0.128016	0.0829257	0.124439	0.0808875	0.141764	0.163218	0.0738546	0.0724541	0.126454	0.10494	0.110787	0.116413	0.131052	0.117986	0.119461	0.0794585	0.109584	0.100302	0.157752	0.0365304	0.0287776	0.0193214	0.030475	0.0440668	0.0382701	0.0567691	0.0209138	0.0281698	0.0516465	0.0152678	0.0259014	0.0288461	0.0412936	0.0398822	0.0709695	0.0247114	0.0382344	0.0554624	0.0300659	3.278158
70	-15819	-15830.4	11.3222	0.122425	0.110629	0.125506	0.0937477	0.145827	0.0738193	0.135554	0.0869233	0.0897184	0.168497	0.0781011	0.0904588	0.10333	0.0865209	0.108042	0.113254	0.117957	0.108696	0.145728	0.0818826	0.110794	0.076146	0.184459	0.0320634	0.0206335	0.0230202	0.027232	0.0501664	0.0612129	0.0716015	0.0156125	0.0258725	0.0439422	0.0488597	0.015695	0.033997	0.037197	0.0459063	0.0814428	0.0387455	0.0401808	0.0701675	0.0151215	3.356688
80	-15812.6	-15824.9	12.283	0.152246	0.0918585	0.0728516	0.0830689	0.115445	0.085595	0.135934	0.0697717	0.107092	0.166278	0.0809035	0.0980483	0.0768265	0.106363	0.130447	0.0931513	0.118807	0.108696	0.127553	0.0832932	0.0763596	0.077866	0.186775	0.033848	0.0269575	0.0370317	0.0323219	0.0467305	0.0617351	0.0657414	0.0208504	0.0212742	0.0349844	0.0291379	0.0292706	0.0284426	0.0444393	0.0570265	0.0814428	0.0232766	0.0411115	0.0654885	0.0342626	3.260605
90	-15816.7	-15828.5	11.762	0.152246	0.103143	0.114178	0.0904706	0.10986	0.0632527	0.152417	0.084862	0.107092	0.155088	0.0895493	0.103007	0.104542	0.0911652	0.117269	0.118921	0.105105	0.121392	0.108235	0.107309	0.0895596	0.0712261	0.176584	0.0352736	0.0332212	0.0213957	0.0389989	0.0585896	0.0436021	0.0561417	0.0156992	0.0279354	0.0423866	0.0242625	0.0282639	0.0281601	0.0465933	0.0364867	0.0747126	0.0291012	0.0441261	0.0723167	0.0189685	3.312708
