Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-25048.8	-25053.6	4.78975	0.00224758	0.00040691	0.00643974	0.000675148	0.00665335	0.0280418	0.0334684	0.0629107	0.187752	0.067244	0.0284898	0.00227845	0.0470761	0.0755515	0.0218186	0.0521749	0.618661	0.0658437	0.0483631	0.0583146	0.319605	0.179167	0.0119348	0.136688	0.305124	0.0937744	0.0230767	0.361288	0.0238603	0.0357756	0.171561	0.188703	0.152994	0.0485495	0.101037	0.154601	0.0304344	0.0751923	0.152908	0.111722	0.00618182	0.0544865	0.0360341	0.00232733	0.39921	0.378062	0.220401	4.189109
10	-17596.8	-17615.2	18.4616	0.00615598	0.00155624	0.0232914	0.00174363	0.0275877	0.0567088	0.0721255	0.0684198	0.101787	0.11104	0.0866712	0.015971	0.07391	0.0535665	0.0981171	0.09585	0.325573	0.110028	0.0835983	0.0558548	0.156621	0.102278	0.025935	0.0603186	0.0577809	0.0566211	0.0204402	0.0896637	0.0144383	0.0388332	0.0974049	0.118897	0.100286	0.0248966	0.0894867	0.0380514	0.022347	0.0571976	0.0754828	0.0258863	0.00696745	0.0488202	0.0237108	0.0354132	0.517339	0.161629	0.285619	2.821919
20	-15803.1	-15819.2	16.1566	0.0119972	0.00346451	0.108646	0.00440853	0.0822993	0.084804	0.132615	0.0990936	0.0878242	0.115251	0.082223	0.0825611	0.0868414	0.0776154	0.0972845	0.141319	0.129582	0.122637	0.0975876	0.0672995	0.0906502	0.116432	0.156638	0.0213616	0.0293597	0.0512991	0.015911	0.036243	0.061668	0.0440736	0.149867	0.0412851	0.107349	0.021424	0.123264	0.0553143	0.0202495	0.0442986	0.0332198	0.02601	0.0204307	0.0537419	0.0169748	0.178939	0.292557	0.104143	0.424361	3.052419
30	-15659.3	-15673.9	14.5933	0.0294324	0.00660219	0.16463	0.00707025	0.118732	0.0720678	0.132615	0.0886773	0.0863303	0.216707	0.0885457	0.0747252	0.102642	0.0901512	0.107755	0.105486	0.12653	0.107357	0.109357	0.0834279	0.094085	0.0892819	0.183815	0.0317378	0.0353021	0.034264	0.0227619	0.0380558	0.0605094	0.0338833	0.141114	0.052178	0.0907192	0.0262396	0.138654	0.0406255	0.0192048	0.0239866	0.0223131	0.0282466	0.0231709	0.0390642	0.0206974	0.223731	0.276597	0.0984619	0.40121	3.208752
40	-15439.1	-15455.6	16.522	0.0966828	0.0201271	0.12154	0.0524532	0.093635	0.0863042	0.115366	0.0752838	0.0975812	0.174505	0.077219	0.0850237	0.092637	0.103375	0.107755	0.130401	0.120891	0.110946	0.103557	0.0656787	0.0842454	0.0665824	0.159325	0.0484062	0.0379009	0.0390976	0.0244955	0.0166813	0.0587458	0.0553391	0.0561476	0.0323125	0.0930034	0.0167156	0.0468408	0.0488639	0.0348316	0.0125113	0.0296038	0.0221832	0.036056	0.040513	0.0245204	0.226139	0.284666	0.101334	0.387861	3.015884
50	-15386.1	-15401.9	15.7399	0.122906	0.0528453	0.0957515	0.117254	0.111718	0.0715867	0.147264	0.0722576	0.0958854	0.146306	0.0832686	0.0897794	0.0776684	0.0822077	0.0935713	0.111685	0.131265	0.110946	0.107853	0.0810006	0.0921868	0.0823833	0.170143	0.0342188	0.0374856	0.0224362	0.0250967	0.0310974	0.06296	0.0453057	0.0467318	0.0414911	0.0865412	0.0231752	0.0258718	0.0585456	0.0244091	0.0165724	0.0121862	0.0318366	0.0533519	0.0365429	0.0305071	0.219738	0.304042	0.0984664	0.377753	3.094096
60	-15382.8	-15397	14.2141	0.105831	0.109427	0.102672	0.110366	0.0887054	0.0946366	0.147454	0.091407	0.0769332	0.182616	0.094594	0.0776016	0.088802	0.100474	0.121614	0.136471	0.147341	0.128296	0.107853	0.0635966	0.0839027	0.0683148	0.17328	0.0434481	0.0196864	0.0304337	0.0255429	0.0426958	0.0422072	0.0533647	0.0252985	0.0474123	0.0942618	0.0296026	0.0236107	0.0534155	0.0280202	0.0124096	0.0280574	0.0443111	0.031758	0.0437347	0.0252137	0.219738	0.304042	0.0984664	0.377753	3.246673
70	-15365.1	-15380.5	15.3118	0.138124	0.0904858	0.0941779	0.10333	0.0998116	0.0763188	0.122813	0.0717747	0.0887843	0.187727	0.0838755	0.083749	0.103119	0.0867615	0.113598	0.142538	0.124542	0.111642	0.107853	0.0807619	0.0839027	0.0789675	0.166661	0.0421012	0.0403337	0.0166646	0.0235139	0.0280053	0.0545936	0.0441879	0.0246869	0.0442212	0.0844162	0.0238633	0.0268151	0.0412383	0.0281625	0.00878206	0.0241012	0.0329952	0.0315861	0.046403	0.0289168	0.219397	0.303569	0.0998682	0.377166	3.136904
80	-15373.3	-15388.4	15.1453	0.134298	0.108893	0.100416	0.084848	0.109469	0.0721569	0.105996	0.0838039	0.107372	0.177296	0.0818009	0.0888921	0.102843	0.0838678	0.109451	0.126551	0.128136	0.104716	0.126194	0.0689969	0.0922434	0.10015	0.137166	0.0506847	0.0359352	0.030388	0.0372553	0.0268371	0.0440615	0.0520937	0.0175842	0.0295126	0.0920341	0.0132878	0.0261392	0.0362591	0.0236073	0.0256091	0.0221811	0.0517877	0.0280088	0.0489067	0.0258252	0.219397	0.303569	0.0998682	0.377166	3.153557
90	-15373.2	-15388.4	15.1364	0.113018	0.087309	0.0932574	0.102674	0.118904	0.073548	0.116094	0.0836868	0.100554	0.156962	0.0872934	0.0753276	0.109996	0.0980217	0.127603	0.114414	0.128136	0.114496	0.107283	0.0810193	0.0922434	0.0981169	0.153572	0.0469943	0.0226774	0.0163019	0.0420266	0.0281488	0.049791	0.0465787	0.035061	0.0458292	0.104334	0.0218602	0.0338391	0.0394597	0.0268437	0.00787705	0.0119802	0.0403397	0.0404323	0.0314101	0.0291319	0.219197	0.303293	0.100686	0.376823	3.154447
