Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-22311.7	-22314.7	2.9837	0.125028	0.124614	0.0418746	0.0511694	0.0423675	0.229864	0.240863	0.0323325	0.0233027	0.161817	0.0380194	0.0396036	0.035802	0.0876029	0.050712	0.0634207	0.028899	0.00152419	0.193922	0.187309	0.121864	0.00318379	0.430293	0.0883644	0.327209	0.100822	0.207995	0.0177213	0.0716646	0.0993393	0.04052	0.267433	0.0498863	0.155964	0.0987801	0.0221391	0.0152372	0.0670669	0.129971	0.0756398	0.0333548	0.0480397	0.0971795	0.380698	0.545307	0.0406063	0.0333891	4.369714
10	-16458.1	-16470.1	11.9867	0.111954	0.0978359	0.102162	0.0513273	0.15679	0.101511	0.208469	0.161156	0.129291	0.170932	0.100631	0.108681	0.060504	0.0860295	0.0899266	0.0723815	0.0861365	0.00327214	0.160081	0.181107	0.107586	0.00346439	0.169028	0.0279489	0.0874065	0.0316743	0.129543	0.0145038	0.0207634	0.0259602	0.0208952	0.0358912	0.0485278	0.0322776	0.0632059	0.0830748	0.0266318	0.0355817	0.0681433	0.0735948	0.0642525	0.0268836	0.0323928	0.212049	0.314417	0.117534	0.355999	3.46941
20	-15808.6	-15821.7	13.0193	0.0926968	0.100853	0.0929729	0.10858	0.121696	0.0853995	0.167904	0.119963	0.106018	0.170854	0.074832	0.0892922	0.0812576	0.0871298	0.106414	0.0819394	0.154766	0.0070326	0.20003	0.209076	0.0927834	0.0148614	0.156953	0.0383362	0.0452528	0.0715341	0.0617812	0.0205982	0.0301093	0.0390869	0.0362227	0.0550376	0.0338168	0.0162765	0.0291827	0.0771236	0.0244431	0.0337891	0.0384081	0.0674132	0.0310511	0.0515114	0.0418751	0.215544	0.319599	0.102989	0.361867	3.366155
30	-15552.9	-15567.9	15.0205	0.114932	0.109821	0.0788548	0.105823	0.127134	0.0943267	0.132356	0.0664127	0.107478	0.171837	0.0738895	0.0819855	0.105625	0.106049	0.095024	0.117851	0.126382	0.0281785	0.157717	0.165898	0.0653771	0.0296144	0.179917	0.02059	0.0325605	0.0840854	0.0445186	0.0128088	0.01518	0.0330761	0.0587171	0.040165	0.0228874	0.0271178	0.0444798	0.0503975	0.0295636	0.0234675	0.0587249	0.0429282	0.030896	0.0293625	0.0220258	0.218115	0.323411	0.101246	0.357228	3.166036
40	-15417.6	-15433.5	15.8809	0.114932	0.0992504	0.0815354	0.118389	0.133333	0.096611	0.10246	0.0603952	0.119971	0.160399	0.0722561	0.0825079	0.0833665	0.113338	0.0997238	0.12944	0.120861	0.044758	0.113442	0.0744092	0.0874824	0.11909	0.17187	0.0144278	0.0242535	0.0599684	0.0425899	0.0174155	0.0256908	0.028282	0.050717	0.0333613	0.0440025	0.0479149	0.026404	0.0290537	0.0387239	0.0285911	0.0328184	0.0312799	0.0333128	0.039666	0.0317009	0.201165	0.318681	0.0997655	0.380389	3.079995
50	-15385.4	-15400	14.5955	0.126532	0.100958	0.0966608	0.0970191	0.113416	0.0677727	0.119735	0.0730209	0.0848676	0.156028	0.0877331	0.0825079	0.100964	0.0995686	0.110792	0.149112	0.113297	0.0937016	0.10796	0.0974331	0.099754	0.0830671	0.191165	0.0296033	0.0312099	0.0849306	0.0481881	0.0257628	0.0145595	0.0328995	0.0651406	0.0249355	0.038797	0.0733014	0.00855189	0.0228053	0.046444	0.0437427	0.0229916	0.0411028	0.0292751	0.0435446	0.0276808	0.202772	0.321226	0.0925749	0.383427	3.208534
60	-15378.8	-15394.3	15.437	0.122784	0.0936189	0.094757	0.115597	0.110425	0.0829442	0.118824	0.0690886	0.106484	0.165872	0.068118	0.0895991	0.103792	0.0860278	0.100957	0.124841	0.0881231	0.123237	0.119754	0.0779476	0.0869036	0.0682293	0.143435	0.0241892	0.0300113	0.0817016	0.0463439	0.0112865	0.0283816	0.0319668	0.0609927	0.0350417	0.0469331	0.0576505	0.0301251	0.017341	0.0384737	0.0424063	0.0368964	0.0554099	0.0249764	0.0323512	0.0305437	0.214621	0.306259	0.113557	0.365562	3.124383
70	-15381.9	-15397.5	15.6549	0.106352	0.101926	0.109457	0.0947174	0.10444	0.0811674	0.135406	0.0716329	0.105866	0.182623	0.0873735	0.0778813	0.0852544	0.0853477	0.112808	0.0945697	0.132475	0.088354	0.117942	0.0697297	0.0904546	0.0864492	0.194175	0.0110857	0.0221506	0.0826993	0.0377401	0.00563728	0.0168253	0.0376631	0.0324538	0.0251728	0.0546617	0.0345909	0.0263616	0.0234828	0.0393803	0.0266135	0.0458617	0.038367	0.0522867	0.0327933	0.0403612	0.218406	0.31166	0.0979247	0.372009	3.102589
80	-15382.2	-15397	14.8208	0.0954918	0.116218	0.0927314	0.10099	0.107467	0.0893726	0.134749	0.0891527	0.110455	0.162912	0.0873735	0.0760342	0.10244	0.0861724	0.0980777	0.150773	0.135286	0.0924368	0.129388	0.0672219	0.079215	0.0970476	0.178067	0.0084714	0.0153222	0.0841889	0.0657021	0.00955608	0.0192143	0.0390423	0.0455659	0.0340035	0.0378997	0.0566174	0.0257476	0.0286966	0.0224943	0.0228589	0.0311453	0.0430959	0.0482038	0.0409234	0.0281829	0.215477	0.307481	0.110023	0.36702	3.186005
90	-15373	-15387.1	14.0578	0.138321	0.0966265	0.101644	0.0873381	0.124915	0.0898985	0.118193	0.0656902	0.0951253	0.174797	0.0873735	0.0855676	0.105018	0.110621	0.113068	0.139918	0.12811	0.133146	0.107074	0.064828	0.0910012	0.0765547	0.173728	0.0223182	0.0317823	0.07472	0.0449027	0.0253897	0.0193757	0.0484824	0.0628366	0.0344572	0.0392291	0.0500464	0.0232223	0.0160731	0.0375713	0.0330063	0.046641	0.0444303	0.0401677	0.0314083	0.0276841	0.215477	0.307481	0.110023	0.36702	3.262299
