Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TreeLengths
0	-17691.2	-17683	-8.21207	1	0.0576534	0.214676	0.102348	0.00781497	0.0179842	0.0657229	0.170045	0.0870298	0.0865947	0.0354144	0.00552443	0.119667	0.121262	0.179675	0.00230634	0.00948441	0.192251	0.179868	0.0531545	0.0415767	0.041059	0.0983809	0.203266	0.108847	0.052227	0.143044	0.0173875	0.0501435	0.0639473	0.0190498	0.585617	0.141046	0.133224	0.0705464	0.139623	0.069147	0.0152007	0.0205981	0.0417208	0.00447621	0.204323	0.135718	0.0173264	0.156345	0.0822743	0.194687	0.0485958	0.342	0.176097	0.136954	0.476752	1	2.38629	0.15723	0.294387	0.24851	0.299873	0.02979444	4.125972
10	-14014.4	-14009.4	-4.94772	1.352246	0.132738	0.1888	0.065931	0.0168092	0.0807737	0.251481	0.102909	0.0807507	0.104674	0.0978533	0.0300467	0.0862898	0.103561	0.0917731	0.0145564	0.0219173	0.152973	0.349465	0.113133	0.0797258	0.0783447	0.0779085	0.232387	0.0281769	0.0662143	0.108613	0.0281502	0.0294994	0.0193863	0.00761321	0.365255	0.0347398	0.04299	0.0176031	0.0504721	0.0226665	0.0973549	0.0390828	0.0463191	0.0228499	0.132754	0.0672006	0.017795	0.13738	0.368832	0.116886	0.0393827	0.337516	2.93588e-06	0.201569	0.561961	1.04042	2.19605	0.264282	0.400203	0.0928338	0.24268	0.4940679	3.799537
20	-13345.4	-13336.8	-8.60059	1.593864	0.175796	0.13755	0.127826	0.0723897	0.0755987	0.130344	0.140257	0.118874	0.109605	0.268501	0.0768102	0.0943032	0.139165	0.156065	0.111107	0.0303328	0.21386	0.178606	0.139913	0.0736165	0.101932	0.111843	0.252141	0.0265662	0.104051	0.0592397	0.0321045	0.0306084	0.0401506	0.0642496	0.146626	0.0413706	0.0260833	0.0539108	0.0599246	0.0251876	0.038643	0.0347419	0.0748411	0.0916652	0.10905	0.0340683	0.0353045	0.0946213	0.400334	0.0412404	0.0427463	0.421055	3.31316e-06	0.239465	0.603469	1.05549	2.10158	0.272513	0.370648	0.0889925	0.267847	0.4940679	4.164824
30	-13243.6	-13230.9	-12.7357	1.456588	0.17853	0.127243	0.118689	0.14568	0.0946017	0.106966	0.184017	0.123542	0.129854	0.268519	0.0825138	0.0925552	0.112259	0.137672	0.111107	0.10936	0.239219	0.166226	0.215255	0.0525255	0.10561	0.0945186	0.325268	0.0205239	0.0450302	0.0233307	0.0245987	0.0242491	0.040847	0.0970142	0.110886	0.182574	0.0433066	0.101524	0.0405389	0.0201545	0.0262602	0.0572342	0.0745266	0.0968652	0.120002	0.0495057	0.0576303	0.0973823	0.372914	0.0523686	0.0439936	0.433341	8.06443e-07	0.218538	0.581167	1.04777	2.15253	0.275355	0.375306	0.0850965	0.264243	0.4389856	4.578335
40	-13193.8	-13175.1	-18.6639	1.418771	0.25342	0.129979	0.152274	0.126493	0.168129	0.139302	0.179279	0.134618	0.113085	0.287368	0.0888019	0.104721	0.170003	0.185074	0.12869	0.239436	0.240644	0.204222	0.231409	0.0696187	0.129505	0.120808	0.380268	0.0341257	0.0291072	0.0171566	0.0407903	0.0383308	0.0443155	0.126941	0.0280694	0.172626	0.0334567	0.108523	0.0472045	0.0312478	0.0303535	0.0234705	0.0709839	0.119951	0.0771512	0.0421729	0.0780346	0.0824121	0.402445	0.0586669	0.0255621	0.430912	2.23719e-06	0.212497	0.574453	1.04527	2.16778	0.274218	0.373756	0.0847452	0.26728	0.4197511	5.171157
50	-13181.5	-13160.4	-21.0992	1.295454	0.262878	0.169774	0.154822	0.104186	0.195929	0.134015	0.188648	0.118896	0.140759	0.263927	0.150819	0.110412	0.191691	0.162114	0.160559	0.217112	0.251935	0.177121	0.18818	0.0744293	0.145138	0.0766814	0.427639	0.0310065	0.0451408	0.0511734	0.0785959	0.0353998	0.0374737	0.0815732	0.0324104	0.133268	0.0550713	0.153968	0.0584918	0.0285824	0.0333686	0.0429222	0.0595337	0.175209	0.100265	0.0521852	0.0613822	0.0766319	0.411895	0.0545521	0.0321365	0.424784	1.11612e-06	0.191927	0.550546	1.03575	2.22177	0.285996	0.391257	0.0773057	0.245441	0.4197511	5.414689
60	-13170.6	-13149.3	-21.2061	1.222678	0.232124	0.123277	0.163248	0.107092	0.190537	0.126009	0.185057	0.118033	0.127873	0.307335	0.0807899	0.13658	0.155748	0.17365	0.132974	0.325879	0.246293	0.231237	0.211106	0.0891913	0.111262	0.0688731	0.335961	0.0310469	0.0660306	0.0239654	0.0746237	0.0227752	0.0451114	0.0861331	0.0223733	0.116518	0.07632	0.125603	0.0778414	0.0498738	0.0753672	0.0555536	0.0870221	0.183781	0.0851955	0.0564384	0.0836715	0.0628562	0.437594	0.0532802	0.0313873	0.41488	2.23313e-06	0.179139	0.534787	1.02893	2.25714	0.310701	0.379274	0.074938	0.235087	0.4197511	5.425377
70	-13160	-13137.3	-22.7478	1.408668	0.232452	0.131855	0.142509	0.127695	0.163088	0.136423	0.198341	0.121275	0.143824	0.298915	0.119292	0.141346	0.176969	0.193633	0.161736	0.237178	0.246293	0.177684	0.231104	0.0924267	0.117503	0.109903	0.383896	0.0665638	0.0850723	0.0270925	0.0482062	0.0321135	0.0633457	0.0821206	0.0216674	0.20209	0.085439	0.149522	0.0537636	0.0278793	0.0295987	0.056101	0.0709211	0.166718	0.129727	0.0382358	0.0580232	0.0590725	0.411253	0.0684239	0.0294979	0.431731	2.24227e-05	0.210863	0.572613	1.04458	2.17195	0.314046	0.372591	0.0757448	0.237618	0.4197511	5.579543
80	-13164.8	-13144.6	-20.187	1.124444	0.232452	0.156018	0.148256	0.0800387	0.146894	0.106327	0.220662	0.108301	0.184125	0.298915	0.105058	0.0994009	0.127149	0.173012	0.165778	0.206729	0.251093	0.188501	0.20675	0.0760851	0.130334	0.0881852	0.398027	0.0632854	0.0515478	0.0555474	0.0570433	0.0296331	0.0523598	0.0912788	0.0438748	0.162202	0.0342566	0.0926884	0.0738852	0.0291992	0.0663512	0.0381368	0.108226	0.17621	0.11122	0.0278609	0.0605723	0.0518104	0.376528	0.0738198	0.0318241	0.465777	0.000239789	0.161094	0.511207	1.01791	2.30979	0.30807	0.376012	0.0828212	0.233097	0.4197511	5.323467
90	-13155.4	-13129.8	-25.5313	1.146373	0.303185	0.0763879	0.12139	0.0934299	0.213236	0.146437	0.224174	0.141546	0.155191	0.286933	0.118056	0.127253	0.166	0.224896	0.161782	0.415854	0.238465	0.18772	0.207341	0.0833825	0.140032	0.0800659	0.409037	0.0199833	0.0414626	0.0508327	0.0580751	0.0454461	0.0345257	0.107199	0.03841	0.167046	0.0443764	0.193587	0.0750183	0.0190259	0.0743557	0.0379187	0.0881923	0.151359	0.166024	0.0531134	0.0701459	0.0407981	0.353672	0.0693388	0.0298923	0.468128	0.0381707	0.1652	0.516722	1.02057	2.2975	0.309221	0.380759	0.0760536	0.233967	0.3857655	5.85789
