Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-20731.6	-20713.4	-18.1149	1	0.0214801	0.124557	0.134972	0.221282	0.283016	0.0105209	0.0135855	0.124389	0.0204866	0.0149246	0.0518174	0.000781004	0.130983	0.0879856	0.0487463	0.0355297	0.185498	0.0553734	0.0363601	0.879981	0.0409566	0.00114138	0.026616	0.109713	0.0527803	0.130016	0.439531	0.0485626	0.00454429	0.30838	0.0324397	0.221308	0.267871	0.0791969	0.101708	0.00618686	0.10358	0.3891	0.137983	0.063134	0.010689	0.021951	0.0365932	0.396226	0.000523261	0.0296552	0.119541	0.369151	0.0849028	0.136954	0.476752	1	2.38629	0.127149	0.422409	0.00488995	0.445552	5.116252
10	-15242.9	-15218.8	-24.0267	0.2900732	0.0332009	0.202496	0.605576	0.140676	0.518091	0.0265092	0.0182445	0.156371	0.0998042	0.0963008	0.104966	0.00182928	0.122298	0.190774	0.267871	0.170703	0.185498	0.204106	0.0553272	0.447442	0.0997545	0.00895184	0.198731	0.0417799	0.0758918	0.115829	0.199479	0.029896	0.00682502	0.173373	0.0537896	0.108287	0.118961	0.153226	0.0750924	0.0121581	0.048974	0.149251	0.149404	0.0690731	0.0123381	0.0386325	0.119657	1.12178e-06	0.100317	0.0989622	0.183651	0.567125	0.0499431	0.00452468	0.0967983	0.578749	3.31993	0.453701	0.282787	0.0106028	0.252909	5.707438
20	-13802.7	-13769.9	-32.8487	0.261988	0.0449736	0.195631	0.52851	0.24466	0.858241	0.192128	0.069885	0.138286	0.109859	0.185331	0.101279	0.00100813	0.188842	0.306712	0.165368	0.29243	0.227607	0.161636	0.183341	0.0656171	0.10361	0.0344691	0.490296	0.0354186	0.23025	0.178516	0.102022	0.108798	0.0285914	0.106279	0.0918758	0.142404	0.0403208	0.0481065	0.0376054	0.0183436	0.0611668	0.135767	0.0833378	0.184697	0.0127426	0.017261	0.0364123	3.34887e-07	0.274661	0.0812411	0.0733602	0.520827	0.0499102	0.00271817	0.0754738	0.526094	3.39571	0.441636	0.32273	0.0532376	0.182397	6.589636
30	-13582.4	-13541.9	-40.4692	0.282135	0.0678949	0.238008	0.263107	0.146804	0.798398	0.202025	0.179709	0.239681	0.121086	0.530762	0.0998728	0.000812091	0.186761	0.284003	0.208146	0.350234	0.188932	0.176975	0.259603	0.0640359	0.13235	0.105619	0.568421	0.108944	0.10478	0.247459	0.0712933	0.0930736	0.0753059	0.0636464	0.0883916	0.184234	0.0356366	0.0609681	0.0802063	0.0885087	0.0823547	0.121372	0.096197	0.263106	0.0116141	0.0153199	0.0460334	7.78599e-07	0.318	0.0797968	0.0560316	0.511568	0.034602	0.00395829	0.0906908	0.564544	3.34081	0.439448	0.321131	0.0579278	0.181494	7.351685
40	-13520.2	-13468.9	-51.3088	0.281302	0.0941169	0.21631	0.341784	0.13122	0.877731	0.338554	0.228296	0.198809	0.165119	0.442327	0.141987	0.000970661	0.276967	0.261187	0.244975	0.350234	0.282956	0.239343	0.262555	0.136905	0.15148	0.122191	0.682219	0.139343	0.134253	0.162979	0.134182	0.132382	0.0612484	0.0517374	0.107499	0.144958	0.0763974	0.0476738	0.0511554	0.0725038	0.162689	0.168988	0.0895095	0.417758	0.0179865	0.0129442	0.0612155	3.8212e-06	0.323839	0.0766866	0.0538477	0.490246	0.0553768	0.00390142	0.0900529	0.563024	3.34302	0.40711	0.339657	0.0612696	0.191964	8.435642
50	-13470.9	-13409.7	-61.1892	0.2754808	0.40367	0.188398	0.270767	0.174567	1.15652	0.219001	0.30547	0.193206	0.143799	0.500122	0.144737	0.00147115	0.254701	0.204881	0.330362	0.432914	0.325564	0.200486	0.345345	0.0768298	0.183118	0.0995361	0.763962	0.0964824	0.068788	0.17274	0.132747	0.166318	0.0576129	0.106561	0.0725438	0.12882	0.038026	0.0393688	0.0801351	0.0884773	0.326585	0.182073	0.0897018	0.512934	0.0838082	0.0134744	0.0470668	6.57105e-05	0.323819	0.0766819	0.0538444	0.490216	0.0553734	0.00351754	0.0856137	0.552234	3.35863	0.40711	0.339657	0.0612696	0.191964	9.423685
60	-13437.9	-13362.8	-75.0438	0.2781444	0.394118	0.233876	0.273392	0.180968	1.333	0.259537	0.374492	0.209851	0.234565	0.514851	0.156668	0.00302388	0.337526	0.379351	0.332291	0.492884	0.436438	0.301837	0.345345	0.119955	0.179093	0.195758	0.75823	0.0975435	0.0270442	0.264418	0.0883003	0.24078	0.0984017	0.125487	0.106053	0.127742	0.0466587	0.077462	0.0747763	0.0875188	0.337996	0.195933	0.111972	0.397858	0.219324	0.0103897	0.0264419	0.000418868	0.327624	0.0775829	0.0406811	0.497669	0.056024	0.00369026	0.0876408	0.557207	3.35146	0.405149	0.344497	0.0621428	0.188211	10.80915
70	-13431.1	-13356.8	-74.2664	0.2793455	0.42584	0.182961	0.316464	0.180968	1.24633	0.386236	0.334393	0.193051	0.192617	0.536734	0.209192	0.0015294	0.378937	0.297442	0.345062	0.548017	0.354652	0.298899	0.379629	0.206265	0.186206	0.145613	0.75823	0.162804	0.0270037	0.173199	0.1116	0.220559	0.0764607	0.115723	0.154344	0.076333	0.0829385	0.0831593	0.0369799	0.0364586	0.35249	0.141322	0.117632	0.334134	0.229877	0.0532355	0.0398817	0.00422696	0.348927	0.0770121	0.0403818	0.494008	0.0354446	0.00376975	0.0885572	0.559429	3.34824	0.404023	0.34354	0.0647496	0.187688	10.73141
80	-13424	-13341.4	-82.6049	0.2788548	0.468094	0.259346	0.274252	0.18704	1.23088	0.309661	0.407583	0.202883	0.232735	0.645704	0.181915	0.000950348	0.35092	0.303403	0.354385	0.473547	0.562938	0.32369	0.335794	0.170038	0.200862	0.179071	0.752135	0.164408	0.0440503	0.272435	0.128802	0.232037	0.122333	0.116958	0.0953045	0.0460914	0.0392119	0.172863	0.0583693	0.093426	0.339507	0.196486	0.19163	0.400398	0.33727	0.0320038	0.0738335	0.00661723	0.362279	0.0699763	0.0391363	0.47877	0.043221	0.00373716	0.0881826	0.558523	3.34956	0.367519	0.364582	0.0687156	0.199184	11.56525
90	-13423.8	-13343.1	-80.7155	0.255993	0.460899	0.173099	0.332495	0.196772	1.38795	0.424771	0.408496	0.315249	0.197049	0.565334	0.246917	0.00123176	0.33053	0.322542	0.339957	0.427223	0.391607	0.279771	0.392947	0.129772	0.205835	0.181468	0.784442	0.123432	0.0658413	0.201963	0.0570501	0.264035	0.0813257	0.0963974	0.153773	0.132449	0.040685	0.123866	0.0316379	0.0443542	0.33418	0.196408	0.0972611	0.423035	0.3173	0.0560772	0.0388903	0.00937606	0.366268	0.0691909	0.0439502	0.484042	0.0271732	0.00240291	0.0710508	0.513955	3.41259	0.369843	0.366888	0.0628253	0.200444	11.37632
