Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-20283	-20289.4	6.42907	0.00401449	0.033092	0.00911766	0.140975	0.0997057	0.114382	0.0139345	0.0436175	0.494276	0.0188713	0.0136861	0.285353	0.0342544	0.0832862	0.062965	0.0570557	0.234361	0.168492	0.0318654	0.0188108	0.276783	0.0529368	0.0752754	0.101363	0.124843	0.0234084	0.0493613	0.00461339	0.0118408	0.0109332	0.143541	0.0356081	0.126876	0.0855363	0.213891	0.0146624	0.00803749	0.174656	0.048124	0.00453546	0.153648	0.0779614	0.153229	0.9950151	0.369217	0.389957	0.133261	0.107565	3.933782
10	-15966.3	-15978.6	12.3632	0.0653915	0.101677	0.0911002	0.0793856	0.105169	0.0812322	0.0303707	0.0919319	0.168917	0.0411195	0.0373492	0.123246	0.077772	0.101234	0.0978663	0.14436	0.134998	0.0864723	0.106582	0.0815454	0.242222	0.108023	0.101338	0.0497324	0.0796342	0.0280584	0.0433143	0.00936722	0.0147456	0.0537941	0.050343	0.0518321	0.0428067	0.064697	0.131456	0.0240703	0.0148449	0.113326	0.0330027	0.0135471	0.0388619	0.0958134	0.030836	1.583036	0.246447	0.380194	0.121949	0.25141	3.283386
20	-15128.9	-15138.5	9.62504	0.0643524	0.0947594	0.106994	0.0968655	0.14056	0.068594	0.114071	0.0727378	0.0978244	0.0857513	0.0706722	0.0875257	0.118457	0.110611	0.104936	0.15521	0.151495	0.110324	0.118619	0.072247	0.110169	0.0963116	0.209177	0.0649293	0.0421311	0.0267811	0.0364224	0.0154721	0.0229387	0.0551323	0.0296866	0.0227163	0.0387742	0.0392063	0.107715	0.0587592	0.0773628	0.0638268	0.076487	0.0286482	0.0320485	0.0839796	0.0195636	3.642889	0.256328	0.379324	0.113513	0.250835	3.400845
30	-14814.9	-14825.5	10.5686	0.114577	0.125528	0.0874667	0.100671	0.097022	0.08661	0.101491	0.0662116	0.101507	0.168295	0.059913	0.104901	0.111145	0.0833777	0.10787	0.139839	0.130859	0.134288	0.137542	0.0965521	0.089176	0.0689155	0.178745	0.0726925	0.0486998	0.0271472	0.0417373	0.0239767	0.0172354	0.0402377	0.0382075	0.027339	0.0486408	0.0264351	0.0312059	0.0378305	0.071313	0.0187059	0.0735766	0.0386122	0.0360712	0.0435223	0.0507943	3.642889	0.249564	0.329667	0.0866997	0.334069	3.306484
40	-14800	-14809	9.00129	0.138678	0.121575	0.109654	0.11587	0.132822	0.0794684	0.125235	0.103049	0.0796696	0.187911	0.0741364	0.085914	0.112922	0.10419	0.114803	0.128997	0.130859	0.11969	0.129562	0.0725702	0.105464	0.0785565	0.193393	0.0491401	0.0459148	0.00653073	0.048607	0.0341794	0.0366981	0.0211991	0.0267624	0.0405316	0.0601891	0.0149505	0.0270148	0.0711819	0.0815573	0.0279329	0.06076	0.0198118	0.0313771	0.0656697	0.0387526	3.795121	0.251013	0.331581	0.0872031	0.330202	3.453749
50	-14782.6	-14792.7	10.1229	0.16329	0.106887	0.0876019	0.0889021	0.102919	0.0781218	0.108187	0.0804479	0.115512	0.187911	0.0729288	0.105261	0.0953978	0.118555	0.101271	0.13861	0.124081	0.11042	0.139466	0.0954595	0.098299	0.0754748	0.160191	0.0646596	0.0293054	0.00999671	0.0564943	0.0361595	0.0282687	0.0257656	0.0240417	0.038468	0.0425891	0.0206012	0.0356305	0.105834	0.0631152	0.0189553	0.0408017	0.0254021	0.0428358	0.043725	0.033746	3.795121	0.244758	0.323319	0.0950459	0.336877	3.34159
60	-14774.7	-14784.1	9.36784	0.151902	0.106785	0.110069	0.0990587	0.0992694	0.0776301	0.11615	0.0865637	0.102326	0.192701	0.067103	0.0842801	0.121241	0.106139	0.095263	0.137074	0.119511	0.120207	0.1532	0.0872452	0.0957765	0.102352	0.15564	0.0559492	0.0262141	0.00961721	0.0454912	0.0361595	0.0242061	0.0401256	0.0257177	0.0579946	0.0647646	0.0244812	0.0252273	0.0872713	0.0616588	0.019971	0.0610542	0.022714	0.0385416	0.0526054	0.0249685	4.212139	0.268844	0.310255	0.0976369	0.323265	3.392221
70	-14765.1	-14775.8	10.6858	0.142848	0.0995422	0.0980256	0.101231	0.126564	0.0776301	0.152306	0.0666968	0.103843	0.164952	0.0742738	0.0642532	0.107466	0.106139	0.0883653	0.119794	0.127186	0.123188	0.136403	0.0700419	0.0870917	0.0813421	0.186258	0.0475139	0.0267777	0.0103223	0.0406281	0.0342515	0.0239395	0.0385508	0.0282843	0.04162	0.0522543	0.0199708	0.0299727	0.108652	0.0583205	0.0178534	0.0591934	0.032692	0.0350959	0.0496382	0.0151973	3.945204	0.276331	0.291046	0.100356	0.332267	3.276168
80	-14773.5	-14784.1	10.649	0.146545	0.0986565	0.118125	0.0743425	0.139445	0.0665778	0.120114	0.0727617	0.0916714	0.175276	0.0747281	0.101031	0.119858	0.0838331	0.100825	0.144233	0.143657	0.126419	0.101898	0.0679483	0.0870917	0.0817941	0.162094	0.0564181	0.0174355	0.0247944	0.0466714	0.0175818	0.0100651	0.039128	0.0181605	0.0357452	0.0656537	0.0224487	0.0399475	0.104836	0.063425	0.0285214	0.0511524	0.0229631	0.0393737	0.0442618	0.0265482	4.042193	0.277703	0.290494	0.100166	0.331638	3.274056
90	-14775.4	-14786.3	10.8759	0.109938	0.102745	0.094744	0.0979644	0.114464	0.0877633	0.132998	0.0671472	0.0924018	0.175541	0.0748157	0.0822221	0.0980911	0.128939	0.100825	0.103547	0.107223	0.120292	0.137484	0.0805529	0.104931	0.0678978	0.165413	0.0630356	0.023739	0.0204164	0.0295202	0.0353165	0.0246287	0.0413562	0.0506766	0.0356586	0.0445238	0.0151922	0.0177954	0.101388	0.0638541	0.0211602	0.0678675	0.025317	0.0358795	0.0438142	0.0274017	4.297979	0.281475	0.285392	0.0984066	0.334727	3.23648
