Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-23718.9	-23715.2	-3.75221	0.0530267	0.159444	0.198196	0.0625376	0.0949917	0.039104	0.381753	0.0382333	0.285919	0.000908723	0.3498	0.0725165	0.225039	0.0189794	0.0942864	0.00427563	0.107128	0.00467293	0.0673418	0.18333	0.0224966	0.0311103	0.135855	0.00711966	0.0414358	0.0363721	0.0363789	0.371911	0.212796	0.180925	0.0592723	0.109133	0.169824	0.080843	0.513959	0.0536297	0.116685	0.0564704	0.0632267	0.00425584	0.0505298	0.139017	0.0189096	0.9777158	0.267663	0.0156412	0.416948	0.299748	4.953639
10	-15865.2	-15868.9	3.62742	0.119432	0.0588087	0.16236	0.0711377	0.0977324	0.0871078	0.153823	0.0754958	0.288349	0.0158753	0.124598	0.0696166	0.110752	0.0933732	0.129493	0.0424485	0.224981	0.0168633	0.0883925	0.073636	0.104689	0.0582093	0.203179	0.0230715	0.233575	0.10462	0.0942175	0.213171	0.0918681	0.0956479	0.10675	0.0359802	0.081461	0.0290395	0.0897466	0.0485132	0.0683452	0.0519934	0.0734281	0.0054638	0.0265333	0.0466656	0.0384855	3.208248	0.282899	0.338948	0.0613427	0.31681	4.028929
20	-14937.4	-14946.5	9.0905	0.147691	0.0766761	0.116158	0.0990391	0.112263	0.0777082	0.147555	0.0675277	0.132805	0.0917582	0.0620431	0.0773578	0.116354	0.0915123	0.129133	0.128369	0.219377	0.0264602	0.1149	0.0890587	0.0772578	0.0967787	0.213042	0.0212437	0.0664474	0.0485642	0.0310606	0.125661	0.0371441	0.0222286	0.123766	0.0478713	0.0567717	0.0366137	0.0526054	0.0479043	0.0275512	0.0238547	0.0454525	0.0158532	0.0208534	0.0298061	0.0381704	4.036489	0.294479	0.275849	0.099894	0.329778	3.430249
30	-14782.1	-14793	10.9515	0.129424	0.114537	0.0880626	0.0960145	0.112395	0.0780116	0.113017	0.105156	0.107513	0.179868	0.0821729	0.08173	0.0895118	0.0835184	0.0949342	0.134545	0.139422	0.0665948	0.136464	0.0785738	0.0761107	0.0967787	0.161679	0.0616581	0.051705	0.0241515	0.0321917	0.0228524	0.0250934	0.0220487	0.0936612	0.0300249	0.0380491	0.024653	0.0543701	0.040966	0.0455407	0.0313482	0.0587306	0.0340021	0.0358961	0.0398225	0.0313506	4.036489	0.294416	0.27579	0.0998726	0.329922	3.244149
40	-14774.9	-14784.8	9.93744	0.156789	0.114537	0.12145	0.0861228	0.10457	0.0876092	0.122016	0.073215	0.0857004	0.167971	0.0763447	0.0979922	0.109957	0.112854	0.106325	0.134545	0.139422	0.0852975	0.110276	0.0713697	0.0679785	0.0930556	0.201756	0.0749855	0.0658144	0.0206859	0.0256938	0.0206714	0.0200914	0.0172449	0.100763	0.0273241	0.0360973	0.0350593	0.0509039	0.0469196	0.0208959	0.0313482	0.0647004	0.0320347	0.0548993	0.040567	0.0355598	3.971771	0.261444	0.284373	0.113993	0.34019	3.349414
50	-14779.1	-14789.3	10.2043	0.148731	0.123989	0.09252	0.0943091	0.119642	0.0898662	0.117464	0.100332	0.106536	0.146818	0.0789	0.088744	0.10149	0.107387	0.111094	0.125653	0.173312	0.10668	0.127114	0.0719169	0.0945991	0.0908884	0.192609	0.0428415	0.050802	0.0243635	0.0153042	0.0226612	0.0158915	0.0138925	0.101627	0.0353864	0.0206285	0.0398329	0.0434031	0.0367842	0.015664	0.0304225	0.0731648	0.0143161	0.0542594	0.0366012	0.0471544	3.600513	0.261444	0.284373	0.113993	0.34019	3.345595
60	-14780.2	-14790.2	10.0554	0.148621	0.0984294	0.0914993	0.0907885	0.110641	0.0782062	0.141055	0.0709565	0.107079	0.162962	0.0717125	0.101646	0.0956558	0.120098	0.11571	0.108581	0.0956	0.121988	0.123792	0.0780647	0.09523	0.0955707	0.207831	0.0590115	0.046073	0.0518873	0.020437	0.0315255	0.0330849	0.0125841	0.106253	0.0448631	0.0181709	0.0346462	0.0539453	0.042941	0.0245167	0.0269658	0.052852	0.0272163	0.042159	0.0429212	0.0437998	3.80757	0.269152	0.292826	0.0878016	0.35022	3.347572
70	-14774.3	-14784.6	10.2999	0.133433	0.101737	0.108721	0.109558	0.111556	0.0939709	0.146804	0.0577538	0.106615	0.191229	0.0816124	0.0840923	0.101502	0.110127	0.093688	0.156686	0.156291	0.104205	0.108742	0.0824357	0.0836348	0.079349	0.165604	0.0683816	0.0306684	0.0264001	0.0241568	0.0326956	0.0294027	0.0269932	0.0644669	0.0332548	0.0243043	0.0192374	0.0419154	0.0467234	0.0270138	0.0167859	0.0511982	0.0285514	0.077985	0.0421711	0.0400413	3.830863	0.268041	0.291617	0.0915665	0.348775	3.321696
80	-14773.9	-14784.1	10.1818	0.156396	0.0807181	0.0903752	0.0962217	0.094103	0.0866947	0.119808	0.0882292	0.094896	0.190499	0.0802896	0.0777193	0.102971	0.121016	0.111742	0.123421	0.149199	0.129827	0.120046	0.104151	0.0631936	0.079349	0.179008	0.0455808	0.0539011	0.0198078	0.0288607	0.0320507	0.0126605	0.022134	0.118744	0.0240862	0.0321723	0.0308203	0.044704	0.0407388	0.027288	0.0230368	0.0492369	0.0333839	0.0485818	0.0477391	0.0328518	4.256786	0.291486	0.266247	0.104277	0.33799	3.308251
90	-14777.8	-14788.2	10.4605	0.142786	0.120677	0.123308	0.113148	0.104092	0.0664457	0.133026	0.0828553	0.091997	0.217398	0.101502	0.0851738	0.0951376	0.109625	0.0987895	0.133176	0.0974282	0.107314	0.129055	0.084349	0.0807445	0.0905005	0.179008	0.0425122	0.0456059	0.0392516	0.0391779	0.0223925	0.00975324	0.0126845	0.0911452	0.039244	0.0280836	0.0177351	0.0408301	0.0484182	0.0375518	0.0240517	0.046983	0.0136963	0.0365903	0.0378096	0.0286551	4.096462	0.291486	0.266247	0.104277	0.33799	3.289708
