Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
0	-19886.7	-19887.1	0.425136	0.0323337	0.228286	0.0359401	0.00529069	0.24873	0.1557	0.0700822	0.028076	0.183663	0.0483698	0.180581	0.149502	0.119989	0.133725	0.142018	0.0511713	0.120758	0.113147	0.0134052	0.153569	0.0109372	0.0151449	0.0664941	0.0136542	0.00412912	0.211011	0.0422885	0.0540882	0.112572	0.0424147	0.1493	0.288188	0.013373	0.157914	0.260719	0.0297753	0.0402638	0.237664	0.234737	0.121141	0.0412749	0.0155105	0.0694603	4.446394
10	-16824.9	-16835.2	10.3347	0.0673899	0.101905	0.105408	0.0206501	0.112054	0.0624078	0.126988	0.0624794	0.159521	0.115745	0.110934	0.0786134	0.106285	0.124581	0.13783	0.169881	0.14419	0.137391	0.0317331	0.0970064	0.069354	0.0367183	0.193709	0.00843228	0.0136714	0.0919198	0.0303565	0.0333322	0.0474076	0.0253047	0.038218	0.116759	0.0239901	0.036062	0.0411403	0.02361	0.0265456	0.105684	0.168919	0.135646	0.0263736	0.0152225	0.07407	3.45544
20	-15902.4	-15916.3	13.9758	0.132994	0.0922194	0.0839899	0.0367658	0.0956654	0.0828982	0.106263	0.0644495	0.0973151	0.155675	0.0804741	0.10536	0.102851	0.0893823	0.124189	0.125617	0.131169	0.0968212	0.0920972	0.0877725	0.10147	0.074997	0.1585	0.014031	0.028747	0.0420012	0.0489426	0.031146	0.0349369	0.029241	0.0400693	0.0505866	0.0321426	0.0413	0.0505569	0.0236394	0.0224255	0.0567278	0.115713	0.0214897	0.0293381	0.0207792	0.0385817	3.091331
30	-15807.7	-15819.4	11.6478	0.138762	0.0866645	0.0980008	0.101656	0.113756	0.0765412	0.129779	0.0894105	0.107163	0.177912	0.0661545	0.0904013	0.102851	0.113165	0.107275	0.117441	0.131349	0.126442	0.135675	0.083188	0.0928286	0.10537	0.188647	0.0319228	0.0734727	0.0339434	0.0460605	0.0526744	0.0198618	0.0204047	0.0547568	0.0251465	0.0171045	0.032936	0.0632594	0.0314279	0.0347994	0.0209168	0.0498437	0.0200747	0.042672	0.0405151	0.0319058	3.324132
40	-15801.9	-15814.6	12.6924	0.12758	0.106885	0.112743	0.0966226	0.103206	0.0836091	0.130368	0.0556696	0.113591	0.148838	0.0884429	0.094512	0.114962	0.113955	0.114323	0.134173	0.136282	0.119336	0.129313	0.083188	0.0832773	0.0721641	0.142636	0.0328687	0.0783291	0.0450406	0.0391012	0.0293898	0.0187074	0.033031	0.0495248	0.0183001	0.0240022	0.0244527	0.0478279	0.0234329	0.0382301	0.0380024	0.0476081	0.0279049	0.0235427	0.0369152	0.0377838	3.219672
50	-15798.9	-15810.7	11.7212	0.134299	0.113426	0.119786	0.110293	0.120828	0.0787688	0.104322	0.0699516	0.113591	0.193555	0.0731695	0.0923433	0.0965066	0.0834179	0.114323	0.113383	0.131246	0.119336	0.129313	0.0845473	0.0975107	0.0908371	0.170133	0.0174412	0.0750451	0.0297705	0.0366525	0.0452661	0.0202733	0.0410286	0.0528481	0.0321309	0.0279788	0.0238432	0.0519348	0.0358884	0.0368119	0.0326739	0.0519582	0.0301839	0.0321209	0.0430518	0.0449949	3.316783
60	-15801.2	-15814.5	13.2873	0.118127	0.113948	0.0959295	0.110953	0.141196	0.069637	0.114246	0.0677422	0.103117	0.16067	0.062246	0.0790043	0.101458	0.0808418	0.125809	0.133157	0.108131	0.12279	0.120934	0.0732561	0.0942257	0.0630443	0.160142	0.0158341	0.0923106	0.0385237	0.055857	0.0331519	0.0220949	0.0255472	0.0487512	0.0292711	0.0330162	0.0209167	0.0426912	0.027332	0.0349132	0.0316277	0.0576663	0.0158178	0.0415022	0.0419446	0.0308028	3.160177
70	-15797.3	-15810.6	13.2689	0.111361	0.113948	0.116811	0.0952468	0.105408	0.0800471	0.109724	0.0709772	0.104392	0.177109	0.0882741	0.0752595	0.0845213	0.0820684	0.106162	0.138038	0.106514	0.110626	0.113399	0.0807691	0.0942837	0.0774825	0.175332	0.0132617	0.0839013	0.0323374	0.0558407	0.0437131	0.0245098	0.026582	0.0527963	0.0207569	0.0341541	0.0320583	0.0478222	0.0316471	0.0359875	0.0378953	0.0464799	0.0179616	0.0278786	0.0353505	0.043329	3.162016
80	-15805.2	-15817.5	12.2568	0.128278	0.113302	0.106153	0.0998476	0.121417	0.111192	0.123723	0.0750587	0.0937416	0.171783	0.0812613	0.079823	0.0863923	0.0940885	0.12641	0.138038	0.1324	0.103266	0.13502	0.053548	0.11254	0.0921155	0.16176	0.013356	0.0839013	0.0444841	0.0376597	0.0285731	0.0290868	0.0324556	0.0556388	0.023634	0.0465546	0.0304158	0.0387112	0.0293308	0.0326484	0.025573	0.0439956	0.0191478	0.0154236	0.051926	0.039549	3.263224
90	-15800.7	-15813.5	12.7824	0.138298	0.100238	0.102146	0.110556	0.136319	0.0839675	0.122318	0.0750587	0.109527	0.182727	0.0950522	0.0800547	0.101286	0.0936169	0.0947632	0.116736	0.112667	0.100175	0.115722	0.0698121	0.0892875	0.0828936	0.183748	0.0334306	0.0858175	0.0335426	0.0385341	0.0425094	0.0204361	0.0281013	0.0517866	0.0308533	0.0245628	0.0251697	0.0271482	0.0267478	0.0435808	0.0293684	0.0501336	0.0165663	0.0345308	0.0364859	0.0343916	3.210667
100	-15805.7	-15819	13.2376	0.118887	0.101709	0.0882805	0.110556	0.0913413	0.0914547	0.102363	0.0972829	0.0967375	0.168476	0.0840601	0.0849996	0.10202	0.107441	0.107644	0.12701	0.103915	0.116991	0.107568	0.0854618	0.0892875	0.0823596	0.151147	0.0297708	0.0720976	0.0157792	0.056777	0.0456003	0.0258395	0.0340796	0.0396622	0.0253871	0.0445694	0.0270504	0.0517097	0.0263579	0.0337791	0.0313782	0.0652633	0.0135155	0.0286396	0.0312316	0.0496686	3.16515
110	-15803.2	-15816.3	13.101	0.119618	0.10405	0.094134	0.0953441	0.135504	0.081588	0.122381	0.0968874	0.0869549	0.16607	0.071368	0.0888214	0.0939844	0.086441	0.110067	0.12701	0.136887	0.115274	0.115569	0.073367	0.0797265	0.0592648	0.149809	0.0155711	0.100439	0.0391978	0.0605871	0.0311518	0.0271824	0.0293321	0.0566119	0.0330246	0.036631	0.0327921	0.0424169	0.0473387	0.0362948	0.0236188	0.0347658	0.0185862	0.0355181	0.0391542	0.0284742	3.178808
