Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
0	-20262.2	-20260.7	-1.51695	0.256557	0.156257	0.00955295	0.153418	0.0470634	0.024181	0.0266603	0.13954	0.260881	0.0790715	0.0834526	0.1291	0.0446599	0.0376941	0.148647	0.00308848	0.133596	0.112422	0.0507419	0.00465523	0.00829888	0.044065	0.13821	0.243973	0.178655	0.125025	0.031763	0.0110762	0.115994	0.0640013	0.0117357	0.0509113	0.244799	0.0164187	0.147501	0.553676	0.301526	0.00551458	0.020377	0.0314415	0.100157	0.00385746	0.290389	4.640603
10	-16902.9	-16911.2	8.28694	0.24692	0.128559	0.0210018	0.171869	0.110369	0.0842766	0.108411	0.130977	0.136323	0.157508	0.077137	0.0913832	0.0841759	0.0767244	0.115567	0.0132413	0.104301	0.225113	0.0952418	0.00533743	0.0529298	0.14841	0.172917	0.0587786	0.0946487	0.022688	0.0100523	0.0393461	0.0574859	0.0406485	0.00733117	0.0330164	0.0398661	0.0351355	0.0333557	0.087419	0.192587	0.0342618	0.0477892	0.090702	0.12088	0.00959465	0.0459327	3.660214
20	-16011.6	-16024.8	13.2211	0.13745	0.0972016	0.0368786	0.122173	0.122583	0.0811493	0.118497	0.0849724	0.104805	0.189899	0.0646389	0.0820299	0.12151	0.0935686	0.133016	0.0583822	0.133373	0.152797	0.105345	0.0150221	0.10196	0.0723669	0.176137	0.0452985	0.0363122	0.0340196	0.0317801	0.0247125	0.0408192	0.0374801	0.0167004	0.0614514	0.0585874	0.0422889	0.0380742	0.0496926	0.0573238	0.0208424	0.0112973	0.0786774	0.0463917	0.00616183	0.0231313	3.166798
30	-15832.8	-15845.6	12.7874	0.126497	0.138022	0.0534496	0.089733	0.109052	0.081201	0.114359	0.0849724	0.0946781	0.180128	0.0843208	0.0873487	0.0933089	0.124014	0.133016	0.0774821	0.118714	0.112912	0.136345	0.0820494	0.10513	0.075036	0.17152	0.0335433	0.0317018	0.0270295	0.0761687	0.0236233	0.0302029	0.0214389	0.0308715	0.0430822	0.0456947	0.0412171	0.0344714	0.0224052	0.0568211	0.0456262	0.0160994	0.0572509	0.0246702	0.0383865	0.0365718	3.210164
40	-15803.6	-15816.4	12.7926	0.14239	0.103414	0.120154	0.107798	0.123182	0.0812238	0.128715	0.0868045	0.0918861	0.134293	0.0766802	0.0864364	0.128935	0.103079	0.102066	0.0979341	0.12726	0.124201	0.113343	0.0811612	0.102862	0.0803699	0.153594	0.0302378	0.0377479	0.0267721	0.0645431	0.0449676	0.0273733	0.0259853	0.0223134	0.0194449	0.0313177	0.0494119	0.0374749	0.0375249	0.0721089	0.0491442	0.0132133	0.0537123	0.01876	0.028819	0.0209928	3.209647
50	-15810.9	-15824.5	13.5727	0.0976658	0.111177	0.0991941	0.0903312	0.122739	0.0723539	0.119435	0.0742617	0.0878946	0.154332	0.0875	0.0805952	0.100168	0.103405	0.10077	0.129472	0.123622	0.0780296	0.126184	0.068414	0.100798	0.0836761	0.200986	0.0240005	0.0377601	0.0262963	0.078679	0.0399709	0.0340701	0.0224651	0.0125809	0.0286692	0.0361305	0.0374863	0.0333415	0.0252541	0.0623922	0.0422341	0.0249332	0.0552646	0.0398836	0.032399	0.0248192	3.131634
60	-15809.1	-15821.8	12.6811	0.119278	0.115593	0.0891639	0.0786064	0.109649	0.101752	0.133108	0.0761866	0.0911842	0.163143	0.0784269	0.0873665	0.0890198	0.107027	0.0960607	0.138497	0.131719	0.11131	0.102072	0.102855	0.103834	0.0836761	0.174218	0.0305164	0.0445542	0.0358564	0.0955794	0.0406795	0.0260078	0.0193702	0.0142404	0.0142192	0.0353483	0.0548387	0.0382655	0.0328668	0.0623922	0.0385009	0.0320458	0.040263	0.0239541	0.0319727	0.0255837	3.220802
70	-15815.1	-15827.7	12.6428	0.138808	0.0977182	0.0846672	0.0911608	0.103509	0.0986555	0.108408	0.0755322	0.110001	0.144865	0.074892	0.0849364	0.0842874	0.0860679	0.0979776	0.139012	0.127586	0.11131	0.13624	0.0647788	0.110225	0.0853283	0.147226	0.0514521	0.0296194	0.0224237	0.104498	0.0397099	0.0319801	0.0231224	0.0224156	0.0127877	0.02417	0.0550384	0.0421603	0.0461243	0.0761746	0.0557271	0.0243027	0.0624021	0.034	0.0376993	0.0256266	3.224625
80	-15808.6	-15821	12.4598	0.14517	0.0960676	0.0926749	0.0858162	0.125516	0.0986738	0.130465	0.0649271	0.104259	0.161439	0.0864677	0.0804107	0.0821506	0.0899226	0.134693	0.131999	0.161454	0.11131	0.122639	0.0645261	0.0899527	0.0819995	0.159306	0.0457314	0.0250493	0.0332527	0.0824845	0.0622278	0.0402162	0.0324493	0.0161509	0.0198874	0.0279216	0.0409793	0.0368482	0.0241989	0.0528353	0.0571885	0.0225857	0.0537297	0.0238495	0.0144585	0.0290451	3.24293
90	-15803.8	-15816.2	12.3864	0.152892	0.10976	0.106093	0.0908845	0.122972	0.0806951	0.109848	0.0809147	0.0953621	0.165589	0.0768213	0.0886935	0.128033	0.107812	0.111252	0.124007	0.113732	0.113898	0.121168	0.0919663	0.0882642	0.0757371	0.143646	0.0429401	0.0354588	0.0399564	0.0732337	0.0468089	0.0297689	0.035162	0.0166788	0.0167242	0.0203271	0.0447004	0.0373334	0.0195279	0.0578693	0.0480981	0.0279776	0.0789174	0.0282944	0.0301846	0.0202582	3.250263
