Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-20484.1	-20486.5	2.34723	0.016859	0.0899172	0.223752	0.102082	0.0777736	0.0152289	0.00436109	0.033316	0.0147592	0.182508	0.201716	0.374614	0.0333214	0.0241615	0.268641	0.0228336	0.0671604	0.0534735	0.0202981	0.114386	0.00231772	0.0901971	0.052663	0.0540924	0.00551617	0.112057	0.16338	0.090004	0.119874	0.0144543	0.0533922	0.13699	0.161794	0.148418	0.0455716	0.0410623	0.000211383	0.0936187	0.142706	0.117735	0.242824	0.420165	0.00397983	4.254185
10	-17593.6	-17599.8	6.20221	0.0542638	0.121411	0.204992	0.14651	0.117171	0.0578735	0.0177349	0.0806818	0.0401506	0.13502	0.177031	0.230189	0.133106	0.111154	0.149356	0.0647679	0.145282	0.16232	0.0422428	0.0948137	0.00735771	0.124357	0.18084	0.0562018	0.0172276	0.0720908	0.16338	0.0639366	0.0193964	0.0155045	0.0587661	0.0486826	0.0435859	0.0902267	0.0117518	0.055448	0.00026462	0.0748223	0.0341556	0.0427418	0.157775	0.239747	0.00435613	3.868687
20	-16460.5	-16470.1	9.6089	0.122244	0.107512	0.19517	0.144846	0.0943604	0.0798972	0.0962127	0.0767618	0.105677	0.156503	0.137409	0.109349	0.12526	0.109732	0.144403	0.128688	0.118369	0.111824	0.125228	0.11472	0.0425757	0.12593	0.199355	0.0347112	0.020193	0.0467037	0.0353543	0.0425341	0.0218227	0.0184142	0.0361356	0.0343644	0.0369628	0.0624152	0.0111852	0.0306344	0.000895022	0.0275681	0.0549449	0.0379922	0.138312	0.0481724	0.0166766	3.528018
30	-15860.6	-15873.4	12.8077	0.13254	0.0807622	0.122223	0.0959219	0.117695	0.075016	0.116588	0.083372	0.112276	0.169117	0.100103	0.109371	0.118831	0.088261	0.107416	0.128688	0.150846	0.0990938	0.117693	0.077432	0.0547924	0.0827919	0.179807	0.0463752	0.0307052	0.0304282	0.0391186	0.0340437	0.0201878	0.0521737	0.0324124	0.0550746	0.0199252	0.0272911	0.00845756	0.022894	0.00240175	0.0260302	0.0627103	0.026728	0.0494795	0.05835	0.0427097	3.208134
40	-15813.5	-15827	13.4651	0.121286	0.10863	0.0939362	0.114317	0.108536	0.0701176	0.128602	0.0826289	0.102085	0.168337	0.0839548	0.0693212	0.117936	0.0801349	0.106138	0.106903	0.133212	0.101023	0.118703	0.0692692	0.0891543	0.102191	0.157339	0.0333014	0.0321677	0.0234409	0.0483422	0.0414614	0.0277332	0.0262084	0.0484248	0.0399166	0.0558043	0.0401697	0.0132336	0.0213295	0.00422725	0.0377087	0.0545731	0.0311781	0.0239463	0.0395713	0.0659058	3.142397
50	-15812.5	-15824.8	12.3081	0.130395	0.0927337	0.100627	0.107971	0.125498	0.0726155	0.123914	0.0786992	0.0745471	0.168337	0.0926765	0.0642053	0.10313	0.0966128	0.0994466	0.141746	0.102062	0.132042	0.141628	0.0553622	0.128782	0.0879648	0.172212	0.0326389	0.0554558	0.0279915	0.0448022	0.0495517	0.0387174	0.0320352	0.0484248	0.0389029	0.0733337	0.0244187	0.0114973	0.0146541	0.0212307	0.0275699	0.0611768	0.0360977	0.0362814	0.0463775	0.0437267	3.258094
60	-15804.7	-15817.2	12.5612	0.110337	0.0897612	0.107554	0.0948869	0.0904419	0.0770628	0.124929	0.0766466	0.0801388	0.169225	0.0773544	0.0971629	0.0913067	0.0986927	0.1189	0.146184	0.11653	0.101283	0.138522	0.0766188	0.0991759	0.0978915	0.159721	0.0415241	0.0254084	0.0177357	0.0570905	0.0477806	0.0301359	0.0219913	0.0315591	0.0459061	0.102147	0.0418521	0.0258314	0.0198763	0.0268129	0.0421674	0.0641078	0.0336531	0.0345368	0.0544281	0.0279169	3.232786
70	-15805.1	-15818.4	13.2629	0.125525	0.100618	0.100641	0.0955977	0.144384	0.0685194	0.12361	0.0610835	0.106735	0.16061	0.0723254	0.0862483	0.0821765	0.100327	0.104974	0.123285	0.11653	0.121231	0.105849	0.0788039	0.0866774	0.0636346	0.175841	0.0478552	0.0298127	0.0198374	0.0450032	0.0575244	0.0219304	0.0278778	0.041929	0.0728089	0.0843725	0.0236188	0.0221043	0.0238585	0.0239226	0.0309963	0.0481957	0.0139537	0.0439014	0.0468916	0.030995	3.162616
80	-15808.4	-15820.5	12.0566	0.13557	0.0875627	0.133764	0.121103	0.133067	0.0761167	0.131324	0.0798639	0.0936392	0.151959	0.0864202	0.071817	0.0873522	0.115301	0.0948358	0.132685	0.11653	0.0966972	0.134658	0.0713543	0.0919812	0.112013	0.178092	0.049943	0.0468892	0.0146709	0.0473592	0.0508327	0.028783	0.023781	0.0342667	0.0572677	0.0735711	0.0333095	0.0193056	0.0093196	0.0306886	0.0377109	0.0535001	0.0225628	0.0335499	0.0468916	0.0353394	3.283248
90	-15799.9	-15812.1	12.2239	0.135648	0.124903	0.0927612	0.119431	0.129501	0.0777774	0.119215	0.0791726	0.0931901	0.160586	0.0737128	0.0869868	0.0862985	0.0866705	0.112213	0.140664	0.134645	0.107147	0.12787	0.0810769	0.0988043	0.0814944	0.183221	0.0379927	0.0320747	0.0230833	0.0468329	0.0541653	0.0499956	0.0245962	0.0298515	0.0449392	0.0844591	0.0437211	0.0222615	0.00736458	0.027346	0.0320864	0.0540309	0.0242523	0.0191046	0.0425678	0.0328032	3.266518
