Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-20866.1	-20879.3	13.2066	0.0219181	0.191502	0.00735206	0.127911	0.0272261	0.0848139	0.0376829	0.046556	0.177564	0.044204	0.00486696	0.114946	0.0417999	0.122435	0.168462	0.0175944	0.0420331	0.0398206	0.148876	0.0224108	0.0230818	0.118383	0.0240485	0.07794	0.0776885	0.0214416	0.041008	0.0359393	0.0563204	0.013718	0.151834	0.012076	0.113044	0.0201054	0.00900811	0.275791	0.230411	0.305561	0.0501531	0.0207335	0.144123	0.00407874	0.0309608	0.136213	0.161627	0.326441	0.375718	3.347424
1	1	-22263.1	-22277.2	14.1082	0.00826455	0.00225734	0.05952	0.00122532	0.011641	0.135031	0.0629892	0.00495508	0.00924694	0.224029	0.00481926	0.0570725	0.07271	0.0457686	0.155049	0.0254216	0.0173491	0.0111807	0.12386	0.0484827	0.191695	0.0611031	0.0293918	0.0652993	0.197105	0.129476	0.0761344	0.130846	0.122629	0.0196829	0.00270017	0.0318649	0.0127823	0.0851386	0.0774727	0.375488	0.155043	0.101031	0.0694842	0.015426	0.105616	0.0970765	0.023908	0.312149	0.0365363	0.25199	0.399325	3.257268
2	0	-16391.6	-16408.6	16.9162	0.0315912	0.118734	0.0187564	0.164667	0.064464	0.0830763	0.135244	0.0798402	0.0744109	0.0987693	0.0116459	0.108862	0.069865	0.11634	0.138953	0.10003	0.126505	0.0883049	0.125573	0.0525755	0.0500861	0.14186	0.0493726	0.0239006	0.0383271	0.0364331	0.041008	0.0349186	0.0219111	0.0332701	0.0535686	0.0138783	0.0549496	0.0199031	0.0226498	0.180873	0.114447	0.07174	0.0582845	0.0123924	0.0561819	0.0129853	0.025319	0.229219	0.234424	0.0874963	0.448861	2.976467
3	1	-17259.7	-17275.1	15.4434	0.0250335	0.00626107	0.16551	0.000668027	0.0292804	0.0972602	0.10348	0.0154999	0.0422637	0.177127	0.0134399	0.122811	0.11531	0.0748473	0.165115	0.148151	0.0941247	0.053998	0.105146	0.0737285	0.117932	0.102807	0.0572555	0.0477257	0.150244	0.142008	0.0332862	0.101917	0.0447318	0.02767	0.00449543	0.0354532	0.00972714	0.0163023	0.0257997	0.0573887	0.142738	0.068403	0.0746937	0.114675	0.057561	0.0430677	0.0188093	0.204614	0.346804	0.173554	0.275028	3.123746
4	0	-15510.8	-15525.7	14.9637	0.124558	0.123207	0.0321331	0.0724221	0.130682	0.0830763	0.125995	0.0664697	0.0720843	0.134831	0.0335336	0.0717527	0.123962	0.0863609	0.129801	0.141983	0.136425	0.0968013	0.119609	0.0808514	0.08303	0.0885341	0.193089	0.0252084	0.0181584	0.04398	0.0382498	0.0370747	0.0509644	0.0460932	0.0252998	0.0295188	0.104879	0.0138889	0.0125434	0.037174	0.033244	0.0972	0.0551978	0.0338802	0.0300871	0.0357398	0.0521431	0.203605	0.349875	0.0934254	0.353095	3.171715
5	1	-15736	-15750.1	14.0622	0.0942217	0.0196993	0.123914	0.00226447	0.11599	0.08375	0.117878	0.0593759	0.0874332	0.182499	0.0411532	0.14527	0.125296	0.103983	0.119537	0.131723	0.141947	0.124099	0.133865	0.0804308	0.0997185	0.0911974	0.156442	0.0415698	0.0811842	0.100618	0.0317147	0.119204	0.0491708	0.0295504	0.0129109	0.0240575	0.0350442	0.0163704	0.0234161	0.0290431	0.035133	0.0215126	0.0926582	0.0454683	0.0319776	0.0262945	0.0332735	0.200944	0.340584	0.102161	0.35631	3.261859
6	0	-15446.5	-15461.5	15.0627	0.143019	0.103945	0.101317	0.088986	0.0938557	0.099353	0.126823	0.105596	0.082493	0.149999	0.0494484	0.0759974	0.0840276	0.0912179	0.0961878	0.14727	0.129953	0.102208	0.121611	0.0866004	0.0925549	0.0857064	0.172201	0.0155912	0.0164925	0.0396625	0.046055	0.038686	0.034826	0.0399254	0.0254508	0.0333328	0.0749076	0.0177106	0.013322	0.0319722	0.0417436	0.0939496	0.0298194	0.043472	0.0317151	0.0199355	0.0428727	0.212242	0.322295	0.0973887	0.368074	3.161813
7	1	-15497.6	-15512.1	14.4243	0.179418	0.0553603	0.0973537	0.00665778	0.105209	0.0648756	0.117999	0.0745725	0.105212	0.195779	0.0652258	0.128606	0.108179	0.0827489	0.110709	0.123402	0.136923	0.0980014	0.117115	0.0667858	0.0868284	0.118741	0.173846	0.0467473	0.0420287	0.0741517	0.0270735	0.0965209	0.0432063	0.0421762	0.0202832	0.0364136	0.0331061	0.0367069	0.0146937	0.0242433	0.0341236	0.0189725	0.0379552	0.0748735	0.0555859	0.0203456	0.0268992	0.234804	0.306259	0.102265	0.356672	3.225653
8	0	-15395	-15410.1	15.0667	0.125678	0.105768	0.10713	0.0856696	0.0819452	0.0786633	0.138876	0.079096	0.113075	0.149731	0.0740978	0.0916181	0.0928216	0.0781394	0.103562	0.131144	0.111174	0.131451	0.139815	0.0796541	0.0982933	0.0857064	0.148449	0.0359587	0.00833563	0.0336829	0.037923	0.0257352	0.050139	0.0349104	0.019403	0.0282454	0.0788471	0.0366357	0.0146197	0.0418451	0.0358019	0.0695862	0.0274367	0.0444074	0.0320707	0.02239	0.0518789	0.212242	0.322295	0.0973887	0.368074	3.161412
9	1	-15447.1	-15461.9	14.7899	0.154867	0.0844763	0.108152	0.0121812	0.114763	0.0911147	0.139614	0.0807653	0.111814	0.176657	0.0811334	0.0949905	0.111898	0.0908179	0.118093	0.114862	0.134526	0.127191	0.117115	0.0780547	0.0792322	0.0785684	0.161512	0.0561026	0.0346646	0.0586116	0.0229469	0.0985997	0.0376037	0.0508909	0.0236473	0.0233401	0.0305335	0.0154982	0.0181285	0.0257509	0.0228705	0.0139853	0.0487033	0.0356546	0.0449401	0.0294344	0.0347909	0.234804	0.306259	0.102265	0.356672	3.189096
