Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20866.1	-20879.3	13.2066	0.0219181	0.191502	0.00735206	0.127911	0.0272261	0.0848139	0.0376829	0.046556	0.177564	0.044204	0.00486696	0.114946	0.0417999	0.122435	0.168462	0.0175944	0.0420331	0.0398206	0.148876	0.0224108	0.0230818	0.118383	0.0240485	0.07794	0.0776885	0.0214416	0.041008	0.0359393	0.0563204	0.013718	0.151834	0.012076	0.113044	0.0201054	0.00900811	0.275791	0.230411	0.305561	0.0501531	0.0207335	0.144123	0.00407874	0.0309608	0.136213	0.161627	0.326441	0.375718	3.347424
10	-16391.6	-16408.6	16.9162	0.0315912	0.118734	0.0187564	0.164667	0.064464	0.0830763	0.135244	0.0798402	0.0744109	0.0987693	0.0116459	0.108862	0.069865	0.11634	0.138953	0.10003	0.126505	0.0883049	0.125573	0.0525755	0.0500861	0.14186	0.0493726	0.0239006	0.0383271	0.0364331	0.041008	0.0349186	0.0219111	0.0332701	0.0535686	0.0138783	0.0549496	0.0199031	0.0226498	0.180873	0.114447	0.07174	0.0582845	0.0123924	0.0561819	0.0129853	0.025319	0.229219	0.234424	0.0874963	0.448861	2.976467
20	-15510.8	-15525.7	14.9637	0.124558	0.123207	0.0321331	0.0724221	0.130682	0.0830763	0.125995	0.0664697	0.0720843	0.134831	0.0335336	0.0717527	0.123962	0.0863609	0.129801	0.141983	0.136425	0.0968013	0.119609	0.0808514	0.08303	0.0885341	0.193089	0.0252084	0.0181584	0.04398	0.0382498	0.0370747	0.0509644	0.0460932	0.0252998	0.0295188	0.104879	0.0138889	0.0125434	0.037174	0.033244	0.0972	0.0551978	0.0338802	0.0300871	0.0357398	0.0521431	0.203605	0.349875	0.0934254	0.353095	3.171715
30	-15446.5	-15461.5	15.0627	0.143019	0.103945	0.101317	0.088986	0.0938557	0.099353	0.126823	0.105596	0.082493	0.149999	0.0494484	0.0759974	0.0840276	0.0912179	0.0961878	0.14727	0.129953	0.102208	0.121611	0.0866004	0.0925549	0.0857064	0.172201	0.0155912	0.0164925	0.0396625	0.046055	0.038686	0.034826	0.0399254	0.0254508	0.0333328	0.0749076	0.0177106	0.013322	0.0319722	0.0417436	0.0939496	0.0298194	0.043472	0.0317151	0.0199355	0.0428727	0.212242	0.322295	0.0973887	0.368074	3.161813
40	-15395	-15410.1	15.0667	0.125678	0.105768	0.10713	0.0856696	0.0819452	0.0786633	0.138876	0.079096	0.113075	0.149731	0.0740978	0.0916181	0.0928216	0.0781394	0.103562	0.131144	0.111174	0.131451	0.139815	0.0796541	0.0982933	0.0857064	0.148449	0.0359587	0.00833563	0.0336829	0.037923	0.0257352	0.050139	0.0349104	0.019403	0.0282454	0.0788471	0.0366357	0.0146197	0.0418451	0.0358019	0.0695862	0.0274367	0.0444074	0.0320707	0.02239	0.0518789	0.212242	0.322295	0.0973887	0.368074	3.161412
50	-15377.4	-15392.5	15.0984	0.125678	0.089727	0.100019	0.106719	0.117443	0.0811847	0.124363	0.107451	0.0888886	0.169588	0.0929432	0.0691061	0.094532	0.0971296	0.116186	0.129102	0.130835	0.104334	0.109487	0.0802211	0.0721261	0.0802009	0.1723	0.0272432	0.0221476	0.0368975	0.036143	0.0302299	0.0390372	0.0323212	0.0233553	0.0346265	0.0680409	0.0267883	0.0178311	0.0571487	0.0415769	0.0629606	0.0100071	0.0233949	0.0461167	0.0244715	0.038338	0.213719	0.321691	0.0972062	0.367384	3.158242
60	-15381.4	-15395.6	14.2753	0.119824	0.107722	0.108736	0.0901955	0.116721	0.0987499	0.121413	0.0793896	0.116414	0.135746	0.0691601	0.0948201	0.0872414	0.099403	0.106276	0.139729	0.136955	0.118228	0.134346	0.0690541	0.0859011	0.0757405	0.179904	0.0283317	0.0435733	0.0544465	0.0381103	0.0215786	0.0558713	0.0436067	0.0129821	0.0303271	0.0450662	0.0193967	0.0262751	0.0397908	0.0435474	0.0687431	0.024121	0.0386788	0.0422112	0.02714	0.0450845	0.213516	0.315632	0.112018	0.358834	3.240552
70	-15374.3	-15388.2	13.9307	0.128289	0.096173	0.113526	0.103763	0.116123	0.07834	0.121413	0.0805892	0.120002	0.195654	0.090386	0.075132	0.0899114	0.0958902	0.0910926	0.148062	0.125796	0.118228	0.121943	0.0797188	0.0939519	0.0765349	0.168582	0.0329896	0.0247186	0.0356379	0.0491497	0.0190596	0.0544364	0.0484573	0.0273557	0.0360275	0.0459795	0.0146097	0.022962	0.045645	0.0255998	0.0792226	0.0303148	0.0360966	0.0364525	0.0281855	0.053012	0.216661	0.320281	0.0989393	0.364119	3.275013
80	-15377.3	-15392	14.7427	0.118815	0.109915	0.087108	0.127981	0.115198	0.089875	0.128082	0.0750835	0.100448	0.176095	0.0664474	0.0822484	0.105127	0.0932763	0.107184	0.119139	0.131547	0.104376	0.121943	0.0844132	0.0867048	0.0716942	0.158356	0.0129765	0.0371762	0.0423396	0.0360974	0.0406083	0.0622927	0.0331226	0.0181774	0.0320837	0.0498356	0.0151707	0.010128	0.039946	0.02609	0.0901749	0.0292299	0.0308436	0.0588488	0.0245905	0.0430268	0.218696	0.323289	0.0998687	0.358146	3.193814
90	-15369.6	-15384.9	15.2959	0.112763	0.112756	0.102844	0.0890289	0.114369	0.0921041	0.112707	0.0712767	0.102517	0.189453	0.0788522	0.0769677	0.116703	0.10833	0.109654	0.116123	0.106096	0.107352	0.113923	0.0688838	0.0815625	0.0664037	0.170513	0.0267626	0.0316853	0.0257264	0.0380186	0.0233597	0.0403966	0.0381573	0.0236709	0.0352204	0.0445607	0.0220998	0.0187232	0.0424111	0.032638	0.0720919	0.0346656	0.0521461	0.0456701	0.0256247	0.0436816	0.220736	0.304442	0.10151	0.373313	3.138493
