Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]
0	0	-23177	-23179.9	2.94186	11.17236	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.292653	0.0318492	0.441357	0.0547934	0.0962046	0.0831427	0.432959	0.0359816	0.1277	0.40336	0.649416	0.879086	1.07006	1.40144
1	1	-24687.1	-24702	14.9432	7.286183	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.0502972	0.377849	0.198525	0.0384917	0.127691	0.207145	0.039665	0.130173	0.651558	0.178604	0.576044	0.843994	1.07829	1.50167
2	0	-16000.4	-16004.6	4.25587	1.861401	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.214061	0.404848	0.0886835	0.0537318	0.23866	1.57868e-05	0.258923	0.324926	0.100069	0.316082	0.276149	0.639417	1.0661	2.01833
3	1	-17616.5	-17632.2	15.6894	3.282589	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.145722	7.15559e-07	0.321211	1.57295e-33	0.436619	0.0964476	0.140536	0.271907	0.407001	0.180557	0.410007	0.746064	1.0836	1.76033
4	0	-14545.7	-14541.4	-4.34115	0.2851381	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.125561	0.27871	0.0597005	0.0361714	0.499736	0.000120908	0.322475	0.355678	0.108146	0.213702	0.00416736	0.0929955	0.569979	3.33286
5	1	-15903.5	-15913.1	9.58178	0.4538402	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.137183	0.000239253	0.302387	7.6577e-35	0.458423	0.101767	0.141403	0.267414	0.409512	0.181671	0.0251856	0.220717	0.783541	2.97056
6	0	-14220.3	-14215.4	-4.8904	0.2647628	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.103772	0.328275	0.0493403	0.0326192	0.485318	0.000675396	0.322752	0.350373	0.109835	0.21704	0.00287234	0.0775396	0.531602	3.38799
7	1	-15455.2	-15460.8	5.6057	0.2529341	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.104011	0.000416985	0.18993	1.92563e-35	0.577451	0.128191	0.265999	0.294441	0.254198	0.185363	0.00225133	0.0688169	0.507633	3.4213
8	0	-14152.7	-14147.6	-5.05322	0.2591123	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0831116	0.369471	0.0622387	0.035549	0.440474	0.00915515	0.328012	0.356083	0.0953283	0.220577	0.00256392	0.073345	0.520312	3.40378
9	1	-14471.9	-14478	6.08373	0.2694512	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.0346043	0.109397	0.170113	3.70279e-35	0.56815	0.117736	0.356246	0.290038	0.206683	0.147033	0.00314481	0.0810539	0.540751	3.37505
10	0	-14137.1	-14131.5	-5.62269	0.2406075	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0829135	0.368591	0.0468329	0.0318149	0.439424	0.0304236	0.311271	0.372931	0.0826381	0.23316	0.00170254	0.0599958	0.481255	3.45705
11	1	-14354.9	-14360.4	5.44221	0.2476061	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.0475444	0.10379	0.139946	1.32773e-34	0.649663	0.0590566	0.356246	0.290038	0.206683	0.147033	0.00200206	0.0649666	0.49641	3.43662
12	0	-14066.7	-14061.1	-5.63395	0.2402602	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0635976	0.419139	0.0437836	0.0254953	0.410813	0.037171	0.312846	0.374817	0.077998	0.234339	0.00168849	0.0597519	0.480491	3.45807
13	1	-14184.2	-14188.4	4.16999	0.2109568	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.0850193	0.190129	0.0799936	1.96126e-33	0.614851	0.0300068	0.349679	0.314243	0.155004	0.181075	0.000760293	0.040326	0.411644	3.54727
14	0	-14067.2	-14061.6	-5.6503	0.2397572	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0668948	0.391862	0.0470364	0.0208874	0.441333	0.0319863	0.312846	0.374817	0.077998	0.234339	0.00166827	0.059399	0.479381	3.45955
15	1	-14160.4	-14165.1	4.71352	0.2256418	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.0750913	0.228424	0.0714547	1.55112e-31	0.582793	0.0422371	0.330923	0.334732	0.14669	0.187655	0.00116389	0.0497536	0.44723	3.50185
16	0	-14067	-14061.5	-5.45764	0.2457784	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0661028	0.387222	0.0487286	0.0330468	0.436108	0.0287921	0.313239	0.375288	0.0768398	0.234633	0.00192081	0.0636586	0.492498	3.44192
17	1	-14104.2	-14109.6	5.47069	0.2485229	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.0739474	0.224944	0.0918677	6.80461e-31	0.573915	0.0353257	0.315963	0.364806	0.140059	0.179172	0.00204363	0.0656253	0.49836	3.43397
18	0	-14067.4	-14061.8	-5.62477	0.2405434	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0640099	0.391922	0.0493201	0.0242052	0.441401	0.0291415	0.313239	0.375288	0.0768398	0.234633	0.00169994	0.0599507	0.481114	3.45724
19	1	-14093.5	-14098	4.41907	0.2175201	0.0500927	0.0487125	0.165973	0.0846408	0.00931323	0.0745252	0.0887329	0.177165	0.402173	0.0342196	0.00277277	0.144813	0.146867	0.00516784	0.0525298	0.0670035	0.00626783	0.00698374	0.0169744	0.216031	0.0564681	0.0877805	0.0901443	0.0318692	0.112017	0.118864	0.224325	0.00904945	0.127888	0.00735843	0.0444205	0.00578203	0.0743007	0.0438276	0.071882	0.112758	0.0230513	0.0356637	0.0869486	0.0626798	0.0125209	0.103164	0.0509521	0.059819	0.22829	0.093234	3.96044e-29	0.582451	0.0362062	0.341705	0.353336	0.125185	0.179775	0.000926249	0.0444546	0.427821	3.5268
20	0	-14064.1	-14058.6	-5.53402	0.2433668	0.110336	0.0404705	0.2518	0.530178	0.170971	0.0397043	0.00923831	0.0611389	0.0169306	0.0286552	0.00957267	0.111653	0.0166894	0.0253353	0.0290013	0.0503777	0.270389	0.0325682	0.0409799	0.0479929	0.0906922	0.14416	0.0421467	0.0600935	0.260159	0.385373	0.0117776	0.228189	0.000415983	0.25601	0.0162519	0.0676391	0.16497	0.181827	0.208566	0.0127014	0.0832667	0.0726348	0.0552639	0.103034	0.0224174	0.0480411	0.0693285	0.0611689	0.411238	0.0471311	0.0308035	0.42181	0.0278481	0.313239	0.375288	0.0768398	0.234633	0.00181689	0.0619431	0.487287	3.44895
