Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	sr[1]	sr[2]	sr[3]	sr[4]
0	-44038.1	-44041.2	3.17675	7.610291	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.013841	0.379623	0.169237	0.0437105	0.282329	0.111259	0.0163766	0.0270503	0.116271	0.840302	0.9274405	0.584033	0.848024	1.07754	1.49041
10	-15633.5	-15634.5	1.07001	0.8490642	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0953466	0.309983	0.000178127	0.0286166	0.316203	0.249673	0.140768	0.486858	0.149957	0.222417	0.4911527	0.105948	0.426162	0.969675	2.49821
20	-14522.2	-14521	-1.24146	0.5262369	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0354465	0.697233	0.0149268	0.0289665	0.133892	0.0895353	0.180599	0.491571	0.0424786	0.285351	0.4911527	0.0383477	0.268699	0.838458	2.85449
30	-14211.8	-14212.1	0.319549	0.7155501	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0312124	0.709172	0.0151824	0.0245707	0.136185	0.0836778	0.271914	0.434654	0.0375602	0.255872	0.4911527	0.0775124	0.370776	0.930497	2.62121
40	-14148	-14148.7	0.734965	0.7847394	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0343936	0.638582	0.0298446	0.0345049	0.212103	0.0505723	0.271914	0.434654	0.0375602	0.255872	0.4911527	0.0923075	0.400917	0.952635	2.55414
50	-14144.2	-14144.5	0.287947	0.7106977	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0339061	0.630359	0.0294603	0.0340606	0.209372	0.0628419	0.271491	0.433114	0.0399213	0.255474	0.4949323	0.0764746	0.368534	0.928769	2.62622
60	-14147	-14147.3	0.268698	0.7077682	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0336017	0.643321	0.0291948	0.0347609	0.213677	0.0454451	0.279222	0.445449	0.0410582	0.234271	0.4949323	0.0758483	0.367173	0.927713	2.62927
70	-14142.6	-14143.4	0.838942	0.8038019	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0339018	0.611484	0.0294555	0.039949	0.215585	0.0696239	0.280748	0.426039	0.0412825	0.251931	0.4949323	0.0963675	0.40866	0.958003	2.53697
80	-14128.5	-14129.5	1.01747	0.8383995	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0431252	0.566162	0.0374692	0.0223394	0.274238	0.0566666	0.277347	0.420878	0.0528958	0.248879	0.4949323	0.1037	0.422146	0.967052	2.5071
90	-14121.5	-14122.7	1.28446	0.895092	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0427867	0.561718	0.0375456	0.0366079	0.272085	0.0492569	0.291587	0.410971	0.0544213	0.243021	0.4949323	0.115576	0.442778	0.980182	2.46146
100	-14127.8	-14128.2	0.434138	0.7336053	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0444193	0.583151	0.037847	0.0264181	0.275383	0.0327825	0.291587	0.410971	0.0544213	0.243021	0.4949323	0.0813759	0.378964	0.936712	2.60295
110	-14123.2	-14123.6	0.46684	0.7388948	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0436866	0.573532	0.033546	0.0259824	0.270841	0.0524122	0.291587	0.410971	0.0544213	0.243021	0.4949323	0.0825081	0.381318	0.938471	2.5977
120	-14106.4	-14107.3	0.923077	0.8198011	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0415029	0.572568	0.0334896	0.0297301	0.270385	0.0523241	0.324381	0.391946	0.051902	0.231771	0.4689332	0.0997647	0.414986	0.962294	2.52296
130	-14104.1	-14105.3	1.15243	0.8662646	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0387522	0.485583	0.0405284	0.0427522	0.329062	0.0633214	0.313246	0.396249	0.0561899	0.234315	0.4786835	0.109561	0.432505	0.973751	2.48418
140	-13912.4	-13913.7	1.23337	0.8837427	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0391547	0.490628	0.044832	0.0289252	0.332481	0.0639792	0.313246	0.396249	0.0561899	0.234315	0.4786835	0.113214	0.438786	0.977708	2.47029
150	-13908.7	-13909.4	0.663092	0.7719982	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0400952	0.502413	0.0459089	0.0250026	0.340467	0.0461136	0.306685	0.408577	0.0550742	0.229663	0.4659386	0.0895879	0.395611	0.948883	2.56592
160	-13908.3	-13909.7	1.39863	0.9213827	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0410094	0.513868	0.0449504	0.0279421	0.325065	0.047165	0.306685	0.408577	0.0550742	0.229663	0.4746746	0.121013	0.451775	0.985646	2.44157
170	-13901.2	-13902.7	1.46647	0.9376516	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0457838	0.514586	0.0450131	0.0230482	0.325519	0.04605	0.306685	0.408577	0.0550742	0.229663	0.4746746	0.124352	0.457174	0.988849	2.42963
180	-13874.4	-13875.8	1.39867	0.9213927	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0457244	0.513918	0.0449548	0.0208124	0.325097	0.0494929	0.307441	0.409584	0.0552099	0.227765	0.4746746	0.121015	0.451779	0.985648	2.44156
