Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
0	-43617.4	-43627.4	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0696197	0.0142277	0.00815459	0.0737654	0.776095	0.058138	0.247877	0.00246	0.0544013	0.695261	0.8360084
10	-18466.7	-18476.7	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.32896	0.279683	0.116134	1.46901e-05	0.272118	0.00309069	0.302913	0.0178226	0.313476	0.365788	0.2058076
20	-15016.4	-15026.4	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.255543	0.311458	0.0712137	4.1509e-05	0.31916	0.0425839	0.302485	0.288868	0.116955	0.291692	0.4401183
30	-14630.3	-14640.3	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.197217	0.322981	0.0401158	0.000160041	0.410659	0.0288669	0.27223	0.296885	0.120201	0.310684	0.4401183
40	-14583.8	-14593.8	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.146765	0.301236	0.0726315	0.000660268	0.451784	0.0269234	0.258707	0.331812	0.11423	0.295251	0.4401183
50	-14544	-14554	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.121186	0.300698	0.0725017	0.00162019	0.450976	0.0530183	0.296267	0.315	0.108442	0.280291	0.4401183
60	-14504.4	-14514.4	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.121538	0.300459	0.0676744	0.0232242	0.452289	0.0348154	0.311188	0.330864	0.112937	0.24501	0.4738893
70	-14500.7	-14510.7	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.117667	0.315972	0.0686906	0.0260837	0.43788	0.0337063	0.318856	0.339016	0.0910812	0.251047	0.4738893
80	-14494.5	-14504.5	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.107348	0.376667	0.0626672	0.0230843	0.399483	0.0307506	0.318856	0.339016	0.0910812	0.251047	0.5036397
90	-14492.7	-14502.8	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0971648	0.386478	0.0622004	0.0229123	0.396507	0.0347374	0.285521	0.355607	0.0955387	0.263333	0.5036397
