Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-22235.7	-22238.7	3.05364	0.226986	0.0859309	0.0178624	0.0291565	0.056802	0.137775	0.110369	0.0293032	0.0449288	0.0207524	0.291241	0.0216267	0.00480901	0.234455	0.134594	0.0651079	0.00221378	0.0572217	0.0208105	0.0822495	0.137389	0.125739	0.104948	0.133189	0.0917102	0.0418224	0.137207	0.26357	0.141371	0.026741	0.000189123	0.00478984	0.135221	0.0293905	0.0133158	0.149396	0.143728	0.00827829	0.132877	0.061674	0.0477273	0.25492	0.157122	4.336415	0.0440701	0.15879	0.484701	0.312439	4.01651
1	1	-22043.6	-22044.9	1.30883	0.136646	0.0488536	0.0828142	0.0329028	0.0369109	0.0836776	0.0493164	0.00953506	0.00365253	0.0417096	0.0558717	0.0979415	0.372979	0.0122145	0.00628921	0.433118	0.119156	0.115121	0.00776289	0.0930192	0.130392	0.176003	0.0210554	0.134995	0.00455691	0.00339367	0.0204878	0.0622466	0.0369436	0.0915453	0.0796884	0.0804924	0.0379282	0.164588	0.170966	0.0437812	0.191163	0.0954665	0.195346	0.236803	0.637771	0.0344864	0.00128901	0.4953731	0.579392	0.155978	0.102116	0.162514	4.49088
2	0	-15485.2	-15493.8	8.65295	0.169609	0.150909	0.0292087	0.0524224	0.116631	0.163917	0.118389	0.0850709	0.0537838	0.0820435	0.115937	0.0649522	0.025222	0.117618	0.218589	0.231688	0.00653068	0.0931482	0.0391739	0.087365	0.0892965	0.0844506	0.195973	0.0816725	0.10543	0.045457	0.0449123	0.0733525	0.0391272	0.047386	0.000389638	0.00867319	0.114185	0.068353	0.0303412	0.0407335	0.0510287	0.0284513	0.0445381	0.0825044	0.0371523	0.0436805	0.0872501	4.163289	0.308767	0.345674	0.0842577	0.261301	3.466547
3	1	-16182.7	-16190.8	8.11014	0.162734	0.121315	0.119848	0.079922	0.094184	0.113086	0.152431	0.0590713	0.00874882	0.103772	0.0860846	0.0788286	0.172733	0.019111	0.0130552	0.206257	0.217111	0.0929817	0.0373956	0.135335	0.0965938	0.101458	0.0596145	0.055942	0.0114426	0.00361217	0.0288272	0.0786663	0.0155039	0.0915453	0.120366	0.0798057	0.0327819	0.0928426	0.124733	0.0366992	0.116711	0.0560447	0.0708459	0.0690679	0.226477	0.0154521	0.000502478	2.147485	0.193968	0.349221	0.092957	0.363854	3.659539
4	0	-14966.5	-14975.4	8.82236	0.129208	0.0939022	0.0687414	0.119974	0.12361	0.101012	0.108117	0.0997674	0.0781808	0.158988	0.0735323	0.0965636	0.050537	0.125465	0.104911	0.205677	0.0264745	0.123196	0.120037	0.0904404	0.0885257	0.107927	0.202359	0.0324179	0.0584838	0.0323913	0.026842	0.0557952	0.0239168	0.0522718	0.000552388	0.0114697	0.0806927	0.0426529	0.153522	0.0470644	0.0461738	0.0486515	0.0448819	0.057539	0.0431356	0.0132808	0.0807247	4.163289	0.276876	0.295149	0.087905	0.34007	3.449606
5	1	-14938.1	-14948.7	10.6475	0.14409	0.111619	0.108954	0.0923503	0.13848	0.0651932	0.115087	0.116905	0.0367319	0.19081	0.0797911	0.104441	0.11648	0.0847461	0.0491966	0.169982	0.134595	0.140476	0.0984743	0.0768765	0.0907831	0.0737548	0.150596	0.0336911	0.0189837	0.0420435	0.0241292	0.037464	0.0297838	0.0573885	0.049721	0.0393007	0.0303693	0.0340704	0.0612776	0.0321319	0.0796799	0.0173414	0.0420744	0.0358414	0.0573544	0.0509602	0.00148373	4.190692	0.266935	0.29449	0.0998503	0.338725	3.265503
6	0	-14827.8	-14837.1	9.27725	0.123348	0.0677253	0.115724	0.0922207	0.0970495	0.0870021	0.11582	0.0731851	0.0802695	0.208888	0.0666582	0.109667	0.117389	0.102853	0.0950153	0.153467	0.13975	0.0952973	0.150656	0.0751875	0.0984736	0.0885362	0.191623	0.0353151	0.0403216	0.0303687	0.0306413	0.033784	0.0293888	0.0794125	0.00108326	0.0192162	0.071734	0.0240662	0.134923	0.0406582	0.0420222	0.036274	0.0265078	0.0474169	0.0329955	0.0468035	0.078479	3.777852	0.268991	0.307725	0.0928994	0.330385	3.427217
7	1	-14780	-14789.9	9.8978	0.158982	0.105587	0.0970959	0.0841376	0.109267	0.0803774	0.130188	0.0736499	0.0761472	0.197895	0.0869366	0.0695234	0.0894128	0.0985888	0.1299	0.135523	0.136181	0.1418	0.116954	0.0830653	0.10404	0.109726	0.19429	0.0163648	0.0338246	0.0270589	0.0284222	0.0494475	0.0558584	0.0627796	0.0601861	0.0276806	0.0338701	0.101013	0.0189501	0.0306391	0.0277006	0.0227089	0.0346004	0.0243494	0.043236	0.0349715	0.00352857	4.088227	0.266935	0.29449	0.0998503	0.338725	3.34646
8	0	-14787	-14797.6	10.5834	0.121647	0.0817447	0.115724	0.0917697	0.106002	0.0774916	0.136661	0.0806856	0.0797106	0.155682	0.0654238	0.0885977	0.103229	0.104371	0.109494	0.136259	0.12735	0.122792	0.147262	0.0789088	0.10917	0.0844041	0.168256	0.0201224	0.0362455	0.0263812	0.0363412	0.0307738	0.0296005	0.0631346	0.0105681	0.0208772	0.0412108	0.0517818	0.104589	0.0263909	0.0486585	0.0365448	0.0215427	0.0456845	0.0386612	0.0428881	0.0719674	3.777852	0.279284	0.281234	0.0964544	0.343028	3.2966
9	1	-14791.2	-14800.8	9.55086	0.160388	0.105587	0.0804735	0.0920443	0.117907	0.0900662	0.130188	0.110243	0.0759488	0.195435	0.0605401	0.070345	0.106653	0.10779	0.102875	0.119902	0.168625	0.109416	0.159286	0.0734761	0.098319	0.0987672	0.184114	0.0262305	0.0511025	0.0199992	0.0214653	0.0571617	0.0368028	0.0813344	0.0750168	0.0307646	0.033456	0.110103	0.00763998	0.0332019	0.0254655	0.0326862	0.0180285	0.0279815	0.0383507	0.0222133	0.00772304	4.19148	0.262779	0.311055	0.0927151	0.333451	3.375116
10	0	-14780.5	-14791.2	10.7607	0.137901	0.0842788	0.115401	0.0869412	0.106002	0.0864484	0.140507	0.0759854	0.108123	0.171559	0.0622668	0.0771591	0.100721	0.104371	0.109494	0.112912	0.133287	0.114885	0.132705	0.0764802	0.0833268	0.0819789	0.17328	0.0301529	0.0339734	0.02733	0.0306398	0.0409204	0.0318999	0.0467213	0.0105681	0.0201277	0.0596167	0.0327737	0.126155	0.0239236	0.0287098	0.0334229	0.0220222	0.0567765	0.015322	0.0471466	0.0690457	4.035888	0.279587	0.280455	0.0965589	0.343399	3.263263
11	1	-14776.8	-14785.6	8.83302	0.133714	0.10364	0.109268	0.105607	0.112408	0.0834081	0.153521	0.0714589	0.0962454	0.190595	0.0785964	0.0946632	0.105938	0.112003	0.132137	0.120613	0.154127	0.12164	0.120396	0.086052	0.0685098	0.083121	0.243038	0.0237701	0.0411573	0.0317063	0.0383531	0.0586545	0.0600399	0.0480477	0.0623125	0.0315761	0.0139804	0.0833583	0.0290229	0.0239957	0.0276844	0.0391686	0.0360213	0.0294729	0.0322056	0.0343166	0.0221268	4.178184	0.259377	0.307028	0.104461	0.329134	3.447672
12	0	-14777.8	-14787.2	9.45621	0.154193	0.100366	0.102214	0.117265	0.116673	0.0856513	0.118048	0.0963841	0.0956121	0.187041	0.0669111	0.0808369	0.113828	0.11684	0.127861	0.148623	0.133287	0.114885	0.147108	0.0810971	0.103392	0.070624	0.180864	0.033629	0.0283072	0.0296814	0.0329684	0.0359706	0.0170756	0.061646	0.0194634	0.0323534	0.0339817	0.0265694	0.108473	0.0300184	0.03858	0.0265999	0.0318183	0.0421785	0.0202948	0.0415394	0.0431447	4.032789	0.283767	0.284648	0.0929578	0.338627	3.393898
13	1	-14767.3	-14776.4	9.09858	0.127664	0.0929617	0.11343	0.0839164	0.112408	0.0881281	0.14544	0.0782792	0.106067	0.192952	0.0778194	0.102318	0.0989728	0.108672	0.106907	0.164078	0.153586	0.110618	0.132249	0.0807402	0.0880371	0.0855582	0.194733	0.0359619	0.0372467	0.0218734	0.0410938	0.0522249	0.0637345	0.0600384	0.0646875	0.0257812	0.0223357	0.0924249	0.0331092	0.022378	0.0253257	0.0393283	0.0199468	0.0217358	0.0353289	0.0273965	0.0336311	4.178184	0.268445	0.307566	0.0942767	0.329712	3.421117
14	0	-14771.6	-14781	9.42982	0.178489	0.0852082	0.0980194	0.0851784	0.111308	0.0782445	0.13889	0.0997621	0.087198	0.170043	0.0828909	0.0963892	0.103807	0.118074	0.126724	0.142307	0.115103	0.125685	0.147108	0.0649677	0.0917791	0.0781756	0.190424	0.0343497	0.0287819	0.0405172	0.0342706	0.0322712	0.0174115	0.0677866	0.0639705	0.0152899	0.0358246	0.0288529	0.096449	0.0380142	0.0315145	0.0268119	0.0218846	0.0440259	0.0368982	0.0436255	0.0440428	4.00201	0.284873	0.285758	0.0933202	0.336049	3.398368
15	1	-14773.2	-14783.9	10.6937	0.148145	0.114699	0.117694	0.0912538	0.103279	0.0656664	0.111887	0.0847044	0.0786095	0.166163	0.101546	0.0728969	0.116949	0.106445	0.105544	0.13594	0.144577	0.109507	0.131153	0.0745324	0.0909592	0.0689899	0.195101	0.0185697	0.0478707	0.0169251	0.0179388	0.0558247	0.0647557	0.044113	0.0647149	0.0355197	0.022247	0.0864676	0.013428	0.0257451	0.0214311	0.0471916	0.0438802	0.0228683	0.0404945	0.0201413	0.0152316	4.178184	0.267562	0.306555	0.0972553	0.328628	3.261602
16	0	-14769.6	-14779.6	9.98896	0.176733	0.0879164	0.112968	0.0893728	0.105638	0.0734729	0.156683	0.0888502	0.0894032	0.178738	0.0598879	0.0973034	0.105772	0.10407	0.0984122	0.132669	0.122247	0.121493	0.119534	0.0710759	0.0798005	0.0874154	0.159768	0.0360485	0.0314845	0.0396086	0.0434119	0.0400081	0.01535	0.0610448	0.0424111	0.0193962	0.0339227	0.0345557	0.104552	0.0195832	0.0521028	0.0361609	0.023365	0.0397042	0.0351721	0.0486914	0.0565012	4.174428	0.284873	0.285758	0.0933202	0.336049	3.332297
17	1	-14782.7	-14791.7	8.98608	0.140443	0.11078	0.0942731	0.111971	0.122817	0.0599712	0.13935	0.107228	0.114519	0.155065	0.0919579	0.0847981	0.115135	0.0970962	0.11046	0.135858	0.123836	0.137311	0.115563	0.0735274	0.0798468	0.0906244	0.204988	0.0426899	0.0559552	0.0282891	0.0317644	0.0811812	0.0576183	0.0460431	0.0470376	0.0388292	0.0231191	0.0923997	0.0165653	0.0134003	0.0392508	0.037386	0.0284694	0.00897346	0.0427119	0.0178543	0.0601522	4.269206	0.266001	0.307495	0.0968698	0.329635	3.427107
18	0	-14765.9	-14775.6	9.7411	0.175683	0.0940627	0.111559	0.0874241	0.119376	0.0858289	0.136978	0.079898	0.0895685	0.162279	0.0582074	0.0804199	0.11186	0.107852	0.103161	0.128985	0.138862	0.119616	0.137951	0.0710759	0.107617	0.0835616	0.195651	0.0220918	0.0211736	0.0307262	0.0319639	0.0218684	0.0222271	0.0640206	0.0506206	0.0189734	0.0536455	0.0473006	0.093009	0.0251771	0.0370584	0.0325821	0.0251134	0.05112	0.0318244	0.0485406	0.0521777	3.97771	0.281961	0.293059	0.0923664	0.332614	3.368692
19	1	-14764.6	-14774.2	9.65925	0.145995	0.0846612	0.104669	0.091054	0.126531	0.0826434	0.13935	0.0825358	0.0973051	0.170902	0.0868888	0.0842876	0.103457	0.108085	0.107451	0.154764	0.141952	0.105676	0.114651	0.0824458	0.100949	0.0836799	0.178545	0.0283269	0.0388765	0.0362335	0.0225519	0.0490967	0.0530916	0.051641	0.0630589	0.0334125	0.0156946	0.0827812	0.0315713	0.0303262	0.0524536	0.0548997	0.0351258	0.0173002	0.032061	0.0269648	0.041295	4.005085	0.263333	0.306583	0.101426	0.328658	3.375241
20	0	-14766.1	-14775.9	9.73062	0.15048	0.0863461	0.0918474	0.0941027	0.101435	0.0881268	0.153517	0.0743585	0.0920424	0.182633	0.0763027	0.082028	0.110954	0.0968043	0.104933	0.150451	0.145433	0.10219	0.12805	0.0938405	0.103951	0.0936757	0.17049	0.0356655	0.0350453	0.035045	0.0453229	0.0309823	0.00824773	0.0512703	0.0591649	0.0226144	0.0396594	0.0214718	0.0932066	0.0257077	0.0365272	0.0353748	0.0242196	0.0652929	0.0240883	0.0465223	0.0549341	4.068274	0.281961	0.293059	0.0923664	0.332614	3.364355
21	1	-14768.1	-14777.4	9.35566	0.142119	0.103332	0.114316	0.0948555	0.113888	0.107881	0.131712	0.0847774	0.0973051	0.170902	0.0661679	0.0980295	0.112785	0.106194	0.100446	0.131362	0.141952	0.0956605	0.14123	0.0716111	0.0836616	0.0797319	0.190637	0.0331351	0.0417773	0.0365918	0.0238925	0.047866	0.0517278	0.0627132	0.0630589	0.0281583	0.0209587	0.109309	0.0226525	0.0227255	0.0531238	0.0506221	0.0269138	0.0295691	0.0426342	0.019175	0.0338546	4.082425	0.272004	0.282165	0.106352	0.33948	3.401016
