Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-22235.7	-22238.7	3.05364	0.226986	0.0859309	0.0178624	0.0291565	0.056802	0.137775	0.110369	0.0293032	0.0449288	0.0207524	0.291241	0.0216267	0.00480901	0.234455	0.134594	0.0651079	0.00221378	0.0572217	0.0208105	0.0822495	0.137389	0.125739	0.104948	0.133189	0.0917102	0.0418224	0.137207	0.26357	0.141371	0.026741	0.000189123	0.00478984	0.135221	0.0293905	0.0133158	0.149396	0.143728	0.00827829	0.132877	0.061674	0.0477273	0.25492	0.157122	4.336415	0.0440701	0.15879	0.484701	0.312439	4.01651
10	-15485.2	-15493.8	8.65295	0.169609	0.150909	0.0292087	0.0524224	0.116631	0.163917	0.118389	0.0850709	0.0537838	0.0820435	0.115937	0.0649522	0.025222	0.117618	0.218589	0.231688	0.00653068	0.0931482	0.0391739	0.087365	0.0892965	0.0844506	0.195973	0.0816725	0.10543	0.045457	0.0449123	0.0733525	0.0391272	0.047386	0.000389638	0.00867319	0.114185	0.068353	0.0303412	0.0407335	0.0510287	0.0284513	0.0445381	0.0825044	0.0371523	0.0436805	0.0872501	4.163289	0.308767	0.345674	0.0842577	0.261301	3.466547
20	-14966.5	-14975.4	8.82236	0.129208	0.0939022	0.0687414	0.119974	0.12361	0.101012	0.108117	0.0997674	0.0781808	0.158988	0.0735323	0.0965636	0.050537	0.125465	0.104911	0.205677	0.0264745	0.123196	0.120037	0.0904404	0.0885257	0.107927	0.202359	0.0324179	0.0584838	0.0323913	0.026842	0.0557952	0.0239168	0.0522718	0.000552388	0.0114697	0.0806927	0.0426529	0.153522	0.0470644	0.0461738	0.0486515	0.0448819	0.057539	0.0431356	0.0132808	0.0807247	4.163289	0.276876	0.295149	0.087905	0.34007	3.449606
30	-14827.8	-14837.1	9.27725	0.123348	0.0677253	0.115724	0.0922207	0.0970495	0.0870021	0.11582	0.0731851	0.0802695	0.208888	0.0666582	0.109667	0.117389	0.102853	0.0950153	0.153467	0.13975	0.0952973	0.150656	0.0751875	0.0984736	0.0885362	0.191623	0.0353151	0.0403216	0.0303687	0.0306413	0.033784	0.0293888	0.0794125	0.00108326	0.0192162	0.071734	0.0240662	0.134923	0.0406582	0.0420222	0.036274	0.0265078	0.0474169	0.0329955	0.0468035	0.078479	3.777852	0.268991	0.307725	0.0928994	0.330385	3.427217
40	-14787	-14797.6	10.5834	0.121647	0.0817447	0.115724	0.0917697	0.106002	0.0774916	0.136661	0.0806856	0.0797106	0.155682	0.0654238	0.0885977	0.103229	0.104371	0.109494	0.136259	0.12735	0.122792	0.147262	0.0789088	0.10917	0.0844041	0.168256	0.0201224	0.0362455	0.0263812	0.0363412	0.0307738	0.0296005	0.0631346	0.0105681	0.0208772	0.0412108	0.0517818	0.104589	0.0263909	0.0486585	0.0365448	0.0215427	0.0456845	0.0386612	0.0428881	0.0719674	3.777852	0.279284	0.281234	0.0964544	0.343028	3.2966
50	-14780.5	-14791.2	10.7607	0.137901	0.0842788	0.115401	0.0869412	0.106002	0.0864484	0.140507	0.0759854	0.108123	0.171559	0.0622668	0.0771591	0.100721	0.104371	0.109494	0.112912	0.133287	0.114885	0.132705	0.0764802	0.0833268	0.0819789	0.17328	0.0301529	0.0339734	0.02733	0.0306398	0.0409204	0.0318999	0.0467213	0.0105681	0.0201277	0.0596167	0.0327737	0.126155	0.0239236	0.0287098	0.0334229	0.0220222	0.0567765	0.015322	0.0471466	0.0690457	4.035888	0.279587	0.280455	0.0965589	0.343399	3.263263
60	-14777.8	-14787.2	9.45621	0.154193	0.100366	0.102214	0.117265	0.116673	0.0856513	0.118048	0.0963841	0.0956121	0.187041	0.0669111	0.0808369	0.113828	0.11684	0.127861	0.148623	0.133287	0.114885	0.147108	0.0810971	0.103392	0.070624	0.180864	0.033629	0.0283072	0.0296814	0.0329684	0.0359706	0.0170756	0.061646	0.0194634	0.0323534	0.0339817	0.0265694	0.108473	0.0300184	0.03858	0.0265999	0.0318183	0.0421785	0.0202948	0.0415394	0.0431447	4.032789	0.283767	0.284648	0.0929578	0.338627	3.393898
70	-14771.6	-14781	9.42982	0.178489	0.0852082	0.0980194	0.0851784	0.111308	0.0782445	0.13889	0.0997621	0.087198	0.170043	0.0828909	0.0963892	0.103807	0.118074	0.126724	0.142307	0.115103	0.125685	0.147108	0.0649677	0.0917791	0.0781756	0.190424	0.0343497	0.0287819	0.0405172	0.0342706	0.0322712	0.0174115	0.0677866	0.0639705	0.0152899	0.0358246	0.0288529	0.096449	0.0380142	0.0315145	0.0268119	0.0218846	0.0440259	0.0368982	0.0436255	0.0440428	4.00201	0.284873	0.285758	0.0933202	0.336049	3.398368
80	-14769.6	-14779.6	9.98896	0.176733	0.0879164	0.112968	0.0893728	0.105638	0.0734729	0.156683	0.0888502	0.0894032	0.178738	0.0598879	0.0973034	0.105772	0.10407	0.0984122	0.132669	0.122247	0.121493	0.119534	0.0710759	0.0798005	0.0874154	0.159768	0.0360485	0.0314845	0.0396086	0.0434119	0.0400081	0.01535	0.0610448	0.0424111	0.0193962	0.0339227	0.0345557	0.104552	0.0195832	0.0521028	0.0361609	0.023365	0.0397042	0.0351721	0.0486914	0.0565012	4.174428	0.284873	0.285758	0.0933202	0.336049	3.332297
90	-14765.9	-14775.6	9.7411	0.175683	0.0940627	0.111559	0.0874241	0.119376	0.0858289	0.136978	0.079898	0.0895685	0.162279	0.0582074	0.0804199	0.11186	0.107852	0.103161	0.128985	0.138862	0.119616	0.137951	0.0710759	0.107617	0.0835616	0.195651	0.0220918	0.0211736	0.0307262	0.0319639	0.0218684	0.0222271	0.0640206	0.0506206	0.0189734	0.0536455	0.0473006	0.093009	0.0251771	0.0370584	0.0325821	0.0251134	0.05112	0.0318244	0.0485406	0.0521777	3.97771	0.281961	0.293059	0.0923664	0.332614	3.368692
