Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-19580.2	-19580.5	0.277264	0.313747	0.159448	0.0585047	0.0109167	0.0399249	0.00850281	0.0497049	0.121316	0.114171	0.245433	0.0503155	0.114593	0.156388	0.041787	0.127051	0.160976	0.0702292	0.00300792	0.039327	0.0560823	0.00651308	0.316809	0.242318	0.0289611	0.162378	0.061442	0.153427	0.076171	0.102739	0.0114097	0.217045	0.157974	0.0272796	0.0194825	0.062861	0.028754	0.0580973	0.111038	0.168689	0.0409753	0.245258	0.160085	0.0600474	4.461182
1	1	-20056.5	-20039.5	-17.0033	0.0137537	0.188585	0.203451	0.224389	0.0134508	0.43626	0.39342	0.0269984	0.2601	0.0918693	0.0116752	0.193978	0.0624083	0.34997	0.0611356	0.0938678	0.181329	0.100884	0.00476976	0.0246156	0.235736	0.0946977	0.0270672	0.0689751	0.225874	0.0826088	0.104394	0.00173529	0.00826914	0.562589	0.138622	0.0308508	0.0205185	0.591033	0.0754386	0.0824985	0.150935	0.197451	0.00169784	0.114922	0.0704519	0.0440194	0.321939	6.189234
2	0	-16744.8	-16753.3	8.45318	0.20397	0.120552	0.192006	0.0179674	0.0494363	0.0158643	0.13283	0.0872663	0.189956	0.162373	0.105472	0.0871527	0.144181	0.0980056	0.144263	0.182824	0.136151	0.0374983	0.073213	0.0748805	0.0250331	0.108494	0.265371	0.0350958	0.0520756	0.0587518	0.0554417	0.0212589	0.046102	0.00875067	0.0579328	0.0613556	0.0458735	0.00362863	0.0472248	0.00662115	0.0303356	0.0421245	0.10233	0.0706076	0.133833	0.0762175	0.0332684	3.64359
3	1	-17224.1	-17230.7	6.53177	0.047971	0.1019	0.203451	0.140486	0.0278445	0.132791	0.157986	0.109651	0.216139	0.101911	0.0791994	0.101842	0.0971942	0.11943	0.106112	0.178222	0.116096	0.113383	0.0353455	0.126028	0.0753862	0.158175	0.124824	0.0554257	0.059325	0.0531542	0.0775396	0.00478641	0.00758963	0.129125	0.0521535	0.0176778	0.0345992	0.271294	0.0354301	0.0281896	0.0360735	0.0616406	0.011828	0.0432858	0.0387436	0.0526571	0.0938474	3.835731
4	0	-15927.6	-15940.1	12.4542	0.16802	0.0941839	0.0954702	0.0474002	0.0975375	0.0618582	0.106367	0.0751739	0.0997499	0.17085	0.0693926	0.0828315	0.112503	0.0945045	0.108403	0.154324	0.136151	0.100148	0.131055	0.0855402	0.0488462	0.101286	0.155289	0.0472141	0.0627268	0.0267967	0.0682617	0.0912413	0.0563782	0.0210274	0.045851	0.0327763	0.0387651	0.00489357	0.0337898	0.00750078	0.0377691	0.0281233	0.0264956	0.0376945	0.101357	0.037226	0.040717	3.243489
5	1	-16127.8	-16138.9	11.1531	0.14658	0.111786	0.0964588	0.0872154	0.0492147	0.107704	0.113499	0.0930717	0.129268	0.161277	0.101938	0.0955822	0.0971942	0.0885459	0.112202	0.129549	0.24205	0.116972	0.143465	0.0991928	0.0997382	0.0683046	0.174344	0.0368202	0.0692822	0.0295415	0.0515995	0.0158686	0.0114591	0.0649114	0.0939857	0.0124233	0.0364718	0.0813459	0.0278254	0.0306953	0.0230356	0.0322699	0.0195112	0.0296788	0.0111026	0.0170958	0.0135248	3.373599
6	0	-15832.1	-15845.3	13.2637	0.114538	0.0941839	0.112103	0.0671087	0.123848	0.0720959	0.107053	0.0761361	0.106908	0.17085	0.0708963	0.0980241	0.0906024	0.098638	0.102453	0.126103	0.113803	0.105487	0.124196	0.0672465	0.0743908	0.0888636	0.185869	0.0468091	0.057141	0.0431928	0.047275	0.0884634	0.0291398	0.0227602	0.020664	0.0276174	0.046941	0.00941847	0.026181	0.0197498	0.0325251	0.0411642	0.030149	0.0489947	0.0483981	0.0291359	0.055419	3.162537
7	1	-15846	-15859	13.008	0.12872	0.0833363	0.109531	0.111499	0.112684	0.11375	0.123221	0.0962719	0.0872181	0.15962	0.0775377	0.0798988	0.091428	0.0885459	0.101515	0.131042	0.142102	0.102006	0.127543	0.0773453	0.0886763	0.0864609	0.159616	0.0266458	0.0619696	0.0354852	0.0409579	0.0228817	0.0560868	0.0418851	0.0756103	0.012343	0.0241149	0.0579887	0.0319643	0.0114685	0.031815	0.0209945	0.0442416	0.0284516	0.0250024	0.038767	0.0198708	3.188113
8	0	-15798.4	-15811.3	12.8686	0.132179	0.0847834	0.0962938	0.0983413	0.126576	0.0763646	0.130502	0.0725519	0.110014	0.158615	0.0666521	0.0993823	0.112549	0.0947929	0.104251	0.146972	0.119496	0.101342	0.107281	0.0909064	0.0940038	0.0947751	0.176173	0.0437586	0.0676579	0.0288525	0.0293909	0.0884634	0.0463652	0.0180431	0.0152308	0.0209071	0.0253816	0.0534717	0.0221981	0.0244841	0.0354362	0.0258033	0.0242461	0.0439159	0.0345434	0.0293954	0.0297052	3.202048
9	1	-15802.4	-15815.3	12.8962	0.133383	0.0905288	0.0970407	0.108158	0.10073	0.0778963	0.121643	0.0715486	0.0950987	0.185913	0.0882616	0.0870278	0.0930966	0.0915469	0.120886	0.11806	0.131853	0.119568	0.127543	0.0697083	0.0941456	0.0857566	0.144257	0.0199056	0.0579601	0.0400683	0.0333326	0.0267796	0.0350365	0.0272274	0.0629617	0.0221949	0.0494375	0.0551207	0.044354	0.0443245	0.0426114	0.0224679	0.0379336	0.0166952	0.0328605	0.0416619	0.0327072	3.199291
