Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19580.2	-19580.5	0.277264	0.313747	0.159448	0.0585047	0.0109167	0.0399249	0.00850281	0.0497049	0.121316	0.114171	0.245433	0.0503155	0.114593	0.156388	0.041787	0.127051	0.160976	0.0702292	0.00300792	0.039327	0.0560823	0.00651308	0.316809	0.242318	0.0289611	0.162378	0.061442	0.153427	0.076171	0.102739	0.0114097	0.217045	0.157974	0.0272796	0.0194825	0.062861	0.028754	0.0580973	0.111038	0.168689	0.0409753	0.245258	0.160085	0.0600474	4.461182
10	-16744.8	-16753.3	8.45318	0.20397	0.120552	0.192006	0.0179674	0.0494363	0.0158643	0.13283	0.0872663	0.189956	0.162373	0.105472	0.0871527	0.144181	0.0980056	0.144263	0.182824	0.136151	0.0374983	0.073213	0.0748805	0.0250331	0.108494	0.265371	0.0350958	0.0520756	0.0587518	0.0554417	0.0212589	0.046102	0.00875067	0.0579328	0.0613556	0.0458735	0.00362863	0.0472248	0.00662115	0.0303356	0.0421245	0.10233	0.0706076	0.133833	0.0762175	0.0332684	3.64359
20	-15927.6	-15940.1	12.4542	0.16802	0.0941839	0.0954702	0.0474002	0.0975375	0.0618582	0.106367	0.0751739	0.0997499	0.17085	0.0693926	0.0828315	0.112503	0.0945045	0.108403	0.154324	0.136151	0.100148	0.131055	0.0855402	0.0488462	0.101286	0.155289	0.0472141	0.0627268	0.0267967	0.0682617	0.0912413	0.0563782	0.0210274	0.045851	0.0327763	0.0387651	0.00489357	0.0337898	0.00750078	0.0377691	0.0281233	0.0264956	0.0376945	0.101357	0.037226	0.040717	3.243489
30	-15832.1	-15845.3	13.2637	0.114538	0.0941839	0.112103	0.0671087	0.123848	0.0720959	0.107053	0.0761361	0.106908	0.17085	0.0708963	0.0980241	0.0906024	0.098638	0.102453	0.126103	0.113803	0.105487	0.124196	0.0672465	0.0743908	0.0888636	0.185869	0.0468091	0.057141	0.0431928	0.047275	0.0884634	0.0291398	0.0227602	0.020664	0.0276174	0.046941	0.00941847	0.026181	0.0197498	0.0325251	0.0411642	0.030149	0.0489947	0.0483981	0.0291359	0.055419	3.162537
40	-15798.4	-15811.3	12.8686	0.132179	0.0847834	0.0962938	0.0983413	0.126576	0.0763646	0.130502	0.0725519	0.110014	0.158615	0.0666521	0.0993823	0.112549	0.0947929	0.104251	0.146972	0.119496	0.101342	0.107281	0.0909064	0.0940038	0.0947751	0.176173	0.0437586	0.0676579	0.0288525	0.0293909	0.0884634	0.0463652	0.0180431	0.0152308	0.0209071	0.0253816	0.0534717	0.0221981	0.0244841	0.0354362	0.0258033	0.0242461	0.0439159	0.0345434	0.0293954	0.0297052	3.202048
50	-15808	-15819.5	11.4611	0.153244	0.0910137	0.106328	0.100694	0.107181	0.10748	0.130502	0.0698419	0.102773	0.163088	0.0760359	0.079405	0.110088	0.102595	0.111746	0.120834	0.121836	0.118227	0.137491	0.0789972	0.0897042	0.0890143	0.179843	0.0347349	0.0534279	0.0399719	0.0367841	0.0893028	0.0397609	0.0271316	0.0111436	0.0323548	0.020159	0.0581441	0.036331	0.0358713	0.025897	0.0295567	0.0161529	0.0600995	0.0589783	0.0296961	0.0593397	3.342798
60	-15805.9	-15818.7	12.722	0.153872	0.0938987	0.0957999	0.0718634	0.107644	0.0712122	0.118662	0.0948706	0.094282	0.163743	0.0651287	0.0803054	0.120487	0.0867219	0.111656	0.14206	0.148473	0.121856	0.119922	0.0745266	0.0897042	0.0761561	0.159435	0.0323649	0.0461562	0.0394862	0.0301323	0.108965	0.0438184	0.0183388	0.0141358	0.0253124	0.0233734	0.0560342	0.0367217	0.028133	0.0304791	0.0244923	0.0359745	0.0431792	0.0488937	0.0314696	0.0369706	3.21671
70	-15806.4	-15819.3	12.8941	0.167159	0.109307	0.101255	0.100464	0.108926	0.0637182	0.135962	0.0808647	0.0950263	0.15745	0.0900399	0.0804632	0.100189	0.0785421	0.0947338	0.104531	0.133076	0.121856	0.129449	0.0825396	0.105772	0.0868739	0.148061	0.0312717	0.0503598	0.0363906	0.0134163	0.0768619	0.063051	0.0150629	0.00963435	0.0244825	0.0312902	0.0573185	0.0219375	0.0415516	0.0352731	0.0240808	0.0295351	0.0412649	0.0519778	0.0374184	0.0310561	3.199493
80	-15798.9	-15812.7	13.8324	0.119406	0.0906401	0.0931763	0.106512	0.126247	0.0875158	0.111652	0.0723947	0.104231	0.151764	0.0708414	0.0803237	0.0882189	0.0871453	0.113773	0.110387	0.133076	0.112952	0.116711	0.0746622	0.0861382	0.0756712	0.141337	0.0455176	0.0710353	0.0291212	0.028515	0.0711893	0.0623063	0.019472	0.0370575	0.0189004	0.0276637	0.0490617	0.0359741	0.0303446	0.0382168	0.0273196	0.0281257	0.0419345	0.0365499	0.0270387	0.0255518	3.105671
90	-15801.2	-15814.5	13.3484	0.136832	0.0895795	0.108431	0.104228	0.108045	0.0634935	0.116259	0.0788374	0.0957569	0.144417	0.0732757	0.0963838	0.0846691	0.0873358	0.0982447	0.108828	0.134702	0.10159	0.126212	0.0853307	0.0861382	0.0833354	0.17773	0.0363017	0.0700532	0.0318974	0.0256239	0.0772695	0.0679717	0.0347996	0.0277641	0.0212579	0.0245231	0.0419188	0.0327961	0.0210579	0.0355769	0.0227004	0.0338712	0.0491311	0.0537175	0.0193809	0.0367993	3.154067
