Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
0	-23406.8	-23472	65.1403	0.00284365	0.0050864	0.0766774	0.002069	0.00887184	0.00234461	0.00904371	0.0401289	0.0132636	0.0394198	0.0329642	0.0293856	0.0190153	0.00108002	0.0265164	0.011065	0.00367542	0.0205569	0.0643115	0.00174168	0.00141746	0.00960748	0.00533931	0.0031793	0.0124621	0.0168186	0.00876183	6.66096e-05	0.00454023	0.00215257	0.019845	0.0234915	0.0177778	0.0143873	0.0351169	0.0026671	0.00552797	0.0205541	0.016117	0.00672999	0.0155755	0.0118323	0.00332382	0.146311	0.383414	0.0386896	0.431586	0.00426109	0.00762175	0.114898	0.00310031	0.0132941	0.00351329	0.0135516	0.0601315	0.0198749	0.059069	0.0493954	0.044033	0.0284936	0.00161836	0.0397337	0.0165805	0.00550746	0.0308037	0.096368	0.00260983	0.00212401	0.0143964	0.00800073	0.00476404	0.0186739	0.025202	0.0131292	9.98117e-05	0.00680335	0.00322553	0.0297369	0.035201	0.0266393	0.0215588	0.0526212	0.00399654	0.00828343	0.0307995	0.0241506	0.0100846	0.0233392	0.0177302	0.00498061	0.6673526
10	-16491.1	-16553.8	62.6941	0.0458764	0.0357804	0.0757211	0.0783213	0.0388413	0.062096	0.0702764	0.0287973	0.0496239	0.0703668	0.0440764	0.0499798	0.0315335	0.0401807	0.0394494	0.0604496	0.0338039	0.0342948	0.0703826	0.0511111	0.0207768	0.0380785	0.0497216	0.0104288	0.0127784	0.0114407	0.0177746	0.000565874	0.00872459	0.0189021	0.0170266	0.0145923	0.0200861	0.0434641	0.00854813	0.0541325	0.017195	0.0209231	0.0208451	0.0199652	0.0127581	0.0161346	0.0117855	0.182573	0.232709	0.0918578	0.49286	0.0310477	0.024215	0.0512457	0.0530054	0.0262866	0.0420246	0.0475608	0.0194891	0.0335839	0.047622	0.0298295	0.0338247	0.0213409	0.027193	0.0266981	0.0409104	0.0228774	0.0232096	0.0476327	0.0345903	0.0140611	0.0257703	0.03365	0.00705788	0.00864803	0.00774268	0.0120293	0.000382966	0.00590452	0.0127924	0.0115231	0.00987558	0.0135936	0.0294151	0.0057851	0.0366351	0.011637	0.0141601	0.0141073	0.0135118	0.00863425	0.0109194	0.00797608	1.477611
20	-15411.8	-15469.1	57.3424	0.115909	0.0895799	0.0936048	0.0958041	0.10441	0.0568507	0.113036	0.0795821	0.0794921	0.11272	0.0706056	0.0712936	0.0861076	0.0867994	0.103615	0.101541	0.115269	0.162205	0.119863	0.0665314	0.08703	0.0837557	0.140766	0.0782953	0.0256865	0.0241825	0.0287224	0.0357875	0.0218717	0.0560481	0.0279186	0.0380498	0.0353002	0.0201136	0.0350419	0.0576373	0.0275445	0.0726893	0.0575169	0.042013	0.0292465	0.0383253	0.00356233	0.190052	0.392585	0.093191	0.324172	0.0387408	0.0299406	0.0312858	0.0320209	0.0348973	0.0190014	0.0377802	0.026599	0.0265689	0.0376747	0.0235987	0.0238287	0.02878	0.0290112	0.0346316	0.0339384	0.0385267	0.0542143	0.0400623	0.022237	0.0290883	0.0279939	0.0470486	0.0261689	0.00858529	0.0080826	0.00959997	0.0119614	0.00731023	0.0187331	0.00933132	0.0127175	0.0117985	0.00672264	0.0117122	0.0192643	0.00920628	0.0242952	0.019224	0.0140421	0.00977515	0.0128096	0.00119065	2.991925
30	-15334.9	-15392.2	57.3424	0.12225	0.0911014	0.0815789	0.10148	0.110122	0.0784765	0.11724	0.0839358	0.0838408	0.165409	0.0593562	0.0859621	0.0908183	0.0915479	0.0977225	0.107096	0.121575	0.113044	0.102744	0.0701711	0.0848949	0.0706391	0.137045	0.0593615	0.0228343	0.0213311	0.0278161	0.0411258	0.0288502	0.0569224	0.0173223	0.0401314	0.0372313	0.0228218	0.0216889	0.0530452	0.0150653	0.0684051	0.0554939	0.0466551	0.0293531	0.0443043	0.0141146	0.221019	0.293611	0.108376	0.376994	0.0408601	0.0304491	0.0272664	0.0339179	0.0368064	0.0262294	0.0391855	0.0280541	0.0280224	0.0552852	0.0198388	0.0287314	0.0303545	0.0305983	0.0326621	0.035795	0.0406344	0.0377831	0.0343404	0.0234535	0.0283747	0.0236099	0.045805	0.0198406	0.00763197	0.00712954	0.00929707	0.0137456	0.0096427	0.0190253	0.00578968	0.0134132	0.0124439	0.00762781	0.00724915	0.0177295	0.00503531	0.0228633	0.0185479	0.0155937	0.00981078	0.0148079	0.00471756	2.991925
40	-15333.1	-15390.1	56.9739	0.127289	0.0999327	0.0837747	0.114242	0.0910639	0.0860839	0.128598	0.0920724	0.108252	0.162942	0.0814638	0.0935063	0.0996221	0.0937754	0.110637	0.110898	0.11453	0.116716	0.112704	0.0769734	0.0970098	0.0801318	0.15033	0.0464565	0.0250478	0.0209004	0.0409018	0.0281632	0.0226857	0.0465133	0.0303508	0.0416879	0.0377117	0.0204775	0.0202618	0.0505086	0.0312374	0.0750363	0.0271161	0.0224382	0.0260031	0.0178721	0.0283838	0.207785	0.298599	0.110217	0.383398	0.041163	0.0323166	0.0270914	0.0369439	0.0294486	0.0278381	0.0415866	0.0297747	0.0350069	0.0526929	0.0263441	0.0302384	0.0322162	0.0303255	0.0357781	0.0358626	0.0370372	0.0377442	0.0364466	0.024892	0.0313714	0.0259133	0.0486143	0.0150233	0.00810005	0.00675885	0.013227	0.00910753	0.0073362	0.0150417	0.00981494	0.0134812	0.0121953	0.00662208	0.00655232	0.0163337	0.0101017	0.0242655	0.0087689	0.00725614	0.00840897	0.00577955	0.00917886	3.092301
50	-15333.3	-15390.3	56.9739	0.126692	0.103373	0.0874657	0.101803	0.106425	0.0696827	0.127566	0.0676156	0.107383	0.139607	0.08081	0.0667075	0.0937032	0.0930229	0.109749	0.110008	0.124657	0.11578	0.102152	0.0790396	0.0791852	0.0749109	0.196517	0.0659145	0.0248468	0.0227243	0.0483342	0.0290592	0.0282002	0.0541982	0.0164198	0.0416856	0.0432948	0.0159293	0.0291833	0.0501032	0.0446123	0.0597555	0.047029	0.0222581	0.0248529	0.038443	0.0216027	0.205141	0.311053	0.105288	0.378518	0.04097	0.0334292	0.028285	0.0329214	0.0344162	0.0225342	0.0412528	0.0218658	0.0347259	0.0451466	0.0261326	0.0215721	0.0303021	0.0300821	0.035491	0.0355748	0.0403119	0.0374412	0.0330343	0.0255601	0.0256072	0.024225	0.0635503	0.0213157	0.00803504	0.00734868	0.0156305	0.00939727	0.00911948	0.0175268	0.0053099	0.0134804	0.0140008	0.00515127	0.0094374	0.0162026	0.0144269	0.019324	0.0152084	0.00719791	0.00803703	0.0124318	0.00698597	3.092301
60	-15337	-15393.7	56.6981	0.125713	0.0894892	0.0923168	0.112057	0.123672	0.0691442	0.12658	0.0679264	0.103357	0.187822	0.0801855	0.104112	0.0989273	0.0932467	0.105383	0.108096	0.143828	0.103982	0.101363	0.0784288	0.0952726	0.0718135	0.162185	0.0673115	0.0130558	0.0305775	0.0381349	0.0350637	0.0275906	0.0447879	0.0212225	0.0597013	0.0281353	0.0267611	0.0165793	0.0504886	0.0379483	0.0584048	0.0711824	0.0174294	0.024528	0.035035	0.0183769	0.207309	0.310204	0.105001	0.377485	0.0396919	0.0282548	0.0291476	0.0353802	0.0390477	0.0218312	0.0399658	0.0214467	0.0326333	0.0593019	0.0253174	0.0328717	0.0312348	0.0294412	0.033273	0.0341298	0.0454115	0.0328308	0.0320037	0.0247627	0.0300809	0.022674	0.0512073	0.0212526	0.00412217	0.00965437	0.0120405	0.0110708	0.00871131	0.0141411	0.00670067	0.0188498	0.00888328	0.00844943	0.00523466	0.015941	0.0119816	0.0184404	0.0224748	0.00550308	0.00774434	0.0110618	0.00580223	3.167215
70	-15330	-15386.9	56.8982	0.125534	0.103973	0.102592	0.109069	0.110821	0.0690458	0.1264	0.0800665	0.0885175	0.160184	0.0766702	0.0823621	0.0856783	0.111263	0.0998595	0.107943	0.144389	0.103834	0.101219	0.0783172	0.0719797	0.0746037	0.158426	0.0672158	0.0209782	0.0225281	0.0311203	0.0374727	0.0272255	0.046217	0.019775	0.0313703	0.0280952	0.0180383	0.0201492	0.0585134	0.0378944	0.0985712	0.0483748	0.0346976	0.0379163	0.0357838	0.0181873	0.207552	0.309397	0.105124	0.377927	0.0403273	0.0334011	0.0329575	0.035038	0.0356009	0.0221807	0.0406057	0.0257211	0.028436	0.0514586	0.0246301	0.0264585	0.0275239	0.0357429	0.0320795	0.0346762	0.0463845	0.0333565	0.0325161	0.0251591	0.0231233	0.0239662	0.0508939	0.0215928	0.00673917	0.00723708	0.0099973	0.012038	0.00874609	0.014847	0.00635266	0.0100776	0.0090255	0.00579476	0.00647288	0.0187972	0.0121734	0.0316657	0.0155402	0.0111465	0.0121805	0.0114954	0.0058426	3.112873
80	-15342	-15399	56.9946	0.144757	0.092836	0.0837382	0.0926523	0.11642	0.0817069	0.134273	0.0850531	0.0766585	0.144821	0.067707	0.0646386	0.100969	0.0804548	0.106079	0.114665	0.152072	0.110301	0.119337	0.0762402	0.101354	0.0935881	0.179012	0.0471788	0.0216652	0.0190578	0.0221775	0.0309056	0.0289211	0.0466403	0.0255259	0.0332988	0.0239371	0.0180125	0.0163424	0.0408178	0.0267828	0.104681	0.0480038	0.0374491	0.0189915	0.029847	0.0271033	0.207552	0.309397	0.105124	0.377927	0.0468973	0.0300764	0.027129	0.0300169	0.037717	0.0264709	0.0435008	0.027555	0.0248353	0.0469183	0.0219353	0.0209412	0.0327111	0.0260652	0.0343667	0.0371485	0.0492671	0.0357347	0.038662	0.0246998	0.0328359	0.0303201	0.0579953	0.0152847	0.00701896	0.00617422	0.00718494	0.0100126	0.00936967	0.0151102	0.00826971	0.0107879	0.00775499	0.00583556	0.00529451	0.0132239	0.00867691	0.0339138	0.015552	0.0121325	0.00615273	0.00966965	0.00878074	3.086672
90	-15338.9	-15395.9	56.9946	0.134151	0.10594	0.104054	0.090187	0.115908	0.0836192	0.1307	0.08279	0.0968612	0.140968	0.0659054	0.0760534	0.0888486	0.102683	0.100633	0.106458	0.137498	0.100945	0.116162	0.0660728	0.0986569	0.0967296	0.122061	0.0342229	0.0277809	0.0185507	0.0325673	0.0401577	0.0208486	0.0509487	0.0329654	0.0481156	0.0384122	0.018708	0.0142554	0.0473551	0.0252607	0.101895	0.0533025	0.046056	0.0267347	0.03034	0.0143093	0.207552	0.309397	0.105124	0.377927	0.0434613	0.0343218	0.0337109	0.0292182	0.0375512	0.0270904	0.0423433	0.0268218	0.0313805	0.0456699	0.0213516	0.0246393	0.0287846	0.0332665	0.0326025	0.0344895	0.0445456	0.0327034	0.0376333	0.0214058	0.0319622	0.0313378	0.0395446	0.0110873	0.00900028	0.00600994	0.010551	0.01301	0.00675441	0.016506	0.0106799	0.0155882	0.0124445	0.00606089	0.00461837	0.0153418	0.00818379	0.0330114	0.0172686	0.0149209	0.00866134	0.00982937	0.00463583	3.086672
